SITE,REP,DATE,HOUR,TEMP,
PRO1,1,2/11/11,19,6.724,
PRO1,1,2/11/11,20,4.463,
PRO1,1,2/11/11,21,1.949,
PRO1,1,2/11/11,22,0.754,
PRO1,1,2/11/11,23,0.88,
PRO1,1,3/11/11,0,1.005,
PRO1,1,3/11/11,1,-1.826,
PRO1,1,3/11/11,2,-3.777,
PRO1,1,3/11/11,3,-4.785,
PRO1,1,3/11/11,4,-4.596,
PRO1,1,3/11/11,5,-2.707,
PRO1,1,3/11/11,6,-4.722,
PRO1,1,3/11/11,7,-1.511,
PRO1,1,3/11/11,8,9.926,
PRO1,1,3/11/11,9,14.629,
PRO1,1,3/11/11,10,17.698,
PRO1,1,3/11/11,11,19.138,
PRO1,1,3/11/11,12,22.892,
PRO1,1,3/11/11,13,21.016,
PRO1,1,3/11/11,14,21.954,
PRO1,1,3/11/11,15,17.636,
PRO1,1,3/11/11,16,27.517,
PRO1,1,3/11/11,17,15.13,
PRO1,1,3/11/11,18,11.306,
PRO1,1,3/11/11,19,11.306,
PRO1,1,3/11/11,20,5.908,
PRO1,1,3/11/11,21,5.657,
PRO1,1,3/11/11,22,3.897,
PRO1,1,3/11/11,23,1.068,
PRO1,1,4/11/11,0,0.313,
PRO1,1,4/11/11,1,-0.253,
PRO1,1,4/11/11,2,-1.448,
PRO1,1,4/11/11,3,-3.463,
PRO1,1,4/11/11,4,-3.211,
PRO1,1,4/11/11,5,-1.322,
PRO1,1,4/11/11,6,-0.819,
PRO1,1,4/11/11,7,1.571,
PRO1,1,4/11/11,8,12.623,
PRO1,1,4/11/11,9,19.013,
PRO1,1,4/11/11,10,22.142,
PRO1,1,4/11/11,11,23.58,
PRO1,1,4/11/11,12,25.643,
PRO1,1,4/11/11,13,27.517,
PRO1,1,4/11/11,14,28.891,
PRO1,1,4/11/11,15,27.954,
PRO1,1,4/11/11,16,23.893,
PRO1,1,4/11/11,17,23.893,
PRO1,1,4/11/11,18,24.205,
PRO1,1,4/11/11,19,16.508,
PRO1,1,4/11/11,20,4.526,
PRO1,1,4/11/11,21,1.949,
PRO1,1,4/11/11,22,1.257,
PRO1,1,4/11/11,23,2.011,
PRO1,1,5/11/11,0,5.342,
PRO1,1,5/11/11,1,5.908,
PRO1,1,5/11/11,2,5.971,
PRO1,1,5/11/11,3,4.337,
PRO1,1,5/11/11,4,3.709,
PRO1,1,5/11/11,5,4.211,
PRO1,1,5/11/11,6,5.028,
PRO1,1,5/11/11,7,6.096,
PRO1,1,5/11/11,8,16.446,
PRO1,1,5/11/11,9,21.266,
PRO1,1,5/11/11,10,22.767,
PRO1,1,5/11/11,11,23.08,
PRO1,1,5/11/11,12,24.205,
PRO1,1,5/11/11,13,24.893,
PRO1,1,5/11/11,14,24.643,
PRO1,1,5/11/11,15,26.205,
PRO1,1,5/11/11,16,27.017,
