"Date","Time, GMT+11:00","Water Content, m³/m³ (LGR S/N: 9832566, SEN S/N: 9833752, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832566, SEN S/N: 10284205)","RH, % (LGR S/N: 9832566, SEN S/N: 10284205)","DewPt, °C (LGR S/N: 9832566, SEN S/N: 10284205)"
06/05/16,15:21:31,0.2233,8.841,90.600,7.4
06/05/16,16:21:32,0.2233,8.444,91.600,7.2
06/05/16,17:21:33,0.2225,7.845,92.300,6.7
06/05/16,18:21:34,0.2225,7.343,93.300,6.3
06/05/16,19:21:35,0.2225,6.965,95.200,6.3
06/05/16,20:21:36,0.2225,6.458,96.000,5.9
06/05/16,21:21:37,0.2225,5.282,94.600,4.5
06/05/16,22:21:38,0.2218,4.844,95.100,4.1
06/05/16,23:21:39,0.2211,5.539,96.900,5.1
07/05/16,00:21:40,0.2211,5.437,97.100,5.0
07/05/16,01:21:41,0.2211,5.642,97.700,5.3
07/05/16,02:21:42,0.2204,5.334,97.800,5.0
07/05/16,03:21:43,0.2204,5.282,97.800,5.0
07/05/16,04:21:44,0.2204,4.844,97.100,4.4
07/05/16,05:21:45,0.2204,4.272,96.500,3.8
07/05/16,06:21:46,0.2196,3.591,95.000,2.9
07/05/16,07:21:47,0.2196,3.459,95.200,2.8
07/05/16,08:21:48,0.2196,4.037,96.200,3.5
07/05/16,09:21:49,0.2196,6.306,98.800,6.1
07/05/16,10:21:50,0.2196,8.668,100.000,8.7
07/05/16,11:21:51,0.2196,10.320,95.800,9.7
07/05/16,12:21:52,0.2204,12.243,87.100,10.2
07/05/16,13:21:53,0.2204,13.161,80.100,9.8
07/05/16,14:21:54,0.2204,13.040,76.900,9.1
07/05/16,15:21:55,0.2204,12.630,78.100,8.9
07/05/16,16:21:56,0.2204,10.687,81.000,7.6
07/05/16,17:21:57,0.2204,9.583,85.800,7.3
07/05/16,18:21:58,0.2204,7.845,88.000,6.0
07/05/16,19:21:59,0.2196,6.204,87.900,4.4
07/05/16,20:22:00,0.2189,4.714,85.200,2.4
07/05/16,21:22:01,0.2189,5.437,89.100,3.8
07/05/16,22:22:02,0.2189,6.051,93.500,5.1
07/05/16,23:22:03,0.2182,6.281,92.600,5.2
08/05/16,00:22:04,0.2182,6.661,90.600,5.2
08/05/16,01:22:05,0.2182,6.484,90.300,5.0
08/05/16,02:22:06,0.2182,6.585,90.200,5.1
08/05/16,03:22:07,0.2182,6.788,90.100,5.3
08/05/16,04:22:08,0.2182,6.585,91.700,5.3
08/05/16,05:22:09,0.2175,6.382,94.500,5.6
08/05/16,06:22:10,0.2175,6.458,96.400,5.9
08/05/16,07:22:11,0.2167,6.737,97.400,6.4
08/05/16,08:22:12,0.2167,7.544,98.200,7.3
08/05/16,09:22:13,0.2320,8.245,98.800,8.1
08/05/16,10:22:14,0.2581,8.543,99.000,8.4
08/05/16,11:22:15,0.2727,8.618,99.200,8.5
08/05/16,12:22:16,0.2770,8.419,99.300,8.3
08/05/16,13:22:17,0.2792,8.394,99.400,8.3
08/05/16,14:22:18,0.2777,8.170,99.500,8.1
08/05/16,15:22:19,0.2748,8.145,99.700,8.1
08/05/16,16:22:20,0.2777,8.170,99.700,8.1
08/05/16,17:22:21,0.2792,8.195,99.900,8.2
08/05/16,18:22:22,0.2792,8.195,99.900,8.2
08/05/16,19:22:23,0.2763,8.295,100.000,8.3
08/05/16,20:22:24,0.2712,8.369,100.000,8.4
08/05/16,21:22:25,0.2661,8.519,100.000,8.5
08/05/16,22:22:26,0.2639,8.593,100.000,8.6
08/05/16,23:22:27,0.2683,8.693,100.000,8.7
09/05/16,00:22:28,0.2676,8.792,100.000,8.8
09/05/16,01:22:29,0.2668,8.891,100.000,8.9
09/05/16,02:22:30,0.2647,9.015,100.000,9.0
09/05/16,03:22:31,0.2632,9.064,100.000,9.1
09/05/16,04:22:32,0.2625,9.188,100.000,9.2
09/05/16,05:22:33,0.2589,9.583,100.000,9.6
09/05/16,06:22:34,0.2552,9.435,100.000,9.4
09/05/16,07:22:35,0.2567,9.460,100.000,9.5
