"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832570, SEN S/N: 9818211, LBL: Ambient)","RH, % (LGR S/N: 9832570, SEN S/N: 9818211)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9827491, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9833764, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832570, SEN S/N: 9818211)"
06/05/16,16:21:32,8.120,100.000,0.2719,0.2269,8.1
06/05/16,17:21:33,7.745,100.000,0.2727,0.2291,7.8
06/05/16,18:21:34,7.419,100.000,0.2727,0.2284,7.4
06/05/16,19:21:35,6.990,100.000,0.2727,0.2284,7.0
06/05/16,20:21:36,6.535,100.000,0.2727,0.2284,6.5
06/05/16,21:21:37,4.688,100.000,0.2719,0.2284,4.7
06/05/16,22:21:38,3.985,100.000,0.2719,0.2284,4.0
06/05/16,23:21:39,4.999,100.000,0.2719,0.2284,5.0
07/05/16,00:21:40,5.076,100.000,0.2719,0.2284,5.1
07/05/16,01:21:41,5.385,100.000,0.2719,0.2284,5.4
07/05/16,02:21:42,5.282,100.000,0.2719,0.2276,5.3
07/05/16,03:21:43,5.385,100.000,0.2719,0.2276,5.4
07/05/16,04:21:44,4.792,100.000,0.2712,0.2276,4.8
07/05/16,05:21:45,3.906,100.000,0.2712,0.2276,3.9
07/05/16,06:21:46,2.557,100.000,0.2712,0.2269,2.6
07/05/16,07:21:47,2.262,100.000,0.2712,0.2269,2.3
07/05/16,08:21:48,2.983,100.000,0.2705,0.2262,3.0
07/05/16,09:21:49,4.636,100.000,0.2705,0.2269,4.6
07/05/16,10:21:50,6.281,100.000,0.2705,0.2269,6.3
07/05/16,11:21:51,7.318,100.000,0.2705,0.2262,7.3
07/05/16,12:21:52,8.020,100.000,0.2705,0.2262,8.0
07/05/16,13:21:53,9.089,100.000,0.2705,0.2254,9.1
07/05/16,14:21:54,9.485,100.000,0.2705,0.2247,9.5
07/05/16,15:21:55,9.682,100.000,0.2698,0.2247,9.7
07/05/16,16:21:56,9.410,100.000,0.2698,0.2247,9.4
07/05/16,17:21:57,9.114,100.000,0.2698,0.2240,9.1
07/05/16,18:21:58,7.695,100.000,0.2698,0.2240,7.7
07/05/16,19:21:59,5.231,100.000,0.2690,0.2240,5.2
07/05/16,20:22:00,3.617,100.000,0.2690,0.2240,3.6
07/05/16,21:22:01,4.194,100.000,0.2690,0.2233,4.2
07/05/16,22:22:02,5.308,100.000,0.2690,0.2233,5.3
07/05/16,23:22:03,5.872,100.000,0.2690,0.2233,5.9
08/05/16,00:22:04,6.204,100.000,0.2690,0.2233,6.2
08/05/16,01:22:05,6.204,100.000,0.2683,0.2233,6.2
08/05/16,02:22:06,6.255,100.000,0.2690,0.2233,6.3
08/05/16,03:22:07,6.408,100.000,0.2683,0.2233,6.4
08/05/16,04:22:08,6.458,100.000,0.2683,0.2233,6.5
08/05/16,05:22:09,6.408,100.000,0.2683,0.2233,6.4
08/05/16,06:22:10,6.509,100.000,0.2683,0.2225,6.5
08/05/16,07:22:11,6.661,100.000,0.2683,0.2233,6.7
08/05/16,08:22:12,7.066,100.000,0.2683,0.2233,7.1
08/05/16,09:22:13,7.670,100.000,0.2683,0.2443,7.7
08/05/16,10:22:14,8.120,100.000,0.2756,0.2596,8.1
08/05/16,11:22:15,8.270,100.000,0.2850,0.2639,8.3
08/05/16,12:22:16,8.170,100.000,0.2952,0.2683,8.2
08/05/16,13:22:17,8.170,100.000,0.3162,0.2705,8.2
08/05/16,14:22:18,8.020,100.000,0.3170,0.2676,8.0
08/05/16,15:22:19,7.970,100.000,0.3177,0.2668,8.0
08/05/16,16:22:20,7.945,100.000,0.3177,0.2676,8.0
08/05/16,17:22:21,7.945,100.000,0.3228,0.2705,8.0
08/05/16,18:22:22,7.920,100.000,0.3257,0.2719,7.9
08/05/16,19:22:23,7.945,100.000,0.3257,0.2719,8.0
08/05/16,20:22:24,8.070,100.000,0.3235,0.2698,8.1
08/05/16,21:22:25,8.220,100.000,0.3191,0.2668,8.2
08/05/16,22:22:26,8.295,100.000,0.3155,0.2639,8.3
08/05/16,23:22:27,8.344,100.000,0.3126,0.2654,8.4
09/05/16,00:22:28,8.394,100.000,0.3126,0.2654,8.4
09/05/16,01:22:29,8.469,100.000,0.3119,0.2654,8.5
09/05/16,02:22:30,8.568,100.000,0.3104,0.2647,8.6
09/05/16,03:22:31,8.618,100.000,0.3097,0.2654,8.6
09/05/16,04:22:32,8.668,100.000,0.3090,0.2661,8.7
09/05/16,05:22:33,8.916,100.000,0.3082,0.2647,8.9
09/05/16,06:22:34,8.916,100.000,0.3068,0.2625,8.9
09/05/16,07:22:35,8.891,100.000,0.3053,0.2625,8.9
09/05/16,08:22:36,9.040,100.000,0.3046,0.2639,9.0
09/05/16,09:22:37,9.188,100.000,0.3039,0.2632,9.2
09/05/16,10:22:38,9.312,100.000,0.3032,0.2625,9.3
09/05/16,11:22:39,9.534,100.000,0.3024,0.2618,9.5
09/05/16,12:22:40,9.583,100.000,0.3017,0.2654,9.6
09/05/16,13:22:41,9.485,100.000,0.3068,0.2741,9.5
09/05/16,14:22:42,9.460,100.000,0.3170,0.2799,9.5
09/05/16,15:22:43,7.970,100.000,0.3576,0.2894,8.0
09/05/16,16:22:44,5.616,100.000,0.3475,0.2799,5.6
09/05/16,17:22:45,5.488,100.000,0.3308,0.2712,5.5
09/05/16,18:22:46,5.050,100.000,0.3220,0.2676,5.1
09/05/16,19:22:47,5.565,100.000,0.3162,0.2654,5.6
09/05/16,20:22:48,5.949,100.000,0.3126,0.2647,6.0
09/05/16,21:22:49,5.898,100.000,0.3126,0.2698,5.9
09/05/16,22:22:50,5.821,100.000,0.3170,0.2741,5.8
