"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832567, SEN S/N: 9818210, LBL: Ambient)","RH, % (LGR S/N: 9832567, SEN S/N: 9818210)","Temp, °C (LGR S/N: 9832567, SEN S/N: 9824742, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832567, SEN S/N: 9833751, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832567, SEN S/N: 9833767, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832567, SEN S/N: 9818210)"
06/05/16,14:21:32,10.271,85.100,9.682,0.1695,0.2356,7.9
06/05/16,15:21:33,9.534,85.800,9.485,0.1673,0.2363,7.3
06/05/16,16:21:34,9.064,88.000,9.114,0.1652,0.2356,7.2
06/05/16,17:21:35,8.120,89.600,8.270,0.1637,0.2356,6.5
06/05/16,18:21:36,7.217,91.000,7.419,0.1637,0.2356,5.9
06/05/16,19:21:37,6.737,91.600,6.839,0.1637,0.2349,5.5
06/05/16,20:21:38,4.766,92.000,6.128,0.1637,0.2349,3.6
06/05/16,21:21:39,4.480,92.600,4.766,0.1637,0.2342,3.4
06/05/16,22:21:40,4.115,93.400,4.844,0.1644,0.2342,3.1
06/05/16,23:21:41,4.584,93.800,4.947,0.1652,0.2342,3.7
07/05/16,00:21:42,4.558,93.800,4.714,0.1659,0.2342,3.6
07/05/16,01:21:43,4.792,94.100,4.947,0.1666,0.2334,3.9
07/05/16,02:21:44,4.454,93.900,4.714,0.1666,0.2334,3.6
07/05/16,03:21:45,4.376,94.200,4.662,0.1673,0.2327,3.5
07/05/16,04:21:46,3.274,93.900,4.089,0.1681,0.2327,2.4
07/05/16,05:21:47,2.047,93.900,3.617,0.1681,0.2327,1.2
07/05/16,06:21:48,0.907,93.300,2.690,0.1673,0.2320,-0.1
07/05/16,07:21:49,1.099,93.800,2.503,0.1681,0.2327,0.2
07/05/16,08:21:50,4.115,94.900,3.248,0.1702,0.2327,3.4
07/05/16,09:21:51,9.558,94.000,4.714,0.1710,0.2320,8.7
07/05/16,10:21:52,13.473,87.000,7.419,0.1732,0.2327,11.4
07/05/16,11:21:53,15.605,79.900,9.114,0.1732,0.2327,12.2
07/05/16,12:21:54,16.630,71.400,10.198,0.1710,0.2342,11.5
07/05/16,13:21:55,18.081,64.200,11.200,0.1666,0.2342,11.2
07/05/16,14:21:56,16.987,64.100,12.340,0.1594,0.2356,10.2
07/05/16,15:21:57,14.337,65.100,12.025,0.1521,0.2356,7.9
07/05/16,16:21:58,11.127,77.400,10.956,0.1470,0.2349,7.3
07/05/16,17:21:59,9.312,84.600,10.026,0.1441,0.2342,6.9
07/05/16,18:22:00,6.102,90.400,7.845,0.1434,0.2334,4.7
07/05/16,19:22:01,3.932,91.400,5.745,0.1434,0.2327,2.7
07/05/16,20:22:02,1.940,91.600,4.454,0.1434,0.2327,0.7
07/05/16,21:22:03,4.844,91.900,4.662,0.1441,0.2313,3.6
07/05/16,22:22:04,5.514,91.300,5.360,0.1456,0.2313,4.2
07/05/16,23:22:05,5.872,91.000,5.642,0.1456,0.2305,4.5
08/05/16,00:22:06,6.255,90.200,5.898,0.1456,0.2313,4.8
08/05/16,01:22:07,5.591,90.500,5.770,0.1456,0.2305,4.2
08/05/16,02:22:08,6.331,90.100,5.821,0.1456,0.2305,4.8
08/05/16,03:22:09,6.813,89.600,6.128,0.1463,0.2305,5.2
08/05/16,04:22:10,6.331,90.600,6.281,0.1463,0.2298,4.9
08/05/16,05:22:11,6.077,91.600,6.153,0.1506,0.2305,4.8
08/05/16,06:22:12,6.179,92.800,6.306,0.1550,0.2305,5.1
08/05/16,07:22:13,6.737,93.600,6.560,0.1608,0.2305,5.8
08/05/16,08:22:14,7.720,94.100,7.116,0.1884,0.2313,6.8
08/05/16,09:22:15,8.494,94.300,7.945,0.2727,0.2378,7.6
08/05/16,10:22:16,8.717,94.400,8.568,0.2923,0.2872,7.9
08/05/16,11:22:17,8.693,94.500,8.742,0.3024,0.3032,7.9
08/05/16,12:22:18,8.419,94.500,8.693,0.3017,0.3017,7.6
08/05/16,13:22:19,8.344,94.500,8.618,0.2995,0.2988,7.5
08/05/16,14:22:20,8.120,94.500,8.469,0.2959,0.2930,7.3
08/05/16,15:22:21,8.120,94.500,8.394,0.2894,0.2886,7.3
08/05/16,16:22:22,8.170,94.500,8.394,0.2952,0.2901,7.3
08/05/16,17:22:23,8.120,94.600,8.344,0.2966,0.2923,7.3
08/05/16,18:22:24,8.120,94.600,8.319,0.2952,0.2908,7.3
08/05/16,19:22:25,8.295,94.600,8.369,0.2894,0.2872,7.5
08/05/16,20:22:26,8.369,94.700,8.494,0.2814,0.2828,7.6
08/05/16,21:22:27,8.494,94.600,8.618,0.2712,0.2777,7.7
08/05/16,22:22:28,8.593,94.500,8.693,0.2698,0.2748,7.8
08/05/16,23:22:29,8.742,94.500,8.817,0.2763,0.2770,7.9
09/05/16,00:22:30,8.891,94.400,8.941,0.2756,0.2763,8.0
09/05/16,01:22:31,9.015,94.400,9.064,0.2734,0.2756,8.2
09/05/16,02:22:32,9.163,94.400,9.188,0.2683,0.2741,8.3
09/05/16,03:22:33,9.238,94.300,9.287,0.2668,0.2734,8.4
09/05/16,04:22:34,9.386,94.300,9.386,0.2625,0.2719,8.5
09/05/16,05:22:35,9.756,94.200,9.534,0.2538,0.2690,8.9
