"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832558, SEN S/N: 9818208, LBL: Ambient)","RH, % (LGR S/N: 9832558, SEN S/N: 9818208)","Water Content, m³/m³ (LGR S/N: 9832558, SEN S/N: 9827495, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832558, SEN S/N: 9833757, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832558, SEN S/N: 9818208)"
17/11/16,16:39:33,19.032,62.600,0.2400,0.2262,11.7
17/11/16,17:39:34,15.772,67.100,0.2400,0.2247,9.7
17/11/16,18:39:35,13.978,74.000,0.2400,0.2233,9.4
17/11/16,19:39:36,11.613,81.900,0.2392,0.2218,8.6
17/11/16,20:39:37,10.443,88.500,0.2392,0.2211,8.6
17/11/16,21:39:38,10.100,92.100,0.2392,0.2204,8.9
17/11/16,22:39:39,9.657,92.900,0.2392,0.2204,8.6
17/11/16,23:39:40,9.139,94.000,0.2392,0.2196,8.2
18/11/16,00:39:41,8.717,94.800,0.2385,0.2196,7.9
18/11/16,01:39:42,8.693,94.500,0.2385,0.2189,7.9
18/11/16,02:39:43,8.444,93.400,0.2392,0.2189,7.4
18/11/16,03:39:44,8.419,94.100,0.2392,0.2189,7.5
18/11/16,04:39:45,8.469,93.000,0.2392,0.2189,7.4
18/11/16,05:39:46,8.419,91.800,0.2392,0.2182,7.2
18/11/16,06:39:47,8.668,90.000,0.2385,0.2182,7.1
18/11/16,07:39:48,9.040,88.200,0.2385,0.2182,7.2
18/11/16,08:39:49,10.369,85.400,0.2378,0.2182,8.0
18/11/16,09:39:50,11.053,82.000,0.2378,0.2175,8.1
18/11/16,10:39:51,12.316,80.300,0.2378,0.2175,9.0
18/11/16,11:39:52,13.666,78.100,0.2385,0.2175,9.9
18/11/16,12:39:53,14.673,74.100,0.2378,0.2175,10.1
18/11/16,13:39:54,17.558,69.500,0.2378,0.2175,11.9
18/11/16,14:39:55,21.175,66.000,0.2363,0.2175,14.6
18/11/16,15:39:56,21.604,58.700,0.2356,0.2167,13.2
18/11/16,16:39:57,20.079,57.900,0.2349,0.2160,11.6
18/11/16,17:39:58,17.701,59.700,0.2349,0.2146,9.8
18/11/16,18:39:59,15.366,62.000,0.2349,0.2138,8.1
18/11/16,19:40:00,13.185,62.500,0.2342,0.2124,6.2
18/11/16,20:40:01,11.127,72.200,0.2342,0.2116,6.3
18/11/16,21:40:02,10.149,79.700,0.2334,0.2102,6.8
18/11/16,22:40:03,9.460,83.300,0.2342,0.2102,6.8
18/11/16,23:40:04,8.965,85.500,0.2342,0.2095,6.7
19/11/16,00:40:05,8.295,86.500,0.2342,0.2095,6.2
19/11/16,01:40:06,8.941,88.200,0.2342,0.2087,7.1
19/11/16,02:40:07,8.792,87.500,0.2342,0.2087,6.8
19/11/16,03:40:08,8.419,90.800,0.2334,0.2087,7.0
19/11/16,04:40:09,8.145,92.500,0.2342,0.2087,7.0
19/11/16,05:40:10,7.544,90.900,0.2342,0.2080,6.2
19/11/16,06:40:11,7.318,87.900,0.2334,0.2080,5.5
19/11/16,07:40:12,8.120,86.100,0.2334,0.2073,5.9
19/11/16,08:40:13,12.775,79.700,0.2334,0.2073,9.4
19/11/16,09:40:14,15.318,58.200,0.2327,0.2066,7.2
19/11/16,10:40:15,17.938,46.300,0.2320,0.2058,6.3
19/11/16,11:40:16,19.579,48.400,0.2313,0.2051,8.4
19/11/16,12:40:17,19.912,45.900,0.2305,0.2044,7.9
19/11/16,13:40:18,23.280,47.000,0.2298,0.2037,11.4
19/11/16,14:40:19,23.280,52.200,0.2284,0.2029,13.0
19/11/16,15:40:20,23.160,51.500,0.2269,0.2008,12.6
19/11/16,16:40:21,21.103,54.200,0.2269,0.1993,11.5
19/11/16,17:40:22,20.650,51.900,0.2254,0.1978,10.4
19/11/16,18:40:23,18.390,51.100,0.2254,0.1964,8.1
19/11/16,19:40:24,14.697,55.300,0.2254,0.1949,5.8
19/11/16,20:40:25,10.271,60.400,0.2254,0.1928,3.0
19/11/16,21:40:26,7.895,63.800,0.2254,0.1920,1.5
19/11/16,22:40:27,6.661,67.400,0.2254,0.1913,1.1
19/11/16,23:40:28,6.128,71.400,0.2247,0.1906,1.3
20/11/16,00:40:29,5.693,74.000,0.2240,0.1906,1.4
20/11/16,01:40:30,5.411,76.200,0.2247,0.1899,1.6
20/11/16,02:40:31,5.411,79.300,0.2240,0.1899,2.1
20/11/16,03:40:32,5.360,82.500,0.2240,0.1891,2.6
20/11/16,04:40:33,5.385,84.700,0.2240,0.1891,3.0
20/11/16,05:40:34,5.360,86.800,0.2240,0.1891,3.3
20/11/16,06:40:35,5.488,87.200,0.2240,0.1884,3.5
20/11/16,07:40:36,8.742,99.300,0.2233,0.1891,8.6
20/11/16,08:40:37,12.775,93.700,0.2233,0.1891,11.8
20/11/16,09:40:38,16.987,70.300,0.2233,0.1884,11.6
20/11/16,10:40:39,20.698,61.000,0.2225,0.1884,12.9
20/11/16,11:40:40,22.011,54.800,0.2218,0.1877,12.5
20/11/16,12:40:41,23.521,53.300,0.2211,0.1870,13.5
20/11/16,13:40:42,23.978,51.200,0.2204,0.1855,13.3
20/11/16,14:40:43,22.250,48.900,0.2196,0.1840,11.0
20/11/16,15:40:44,22.657,50.800,0.2182,0.1819,12.0
20/11/16,16:40:45,23.136,56.800,0.2175,0.1804,14.1
20/11/16,17:40:46,20.889,50.400,0.2167,0.1790,10.2
20/11/16,18:40:47,17.153,57.900,0.2167,0.1775,8.8
20/11/16,19:40:48,15.079,69.100,0.2167,0.1761,9.5
20/11/16,20:40:49,13.377,76.000,0.2167,0.1746,9.2
20/11/16,21:40:50,12.243,81.100,0.2160,0.1739,9.1
20/11/16,22:40:51,10.761,81.300,0.2167,0.1732,7.7
20/11/16,23:40:52,10.810,85.200,0.2160,0.1732,8.4
21/11/16,00:40:53,10.638,86.900,0.2160,0.1724,8.6
21/11/16,01:40:54,10.590,88.800,0.2167,0.1724,8.8
21/11/16,02:40:55,10.541,91.100,0.2167,0.1724,9.2
21/11/16,03:40:56,9.854,88.500,0.2167,0.1724,8.1
21/11/16,04:40:57,9.435,91.000,0.2167,0.1724,8.0
21/11/16,05:40:58,9.312,92.900,0.2167,0.1717,8.2
21/11/16,06:40:59,9.829,92.800,0.2160,0.1717,8.7
21/11/16,07:41:00,11.321,89.100,0.2160,0.1710,9.6
21/11/16,08:41:01,13.834,81.100,0.2160,0.1710,10.7
21/11/16,09:41:02,13.449,77.800,0.2160,0.1710,9.7
21/11/16,10:41:03,16.058,68.600,0.2153,0.1702,10.3
21/11/16,11:41:04,15.533,72.800,0.2160,0.1702,10.7
21/11/16,12:41:05,21.748,67.400,0.2146,0.1695,15.5
21/11/16,13:41:06,24.122,56.400,0.2124,0.1688,14.9
21/11/16,14:41:07,24.267,57.900,0.2116,0.1681,15.5
21/11/16,15:41:08,22.729,56.700,0.2102,0.1666,13.7
21/11/16,16:41:09,21.915,59.000,0.2095,0.1644,13.6
21/11/16,17:41:10,20.150,58.600,0.2087,0.1623,11.8
21/11/16,18:41:11,17.058,62.700,0.2087,0.1601,9.9
21/11/16,19:41:12,14.553,75.200,0.2080,0.1594,10.2
21/11/16,20:41:13,13.016,80.600,0.2080,0.1586,9.8
21/11/16,21:41:14,12.751,79.400,0.2080,0.1579,9.3
21/11/16,22:41:15,12.920,72.900,0.2080,0.1572,8.2
21/11/16,23:41:16,12.050,73.600,0.2080,0.1572,7.5
22/11/16,00:41:17,11.929,75.600,0.2080,0.1572,7.8
22/11/16,01:41:18,11.783,73.300,0.2080,0.1564,7.2
22/11/16,02:41:19,11.175,71.300,0.2080,0.1564,6.2
22/11/16,03:41:20,10.858,74.900,0.2080,0.1557,6.6
22/11/16,04:41:21,10.149,77.200,0.2080,0.1557,6.3
22/11/16,05:41:22,10.222,80.100,0.2080,0.1557,7.0
22/11/16,06:41:23,10.369,85.000,0.2087,0.1550,8.0
22/11/16,07:41:24,10.736,88.900,0.2080,0.1550,9.0
22/11/16,08:41:25,11.637,96.800,0.2087,0.1550,11.2
22/11/16,09:41:26,13.570,98.800,0.2080,0.1557,13.4
22/11/16,10:41:27,12.703,99.600,0.2080,0.1557,12.7
22/11/16,11:41:28,11.710,98.400,0.2095,0.1557,11.5
22/11/16,12:41:29,10.907,97.400,0.2095,0.1557,10.5
22/11/16,13:41:30,11.443,97.000,0.2095,0.1557,11.0
22/11/16,14:41:31,11.662,98.300,0.2095,0.1557,11.4
22/11/16,15:41:32,14.314,98.600,0.2087,0.1564,14.1
22/11/16,16:41:33,14.840,88.600,0.2095,0.1564,13.0
22/11/16,17:41:34,13.810,85.000,0.2095,0.1564,11.3
22/11/16,18:41:35,11.759,89.700,0.2095,0.1557,10.1
22/11/16,19:41:36,10.785,96.700,0.2087,0.1550,10.3
