"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832570, SEN S/N: 9818211, LBL: Ambient)","RH, % (LGR S/N: 9832570, SEN S/N: 9818211)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9827491, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9833764, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832570, SEN S/N: 9818211)"
17/11/16,15:39:31,16.606,66.400,0.2879,0.2487,10.3
17/11/16,16:39:32,16.034,71.800,0.2879,0.2509,11.0
17/11/16,17:39:33,14.457,76.400,0.2879,0.2509,10.4
17/11/16,18:39:34,13.377,81.000,0.2872,0.2501,10.2
17/11/16,19:39:35,11.151,83.600,0.2872,0.2501,8.5
17/11/16,20:39:36,10.026,87.600,0.2872,0.2494,8.1
17/11/16,21:39:37,9.780,91.100,0.2872,0.2494,8.4
17/11/16,22:39:38,9.558,92.700,0.2865,0.2494,8.4
17/11/16,23:39:39,9.213,93.400,0.2872,0.2494,8.2
18/11/16,00:39:40,8.941,94.200,0.2872,0.2487,8.1
18/11/16,01:39:41,8.866,95.000,0.2865,0.2487,8.1
18/11/16,02:39:42,8.742,95.300,0.2865,0.2487,8.0
18/11/16,03:39:43,8.668,95.800,0.2865,0.2487,8.0
18/11/16,04:39:44,8.693,96.300,0.2865,0.2487,8.1
18/11/16,05:39:45,8.593,96.300,0.2865,0.2480,8.0
18/11/16,06:39:46,8.841,96.600,0.2865,0.2480,8.3
18/11/16,07:39:47,9.064,96.500,0.2857,0.2480,8.5
18/11/16,08:39:48,10.051,96.600,0.2857,0.2480,9.5
18/11/16,09:39:49,10.320,94.800,0.2857,0.2480,9.5
18/11/16,10:39:50,10.907,94.800,0.2857,0.2472,10.1
18/11/16,11:39:51,11.856,94.300,0.2850,0.2472,11.0
18/11/16,12:39:52,12.413,93.200,0.2857,0.2472,11.4
18/11/16,13:39:53,14.218,91.600,0.2850,0.2472,12.9
18/11/16,14:39:54,16.034,87.300,0.2843,0.2458,13.9
18/11/16,15:39:55,17.225,83.000,0.2836,0.2458,14.3
18/11/16,16:39:56,16.796,79.000,0.2836,0.2451,13.2
18/11/16,17:39:57,15.509,78.100,0.2836,0.2451,11.7
18/11/16,18:39:58,13.954,81.000,0.2836,0.2451,10.8
18/11/16,19:39:59,13.088,84.200,0.2828,0.2451,10.5
18/11/16,20:40:00,11.029,84.300,0.2836,0.2443,8.5
18/11/16,21:40:01,10.369,88.200,0.2836,0.2443,8.5
18/11/16,22:40:02,10.051,90.700,0.2828,0.2436,8.6
18/11/16,23:40:03,9.657,91.800,0.2828,0.2436,8.4
19/11/16,00:40:04,9.188,92.200,0.2828,0.2436,8.0
19/11/16,01:40:05,9.287,94.300,0.2821,0.2436,8.4
19/11/16,02:40:06,9.262,95.600,0.2821,0.2436,8.6
19/11/16,03:40:07,9.114,95.600,0.2821,0.2429,8.5
19/11/16,04:40:08,9.114,96.300,0.2821,0.2429,8.6
19/11/16,05:40:09,8.717,95.600,0.2828,0.2429,8.1
19/11/16,06:40:10,8.469,94.500,0.2821,0.2429,7.6
19/11/16,07:40:11,9.312,94.700,0.2821,0.2429,8.5
19/11/16,08:40:12,10.785,92.800,0.2821,0.2422,9.7
19/11/16,09:40:13,12.703,86.800,0.2821,0.2422,10.6
19/11/16,10:40:14,13.858,76.100,0.2814,0.2422,9.7
19/11/16,11:40:15,14.673,75.100,0.2814,0.2414,10.3
19/11/16,12:40:16,16.201,77.500,0.2806,0.2414,12.3
19/11/16,13:40:17,16.868,74.800,0.2799,0.2400,12.4
19/11/16,14:40:18,18.129,70.000,0.2792,0.2392,12.6
19/11/16,15:40:19,18.438,70.600,0.2792,0.2392,13.0
19/11/16,16:40:20,17.415,72.100,0.2785,0.2385,12.4
19/11/16,17:40:21,17.153,74.800,0.2777,0.2378,12.7
19/11/16,18:40:22,16.487,75.000,0.2777,0.2378,12.1
19/11/16,19:40:23,14.146,74.400,0.2777,0.2378,9.7
19/11/16,20:40:24,9.608,72.200,0.2777,0.2371,4.9
19/11/16,21:40:25,7.167,77.700,0.2770,0.2363,3.5
19/11/16,22:40:26,5.719,80.500,0.2770,0.2363,2.6
19/11/16,23:40:27,5.514,84.400,0.2770,0.2363,3.1
20/11/16,00:40:28,5.308,86.600,0.2770,0.2363,3.3
20/11/16,01:40:29,5.616,88.400,0.2770,0.2356,3.9
20/11/16,02:40:30,5.949,90.200,0.2770,0.2356,4.5
20/11/16,03:40:31,6.153,91.100,0.2770,0.2356,4.8
20/11/16,04:40:32,6.408,92.200,0.2770,0.2356,5.2
20/11/16,05:40:33,6.661,92.800,0.2770,0.2356,5.6
20/11/16,06:40:34,6.712,93.100,0.2770,0.2356,5.7
20/11/16,07:40:35,9.608,99.100,0.2770,0.2356,9.5
20/11/16,08:40:36,11.127,96.600,0.2770,0.2356,10.6
20/11/16,09:40:37,14.170,89.700,0.2770,0.2363,12.5
20/11/16,10:40:38,15.676,78.700,0.2770,0.2356,12.0
20/11/16,11:40:39,16.439,75.600,0.2763,0.2349,12.1
20/11/16,12:40:40,17.629,74.500,0.2756,0.2349,13.1
20/11/16,13:40:41,18.271,69.000,0.2756,0.2342,12.5
20/11/16,14:40:42,18.604,67.200,0.2748,0.2342,12.4
20/11/16,15:40:43,19.270,68.700,0.2741,0.2334,13.4
20/11/16,16:40:44,18.985,71.500,0.2741,0.2327,13.7
20/11/16,17:40:45,18.509,71.600,0.2734,0.2327,13.3
20/11/16,18:40:46,16.034,72.400,0.2734,0.2320,11.1
20/11/16,19:40:47,14.122,77.900,0.2734,0.2327,10.3
20/11/16,20:40:48,12.896,81.400,0.2734,0.2320,9.8
20/11/16,21:40:49,11.953,83.800,0.2734,0.2313,9.3
20/11/16,22:40:50,11.005,85.600,0.2734,0.2313,8.7
20/11/16,23:40:51,10.687,87.800,0.2734,0.2313,8.8
21/11/16,00:40:52,10.834,90.300,0.2734,0.2313,9.3
21/11/16,01:40:53,10.785,91.100,0.2734,0.2313,9.4
21/11/16,02:40:54,10.761,92.700,0.2734,0.2313,9.6
21/11/16,03:40:55,10.394,92.700,0.2734,0.2313,9.3
21/11/16,04:40:56,10.075,93.000,0.2734,0.2313,9.0
21/11/16,05:40:57,9.977,94.200,0.2734,0.2313,9.1
21/11/16,06:40:58,10.271,95.200,0.2734,0.2313,9.5
21/11/16,07:40:59,11.880,96.300,0.2727,0.2305,11.3
21/11/16,08:41:00,13.209,92.800,0.2734,0.2305,12.1
21/11/16,09:41:01,13.112,89.000,0.2727,0.2305,11.4
21/11/16,10:41:02,15.103,85.200,0.2727,0.2305,12.7
21/11/16,11:41:03,14.050,83.600,0.2727,0.2305,11.3
21/11/16,12:41:04,16.677,84.100,0.2727,0.2298,14.0
21/11/16,13:41:05,18.771,76.400,0.2719,0.2298,14.6
21/11/16,14:41:06,19.389,72.700,0.2712,0.2291,14.4
21/11/16,15:41:07,19.294,72.200,0.2705,0.2291,14.2
21/11/16,16:41:08,19.199,73.200,0.2705,0.2284,14.3
21/11/16,17:41:09,18.509,72.600,0.2698,0.2276,13.5
21/11/16,18:41:10,16.677,73.600,0.2698,0.2269,12.0
21/11/16,19:41:11,14.314,79.100,0.2698,0.2269,10.8
21/11/16,20:41:12,12.968,83.200,0.2698,0.2269,10.2
21/11/16,21:41:13,12.799,86.300,0.2698,0.2262,10.6
21/11/16,22:41:14,12.703,86.300,0.2698,0.2262,10.5
21/11/16,23:41:15,12.316,87.500,0.2698,0.2262,10.3
22/11/16,00:41:16,12.025,88.700,0.2698,0.2262,10.2
22/11/16,01:41:17,11.880,88.700,0.2690,0.2262,10.1
22/11/16,02:41:18,11.540,88.400,0.2698,0.2262,9.7
22/11/16,03:41:19,11.370,89.900,0.2698,0.2262,9.8
22/11/16,04:41:20,10.932,89.800,0.2690,0.2262,9.3
22/11/16,05:41:21,10.810,91.100,0.2690,0.2254,9.4
22/11/16,06:41:22,10.834,92.400,0.2698,0.2254,9.7
22/11/16,07:41:23,10.932,93.500,0.2698,0.2254,9.9
22/11/16,08:41:24,11.224,95.800,0.2690,0.2254,10.6
22/11/16,09:41:25,11.977,97.000,0.2690,0.2254,11.5
22/11/16,10:41:26,12.968,97.100,0.2690,0.2254,12.5
22/11/16,11:41:27,12.122,94.600,0.2690,0.2254,11.3
22/11/16,12:41:28,11.127,94.100,0.2690,0.2254,10.2
22/11/16,13:41:29,11.346,94.900,0.2690,0.2254,10.6
