"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)"
17/11/16,15:39:33,20.055,55.200,41.678,0.2596,10.8
17/11/16,16:39:34,19.341,55.800,39.772,0.2589,10.3
17/11/16,17:39:35,14.385,65.500,28.147,0.2589,8.0
17/11/16,18:39:36,13.714,72.200,19.294,0.2581,8.8
17/11/16,19:39:37,11.297,83.600,12.968,0.2574,8.6
17/11/16,20:39:38,10.663,88.200,10.956,0.2567,8.8
17/11/16,21:39:39,10.834,88.500,10.418,0.2560,9.0
17/11/16,22:39:40,10.590,86.900,10.222,0.2560,8.5
17/11/16,23:39:41,10.198,87.500,9.657,0.2552,8.2
18/11/16,00:39:42,9.952,87.700,8.990,0.2552,8.0
18/11/16,01:39:43,10.492,83.400,8.941,0.2552,7.8
18/11/16,02:39:44,9.879,81.900,8.742,0.2552,6.9
18/11/16,03:39:45,9.977,83.800,8.717,0.2552,7.4
18/11/16,04:39:46,9.952,81.800,8.841,0.2545,7.0
18/11/16,05:39:47,9.928,80.400,8.866,0.2545,6.7
18/11/16,06:39:48,10.858,76.800,9.262,0.2545,7.0
18/11/16,07:39:49,11.005,73.600,10.149,0.2538,6.5
18/11/16,08:39:50,12.074,70.400,12.050,0.2538,6.9
18/11/16,09:39:51,12.485,68.900,13.353,0.2538,6.9
18/11/16,10:39:52,13.473,68.700,14.936,0.2530,7.8
18/11/16,11:39:53,14.601,68.300,18.319,0.2530,8.8
18/11/16,12:39:54,15.318,65.800,20.079,0.2523,9.0
18/11/16,13:39:55,16.987,61.400,27.875,0.2523,9.5
18/11/16,14:39:56,21.079,58.200,37.700,0.2530,12.6
18/11/16,15:39:57,22.513,52.500,43.435,0.2523,12.3
18/11/16,16:39:58,20.722,51.900,38.728,0.2523,10.5
18/11/16,17:39:59,18.937,52.700,29.115,0.2523,9.1
18/11/16,18:40:00,15.748,56.800,20.436,0.2516,7.2
18/11/16,19:40:01,13.257,60.000,15.270,0.2516,5.7
18/11/16,20:40:02,12.122,66.900,11.589,0.2494,6.2
18/11/16,21:40:03,11.516,71.200,10.247,0.2501,6.5
18/11/16,22:40:04,11.005,73.300,9.509,0.2509,6.4
18/11/16,23:40:05,10.222,74.400,8.767,0.2501,5.9
19/11/16,00:40:06,10.149,74.600,8.344,0.2501,5.9
19/11/16,01:40:07,10.492,77.900,8.344,0.2501,6.8
19/11/16,02:40:08,10.247,79.300,8.369,0.2501,6.8
19/11/16,03:40:09,10.492,80.900,8.369,0.2494,7.4
19/11/16,04:40:10,9.879,81.200,8.295,0.2494,6.8
19/11/16,05:40:11,9.336,77.500,7.519,0.2494,5.6
19/11/16,06:40:12,9.040,69.800,6.965,0.2494,3.8
19/11/16,07:40:13,11.832,57.800,8.145,0.2487,3.8
19/11/16,08:40:14,14.457,50.300,10.173,0.2480,4.3
19/11/16,09:40:15,17.201,48.900,13.305,0.2480,6.4
19/11/16,10:40:16,20.246,42.700,21.748,0.2480,7.2
19/11/16,11:40:17,23.136,42.700,33.626,0.2480,9.8
19/11/16,12:40:18,25.210,43.500,43.374,0.2480,11.9
19/11/16,13:40:19,24.267,38.800,49.547,0.2480,9.4
19/11/16,14:40:20,23.737,40.100,51.419,0.2480,9.4
19/11/16,15:40:21,23.088,43.200,49.922,0.2480,9.9
19/11/16,16:40:22,22.489,46.500,40.114,0.2472,10.5
19/11/16,17:40:23,22.417,45.000,33.443,0.2472,9.9
19/11/16,18:40:24,19.698,43.700,24.581,0.2465,7.0
