"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832568, SEN S/N: 9818223, LBL: Ambient)","RH, % (LGR S/N: 9832568, SEN S/N: 9818223)","Temp, °C (LGR S/N: 9832568, SEN S/N: 9824747, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832568, SEN S/N: 9833750, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832568, SEN S/N: 9833763, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832568, SEN S/N: 9818223)"
17/11/16,15:39:33,20.746,54.100,13.473,0.2146,0.2371,11.1
17/11/16,16:39:34,19.674,56.600,13.425,0.2138,0.2371,10.8
17/11/16,17:39:35,14.385,66.800,13.305,0.2131,0.2371,8.3
17/11/16,18:39:36,13.233,74.700,12.992,0.2124,0.2363,8.9
17/11/16,19:39:37,11.467,83.000,12.558,0.2116,0.2363,8.7
17/11/16,20:39:38,10.810,86.600,12.001,0.2109,0.2363,8.7
17/11/16,21:39:39,11.005,86.700,11.565,0.2102,0.2356,8.9
17/11/16,22:39:40,10.712,85.200,11.273,0.2102,0.2356,8.3
17/11/16,23:39:41,10.345,85.700,11.005,0.2102,0.2349,8.1
18/11/16,00:39:42,10.051,85.800,10.761,0.2102,0.2349,7.8
18/11/16,01:39:43,10.590,81.600,10.541,0.2095,0.2349,7.6
18/11/16,02:39:44,9.977,80.500,10.345,0.2095,0.2349,6.8
18/11/16,03:39:45,10.051,82.100,10.173,0.2095,0.2349,7.1
18/11/16,04:39:46,10.051,80.200,10.026,0.2095,0.2349,6.8
18/11/16,05:39:47,10.001,78.900,9.903,0.2095,0.2342,6.5
18/11/16,06:39:48,10.980,75.400,9.780,0.2087,0.2342,6.8
18/11/16,07:39:49,11.029,72.700,9.731,0.2087,0.2342,6.3
18/11/16,08:39:50,12.147,69.300,9.780,0.2080,0.2334,6.7
18/11/16,09:39:51,12.606,68.200,9.928,0.2080,0.2334,6.9
18/11/16,10:39:52,13.714,68.100,10.075,0.2073,0.2334,8.0
18/11/16,11:39:53,14.768,68.000,10.394,0.2073,0.2334,8.9
18/11/16,12:39:54,15.533,65.700,10.761,0.2073,0.2334,9.2
18/11/16,13:39:55,17.510,61.500,11.370,0.2066,0.2334,10.0
18/11/16,14:39:56,22.609,56.800,12.195,0.2058,0.2334,13.6
18/11/16,15:39:57,22.824,52.000,13.016,0.2051,0.2334,12.5
18/11/16,16:39:58,20.746,52.300,13.449,0.2051,0.2334,10.6
18/11/16,17:39:59,18.699,53.400,13.473,0.2044,0.2334,9.1
18/11/16,18:40:00,15.819,57.600,13.257,0.2037,0.2334,7.5
18/11/16,19:40:01,13.401,60.300,13.016,0.2037,0.2334,5.9
18/11/16,20:40:02,12.195,65.800,12.582,0.2029,0.2334,6.0
18/11/16,21:40:03,11.637,69.800,12.074,0.2029,0.2327,6.3
18/11/16,22:40:04,11.175,71.700,11.686,0.2022,0.2327,6.3
18/11/16,23:40:05,10.320,72.800,11.370,0.2022,0.2327,5.7
19/11/16,00:40:06,10.075,73.100,11.078,0.2022,0.2320,5.5
19/11/16,01:40:07,10.516,76.500,10.810,0.2022,0.2320,6.6
19/11/16,02:40:08,10.173,78.000,10.663,0.2022,0.2320,6.5
19/11/16,03:40:09,10.516,79.800,10.516,0.2022,0.2320,7.2
19/11/16,04:40:10,9.952,79.900,10.369,0.2015,0.2320,6.7
19/11/16,05:40:11,9.460,75.900,10.198,0.2015,0.2320,5.4
19/11/16,06:40:12,9.509,68.200,9.952,0.2015,0.2313,3.9
19/11/16,07:40:13,13.497,55.200,9.829,0.2008,0.2313,4.7
19/11/16,08:40:14,16.558,48.100,10.149,0.2008,0.2305,5.6
19/11/16,09:40:15,18.747,47.800,10.932,0.2000,0.2305,7.5
19/11/16,10:40:16,20.960,42.400,11.953,0.2000,0.2305,7.7
19/11/16,11:40:17,22.705,44.200,13.209,0.2000,0.2305,9.9
19/11/16,12:40:18,24.339,43.500,14.625,0.1993,0.2313,11.1
19/11/16,13:40:19,25.089,39.400,15.509,0.1986,0.2313,10.3
19/11/16,14:40:20,25.113,39.800,15.819,0.1978,0.2313,10.5
19/11/16,15:40:21,24.074,42.600,15.867,0.1971,0.2313,10.6
19/11/16,16:40:22,23.232,46.500,15.748,0.1957,0.2313,11.2
19/11/16,17:40:23,21.676,46.700,15.557,0.1949,0.2313,9.8
19/11/16,18:40:24,17.486,49.400,15.414,0.1942,0.2313,6.8
19/11/16,19:40:25,14.290,52.500,15.055,0.1935,0.2313,4.7
19/11/16,20:40:26,9.015,64.700,14.337,0.1928,0.2305,2.7
19/11/16,21:40:27,6.230,75.800,13.353,0.1920,0.2305,2.3
19/11/16,22:40:28,4.947,79.900,12.437,0.1920,0.2298,1.8
19/11/16,23:40:29,4.350,82.600,11.686,0.1913,0.2298,1.7
20/11/16,00:40:30,4.376,85.400,11.053,0.1913,0.2298,2.1
20/11/16,01:40:31,4.141,87.400,10.590,0.1913,0.2291,2.2
20/11/16,02:40:32,5.488,90.300,10.271,0.1913,0.2291,4.0
20/11/16,03:40:33,5.488,90.500,10.026,0.1906,0.2291,4.1
20/11/16,04:40:34,6.204,89.500,9.805,0.1906,0.2291,4.6
20/11/16,05:40:35,6.255,88.800,9.657,0.1913,0.2284,4.5
20/11/16,06:40:36,8.020,90.500,9.485,0.1913,0.2284,6.6
20/11/16,07:40:37,13.858,75.000,9.657,0.1913,0.2276,9.5
20/11/16,08:40:38,16.987,62.400,10.345,0.1913,0.2276,9.8
20/11/16,09:40:39,19.532,54.300,11.200,0.1913,0.2276,10.1
20/11/16,10:40:40,21.652,51.200,12.195,0.1906,0.2276,11.2
20/11/16,11:40:41,23.400,49.200,13.353,0.1913,0.2276,12.2
20/11/16,12:40:42,23.280,45.100,14.697,0.1906,0.2276,10.7
20/11/16,13:40:43,24.098,41.600,15.390,0.1891,0.2284,10.3
20/11/16,14:40:44,21.581,41.900,15.772,0.1884,0.2284,8.1
20/11/16,15:40:45,22.920,43.200,15.819,0.1877,0.2284,9.8
20/11/16,16:40:46,24.629,46.000,15.772,0.1862,0.2276,12.3
20/11/16,17:40:47,21.318,43.500,15.867,0.1855,0.2276,8.4
20/11/16,18:40:48,16.725,52.600,15.605,0.1848,0.2276,7.0
20/11/16,19:40:49,15.247,64.200,15.031,0.1848,0.2276,8.5
20/11/16,20:40:50,13.449,72.700,14.505,0.1840,0.2276,8.7
20/11/16,21:40:51,12.823,77.800,14.002,0.1833,0.2276,9.1
20/11/16,22:40:52,11.224,76.100,13.594,0.1833,0.2276,7.2
20/11/16,23:40:53,11.977,77.700,13.161,0.1833,0.2276,8.2
21/11/16,00:40:54,11.516,77.200,12.823,0.1826,0.2269,7.7
21/11/16,01:40:55,11.419,80.900,12.558,0.1826,0.2269,8.3
21/11/16,02:40:56,11.734,80.400,12.340,0.1826,0.2269,8.5
21/11/16,03:40:57,11.175,78.000,12.147,0.1826,0.2262,7.5
21/11/16,04:40:58,10.565,81.600,11.929,0.1826,0.2262,7.6
21/11/16,05:40:59,11.078,82.000,11.734,0.1826,0.2262,8.1
21/11/16,06:41:00,12.147,78.900,11.565,0.1826,0.2262,8.6
21/11/16,07:41:01,14.840,70.800,11.637,0.1819,0.2262,9.6
21/11/16,08:41:02,15.127,66.900,12.025,0.1819,0.2254,9.0
21/11/16,09:41:03,14.122,70.800,12.292,0.1819,0.2254,8.9
21/11/16,10:41:04,15.390,64.600,12.678,0.1811,0.2254,8.8
21/11/16,11:41:05,15.414,69.500,12.871,0.1811,0.2254,9.9
21/11/16,12:41:06,20.579,62.900,13.016,0.1804,0.2254,13.3
21/11/16,13:41:07,23.256,54.100,14.002,0.1804,0.2247,13.5
21/11/16,14:41:08,24.460,52.000,14.888,0.1797,0.2247,14.0
21/11/16,15:41:09,23.280,52.200,15.270,0.1782,0.2247,13.0
21/11/16,16:41:10,22.824,52.000,15.414,0.1775,0.2247,12.5
21/11/16,17:41:11,21.008,52.500,15.461,0.1768,0.2247,10.9
21/11/16,18:41:12,17.463,57.700,15.318,0.1768,0.2240,9.1
21/11/16,19:41:13,14.314,67.500,14.912,0.1753,0.2240,8.4
21/11/16,20:41:14,13.570,72.000,14.337,0.1753,0.2240,8.6
21/11/16,21:41:15,15.127,61.400,13.930,0.1753,0.2240,7.8
21/11/16,22:41:16,15.103,53.700,13.666,0.1753,0.2240,5.8
21/11/16,23:41:17,14.122,58.500,13.425,0.1746,0.2240,6.1
22/11/16,00:41:18,13.618,61.200,13.185,0.1746,0.2240,6.3
22/11/16,01:41:19,13.786,57.100,12.968,0.1746,0.2233,5.5
22/11/16,02:41:20,13.161,55.500,12.751,0.1746,0.2225,4.5
22/11/16,03:41:21,12.147,61.400,12.534,0.1746,0.2269,5.0
22/11/16,04:41:22,11.832,62.300,12.316,0.1739,0.2291,4.9
22/11/16,05:41:23,11.613,65.700,12.098,0.1739,0.2291,5.4
22/11/16,06:41:24,11.297,71.200,11.929,0.1739,0.2262,6.3
22/11/16,07:41:25,11.200,76.600,11.832,0.1739,0.2233,7.3
22/11/16,08:41:26,11.321,85.900,11.734,0.1739,0.2276,9.1
22/11/16,09:41:27,14.361,87.200,11.759,0.1739,0.2247,12.3
22/11/16,10:41:28,12.678,87.200,12.122,0.1746,0.2262,10.6
22/11/16,11:41:29,11.686,91.000,12.243,0.1746,0.2254,10.3
22/11/16,12:41:30,10.663,91.000,12.098,0.1739,0.2254,9.3
22/11/16,13:41:31,10.418,88.100,11.929,0.1739,0.2254,8.5
22/11/16,14:41:32,10.663,92.600,11.759,0.1739,0.2254,9.5
22/11/16,15:41:33,14.553,85.300,11.783,0.1739,0.2254,12.1
22/11/16,16:41:34,14.170,76.700,12.195,0.1739,0.2254,10.2
22/11/16,17:41:35,12.775,81.000,12.364,0.1739,0.2247,9.6
22/11/16,18:41:36,10.394,90.900,12.243,0.1746,0.2247,9.0
22/11/16,19:41:37,9.756,97.800,11.929,0.1739,0.2247,9.4
22/11/16,20:41:38,9.534,99.500,11.613,0.1768,0.2240,9.5
22/11/16,21:41:39,9.460,100.000,11.346,0.1782,0.2233,9.5
22/11/16,22:41:40,9.608,100.000,11.053,0.1782,0.2240,9.6
22/11/16,23:41:41,9.361,100.000,10.907,0.1790,0.2233,9.4
23/11/16,00:41:42,9.213,100.000,10.785,0.1797,0.2254,9.2
23/11/16,01:41:43,9.238,100.000,10.638,0.1826,0.2247,9.2
23/11/16,02:41:44,9.213,100.000,10.516,0.1848,0.2247,9.2
23/11/16,03:41:45,8.916,100.000,10.443,0.1862,0.2247,8.9
23/11/16,04:41:46,8.792,100.000,10.345,0.1870,0.2247,8.8
23/11/16,05:41:47,8.245,100.000,10.247,0.1899,0.2254,8.3
23/11/16,06:41:48,6.433,100.000,9.977,0.2305,0.2284,6.4
23/11/16,07:41:49,6.408,100.000,9.361,0.2705,0.2676,6.4
23/11/16,08:41:50,6.000,100.000,8.767,0.2756,0.2785,6.0
23/11/16,09:41:51,6.102,100.000,8.319,0.2799,0.2828,6.1
23/11/16,10:41:52,8.941,100.000,8.170,0.2654,0.2741,9.0
23/11/16,11:41:53,7.645,99.500,8.519,0.2603,0.2698,7.6
23/11/16,12:41:54,7.368,98.500,8.817,0.2639,0.2705,7.2
23/11/16,13:41:55,10.467,98.700,9.040,0.2625,0.2705,10.3
23/11/16,14:41:56,9.780,95.900,9.485,0.2581,0.2683,9.2
23/11/16,15:41:57,12.823,94.800,9.879,0.2545,0.2661,12.0
