"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832569, SEN S/N: 9818209, LBL: Ambient)","RH, % (LGR S/N: 9832569, SEN S/N: 9818209)","Temp, °C (LGR S/N: 9832569, SEN S/N: 9824746, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833753, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833755, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832569, SEN S/N: 9818209)"
17/11/16,15:39:32,20.770,52.900,17.701,0.2240,0.2233,10.8
17/11/16,16:39:33,19.936,55.200,17.819,0.2233,0.2211,10.7
17/11/16,17:39:34,14.026,66.500,17.249,0.2218,0.2189,7.9
17/11/16,18:39:35,13.064,74.000,15.819,0.2211,0.2167,8.6
17/11/16,19:39:36,10.834,85.600,14.074,0.2204,0.2153,8.5
17/11/16,20:39:37,10.320,89.900,12.727,0.2204,0.2153,8.7
17/11/16,21:39:38,10.565,89.600,11.953,0.2204,0.2146,8.9
17/11/16,22:39:39,10.345,87.800,11.467,0.2204,0.2138,8.4
17/11/16,23:39:40,9.977,88.600,11.102,0.2204,0.2138,8.2
18/11/16,00:39:41,9.706,88.800,10.712,0.2204,0.2131,8.0
18/11/16,01:39:42,10.492,84.200,10.418,0.2204,0.2131,7.9
18/11/16,02:39:43,9.632,83.000,10.198,0.2204,0.2131,6.9
18/11/16,03:39:44,9.903,84.700,10.001,0.2204,0.2124,7.5
18/11/16,04:39:45,9.879,82.400,9.854,0.2204,0.2124,7.0
18/11/16,05:39:46,9.879,80.900,9.731,0.2196,0.2116,6.8
18/11/16,06:39:47,10.907,77.300,9.608,0.2204,0.2116,7.1
18/11/16,07:39:48,11.175,73.800,9.632,0.2204,0.2116,6.7
18/11/16,08:39:49,12.509,69.500,9.854,0.2196,0.2109,7.1
18/11/16,09:39:50,13.016,68.400,10.173,0.2189,0.2109,7.3
18/11/16,10:39:51,14.314,67.600,10.492,0.2182,0.2109,8.4
18/11/16,11:39:52,15.676,66.500,11.127,0.2182,0.2102,9.5
18/11/16,12:39:53,16.463,64.300,11.783,0.2182,0.2102,9.7
18/11/16,13:39:54,18.628,58.300,13.088,0.2175,0.2102,10.3
18/11/16,14:39:55,23.905,53.700,14.816,0.2160,0.2102,14.0
18/11/16,15:39:56,24.363,48.700,16.820,0.2153,0.2095,12.9
18/11/16,16:39:57,21.676,49.500,17.534,0.2138,0.2073,10.7
18/11/16,17:39:58,19.294,52.100,17.106,0.2146,0.2051,9.2
18/11/16,18:39:59,15.867,57.900,15.939,0.2131,0.2029,7.6
18/11/16,19:40:00,12.678,62.500,14.457,0.2131,0.2022,5.7
18/11/16,20:40:01,11.443,69.700,13.161,0.2131,0.2008,6.1
18/11/16,21:40:02,10.907,74.600,12.292,0.2124,0.2000,6.6
18/11/16,22:40:03,10.345,76.800,11.686,0.2124,0.2000,6.5
18/11/16,23:40:04,9.312,78.100,11.200,0.2124,0.1993,5.7
