"Date","Time, GMT+11:00","Water Content, m^3/m^3 (LGR S/N: 9832567, SEN S/N: 0)","Temp, °C (LGR S/N: 9832567, SEN S/N: 9818210, LBL: Ambient)","RH, % (LGR S/N: 9832567, SEN S/N: 9818210)","Temp, °C (LGR S/N: 9832567, SEN S/N: 9824742, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832567, SEN S/N: 9833751, LBL: 5cmBG)","DewPt, °C (LGR S/N: 9832567, SEN S/N: 9818210)"
17/11/16,15:39:33,0.14759,19.722,55.100,21.246,-0.0077,10.5
17/11/16,16:39:34,0.14702,18.889,57.900,20.341,-0.0121,10.4
17/11/16,17:39:35,0.14587,14.242,68.100,17.201,-0.0135,8.5
17/11/16,18:39:36,0.14473,13.137,75.100,14.768,-0.0128,8.8
17/11/16,19:39:37,0.14359,11.273,83.400,11.977,-0.0113,8.6
17/11/16,20:39:38,0.14302,10.565,86.900,10.932,-0.0099,8.5
17/11/16,21:39:39,0.14244,10.810,87.200,10.785,-0.0092,8.8
17/11/16,22:39:40,0.14244,10.516,86.100,10.663,-0.0084,8.3
17/11/16,23:39:41,0.14187,10.100,86.600,10.247,-0.0077,8.0
18/11/16,00:39:42,0.14187,9.731,86.900,9.829,-0.0070,7.7
18/11/16,01:39:43,0.14130,10.418,83.300,9.829,-0.0070,7.7
18/11/16,02:39:44,0.14130,9.780,81.800,9.706,-0.0062,6.8
18/11/16,03:39:45,0.14073,9.928,83.300,9.558,-0.0062,7.2
18/11/16,04:39:46,0.14073,10.051,80.800,9.608,-0.0055,6.9
18/11/16,05:39:47,0.14073,10.075,79.200,9.608,-0.0055,6.6
18/11/16,06:39:48,0.14016,10.980,76.000,10.051,-0.0055,6.9
18/11/16,07:39:49,0.14016,11.200,73.400,10.687,-0.0062,6.6
18/11/16,08:39:50,0.14016,12.799,68.200,11.734,-0.0070,7.1
18/11/16,09:39:51,0.14016,13.161,67.000,12.195,-0.0077,7.2
18/11/16,10:39:52,0.14016,14.433,66.500,12.920,-0.0084,8.3
18/11/16,11:39:53,-888.88000,15.676,65.600,14.290,-0.0099,9.3
18/11/16,12:39:54,-888.88000,16.630,63.100,15.079,-0.0121,9.6
18/11/16,13:39:55,-888.88000,19.222,57.400,18.081,-0.0157,10.6
18/11/16,14:39:56,-888.88000,23.304,53.200,21.270,-0.0186,13.3
18/11/16,15:39:57,-888.88000,23.424,49.900,22.753,-0.0259,12.4
18/11/16,16:39:58,0.14073,20.841,50.600,21.056,-0.0317,10.2
18/11/16,17:39:59,0.14016,18.557,53.200,18.628,-0.0338,8.9
18/11/16,18:40:00,0.13902,16.082,57.300,16.058,-0.0338,7.7
