"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)"
04/03/17,15:22:21,16.820,100.000,18.818,0.1608,16.8
04/03/17,16:22:22,16.511,98.300,17.843,0.1586,16.3
04/03/17,17:22:23,15.031,98.300,16.820,0.1586,14.8
04/03/17,18:22:24,14.912,99.500,15.509,0.1594,14.9
04/03/17,19:22:25,13.882,99.500,14.673,0.1586,13.8
04/03/17,20:22:26,12.558,98.900,13.064,0.1586,12.4
04/03/17,21:22:27,11.759,98.900,11.953,0.1579,11.6
04/03/17,22:22:28,11.419,99.100,11.346,0.1579,11.3
04/03/17,23:22:29,8.990,95.700,9.657,0.1572,8.3
05/03/17,00:22:30,9.632,98.100,9.435,0.1572,9.4
05/03/17,01:22:31,9.040,97.300,9.114,0.1572,8.6
05/03/17,02:22:32,9.238,98.000,9.015,0.1572,8.9
05/03/17,03:22:33,9.114,98.200,8.941,0.1572,8.9
05/03/17,04:22:34,8.941,98.300,8.841,0.1564,8.7
05/03/17,05:22:35,9.485,99.600,9.312,0.1572,9.4
05/03/17,06:22:36,7.343,94.400,7.569,0.1564,6.5
05/03/17,07:22:37,5.924,93.600,6.560,0.1564,5.0
05/03/17,08:22:38,6.204,95.200,5.898,0.1564,5.5
05/03/17,09:22:39,12.243,100.000,10.858,0.1557,12.3
05/03/17,10:22:40,14.697,100.000,15.055,0.1564,14.7
05/03/17,11:22:41,16.749,97.000,18.557,0.1572,16.3
05/03/17,12:22:42,19.674,95.000,22.250,0.1586,18.9
05/03/17,13:22:43,20.150,89.200,26.695,0.1594,18.3
05/03/17,14:22:44,20.770,87.100,27.186,0.1601,18.6
05/03/17,15:22:45,24.436,81.700,29.365,0.1608,21.1
05/03/17,16:22:46,22.298,82.700,26.402,0.1615,19.2
05/03/17,17:22:47,17.653,83.600,21.724,0.1615,14.9
05/03/17,18:22:48,15.867,93.700,17.153,0.1615,14.9
05/03/17,19:22:49,13.497,94.000,14.912,0.1608,12.6
05/03/17,20:22:50,11.710,94.600,11.734,0.1601,10.9
05/03/17,21:22:51,11.200,96.600,11.200,0.1601,10.7
05/03/17,22:22:52,10.516,96.700,10.565,0.1594,10.0
05/03/17,23:22:53,9.879,97.000,9.952,0.1594,9.4
06/03/17,00:22:54,9.238,97.100,9.361,0.1586,8.8
06/03/17,01:22:55,7.695,95.300,8.170,0.1586,7.0
06/03/17,02:22:56,5.257,90.400,5.770,0.1579,3.8
06/03/17,03:22:57,5.872,94.000,5.179,0.1572,5.0
06/03/17,04:22:58,7.393,98.600,6.940,0.1572,7.2
06/03/17,05:22:59,7.544,98.000,7.142,0.1572,7.3
06/03/17,06:23:00,7.594,98.300,7.419,0.1572,7.4
06/03/17,07:23:01,7.494,98.300,7.368,0.1572,7.3
06/03/17,08:23:02,9.139,99.800,8.668,0.1572,9.1
06/03/17,09:23:03,9.706,99.900,10.394,0.1564,9.7
06/03/17,10:23:04,12.485,99.900,11.832,0.1572,12.5
06/03/17,11:23:05,15.509,94.700,14.936,0.1579,14.7
06/03/17,12:23:06,18.580,82.800,23.064,0.1586,15.6
06/03/17,13:23:07,21.485,76.000,31.281,0.1601,17.1
06/03/17,14:23:08,23.160,72.200,36.878,0.1608,17.9
06/03/17,15:23:09,23.593,69.000,36.444,0.1623,17.6
06/03/17,16:23:10,22.681,67.300,30.066,0.1623,16.3
06/03/17,17:23:11,21.652,66.100,21.485,0.1623,15.1
06/03/17,18:23:12,17.344,67.000,16.368,0.1623,11.2
06/03/17,19:23:13,11.589,78.000,12.219,0.1615,7.9
06/03/17,20:23:14,9.163,86.500,9.213,0.1615,7.0
06/03/17,21:23:15,10.026,92.400,9.213,0.1601,8.9
06/03/17,22:23:16,9.756,94.100,9.928,0.1601,8.9
06/03/17,23:23:17,9.163,94.300,9.361,0.1594,8.3
07/03/17,00:23:18,9.040,95.400,9.064,0.1594,8.4
07/03/17,01:23:19,8.643,96.400,8.519,0.1586,8.1
07/03/17,02:23:20,7.995,95.900,7.870,0.1586,7.4
07/03/17,03:23:21,7.720,95.900,7.594,0.1586,7.1
07/03/17,04:23:22,7.444,95.600,7.142,0.1579,6.8
07/03/17,05:23:23,7.217,96.100,7.192,0.1579,6.6
07/03/17,06:23:24,7.066,96.400,7.066,0.1579,6.5
07/03/17,07:23:25,6.687,95.800,6.382,0.1572,6.1
07/03/17,08:23:26,7.895,97.900,7.770,0.1572,7.6
07/03/17,09:23:27,9.064,98.900,9.287,0.1572,8.9
07/03/17,10:23:28,12.509,98.000,10.296,0.1572,12.2
07/03/17,11:23:29,16.463,87.800,15.366,0.1579,14.5
07/03/17,12:23:30,19.746,78.500,24.847,0.1586,15.9
07/03/17,13:23:31,22.106,70.800,34.492,0.1601,16.6
07/03/17,14:23:32,23.881,63.400,41.181,0.1608,16.5
07/03/17,15:23:33,25.307,59.400,42.267,0.1615,16.8
07/03/17,16:23:34,25.768,57.100,36.878,0.1623,16.7
07/03/17,17:23:35,23.905,54.600,22.753,0.1630,14.2
07/03/17,18:23:36,18.271,60.100,16.249,0.1623,10.4
07/03/17,19:23:37,11.856,71.900,12.243,0.1623,7.0
07/03/17,20:23:38,7.795,75.900,8.120,0.1608,3.8
07/03/17,21:23:39,10.320,91.200,9.608,0.1601,9.0
07/03/17,22:23:40,9.756,91.300,10.173,0.1594,8.4
07/03/17,23:23:41,9.064,92.700,9.336,0.1594,8.0
08/03/17,00:23:42,5.872,86.100,7.015,0.1586,3.7
08/03/17,01:23:43,4.194,82.000,3.670,0.1586,1.4
08/03/17,02:23:44,3.116,83.000,2.744,0.1579,0.5
08/03/17,03:23:45,2.209,81.900,1.886,0.1572,-0.6
08/03/17,04:23:46,1.697,82.500,1.153,0.1572,-1.0
08/03/17,05:23:47,1.017,81.600,0.577,0.1564,-1.8
