"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832568, SEN S/N: 9818223, LBL: Ambient)","RH, % (LGR S/N: 9832568, SEN S/N: 9818223)","Temp, °C (LGR S/N: 9832568, SEN S/N: 9824747, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832568, SEN S/N: 9833750, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832568, SEN S/N: 9833763, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832568, SEN S/N: 9818223)"
04/03/17,15:22:21,17.891,90.400,15.055,0.0998,0.1426,16.3
04/03/17,16:22:22,17.677,88.300,15.031,0.0998,0.1426,15.7
04/03/17,17:22:23,16.201,88.600,14.888,0.0998,0.1426,14.3
04/03/17,18:22:24,15.366,90.800,14.673,0.0998,0.1426,13.9
04/03/17,19:22:25,14.266,91.900,14.505,0.0998,0.1426,13.0
04/03/17,20:22:26,12.775,93.400,14.266,0.0998,0.1426,11.8
04/03/17,21:22:27,11.953,95.000,13.978,0.0991,0.1426,11.2
04/03/17,22:22:28,11.516,95.900,13.666,0.0998,0.1426,10.9
04/03/17,23:22:29,9.015,93.100,13.329,0.0991,0.1426,8.0
05/03/17,00:22:30,9.558,95.700,12.871,0.0991,0.1426,8.9
05/03/17,01:22:31,8.916,95.100,12.558,0.0991,0.1419,8.2
05/03/17,02:22:32,8.990,96.000,12.292,0.0991,0.1419,8.4
05/03/17,03:22:33,8.891,96.300,12.074,0.0991,0.1419,8.3
05/03/17,04:22:34,8.693,96.500,11.880,0.0991,0.1419,8.2
05/03/17,05:22:35,9.386,98.200,11.759,0.0991,0.1419,9.1
05/03/17,06:22:36,7.167,94.400,11.589,0.0983,0.1419,6.3
05/03/17,07:22:37,5.847,94.200,11.273,0.0983,0.1419,5.0
05/03/17,08:22:38,6.661,95.600,10.883,0.0983,0.1419,6.0
05/03/17,09:22:39,12.437,100.000,10.907,0.0991,0.1419,12.5
05/03/17,10:22:40,15.270,97.400,11.492,0.0991,0.1419,14.9
05/03/17,11:22:41,19.651,83.800,12.292,0.0991,0.1419,16.9
05/03/17,12:22:42,22.848,77.000,13.185,0.0991,0.1419,18.6
05/03/17,13:22:43,23.881,68.700,14.122,0.0998,0.1426,17.8
05/03/17,14:22:44,24.726,65.000,14.649,0.0998,0.1426,17.7
05/03/17,15:22:45,28.990,60.900,15.103,0.1005,0.1426,20.7
05/03/17,16:22:46,24.412,61.500,15.438,0.1005,0.1426,16.6
05/03/17,17:22:47,18.129,68.300,15.581,0.1005,0.1434,12.2
05/03/17,18:22:48,15.986,79.800,15.366,0.1005,0.1434,12.5
05/03/17,19:22:49,13.353,82.900,15.031,0.0998,0.1426,10.5
05/03/17,20:22:50,11.516,88.800,14.553,0.0998,0.1426,9.7
05/03/17,21:22:51,10.883,91.600,14.050,0.0991,0.1426,9.6
05/03/17,22:22:52,10.100,92.100,13.642,0.0991,0.1426,8.9
05/03/17,23:22:53,9.509,92.900,13.257,0.0991,0.1426,8.4
06/03/17,00:22:54,8.891,93.400,12.920,0.0991,0.1426,7.9
06/03/17,01:22:55,7.670,92.000,12.606,0.0991,0.1419,6.5
06/03/17,02:22:56,5.154,89.300,12.122,0.0983,0.1426,3.5
06/03/17,03:22:57,5.949,93.300,11.492,0.0983,0.1419,5.0
06/03/17,04:22:58,7.041,96.700,11.175,0.0983,0.1419,6.6
06/03/17,05:22:59,7.091,95.400,11.102,0.0983,0.1419,6.4
06/03/17,06:23:00,7.091,95.400,10.980,0.0983,0.1419,6.4
06/03/17,07:23:01,7.091,95.600,10.883,0.0983,0.1419,6.4
06/03/17,08:23:02,8.891,97.000,10.834,0.0991,0.1419,8.4
06/03/17,09:23:03,10.296,93.500,10.980,0.0983,0.1419,9.3
06/03/17,10:23:04,14.721,85.700,11.419,0.0983,0.1419,12.4
06/03/17,11:23:05,19.175,70.800,12.243,0.0983,0.1412,13.8
06/03/17,12:23:06,21.246,63.700,13.473,0.0991,0.1419,14.1
06/03/17,13:23:07,27.481,53.400,14.409,0.0991,0.1412,17.2
06/03/17,14:23:08,30.495,45.800,15.031,0.0991,0.1419,17.5
06/03/17,15:23:09,28.816,45.800,15.438,0.0998,0.1419,16.0
06/03/17,16:23:10,26.793,47.700,15.557,0.0998,0.1419,14.8
06/03/17,17:23:11,24.581,48.800,15.414,0.0991,0.1419,13.1
06/03/17,18:23:12,16.915,57.700,15.151,0.0991,0.1419,8.5
06/03/17,19:23:13,11.977,72.600,14.721,0.0983,0.1419,7.2
06/03/17,20:23:14,9.213,81.300,14.074,0.0983,0.1419,6.2
06/03/17,21:23:15,9.632,88.600,13.425,0.0983,0.1412,7.9
06/03/17,22:23:16,9.361,90.800,13.016,0.0983,0.1412,7.9
06/03/17,23:23:17,8.866,91.200,12.703,0.0976,0.1412,7.5
07/03/17,00:23:18,8.767,92.400,12.413,0.0976,0.1412,7.6
