"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832569, SEN S/N: 9818209, LBL: Ambient)","RH, % (LGR S/N: 9832569, SEN S/N: 9818209)","Temp, °C (LGR S/N: 9832569, SEN S/N: 9824746, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833753, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833755, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832569, SEN S/N: 9818209)"
04/03/17,15:22:20,16.630,97.600,16.082,0.1150,0.1042,16.3
04/03/17,16:22:21,15.605,96.100,16.177,0.1158,0.1049,15.0
04/03/17,17:22:22,14.266,97.300,16.082,0.1158,0.1049,13.9
04/03/17,18:22:23,14.385,98.400,15.629,0.1150,0.1049,14.2
04/03/17,19:22:24,13.329,98.500,15.318,0.1158,0.1049,13.1
04/03/17,20:22:25,12.340,99.000,14.768,0.1150,0.1042,12.2
04/03/17,21:22:26,11.783,99.400,14.146,0.1150,0.1042,11.7
04/03/17,22:22:27,11.419,99.700,13.642,0.1150,0.1042,11.4
04/03/17,23:22:28,8.593,99.100,13.088,0.1150,0.1034,8.5
05/03/17,00:22:29,9.731,99.400,12.509,0.1150,0.1042,9.7
05/03/17,01:22:30,9.262,99.500,12.219,0.1143,0.1042,9.2
05/03/17,02:22:31,9.238,99.800,11.929,0.1150,0.1042,9.2
05/03/17,03:22:32,9.262,99.900,11.759,0.1143,0.1042,9.3
05/03/17,04:22:33,9.015,100.000,11.565,0.1143,0.1049,9.0
05/03/17,05:22:34,9.682,100.000,11.516,0.1150,0.1049,9.7
05/03/17,06:22:35,7.015,99.600,11.200,0.1150,0.1049,7.0
05/03/17,07:22:36,5.334,99.400,10.687,0.1143,0.1049,5.3
05/03/17,08:22:37,7.845,99.400,10.149,0.1150,0.1056,7.8
05/03/17,09:22:38,12.485,100.000,10.590,0.1150,0.1056,12.5
05/03/17,10:22:39,14.481,100.000,11.929,0.1150,0.1063,14.5
05/03/17,11:22:40,17.653,96.400,13.329,0.1150,0.1078,17.1
05/03/17,12:22:41,22.633,87.600,14.385,0.1158,0.1078,20.5
05/03/17,13:22:42,20.913,79.200,16.129,0.1165,0.1085,17.2
05/03/17,14:22:43,20.317,77.600,17.177,0.1158,0.1078,16.3
05/03/17,15:22:44,22.968,74.500,18.105,0.1158,0.1078,18.2
05/03/17,16:22:45,19.151,81.700,19.032,0.1165,0.1071,16.0
05/03/17,17:22:46,15.629,85.000,18.866,0.1158,0.1063,13.1
05/03/17,18:22:47,14.242,94.900,17.629,0.1158,0.1063,13.5
05/03/17,19:22:48,12.001,96.700,16.487,0.1150,0.1056,11.5
05/03/17,20:22:49,10.712,98.000,15.127,0.1150,0.1049,10.4
05/03/17,21:22:50,10.198,98.900,14.170,0.1150,0.1049,10.0
05/03/17,22:22:51,9.312,99.000,13.546,0.1143,0.1042,9.2
05/03/17,23:22:52,8.742,99.300,13.016,0.1143,0.1049,8.6
06/03/17,00:22:53,8.120,99.400,12.534,0.1143,0.1049,8.0
06/03/17,01:22:54,6.839,98.700,12.050,0.1143,0.1049,6.7
06/03/17,02:22:55,4.506,97.600,11.200,0.1136,0.1042,4.2
06/03/17,03:22:56,6.382,98.300,10.394,0.1143,0.1049,6.1
06/03/17,04:22:57,6.839,100.000,10.320,0.1143,0.1056,6.8
06/03/17,05:22:58,6.940,99.900,10.296,0.1136,0.1056,6.9
06/03/17,06:22:59,6.788,99.900,10.247,0.1143,0.1056,6.8
06/03/17,07:23:00,6.965,100.000,10.173,0.1143,0.1056,7.0
06/03/17,08:23:01,8.568,100.000,10.198,0.1143,0.1056,8.6
06/03/17,09:23:02,10.761,99.800,10.663,0.1150,0.1063,10.7
06/03/17,10:23:03,15.079,94.800,11.078,0.1143,0.1071,14.3
06/03/17,11:23:04,20.531,78.100,11.880,0.1150,0.1071,16.6
06/03/17,12:23:05,21.724,64.900,13.401,0.1150,0.1071,14.9
06/03/17,13:23:06,22.250,62.200,15.461,0.1150,0.1071,14.7
06/03/17,14:23:07,21.294,62.600,17.463,0.1150,0.1063,13.9
06/03/17,15:23:08,20.317,65.100,19.008,0.1150,0.1056,13.6
06/03/17,16:23:09,17.082,67.900,19.532,0.1150,0.1049,11.1
06/03/17,17:23:10,16.082,72.400,19.746,0.1143,0.1034,11.1
06/03/17,18:23:11,12.920,76.800,19.270,0.1136,0.1027,9.0
06/03/17,19:23:12,9.139,85.500,17.082,0.1136,0.1020,6.8
06/03/17,20:23:13,7.569,92.300,14.745,0.1136,0.1012,6.4
06/03/17,21:23:14,8.792,96.200,13.449,0.1136,0.1020,8.2
06/03/17,22:23:15,8.469,96.800,12.968,0.1129,0.1020,8.0
06/03/17,23:23:16,7.970,97.100,12.534,0.1136,0.1020,7.5
07/03/17,00:23:17,7.920,97.900,12.147,0.1129,0.1020,7.6
07/03/17,01:23:18,7.419,98.700,11.856,0.1121,0.1020,7.2
07/03/17,02:23:19,6.788,98.600,11.516,0.1129,0.1020,6.6
07/03/17,03:23:20,6.535,98.600,11.127,0.1129,0.1027,6.3
07/03/17,04:23:21,6.408,98.600,10.785,0.1129,0.1034,6.2
07/03/17,05:23:22,6.281,98.800,10.541,0.1129,0.1034,6.1
07/03/17,06:23:23,5.924,99.000,10.320,0.1129,0.1034,5.8
07/03/17,07:23:24,5.872,98.800,10.051,0.1129,0.1034,5.7
07/03/17,08:23:25,7.594,99.400,9.977,0.1129,0.1027,7.5
07/03/17,09:23:26,12.147,97.500,10.320,0.1129,0.1034,11.8
07/03/17,10:23:27,19.008,76.700,10.687,0.1129,0.1042,14.8
07/03/17,11:23:28,23.497,61.000,11.686,0.1129,0.1042,15.6
07/03/17,12:23:29,24.968,56.500,13.449,0.1136,0.1042,15.7
07/03/17,13:23:30,25.065,54.300,15.605,0.1143,0.1042,15.2
07/03/17,14:23:31,22.992,54.900,17.748,0.1143,0.1027,13.5
07/03/17,15:23:32,20.817,57.200,19.436,0.1136,0.1020,12.1
07/03/17,16:23:33,19.008,61.400,20.627,0.1136,0.1005,11.4
07/03/17,17:23:34,15.939,65.300,21.079,0.1129,0.1005,9.5
07/03/17,18:23:35,12.606,72.900,20.460,0.1129,0.0991,7.9
07/03/17,19:23:36,9.460,82.600,17.962,0.1121,0.0991,6.7
07/03/17,20:23:37,5.770,88.000,15.199,0.1121,0.0983,3.9
07/03/17,21:23:38,9.040,96.300,13.762,0.1121,0.0983,8.5
07/03/17,22:23:39,8.145,95.600,13.401,0.1114,0.0983,7.5
07/03/17,23:23:40,7.594,97.200,12.968,0.1114,0.0983,7.2
