"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
17/11/16,14:39:32,19.294,55.200,0.2182,0.2647,19.032,10.1
17/11/16,15:39:33,19.008,57.900,0.2167,0.2676,19.674,10.5
17/11/16,16:39:34,17.986,61.200,0.2146,0.2676,19.056,10.4
17/11/16,17:39:35,14.050,70.000,0.2124,0.2668,17.962,8.7
17/11/16,18:39:36,13.088,76.800,0.2102,0.2668,17.296,9.1
17/11/16,19:39:37,11.321,84.600,0.2080,0.2668,16.058,8.8
17/11/16,20:39:38,10.638,88.500,0.2058,0.2668,15.509,8.8
17/11/16,21:39:39,10.712,89.000,0.2051,0.2661,15.247,9.0
17/11/16,22:39:40,10.492,87.500,0.2044,0.2661,15.031,8.5
17/11/16,23:39:41,10.173,87.900,0.2037,0.2654,14.745,8.3
18/11/16,00:39:42,9.928,88.000,0.2029,0.2654,14.409,8.0
18/11/16,01:39:43,10.247,84.400,0.2029,0.2654,14.074,7.7
18/11/16,02:39:44,9.854,82.800,0.2022,0.2647,14.026,7.1
18/11/16,03:39:45,9.829,84.300,0.2015,0.2647,14.050,7.3
18/11/16,04:39:46,9.879,82.400,0.2008,0.2639,14.170,7.0
18/11/16,05:39:47,9.854,80.900,0.2008,0.2639,14.146,6.7
18/11/16,06:39:48,10.785,77.500,0.2008,0.2639,14.290,7.0
18/11/16,07:39:49,10.663,75.600,0.2000,0.2639,14.433,6.5
18/11/16,08:39:50,11.953,71.800,0.1993,0.2632,14.960,7.0
18/11/16,09:39:51,12.268,70.800,0.1986,0.2632,14.912,7.1
18/11/16,10:39:52,13.281,71.000,0.1993,0.2625,14.673,8.1
18/11/16,11:39:53,14.314,71.100,0.1993,0.2625,14.960,9.2
18/11/16,12:39:54,15.079,69.700,0.1993,0.2618,15.366,9.6
18/11/16,13:39:55,17.249,65.100,0.1993,0.2610,17.034,10.7
18/11/16,14:39:56,21.318,60.900,0.2000,0.2610,19.294,13.5
18/11/16,15:39:57,21.987,57.100,0.1993,0.2610,20.198,13.1
18/11/16,16:39:58,19.365,57.400,0.1964,0.2610,17.391,10.8
18/11/16,17:39:59,17.249,58.700,0.1942,0.2603,15.342,9.1
