"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832564, SEN S/N: 9818206, LBL: Ambient)","RH, % (LGR S/N: 9832564, SEN S/N: 9818206)","Water Content, m³/m³ (LGR S/N: 9832564, SEN S/N: 9833756, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832564, SEN S/N: 9833765, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832564, SEN S/N: 9818206)"
19/11/17,12:06:15,18.866,66.000,0.2494,0.2342,12.4
19/11/17,13:06:16,23.208,58.500,0.2501,0.2291,14.6
19/11/17,14:06:17,24.171,51.200,0.2487,0.2204,13.5
19/11/17,15:06:18,22.106,50.200,0.2458,0.2124,11.3
19/11/17,16:06:19,20.412,47.500,0.2436,0.2058,8.9
19/11/17,17:06:20,17.819,53.400,0.2414,0.1971,8.2
19/11/17,18:06:21,15.557,59.100,0.2392,0.1920,7.6
19/11/17,19:06:22,14.481,69.200,0.2385,0.1891,8.9
19/11/17,20:06:23,13.112,76.200,0.2371,0.1870,9.0
19/11/17,21:06:24,11.419,79.000,0.2363,0.1877,7.9
19/11/17,22:06:25,9.287,77.900,0.2371,0.1848,5.6
19/11/17,23:06:26,8.070,80.000,0.2363,0.1833,4.8
20/11/17,00:06:27,7.015,81.100,0.2356,0.1819,4.0
20/11/17,01:06:28,5.924,80.000,0.2356,0.1819,2.7
20/11/17,02:06:29,5.360,82.300,0.2349,0.1826,2.6
20/11/17,03:06:30,4.714,81.900,0.2349,0.1840,1.9
20/11/17,04:06:31,4.089,82.100,0.2342,0.1811,1.3
20/11/17,05:06:32,3.722,82.800,0.2334,0.1811,1.1
20/11/17,06:06:33,3.643,83.800,0.2342,0.1811,1.2
20/11/17,07:06:34,5.949,90.400,0.2342,0.1811,4.5
20/11/17,08:06:35,11.005,91.700,0.2334,0.1819,9.7
20/11/17,09:06:36,15.127,69.100,0.2342,0.1862,9.5
20/11/17,10:06:37,17.819,55.900,0.2334,0.1855,8.9
20/11/17,11:06:38,21.223,48.400,0.2320,0.1862,9.9
20/11/17,12:06:39,23.521,39.900,0.2305,0.1855,9.1
20/11/17,13:06:40,26.353,35.800,0.2298,0.1819,10.0
20/11/17,14:06:41,27.308,33.100,0.2276,0.1768,9.7
20/11/17,15:06:42,25.963,32.200,0.2254,0.1695,8.1
20/11/17,16:06:43,23.256,33.700,0.2240,0.1615,6.4
20/11/17,17:06:44,20.698,37.200,0.2211,0.1543,5.6
20/11/17,18:06:45,19.674,43.100,0.2189,0.1463,6.8
20/11/17,19:06:46,16.749,58.500,0.2175,0.1434,8.6
20/11/17,20:06:47,13.594,62.500,0.2167,0.1405,6.6
20/11/17,21:06:48,12.074,68.200,0.2160,0.1390,6.4
20/11/17,22:06:49,10.271,69.800,0.2211,0.1412,5.0
20/11/17,23:06:50,8.519,71.500,0.2240,0.1390,3.7
21/11/17,00:06:51,7.619,74.400,0.2262,0.1383,3.4
21/11/17,01:06:52,6.737,76.200,0.2218,0.1376,2.8
21/11/17,02:06:53,6.914,81.500,0.2160,0.1376,4.0
21/11/17,03:06:54,6.560,83.400,0.2269,0.1368,4.0
21/11/17,04:06:55,5.898,82.700,0.2160,0.1368,3.2
21/11/17,05:06:56,5.050,81.100,0.2153,0.1368,2.1
21/11/17,06:06:57,4.818,82.300,0.2153,0.1368,2.1
21/11/17,07:06:58,6.509,87.500,0.2153,0.1426,4.6
21/11/17,08:06:59,12.703,92.400,0.2146,0.1397,11.5
21/11/17,09:07:00,17.891,63.400,0.2138,0.1397,10.9
21/11/17,10:07:01,20.841,49.300,0.2131,0.1419,9.8
21/11/17,11:07:02,22.178,44.800,0.2124,0.1434,9.6
21/11/17,12:07:03,22.058,43.500,0.2116,0.1397,9.1
21/11/17,13:07:04,24.968,44.500,0.2102,0.1376,12.1
21/11/17,14:07:05,22.465,43.900,0.2080,0.1310,9.6
21/11/17,15:07:06,19.936,45.300,0.2066,0.1252,7.8
21/11/17,16:07:07,18.557,49.400,0.2044,0.1209,7.8
21/11/17,17:07:08,18.509,48.900,0.2037,0.1223,7.6
21/11/17,18:07:09,17.344,51.400,0.2015,0.1158,7.2
21/11/17,19:07:10,14.864,58.400,0.2008,0.1143,6.8
21/11/17,20:07:11,13.088,63.300,0.1993,0.1129,6.3
21/11/17,21:07:12,11.127,67.800,0.1993,0.1114,5.4
21/11/17,22:07:13,9.879,68.800,0.1993,0.1100,4.4
21/11/17,23:07:14,8.618,64.600,0.2000,0.1092,2.3
22/11/17,00:07:15,7.293,61.000,0.1993,0.1085,0.3
22/11/17,01:07:16,5.924,66.600,0.1993,0.1114,0.2
22/11/17,02:07:17,5.076,70.700,0.1993,0.1078,0.2
22/11/17,03:07:18,4.480,73.500,0.1993,0.1078,0.2
22/11/17,04:07:19,4.115,75.900,0.1993,0.1078,0.3
22/11/17,05:07:20,3.591,76.900,0.2000,0.1078,-0.1
22/11/17,06:07:21,3.538,79.300,0.1993,0.1085,0.3
22/11/17,07:07:22,5.642,85.200,0.2000,0.1085,3.4
22/11/17,08:07:23,12.340,85.900,0.2000,0.1092,10.1
22/11/17,09:07:24,17.415,57.900,0.1993,0.1107,9.1
22/11/17,10:07:25,21.246,45.000,0.1993,0.1121,8.9
22/11/17,11:07:26,24.339,42.900,0.1986,0.1150,10.9
22/11/17,12:07:27,23.833,41.200,0.1986,0.1129,9.9
22/11/17,13:07:28,26.353,43.600,0.1971,0.1114,13.0
22/11/17,14:07:29,26.158,45.900,0.1957,0.1071,13.6
22/11/17,15:07:30,21.652,47.400,0.1949,0.0983,10.0
22/11/17,16:07:31,19.603,55.700,0.1928,0.0933,10.5
22/11/17,17:07:32,21.246,60.400,0.1928,0.0933,13.3
22/11/17,18:07:33,18.390,60.100,0.1913,0.0867,10.5
22/11/17,19:07:34,16.987,66.200,0.1906,0.0838,10.7
