"Date","Time, GMT+11:00","Water Content, m³/m³ (LGR S/N: 9832566, SEN S/N: 9833752, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832566, SEN S/N: 10284205)","RH, % (LGR S/N: 9832566, SEN S/N: 10284205)","DewPt, °C (LGR S/N: 9832566, SEN S/N: 10284205)"
19/11/17,12:06:15,0.2814,14.481,95.300,13.8
19/11/17,13:06:16,0.2814,18.295,90.500,16.7
19/11/17,14:06:17,0.2799,19.008,87.300,16.9
19/11/17,15:06:18,0.2785,17.582,83.900,14.8
19/11/17,16:06:19,0.2763,17.201,80.300,13.8
19/11/17,17:06:20,0.2748,15.629,77.800,11.8
19/11/17,18:06:21,0.2734,14.098,78.000,10.3
19/11/17,19:06:22,0.2727,13.305,81.800,10.3
19/11/17,20:06:23,0.2719,12.316,84.800,9.8
19/11/17,21:06:24,0.2712,11.273,85.400,8.9
19/11/17,22:06:25,0.2705,10.124,84.200,7.6
19/11/17,23:06:26,0.2698,9.312,84.100,6.8
20/11/17,00:06:27,0.2698,8.717,83.900,6.2
20/11/17,01:06:28,0.2690,7.720,82.300,4.9
20/11/17,02:06:29,0.2690,7.419,83.600,4.8
20/11/17,03:06:30,0.2683,6.839,82.900,4.1
20/11/17,04:06:31,0.2683,6.484,82.900,3.8
20/11/17,05:06:32,0.2676,6.433,84.800,4.1
20/11/17,06:06:33,0.2676,6.255,85.400,4.0
20/11/17,07:06:34,0.2676,7.091,88.800,5.4
20/11/17,08:06:35,0.2676,10.149,97.300,9.8
20/11/17,09:06:36,0.2668,13.401,94.300,12.5
20/11/17,10:06:37,0.2661,16.129,84.900,13.6
20/11/17,11:06:38,0.2654,18.271,81.100,15.0
20/11/17,12:06:39,0.2639,19.579,74.400,14.9
20/11/17,13:06:40,0.2625,20.722,77.000,16.6
20/11/17,14:06:41,0.2603,20.770,75.700,16.3
20/11/17,15:06:42,0.2581,19.793,70.800,14.4
20/11/17,16:06:43,0.2560,18.937,70.000,13.4
20/11/17,17:06:44,0.2545,17.582,66.600,11.3
20/11/17,18:06:45,0.2523,16.392,67.900,10.5
20/11/17,19:06:46,0.2516,15.414,75.500,11.1
20/11/17,20:06:47,0.2509,13.161,76.300,9.1
20/11/17,21:06:48,0.2501,12.025,79.100,8.5
20/11/17,22:06:49,0.2494,10.834,79.200,7.4
20/11/17,23:06:50,0.2494,9.829,78.800,6.3
21/11/17,00:06:51,0.2487,9.238,80.100,6.0
21/11/17,01:06:52,0.2487,8.618,79.900,5.4
21/11/17,02:06:53,0.2487,8.369,82.400,5.6
21/11/17,03:06:54,0.2487,8.270,84.600,5.8
21/11/17,04:06:55,0.2480,8.195,86.100,6.0
21/11/17,05:06:56,0.2480,7.494,84.200,5.0
21/11/17,06:06:57,0.2480,7.192,84.100,4.7
21/11/17,07:06:58,0.2480,8.270,88.200,6.4
21/11/17,08:06:59,0.2472,10.858,97.100,10.4
21/11/17,09:07:00,0.2472,13.642,98.900,13.5
21/11/17,10:07:01,0.2458,17.130,93.900,16.2
21/11/17,11:07:02,0.2458,18.723,81.100,15.4
21/11/17,12:07:03,0.2451,18.889,74.300,14.2
21/11/17,13:07:04,0.2436,19.674,72.700,14.7
21/11/17,14:07:05,0.2422,17.819,71.100,12.5
21/11/17,15:07:06,0.2407,16.606,70.200,11.2
21/11/17,16:07:07,0.2392,16.106,78.600,12.4
21/11/17,17:07:08,0.2378,16.249,80.200,12.8
21/11/17,18:07:09,0.2371,15.342,80.700,12.1
21/11/17,19:07:10,0.2363,13.906,81.300,10.8
21/11/17,20:07:11,0.2363,12.654,82.200,9.7
21/11/17,21:07:12,0.2356,11.078,81.000,8.0
21/11/17,22:07:13,0.2356,10.100,79.200,6.7
21/11/17,23:07:14,0.2349,9.262,75.500,5.2
22/11/17,00:07:15,0.2349,8.494,73.800,4.1
22/11/17,01:07:16,0.2342,7.695,75.200,3.6
22/11/17,02:07:17,0.2342,7.318,77.400,3.6
22/11/17,03:07:18,0.2342,6.661,77.400,3.0
22/11/17,04:07:19,0.2334,6.255,77.500,2.6
22/11/17,05:07:20,0.2334,6.026,78.900,2.6
22/11/17,06:07:21,0.2334,5.745,79.300,2.4
22/11/17,07:07:22,0.2334,7.368,86.100,5.2
22/11/17,08:07:23,0.2327,10.149,94.200,9.3
22/11/17,09:07:24,0.2320,12.847,92.200,11.6
22/11/17,10:07:25,0.2313,15.509,88.100,13.6
22/11/17,11:07:26,0.2313,17.486,77.400,13.5
22/11/17,12:07:27,0.2305,18.794,79.400,15.2
22/11/17,13:07:28,0.2291,18.390,77.900,14.5
22/11/17,14:07:29,0.2284,18.224,77.000,14.1
22/11/17,15:07:30,0.2269,16.272,72.200,11.3
22/11/17,16:07:31,0.2262,16.106,78.600,12.4
22/11/17,17:07:32,0.2247,16.939,81.800,13.8
22/11/17,18:07:33,0.2240,15.390,76.900,11.4
22/11/17,19:07:34,0.2233,14.625,79.600,11.2
22/11/17,20:07:35,0.2225,13.112,78.400,9.5
22/11/17,21:07:36,0.2225,12.050,80.200,8.8
22/11/17,22:07:37,0.2225,10.638,78.800,7.1
22/11/17,23:07:38,0.2218,9.509,78.300,5.9
23/11/17,00:07:39,0.2218,9.040,80.600,5.9
23/11/17,01:07:40,0.2218,8.693,82.300,5.9
23/11/17,02:07:41,0.2211,8.767,84.700,6.3
23/11/17,03:07:42,0.2211,9.064,86.600,7.0
23/11/17,04:07:43,0.2211,9.287,85.200,6.9
23/11/17,05:07:44,0.2211,9.040,81.700,6.1
23/11/17,06:07:45,0.2211,8.941,81.500,6.0
23/11/17,07:07:46,0.2204,9.706,82.500,6.9
23/11/17,08:07:47,0.2204,11.346,80.500,8.1
23/11/17,09:07:48,0.2196,10.980,80.400,7.7
23/11/17,10:07:49,0.2196,14.409,78.200,10.7
23/11/17,11:07:50,0.2189,16.177,74.200,11.6
23/11/17,12:07:51,0.2182,17.724,72.900,12.8
23/11/17,13:07:52,0.2175,17.796,71.300,12.6
23/11/17,14:07:53,0.2160,18.438,70.800,13.1
23/11/17,15:07:54,0.2146,18.105,68.900,12.3
23/11/17,16:07:55,0.2138,15.652,71.500,10.5
23/11/17,17:07:56,0.2131,14.888,77.300,11.0
23/11/17,18:07:57,0.2124,14.242,77.600,10.4
23/11/17,19:07:58,0.2124,12.968,78.700,9.4
23/11/17,20:07:59,0.2116,11.977,79.000,8.5
23/11/17,21:08:00,0.2116,10.638,83.100,7.9
23/11/17,22:08:01,0.2109,10.124,83.800,7.5
23/11/17,23:08:02,0.2109,9.410,82.100,6.5
24/11/17,00:08:03,0.2109,8.742,81.800,5.8
24/11/17,01:08:04,0.2102,8.494,83.300,5.8
24/11/17,02:08:05,0.2102,8.891,85.100,6.5
24/11/17,03:08:06,0.2102,9.386,85.000,7.0
24/11/17,04:08:07,0.2095,9.361,83.500,6.7
24/11/17,05:08:08,0.2095,9.410,83.500,6.8
24/11/17,06:08:09,0.2095,9.114,83.400,6.5
24/11/17,07:08:10,0.2095,10.001,84.500,7.5
24/11/17,08:08:11,0.2087,12.074,82.000,9.1
24/11/17,09:08:12,0.2080,13.738,75.900,9.6
24/11/17,10:08:13,0.2080,14.337,72.500,9.5
24/11/17,11:08:14,0.2080,15.557,72.100,10.6
24/11/17,12:08:15,0.2080,14.385,70.500,9.1
24/11/17,13:08:16,0.2066,17.439,73.300,12.6
24/11/17,14:08:17,0.2058,17.915,66.200,11.5
24/11/17,15:08:18,0.2044,18.366,64.700,11.6
24/11/17,16:08:19,0.2037,15.867,68.500,10.1
24/11/17,17:08:20,0.2022,16.320,80.800,13.0
24/11/17,18:08:21,0.2022,14.768,77.600,10.9
24/11/17,19:08:22,0.2015,12.630,78.100,8.9
24/11/17,20:08:23,0.2015,11.856,81.300,8.8
24/11/17,21:08:24,0.2008,10.956,85.900,8.7
24/11/17,22:08:25,0.2000,10.369,89.700,8.8
24/11/17,23:08:26,0.2000,10.075,89.800,8.5
25/11/17,00:08:27,0.2000,10.051,88.300,8.2
25/11/17,01:08:28,0.1993,10.296,86.300,8.1
25/11/17,02:08:29,0.1993,10.222,85.400,7.9
25/11/17,03:08:30,0.1993,9.608,85.000,7.2
25/11/17,04:08:31,0.1986,9.879,87.300,7.9
25/11/17,05:08:32,0.1986,9.903,86.900,7.8
25/11/17,06:08:33,0.1978,9.829,86.200,7.6
25/11/17,07:08:34,0.1978,10.663,85.900,8.4
25/11/17,08:08:35,0.1978,11.053,82.300,8.2
25/11/17,09:08:36,0.1978,11.443,80.600,8.2
25/11/17,10:08:37,0.1986,12.316,80.900,9.1
25/11/17,11:08:38,0.1978,15.461,77.000,11.5
25/11/17,12:08:39,0.1971,17.130,71.400,11.9
25/11/17,13:08:40,0.1971,16.677,73.600,12.0
25/11/17,14:08:41,0.1964,18.438,69.500,12.8
25/11/17,15:08:42,0.1949,18.271,66.600,12.0
25/11/17,16:08:43,0.1935,17.986,65.300,11.4
25/11/17,17:08:44,0.1928,16.153,68.900,10.5
25/11/17,18:08:45,0.1913,15.700,74.400,11.2
25/11/17,19:08:46,0.1913,14.888,72.000,9.9
25/11/17,20:08:47,0.1906,13.329,76.600,9.3
25/11/17,21:08:48,0.2603,12.292,86.600,10.1
25/11/17,22:08:49,0.2516,11.540,90.600,10.1
25/11/17,23:08:50,0.2487,10.516,90.600,9.1
26/11/17,00:08:51,0.2472,10.247,90.500,8.8
26/11/17,01:08:52,0.2451,10.124,89.800,8.5
26/11/17,02:08:53,0.2443,10.100,89.200,8.4
26/11/17,03:08:54,0.2429,9.854,88.700,8.1
26/11/17,04:08:55,0.2414,10.001,89.800,8.4
26/11/17,05:08:56,0.2407,10.296,89.400,8.6
26/11/17,06:08:57,0.2400,10.296,88.000,8.4
26/11/17,07:08:58,0.2392,10.736,86.700,8.6
26/11/17,08:08:59,0.2378,11.248,85.100,8.8
26/11/17,09:09:00,0.2371,11.613,84.700,9.1
26/11/17,10:09:01,0.2356,13.305,84.900,10.8
26/11/17,11:09:02,0.2349,13.690,83.200,10.9
26/11/17,12:09:03,0.2334,13.112,84.100,10.5
26/11/17,13:09:04,0.2327,13.185,92.700,12.0
26/11/17,14:09:05,0.2320,14.768,93.200,13.7
26/11/17,15:09:06,0.2313,13.882,90.200,12.3
26/11/17,16:09:07,0.2327,13.040,92.900,11.9
26/11/17,17:09:08,0.2487,13.305,95.800,12.7
26/11/17,18:09:09,0.2480,12.268,94.400,11.4
26/11/17,19:09:10,0.2567,11.248,94.500,10.4
26/11/17,20:09:11,0.2581,10.443,94.200,9.6
26/11/17,21:09:12,0.2560,10.418,94.500,9.6
26/11/17,22:09:13,0.2538,10.565,94.600,9.7
26/11/17,23:09:14,0.2523,10.222,94.200,9.3
27/11/17,00:09:15,0.2509,9.977,93.800,9.0
27/11/17,01:09:16,0.2494,9.952,94.300,9.1
27/11/17,02:09:17,0.2480,10.051,94.500,9.2
27/11/17,03:09:18,0.2472,10.001,95.000,9.2
27/11/17,04:09:19,0.2465,9.756,95.400,9.1
27/11/17,05:09:20,0.2458,9.928,95.400,9.2
27/11/17,06:09:21,0.2451,9.952,95.200,9.2
27/11/17,07:09:22,0.2443,9.780,94.700,9.0
27/11/17,08:09:23,0.2429,11.443,97.500,11.1
27/11/17,09:09:24,0.2422,14.050,99.800,14.0
27/11/17,10:09:25,0.2407,16.368,97.500,16.0
27/11/17,11:09:26,0.2407,15.605,95.500,14.9
27/11/17,12:09:27,0.2392,18.129,95.500,17.4
27/11/17,13:09:28,0.2378,17.748,88.100,15.8
27/11/17,14:09:29,0.2371,15.175,86.300,12.9
27/11/17,15:09:30,0.2356,14.505,89.100,12.7
27/11/17,16:09:31,0.3242,8.792,89.200,7.1
27/11/17,17:09:32,0.2974,9.682,94.700,8.9
27/11/17,18:09:33,0.2901,10.418,95.600,9.8
27/11/17,19:09:34,0.2865,10.907,97.100,10.5
27/11/17,20:09:35,0.2828,10.932,97.400,10.5
27/11/17,21:09:36,0.2799,11.078,97.700,10.7
27/11/17,22:09:37,0.2777,10.418,97.100,10.0
27/11/17,23:09:38,0.2756,9.805,95.500,9.1
28/11/17,00:09:39,0.2741,9.262,94.400,8.4
28/11/17,01:09:40,0.2727,9.064,94.700,8.3
28/11/17,02:09:41,0.2712,8.145,92.800,7.1
28/11/17,03:09:42,0.2705,7.670,91.200,6.3
28/11/17,04:09:43,0.2698,8.270,93.600,7.3
28/11/17,05:09:44,0.2690,8.792,95.900,8.2
28/11/17,06:09:45,0.2683,8.095,94.200,7.2
28/11/17,07:09:46,0.2676,9.064,95.800,8.4
28/11/17,08:09:47,0.2676,11.977,99.800,12.0
28/11/17,09:09:48,0.2668,14.002,100.000,14.0
28/11/17,10:09:49,0.2668,14.314,99.900,14.3
28/11/17,11:09:50,0.2661,16.344,98.000,16.0
28/11/17,12:09:51,0.2654,17.415,91.900,16.1
28/11/17,13:09:52,0.2647,15.748,94.200,14.8
28/11/17,14:09:53,0.2632,14.912,93.300,13.9
