"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832556, SEN S/N: 9818207, LBL: Ambient)","RH, % (LGR S/N: 9832556, SEN S/N: 9818207)","Water Content, m³/m³ (LGR S/N: 9832556, SEN S/N: 9827490, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832556, SEN S/N: 9833762, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832556, SEN S/N: 9818207)"
19/11/17,12:06:15,17.534,100.000,0.2276,0.2959,17.6
19/11/17,13:06:16,22.705,96.200,0.2269,0.2981,22.1
19/11/17,14:06:17,23.400,86.200,0.2262,0.2966,21.0
19/11/17,15:06:18,23.857,84.400,0.2247,0.2959,21.1
19/11/17,16:06:19,24.581,74.600,0.2204,0.2944,19.8
19/11/17,17:06:20,21.056,72.700,0.2182,0.2923,16.0
19/11/17,18:06:21,15.438,79.700,0.2160,0.2915,12.0
19/11/17,19:06:22,13.546,90.600,0.2138,0.2908,12.1
19/11/17,20:06:23,11.686,93.200,0.2138,0.2908,10.6
19/11/17,21:06:24,9.854,94.800,0.2124,0.2901,9.1
19/11/17,22:06:25,7.268,87.200,0.2109,0.2901,5.3
19/11/17,23:06:26,6.128,86.600,0.2109,0.2894,4.1
20/11/17,00:06:27,5.591,87.400,0.2102,0.2886,3.7
20/11/17,01:06:28,4.428,85.100,0.2102,0.2886,2.1
20/11/17,02:06:29,4.376,88.700,0.2095,0.2886,2.7
20/11/17,03:06:30,3.775,86.900,0.2087,0.2879,1.8
20/11/17,04:06:31,3.433,86.800,0.2087,0.2879,1.4
20/11/17,05:06:32,3.274,87.500,0.2087,0.2872,1.4
20/11/17,06:06:33,2.903,87.500,0.2080,0.2872,1.0
20/11/17,07:06:34,3.827,92.300,0.2087,0.2872,2.7
20/11/17,08:06:35,7.720,99.900,0.2095,0.2865,7.7
20/11/17,09:06:36,9.829,100.000,0.2095,0.2865,9.8
20/11/17,10:06:37,11.929,100.000,0.2109,0.2857,11.9
20/11/17,11:06:38,15.008,96.800,0.2124,0.2865,14.5
20/11/17,12:06:39,19.365,89.600,0.2116,0.2843,17.6
20/11/17,13:06:40,22.848,75.500,0.2102,0.2836,18.3
20/11/17,14:06:41,24.581,64.400,0.2066,0.2814,17.4
20/11/17,15:06:42,25.768,66.200,0.2029,0.2799,19.0
20/11/17,16:06:43,26.475,56.200,0.2000,0.2792,17.1
20/11/17,17:06:44,24.267,55.400,0.1971,0.2770,14.8
20/11/17,18:06:45,22.082,55.700,0.2000,0.2770,12.8
20/11/17,19:06:46,15.223,68.300,0.1913,0.2756,9.4
20/11/17,20:06:47,11.102,77.700,0.1899,0.2748,7.4
20/11/17,21:06:48,9.460,83.600,0.1891,0.2741,6.8
20/11/17,22:06:49,8.020,82.600,0.1884,0.2741,5.2
20/11/17,23:06:50,6.889,81.400,0.1877,0.2734,3.9
21/11/17,00:06:51,6.128,83.000,0.1884,0.2734,3.5
21/11/17,01:06:52,5.437,83.900,0.1877,0.2727,2.9
21/11/17,02:06:53,5.693,90.100,0.1877,0.2727,4.2
21/11/17,03:06:54,5.924,91.900,0.1877,0.2719,4.7
21/11/17,04:06:55,5.668,91.200,0.1877,0.2719,4.4
21/11/17,05:06:56,4.714,87.400,0.1877,0.2719,2.8
21/11/17,06:06:57,4.168,86.300,0.1870,0.2719,2.1
21/11/17,07:06:58,5.231,90.900,0.1877,0.2712,3.9
21/11/17,08:06:59,9.879,99.300,0.1877,0.2712,9.8
21/11/17,09:07:00,12.413,91.300,0.1870,0.2712,11.0
21/11/17,10:07:01,14.218,86.300,0.1891,0.2705,12.0
21/11/17,11:07:02,18.176,93.800,0.1891,0.2698,17.2
21/11/17,12:07:03,18.533,85.000,0.1862,0.2683,16.0
