"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)"
19/11/17,12:00:01,16.392,87.300,28.444,0.2777,14.3
19/11/17,13:00:01,25.428,66.800,34.704,0.2770,18.8
19/11/17,14:00:01,26.793,59.200,38.644,0.2770,18.2
19/11/17,15:00:01,26.451,57.000,34.677,0.2763,17.3
19/11/17,16:00:01,27.998,49.200,34.440,0.2748,16.4
19/11/17,17:00:01,24.339,48.600,26.940,0.2741,12.8
19/11/17,18:00:01,17.296,55.400,18.842,0.2727,8.3
19/11/17,19:00:01,15.055,72.600,15.318,0.2719,10.2
19/11/17,20:00:01,12.823,80.600,12.678,0.2712,9.6
19/11/17,21:00:01,10.712,83.600,11.029,0.2705,8.1
19/11/17,22:00:01,8.469,81.300,8.170,0.2698,5.5
19/11/17,23:00:01,7.041,81.800,6.585,0.2690,4.2
20/11/17,00:00:01,6.230,82.200,5.462,0.2683,3.4
20/11/17,01:00:01,5.205,82.100,4.584,0.2676,2.4
20/11/17,02:00:01,4.999,84.400,4.063,0.2676,2.6
20/11/17,03:00:01,4.324,83.800,3.512,0.2668,1.8
20/11/17,04:00:01,3.670,83.100,2.823,0.2661,1.1
20/11/17,05:00:01,3.168,83.600,2.316,0.2654,0.7
20/11/17,06:00:01,2.664,83.100,1.913,0.2654,0.1
20/11/17,07:00:01,3.089,86.500,2.236,0.2654,1.1
20/11/17,08:00:01,8.319,97.700,4.947,0.2654,8.0
20/11/17,09:00:01,11.807,98.300,8.543,0.2647,11.6
20/11/17,10:00:01,15.939,81.500,15.509,0.2647,12.8
20/11/17,11:00:01,19.674,68.600,25.987,0.2639,13.8
20/11/17,12:00:01,23.064,57.400,34.097,0.2639,14.2
20/11/17,13:00:01,25.768,51.700,40.200,0.2661,15.1
20/11/17,14:00:01,27.505,48.200,44.165,0.2632,15.6
20/11/17,15:00:01,28.965,46.300,46.067,0.2632,16.3
20/11/17,16:00:01,28.791,40.000,39.857,0.2625,13.9
20/11/17,17:00:01,27.949,39.400,33.704,0.2610,12.9
20/11/17,18:00:01,25.598,38.300,21.485,0.2603,10.4
20/11/17,19:00:01,17.486,55.200,17.724,0.2596,8.4
20/11/17,20:00:01,12.678,70.800,12.823,0.2589,7.5
20/11/17,21:00:01,10.663,78.500,10.173,0.2581,7.1
20/11/17,22:00:01,9.064,79.800,8.295,0.2581,5.8
