"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832568, SEN S/N: 9818223, LBL: Ambient)","RH, % (LGR S/N: 9832568, SEN S/N: 9818223)","Temp, °C (LGR S/N: 9832568, SEN S/N: 9824747, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832568, SEN S/N: 9833750, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832568, SEN S/N: 9833763, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832568, SEN S/N: 9818223)"
19/11/17,10:56:42,18.818,68.100,11.175,0.2349,0.2443,12.8
19/11/17,11:56:42,18.152,76.200,11.637,0.2349,0.2436,13.9
19/11/17,12:56:42,31.026,64.900,12.413,0.2342,0.2436,23.7
19/11/17,13:56:42,31.689,53.400,13.570,0.2342,0.2436,21.1
19/11/17,14:56:42,31.204,53.800,14.170,0.2334,0.2436,20.8
19/11/17,15:56:42,32.691,47.100,14.361,0.2327,0.2429,20.0
19/11/17,16:56:42,27.259,48.400,14.481,0.2327,0.2429,15.4
19/11/17,17:56:42,19.151,59.900,14.433,0.2327,0.2429,11.2
19/11/17,18:56:42,16.701,76.400,14.122,0.2327,0.2429,12.5
19/11/17,19:56:42,13.570,83.400,13.714,0.2320,0.2429,10.8
19/11/17,20:56:42,11.467,87.300,13.233,0.2320,0.2429,9.4
19/11/17,21:56:42,8.866,86.000,12.727,0.2313,0.2422,6.7
19/11/17,22:56:42,7.142,86.700,12.001,0.2305,0.2422,5.1
19/11/17,23:56:42,6.535,88.000,11.297,0.2305,0.2414,4.7
20/11/17,00:56:42,5.257,87.700,10.736,0.2298,0.2414,3.4
20/11/17,01:56:42,5.076,89.800,10.247,0.2298,0.2414,3.5
20/11/17,02:56:42,4.272,89.600,9.829,0.2291,0.2407,2.7
20/11/17,03:56:42,3.643,89.400,9.361,0.2291,0.2407,2.1
20/11/17,04:56:42,3.195,89.800,8.941,0.2284,0.2400,1.7
20/11/17,05:56:42,2.770,90.100,8.618,0.2284,0.2400,1.3
20/11/17,06:56:42,4.115,92.800,8.270,0.2276,0.2392,3.1
20/11/17,07:56:42,9.756,99.500,8.344,0.2276,0.2392,9.7
20/11/17,08:56:42,15.485,89.900,9.015,0.2269,0.2385,13.9
20/11/17,09:56:42,19.936,75.000,9.879,0.2269,0.2385,15.4
20/11/17,10:56:42,23.016,69.900,11.053,0.2269,0.2385,17.2
20/11/17,11:56:42,26.867,61.600,12.871,0.2269,0.2385,18.9
20/11/17,12:56:42,31.510,48.900,14.122,0.2269,0.2378,19.5
20/11/17,13:56:42,32.330,43.800,14.864,0.2262,0.2378,18.5
20/11/17,14:56:42,34.308,42.000,15.318,0.2254,0.2378,19.6
20/11/17,15:56:42,33.183,40.300,15.461,0.2247,0.2371,17.9
20/11/17,16:56:42,29.439,39.300,15.509,0.2240,0.2371,14.2
20/11/17,17:56:42,22.609,48.500,15.461,0.2233,0.2371,11.2
20/11/17,18:56:42,17.843,62.400,15.223,0.2233,0.2371,10.6
20/11/17,19:56:42,13.233,75.100,14.721,0.2225,0.2371,8.9
20/11/17,20:56:42,10.932,82.800,13.978,0.2225,0.2363,8.1
20/11/17,21:56:42,9.213,84.900,13.233,0.2218,0.2363,6.8
20/11/17,22:56:42,7.142,83.500,12.582,0.2218,0.2363,4.5
20/11/17,23:56:42,6.306,85.200,11.929,0.2211,0.2356,4.0
21/11/17,00:56:42,5.745,86.500,11.370,0.2211,0.2356,3.7
21/11/17,01:56:42,5.821,89.100,10.883,0.2211,0.2356,4.2
21/11/17,02:56:42,5.719,90.600,10.565,0.2211,0.2349,4.3
21/11/17,03:56:42,5.411,91.100,10.320,0.2211,0.2349,4.1
21/11/17,04:56:42,4.610,89.900,10.051,0.2204,0.2349,3.1
21/11/17,05:56:42,4.011,89.800,9.657,0.2204,0.2342,2.5
21/11/17,06:56:42,5.539,92.500,9.287,0.2196,0.2342,4.4
21/11/17,07:56:42,11.637,98.500,9.410,0.2196,0.2334,11.4
21/11/17,08:56:42,17.272,83.400,10.124,0.2196,0.2334,14.5
21/11/17,09:56:42,21.581,68.900,11.078,0.2196,0.2334,15.6
21/11/17,10:56:42,23.376,65.400,12.316,0.2196,0.2334,16.5
21/11/17,11:56:42,26.329,62.100,13.882,0.2189,0.2334,18.5
21/11/17,12:56:42,28.593,61.100,14.649,0.2182,0.2327,20.4
21/11/17,13:56:42,25.113,51.500,15.008,0.2175,0.2327,14.4
21/11/17,14:56:42,22.393,58.500,15.008,0.2175,0.2334,13.9
21/11/17,15:56:42,19.722,64.500,14.792,0.2175,0.2327,12.9
21/11/17,16:56:42,22.321,62.100,14.601,0.2160,0.2327,14.7
21/11/17,17:56:42,18.081,61.900,14.577,0.2160,0.2327,10.7
21/11/17,18:56:42,15.151,69.500,14.385,0.2153,0.2327,9.6
21/11/17,19:56:42,13.112,79.900,14.026,0.2153,0.2320,9.7
21/11/17,20:56:42,10.001,82.900,13.522,0.2153,0.2320,7.2
21/11/17,21:56:42,8.643,87.100,12.847,0.2153,0.2320,6.6
21/11/17,22:56:42,7.217,86.900,12.292,0.2146,0.2320,5.2
21/11/17,23:56:42,5.024,83.300,11.734,0.2146,0.2320,2.4
22/11/17,00:56:42,4.037,84.300,11.078,0.2146,0.2320,1.6
22/11/17,01:56:42,3.459,85.100,10.443,0.2138,0.2313,1.2
22/11/17,02:56:42,3.168,86.600,9.903,0.2138,0.2313,1.2
22/11/17,03:56:42,3.063,88.200,9.534,0.2138,0.2305,1.3
22/11/17,04:56:42,2.717,88.500,9.213,0.2138,0.2305,1.0
22/11/17,05:56:42,2.557,89.500,8.891,0.2131,0.2305,1.0
22/11/17,06:56:42,4.115,92.400,8.593,0.2131,0.2298,3.0
22/11/17,07:56:42,12.606,87.700,8.767,0.2131,0.2291,10.6
22/11/17,08:56:42,16.344,63.700,9.460,0.2131,0.2291,9.5
22/11/17,09:56:42,19.627,54.300,10.320,0.2131,0.2291,10.2
22/11/17,10:56:42,20.984,54.400,11.273,0.2124,0.2291,11.5
22/11/17,11:56:42,21.724,57.600,12.630,0.2124,0.2291,13.0
22/11/17,12:56:42,23.064,60.500,13.642,0.2116,0.2291,15.0
22/11/17,13:56:42,22.657,56.400,13.978,0.2109,0.2291,13.6
22/11/17,14:56:42,18.010,56.500,14.194,0.2102,0.2291,9.3
22/11/17,15:56:42,16.582,62.700,14.050,0.2102,0.2291,9.5
22/11/17,16:56:42,20.984,64.700,13.834,0.2095,0.2291,14.1
22/11/17,17:56:42,16.820,63.300,13.906,0.2080,0.2284,9.8
22/11/17,18:56:42,15.175,69.700,13.714,0.2080,0.2284,9.7
22/11/17,19:56:42,13.329,79.800,13.497,0.2073,0.2284,9.9
22/11/17,20:56:42,11.053,83.600,13.185,0.2080,0.2291,8.4
22/11/17,21:56:42,8.070,83.000,12.678,0.2080,0.2284,5.4
22/11/17,22:56:42,6.839,86.000,12.074,0.2073,0.2284,4.7
22/11/17,23:56:42,6.128,87.700,11.589,0.2073,0.2284,4.2
23/11/17,00:56:42,5.308,87.800,11.078,0.2073,0.2284,3.5
23/11/17,01:56:42,6.636,93.000,10.638,0.2073,0.2276,5.6
23/11/17,02:56:42,7.845,91.900,10.467,0.2073,0.2276,6.6
23/11/17,03:56:42,8.519,87.300,10.345,0.2073,0.2276,6.5
23/11/17,04:56:42,8.270,76.000,10.247,0.2073,0.2269,4.3
23/11/17,05:56:42,8.593,74.600,10.075,0.2073,0.2269,4.3
23/11/17,06:56:42,10.026,74.900,9.952,0.2066,0.2269,5.8
23/11/17,07:56:42,12.485,69.900,10.026,0.2066,0.2269,7.2
23/11/17,08:56:42,10.467,76.800,10.247,0.2058,0.2262,6.6
23/11/17,09:56:42,16.606,72.300,10.492,0.2058,0.2262,11.6
23/11/17,10:56:42,18.509,67.100,11.321,0.2051,0.2254,12.3
23/11/17,11:56:42,19.508,64.300,12.485,0.2051,0.2262,12.6
23/11/17,12:56:42,21.413,60.100,13.425,0.2044,0.2262,13.4
23/11/17,13:56:42,23.352,54.500,13.882,0.2029,0.2254,13.7
23/11/17,14:56:42,21.987,51.900,14.170,0.2015,0.2254,11.7
23/11/17,15:56:42,15.891,62.200,14.146,0.2008,0.2262,8.7
23/11/17,16:56:42,15.891,71.800,13.786,0.2008,0.2262,10.8
23/11/17,17:56:42,14.768,71.800,13.546,0.2008,0.2262,9.7
23/11/17,18:56:42,13.522,76.600,13.281,0.2008,0.2254,9.5
23/11/17,19:56:42,12.944,77.300,13.016,0.2000,0.2254,9.1
23/11/17,20:56:42,10.149,83.800,12.799,0.2000,0.2254,7.5
23/11/17,21:56:42,8.319,87.300,12.437,0.2000,0.2254,6.3
23/11/17,22:56:42,6.661,86.400,11.929,0.2000,0.2254,4.6
23/11/17,23:56:42,5.488,86.900,11.419,0.2000,0.2254,3.5
24/11/17,00:56:42,6.230,91.500,10.956,0.2000,0.2254,5.0
24/11/17,01:56:42,7.795,90.400,10.663,0.2000,0.2247,6.3
