"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832570, SEN S/N: 9818211, LBL: Ambient)","RH, % (LGR S/N: 9832570, SEN S/N: 9818211)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9827491, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9833764, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832570, SEN S/N: 9818211)"
08/04/18,13:02:16,14.697,47.300,0.2116,0.1717,3.6
08/04/18,14:02:17,14.984,50.900,0.2116,0.1753,4.9
08/04/18,15:02:18,15.986,52.900,0.2109,0.1753,6.4
08/04/18,16:02:19,15.986,53.500,0.2109,0.1746,6.6
08/04/18,17:02:20,14.840,53.400,0.2109,0.1746,5.5
08/04/18,18:02:21,11.467,55.000,0.2102,0.1739,2.8
08/04/18,19:02:22,9.854,61.300,0.2102,0.1739,2.8
08/04/18,20:02:23,9.583,60.900,0.2095,0.1739,2.4
08/04/18,21:02:24,7.870,66.100,0.2095,0.1732,1.9
08/04/18,22:02:25,6.102,72.100,0.2095,0.1732,1.5
08/04/18,23:02:26,7.293,77.500,0.2095,0.1732,3.6
09/04/18,00:02:27,8.245,72.400,0.2095,0.1732,3.6
09/04/18,01:02:28,8.444,69.700,0.2095,0.1732,3.2
09/04/18,02:02:29,8.568,66.300,0.2095,0.1732,2.7
09/04/18,03:02:30,9.780,63.400,0.2095,0.1732,3.2
09/04/18,04:02:31,9.534,57.800,0.2095,0.1732,1.6
09/04/18,05:02:32,9.509,57.000,0.2095,0.1732,1.4
09/04/18,06:02:33,9.460,56.700,0.2095,0.1732,1.3
09/04/18,07:02:34,9.485,59.200,0.2095,0.1732,1.9
09/04/18,08:02:35,10.173,63.600,0.2095,0.1732,3.6
09/04/18,09:02:36,11.613,69.200,0.2095,0.1732,6.2
09/04/18,10:02:37,12.823,68.100,0.2095,0.1724,7.1
09/04/18,11:02:38,13.642,65.000,0.2080,0.1724,7.2
09/04/18,12:02:39,14.673,62.400,0.2080,0.1724,7.6
