"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)"
08/04/18,12:00:02,15.867,39.400,20.722,0.2240,2.1
08/04/18,13:00:02,17.629,41.100,26.965,0.2240,4.3
08/04/18,14:00:02,17.772,43.900,33.183,0.2240,5.3
08/04/18,15:00:02,17.986,46.300,31.153,0.2247,6.3
08/04/18,16:00:02,16.915,48.300,21.366,0.2247,5.9
08/04/18,17:00:02,14.553,49.400,15.724,0.2247,4.1
08/04/18,18:00:02,12.243,52.000,12.509,0.2247,2.7
08/04/18,19:00:02,10.075,58.100,9.903,0.2247,2.2
08/04/18,20:00:02,9.731,57.500,8.543,0.2240,1.8
08/04/18,21:00:02,9.336,60.000,7.895,0.2240,2.0
08/04/18,22:00:02,7.519,64.700,6.763,0.2240,1.3
08/04/18,23:00:02,8.070,68.200,6.102,0.2240,2.6
09/04/18,00:00:02,8.792,62.400,7.091,0.2240,2.0
09/04/18,01:00:02,9.139,61.800,6.788,0.2240,2.2
09/04/18,02:00:02,9.460,57.400,7.116,0.2233,1.5
09/04/18,03:00:02,10.467,54.300,7.745,0.2233,1.6
09/04/18,04:00:02,10.075,52.000,7.770,0.2240,0.7
09/04/18,05:00:02,9.977,51.700,7.645,0.2240,0.5
09/04/18,06:00:02,9.706,52.200,7.343,0.2240,0.4
09/04/18,07:00:02,9.780,53.800,7.268,0.2233,0.9
09/04/18,08:00:02,9.952,60.000,7.318,0.2240,2.6
09/04/18,09:00:02,11.370,66.700,8.120,0.2233,5.4
09/04/18,10:00:02,14.266,65.100,10.736,0.2233,7.8
09/04/18,11:00:02,17.629,56.700,13.546,0.2233,8.9
09/04/18,12:00:02,19.936,55.400,18.818,0.2225,10.8
09/04/18,13:00:02,21.246,50.100,28.667,0.2225,10.5
09/04/18,14:00:02,20.960,49.100,34.995,0.2225,9.9
09/04/18,15:00:02,21.485,47.800,31.663,0.2225,10.0
09/04/18,16:00:02,20.269,51.000,22.753,0.2225,9.8
09/04/18,17:00:02,17.510,45.200,17.415,0.2225,5.5
09/04/18,18:00:02,14.050,50.300,13.112,0.2218,3.9
09/04/18,19:00:02,8.742,65.300,8.941,0.2218,2.6
09/04/18,20:00:02,6.128,77.200,6.077,0.2225,2.4
09/04/18,21:00:02,4.272,76.600,3.932,0.2218,0.5
09/04/18,22:00:02,3.485,77.800,3.036,0.2211,-0.0
09/04/18,23:00:02,3.696,80.900,2.823,0.2211,0.7
10/04/18,00:00:02,5.796,86.500,3.512,0.2204,3.7
10/04/18,01:00:02,7.268,84.800,5.385,0.2204,4.9
10/04/18,02:00:02,6.585,86.900,4.947,0.2204,4.6
10/04/18,03:00:02,7.116,91.400,5.076,0.2204,5.8
10/04/18,04:00:02,7.015,91.200,5.334,0.2204,5.7
10/04/18,05:00:02,8.394,88.700,5.770,0.2204,6.6
10/04/18,06:00:02,9.089,83.800,6.585,0.2204,6.5
10/04/18,07:00:02,10.614,78.000,8.195,0.2204,6.9
10/04/18,08:00:02,10.883,78.700,8.916,0.2204,7.3
10/04/18,09:00:02,11.783,72.000,10.100,0.2204,6.9
10/04/18,10:00:02,10.980,88.300,10.712,0.2204,9.1
10/04/18,11:00:02,16.320,75.800,12.871,0.2196,12.1
10/04/18,12:00:02,17.748,61.000,17.130,0.2196,10.1
10/04/18,13:00:02,15.605,59.300,22.848,0.2189,7.7
10/04/18,14:00:02,19.603,78.900,20.150,0.2196,15.9
10/04/18,15:00:02,20.412,57.200,28.568,0.2196,11.7
10/04/18,16:00:02,17.344,60.000,21.843,0.2196,9.5
10/04/18,17:00:02,16.606,59.200,19.555,0.2196,8.6
10/04/18,18:00:02,14.266,66.000,15.748,0.2196,8.0
10/04/18,19:00:02,13.233,71.300,13.016,0.2196,8.2
10/04/18,20:00:02,10.956,89.900,11.053,0.2196,9.4
10/04/18,21:00:02,9.386,92.400,9.089,0.2196,8.2
10/04/18,22:00:02,8.643,93.100,8.195,0.2196,7.6
10/04/18,23:00:02,8.941,95.900,8.270,0.2189,8.3
11/04/18,00:00:02,9.460,90.800,8.045,0.2196,8.0
11/04/18,01:00:02,10.418,81.200,7.594,0.2189,7.3
11/04/18,02:00:02,10.100,80.000,7.444,0.2189,6.8
11/04/18,03:00:02,9.534,82.700,7.368,0.2189,6.7
11/04/18,04:00:02,9.928,80.900,7.167,0.2189,6.8
11/04/18,05:00:02,10.075,78.100,7.469,0.2189,6.4
11/04/18,06:00:02,10.051,81.200,7.368,0.2189,7.0
11/04/18,07:00:02,10.516,79.200,7.594,0.2189,7.1
11/04/18,08:00:02,11.686,74.700,9.114,0.2189,7.4
11/04/18,09:00:02,12.727,70.800,10.785,0.2189,7.6
11/04/18,10:00:02,13.594,70.500,12.775,0.2189,8.3
11/04/18,11:00:02,17.772,66.500,15.485,0.2182,11.5
11/04/18,12:00:02,19.436,55.600,19.270,0.2182,10.3
11/04/18,13:00:02,21.079,51.700,26.622,0.2175,10.8
11/04/18,14:00:02,17.915,53.300,24.992,0.2175,8.3
11/04/18,15:00:02,18.604,55.300,22.058,0.2175,9.5
11/04/18,16:00:02,16.725,52.600,19.722,0.2175,7.0
11/04/18,17:00:02,15.700,56.900,16.106,0.2175,7.2
11/04/18,18:00:02,14.457,63.900,13.810,0.2167,7.7
11/04/18,19:00:02,11.856,70.500,10.956,0.2175,6.7
11/04/18,20:00:02,11.710,69.100,10.785,0.2167,6.2
11/04/18,21:00:02,10.492,76.700,9.262,0.2167,6.6
11/04/18,22:00:02,12.920,70.500,10.785,0.2167,7.7
11/04/18,23:00:02,12.727,65.700,11.029,0.2167,6.5
12/04/18,00:00:02,12.606,63.700,11.078,0.2167,5.9
12/04/18,01:00:02,12.074,67.200,9.312,0.2167,6.2
12/04/18,02:00:02,12.630,61.700,10.198,0.2167,5.5
12/04/18,03:00:02,11.540,68.900,9.731,0.2167,6.0
12/04/18,04:00:02,11.856,68.100,9.386,0.2167,6.2
12/04/18,05:00:02,12.461,68.000,10.173,0.2167,6.7
12/04/18,06:00:02,12.534,68.200,10.663,0.2167,6.8
12/04/18,07:00:02,10.320,81.200,9.829,0.2167,7.2
12/04/18,08:00:02,11.977,80.200,9.583,0.2167,8.7
12/04/18,09:00:02,12.968,74.700,11.904,0.2167,8.6
12/04/18,10:00:02,13.618,73.800,13.088,0.2160,9.0
12/04/18,11:00:02,15.772,76.800,14.170,0.2160,11.7
12/04/18,12:00:02,14.433,70.300,16.630,0.2160,9.1
12/04/18,13:00:02,17.011,64.500,22.489,0.2160,10.3
12/04/18,14:00:02,16.892,63.700,21.748,0.2160,10.0
12/04/18,15:00:02,14.697,77.200,15.605,0.2160,10.8
12/04/18,16:00:02,16.129,66.700,15.819,0.2153,9.9
12/04/18,17:00:02,15.986,63.500,15.055,0.2153,9.1
12/04/18,18:00:02,15.031,61.600,13.834,0.2153,7.7
12/04/18,19:00:02,14.385,60.100,12.654,0.2153,6.8
12/04/18,20:00:02,14.074,59.800,12.243,0.2146,6.4
12/04/18,21:00:02,13.642,59.900,11.759,0.2153,6.0
12/04/18,22:00:02,13.161,58.800,11.346,0.2153,5.3
12/04/18,23:00:02,12.703,63.300,10.932,0.2153,5.9
13/04/18,00:00:02,11.807,67.900,10.761,0.2153,6.1
