"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832563, SEN S/N: 9818213, LBL: Ambient)","RH, % (LGR S/N: 9832563, SEN S/N: 9818213)","Temp, °C (LGR S/N: 9832563, SEN S/N: 9824750, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832563, SEN S/N: 9827499, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832563, SEN S/N: 9833754, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832563, SEN S/N: 9818213)"
08/04/18,12:00:02,14.026,44.000,8.618,0.1826,0.1303,2.0
08/04/18,13:00:02,14.457,47.100,8.792,0.1819,0.1303,3.3
08/04/18,14:00:02,14.481,50.700,9.213,0.1819,0.1303,4.4
08/04/18,15:00:02,14.960,53.700,9.706,0.1819,0.1303,5.7
08/04/18,16:00:02,14.649,55.600,10.100,0.1819,0.1303,5.9
08/04/18,17:00:02,13.570,54.600,10.247,0.1811,0.1303,4.6
08/04/18,18:00:02,12.268,54.900,10.124,0.1811,0.1303,3.5
08/04/18,19:00:02,10.345,58.700,9.928,0.1819,0.1296,2.6
08/04/18,20:00:02,9.756,60.100,9.632,0.1811,0.1296,2.4
08/04/18,21:00:02,9.485,61.500,9.410,0.1811,0.1303,2.5
08/04/18,22:00:02,8.494,63.400,9.238,0.1811,0.1296,2.0
08/04/18,23:00:02,7.995,67.700,9.015,0.1811,0.1296,2.4
09/04/18,00:00:02,9.040,65.900,8.866,0.1811,0.1288,3.0
09/04/18,01:00:02,9.238,63.400,8.866,0.1811,0.1288,2.7
09/04/18,02:00:02,9.583,60.000,8.817,0.1804,0.1288,2.2
09/04/18,03:00:02,10.492,56.900,8.817,0.1804,0.1288,2.3
09/04/18,04:00:02,10.271,54.400,8.866,0.1804,0.1296,1.5
09/04/18,05:00:02,10.149,53.600,8.841,0.1811,0.1303,1.2
09/04/18,06:00:02,9.879,53.900,8.841,0.1811,0.1303,1.0
09/04/18,07:00:02,9.977,55.400,8.792,0.1804,0.1303,1.5
09/04/18,08:00:02,10.345,60.900,8.792,0.1804,0.1303,3.1
09/04/18,09:00:02,12.558,66.900,8.891,0.1804,0.1303,6.6
09/04/18,10:00:02,13.954,66.400,9.188,0.1797,0.1303,7.8
09/04/18,11:00:02,15.199,64.700,9.534,0.1790,0.1296,8.6
09/04/18,12:00:02,16.272,65.700,9.903,0.1790,0.1296,9.9
09/04/18,13:00:02,16.320,62.200,10.296,0.1782,0.1296,9.1
09/04/18,14:00:02,16.153,62.500,10.687,0.1782,0.1296,9.0
09/04/18,15:00:02,15.748,57.800,11.078,0.1782,0.1296,7.5
09/04/18,16:00:02,15.748,61.100,11.273,0.1782,0.1296,8.3
09/04/18,17:00:02,14.768,58.600,11.394,0.1775,0.1296,6.8
09/04/18,18:00:02,13.473,60.400,11.297,0.1782,0.1288,6.0
09/04/18,19:00:02,9.534,69.100,11.053,0.1775,0.1296,4.2
09/04/18,20:00:02,6.990,76.300,10.467,0.1775,0.1288,3.1
09/04/18,21:00:02,4.947,77.700,9.854,0.1775,0.1288,1.4
09/04/18,22:00:02,4.818,79.900,9.287,0.1768,0.1281,1.6
09/04/18,23:00:02,6.077,83.600,8.891,0.1768,0.1281,3.5
10/04/18,00:00:02,6.382,84.800,8.643,0.1768,0.1281,4.0
10/04/18,01:00:02,8.070,84.400,8.643,0.1768,0.1281,5.6
10/04/18,02:00:02,8.045,83.400,8.742,0.1768,0.1281,5.4
10/04/18,03:00:02,8.469,86.000,8.767,0.1768,0.1281,6.3
10/04/18,04:00:02,8.270,86.400,8.841,0.1768,0.1281,6.1
10/04/18,05:00:02,8.841,86.500,8.866,0.1768,0.1281,6.7
10/04/18,06:00:02,9.460,83.700,8.916,0.1768,0.1281,6.9
10/04/18,07:00:02,10.614,80.100,8.990,0.1761,0.1281,7.3
10/04/18,08:00:02,10.956,77.800,9.139,0.1761,0.1281,7.2
10/04/18,09:00:02,11.759,74.300,9.262,0.1761,0.1281,7.3
10/04/18,10:00:02,11.565,80.700,9.410,0.1761,0.1288,8.4
10/04/18,11:00:02,14.912,76.300,9.558,0.1761,0.1281,10.8
10/04/18,12:00:02,15.700,68.100,9.928,0.1753,0.1281,9.8
10/04/18,13:00:02,15.151,66.500,10.320,0.1753,0.1281,9.0
10/04/18,14:00:02,15.748,76.300,10.565,0.1753,0.1281,11.6
10/04/18,15:00:02,16.868,69.000,10.932,0.1753,0.1281,11.2
