"Date","Time, GMT+11:00","Water Content, m³/m³ (LGR S/N: 9832566, SEN S/N: 9833752, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832566, SEN S/N: 10284205)","RH, % (LGR S/N: 9832566, SEN S/N: 10284205)","DewPt, °C (LGR S/N: 9832566, SEN S/N: 10284205)"
23/02/19,13:00:01,0.1434,20.222,83.100,17.3
23/02/19,14:00:02,0.1448,21.199,81.900,18.0
23/02/19,15:00:03,0.1441,21.151,82.900,18.2
23/02/19,16:00:04,0.1434,19.888,79.400,16.2
23/02/19,17:00:05,0.1426,17.391,73.000,12.5
23/02/19,18:00:06,0.1419,15.986,71.900,10.9
23/02/19,19:00:07,0.1405,13.594,70.600,8.4
23/02/19,20:00:08,0.1397,12.243,75.600,8.1
23/02/19,21:00:09,0.1397,11.005,79.000,7.5
23/02/19,22:00:10,0.1397,10.026,81.800,7.1
23/02/19,23:00:11,0.1397,9.238,81.000,6.2
24/02/19,00:00:12,0.1397,8.543,80.000,5.3
24/02/19,01:00:13,0.1397,7.217,75.000,3.1
24/02/19,02:00:14,0.1397,6.458,76.200,2.6
24/02/19,03:00:15,0.1397,5.975,72.900,1.5
24/02/19,04:00:16,0.1397,6.458,66.000,0.6
24/02/19,05:00:17,0.1397,6.255,68.300,0.9
24/02/19,06:00:18,0.1397,5.975,64.500,-0.2
24/02/19,07:00:19,0.1397,5.796,67.900,0.3
24/02/19,08:00:20,0.1390,6.889,67.100,1.2
24/02/19,09:00:21,0.1397,10.761,63.600,4.1
24/02/19,10:00:22,0.1397,14.218,57.600,6.0
24/02/19,11:00:23,0.1397,17.153,56.500,8.5
24/02/19,12:00:24,0.1405,19.056,55.300,9.9
24/02/19,13:00:25,0.1405,20.698,55.900,11.6
24/02/19,14:00:26,0.1405,21.557,62.200,14.0
24/02/19,15:00:27,0.1405,21.413,65.400,14.7
24/02/19,16:00:28,0.1405,20.055,62.600,12.7
24/02/19,17:00:29,0.1397,18.057,55.400,9.0
24/02/19,18:00:30,0.1383,16.749,55.000,7.7
24/02/19,19:00:31,0.1376,15.151,55.400,6.3
24/02/19,20:00:32,0.1368,13.546,60.700,6.1
24/02/19,21:00:33,0.1361,11.710,61.800,4.6
24/02/19,22:00:34,0.1361,9.386,61.000,2.3
24/02/19,23:00:35,0.1361,8.568,65.400,2.5
25/02/19,00:00:36,0.1361,7.770,67.400,2.1
25/02/19,01:00:37,0.1354,7.242,69.200,2.0
25/02/19,02:00:38,0.1361,6.788,70.800,1.9
25/02/19,03:00:39,0.1361,6.712,73.100,2.2
25/02/19,04:00:40,0.1354,6.712,74.900,2.6
25/02/19,05:00:41,0.1361,6.179,73.800,1.9
25/02/19,06:00:42,0.1361,5.872,74.100,1.6
25/02/19,07:00:43,0.1361,5.642,74.700,1.5
25/02/19,08:00:44,0.1361,6.585,79.500,3.3
25/02/19,09:00:45,0.1361,10.614,92.500,9.5
25/02/19,10:00:46,0.1368,13.425,94.000,12.5
25/02/19,11:00:47,0.1376,16.844,94.400,16.0
25/02/19,12:00:48,0.1383,19.698,90.300,18.1
25/02/19,13:00:49,0.1383,21.795,80.400,18.3
25/02/19,14:00:50,0.1383,22.274,71.800,17.0
25/02/19,15:00:51,0.1376,21.557,69.100,15.7
25/02/19,16:00:52,0.1368,20.913,67.900,14.8
25/02/19,17:00:53,0.1368,20.603,75.800,16.2
25/02/19,18:00:54,0.1361,19.294,77.600,15.3
25/02/19,19:00:55,0.1347,16.773,71.400,11.6
25/02/19,20:00:56,0.1339,14.649,73.900,10.1
25/02/19,21:00:57,0.1339,12.944,74.400,8.5
25/02/19,22:00:58,0.1332,11.540,73.500,7.0
25/02/19,23:00:59,0.1332,10.418,73.600,5.9
26/02/19,00:01:00,0.1332,9.460,74.200,5.1
26/02/19,01:01:01,0.1332,9.040,76.100,5.1
26/02/19,02:01:02,0.1332,8.668,77.300,4.9
26/02/19,03:01:03,0.1332,8.220,78.100,4.6
26/02/19,04:01:04,0.1332,7.444,75.600,3.4
26/02/19,05:01:05,0.1332,7.142,76.600,3.3
26/02/19,06:01:06,0.1332,7.217,79.100,3.8
26/02/19,07:01:07,0.1332,7.368,80.800,4.3
26/02/19,08:01:08,0.1332,8.543,86.000,6.3
26/02/19,09:01:09,0.1332,11.856,94.700,11.0
26/02/19,10:01:10,0.1332,13.690,94.700,12.9
26/02/19,11:01:11,0.1339,16.749,94.800,15.9
26/02/19,12:01:12,0.1339,18.699,91.500,17.3
26/02/19,13:01:13,0.1347,20.507,88.000,18.5
26/02/19,14:01:14,0.1347,22.369,86.500,20.0
26/02/19,15:01:15,0.1347,21.939,82.900,18.9
26/02/19,16:01:16,0.1347,21.413,83.400,18.5
26/02/19,17:01:17,0.1339,20.746,81.700,17.5
26/02/19,18:01:18,0.1332,18.271,80.300,14.8
26/02/19,19:01:19,0.1325,16.511,82.900,13.6
26/02/19,20:01:20,0.1318,14.481,84.100,11.8
26/02/19,21:01:21,0.1318,13.281,85.100,10.8
26/02/19,22:01:22,0.1318,12.413,84.900,10.0
26/02/19,23:01:23,0.1310,11.127,81.500,8.1
27/02/19,00:01:24,0.1310,10.198,79.600,6.8
27/02/19,01:01:25,0.1310,9.238,78.600,5.7
27/02/19,02:01:26,0.1310,9.114,81.100,6.1
