"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832569, SEN S/N: 9818209, LBL: Ambient)","RH, % (LGR S/N: 9832569, SEN S/N: 9818209)","Temp, °C (LGR S/N: 9832569, SEN S/N: 9824746, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833753, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833755, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832569, SEN S/N: 9818209)"
23/02/19,12:00:01,27.628,41.400,12.243,0.1426,0.1201,13.4
23/02/19,13:00:01,27.308,41.700,13.064,0.1426,0.1194,13.2
23/02/19,14:00:01,25.720,44.400,14.673,0.1419,0.1187,12.7
23/02/19,15:00:01,22.753,47.300,16.153,0.1412,0.1180,11.0
23/02/19,16:00:01,20.246,50.500,17.391,0.1397,0.1172,9.7
23/02/19,17:00:01,17.605,52.900,18.247,0.1397,0.1165,7.9
23/02/19,18:00:01,14.553,55.100,18.604,0.1397,0.1158,5.7
23/02/19,19:00:01,12.001,57.500,17.796,0.1390,0.1150,3.9
23/02/19,20:00:01,9.608,72.800,15.772,0.1383,0.1150,5.0
23/02/19,21:00:01,8.170,85.600,14.385,0.1383,0.1143,5.9
23/02/19,22:00:01,7.242,90.800,13.473,0.1383,0.1143,5.8
23/02/19,23:00:01,5.949,89.000,12.751,0.1383,0.1143,4.3
24/02/19,00:00:01,4.454,87.000,12.050,0.1376,0.1143,2.5
24/02/19,01:00:01,2.664,81.800,11.297,0.1376,0.1143,-0.1
24/02/19,02:00:01,1.886,83.800,10.541,0.1376,0.1143,-0.6
24/02/19,03:00:01,1.967,86.800,10.001,0.1376,0.1150,0.0
24/02/19,04:00:01,2.584,86.000,9.657,0.1376,0.1158,0.5
24/02/19,05:00:01,1.453,84.500,9.361,0.1368,0.1150,-0.9
24/02/19,06:00:01,1.180,83.400,8.990,0.1368,0.1150,-1.3
24/02/19,07:00:01,0.301,81.900,8.618,0.1376,0.1158,-2.4
24/02/19,08:00:01,4.350,84.400,8.295,0.1376,0.1165,2.0
24/02/19,09:00:01,16.058,59.600,8.369,0.1376,0.1172,8.2
24/02/19,10:00:01,22.489,35.300,9.040,0.1376,0.1165,6.4
24/02/19,11:00:01,25.939,30.200,10.100,0.1368,0.1165,7.1
