"Date","Time, GMT+11:00","Water Content, m^3/m^3 (LGR S/N: 9832567, SEN S/N: 0)","Temp, °C (LGR S/N: 9832567, SEN S/N: 9818210)","RH, % (LGR S/N: 9832567, SEN S/N: 9818210)","Temp, °C (LGR S/N: 9832567, SEN S/N: 9824742)","Water Content, m³/m³ (LGR S/N: 9832567, SEN S/N: 9833751)","DewPt, °C (LGR S/N: 9832567, SEN S/N: 9818210)"
23/02/19,11:00:01,0.07218,27.063,38.100,12.823,-0.0121,11.6
23/02/19,12:00:01,0.07218,27.949,36.200,14.194,-0.0157,11.6
23/02/19,13:00:01,0.07218,28.369,37.900,16.558,-0.0200,12.7
23/02/19,14:00:01,0.07160,24.629,41.300,17.653,-0.0251,10.6
23/02/19,15:00:01,0.06989,22.393,45.400,17.724,-0.0266,10.0
23/02/19,16:00:01,0.06875,19.865,48.300,17.130,-0.0266,8.6
23/02/19,17:00:01,0.06761,17.605,50.800,15.867,-0.0259,7.3
23/02/19,18:00:01,0.06703,14.577,54.200,14.601,-0.0259,5.4
23/02/19,19:00:01,0.06646,12.122,56.500,12.678,-0.0244,3.7
23/02/19,20:00:01,0.06646,9.731,70.400,10.736,-0.0237,4.6
23/02/19,21:00:01,0.06703,8.095,82.900,9.312,-0.0230,5.4
23/02/19,22:00:01,0.06646,6.661,89.400,8.593,-0.0222,5.0
23/02/19,23:00:01,0.06703,5.693,90.200,8.170,-0.0208,4.2
24/02/19,00:00:01,0.06703,3.142,89.700,7.469,-0.0208,1.6
24/02/19,01:00:01,0.06761,0.934,85.600,5.872,-0.0193,-1.2
24/02/19,02:00:01,0.06761,2.021,88.900,5.179,-0.0186,0.4
24/02/19,03:00:01,0.06761,2.610,72.500,4.818,-0.0186,-1.8
24/02/19,04:00:01,0.06761,3.195,58.100,5.205,-0.0186,-4.2
24/02/19,05:00:01,0.06761,1.994,56.200,5.076,-0.0179,-5.8
24/02/19,06:00:01,0.06761,2.557,49.100,4.688,-0.0179,-7.0
24/02/19,07:00:01,0.06761,0.467,56.000,4.480,-0.0171,-7.3
24/02/19,08:00:01,0.06761,5.616,52.300,4.714,-0.0171,-3.4
24/02/19,09:00:01,0.06761,20.150,33.200,7.444,-0.0157,3.5
24/02/19,10:00:01,0.06703,25.647,23.700,10.149,-0.0150,3.4
24/02/19,11:00:01,0.06703,29.315,21.800,12.437,-0.0157,5.3
24/02/19,12:00:01,0.06703,29.765,20.500,14.721,-0.0193,4.8
24/02/19,13:00:01,0.06589,30.495,21.600,16.606,-0.0237,6.1
24/02/19,14:00:01,0.06532,30.016,24.800,17.677,-0.0273,7.7
24/02/19,15:00:01,0.06418,26.182,29.800,18.200,-0.0302,7.2
24/02/19,16:00:01,0.06246,23.569,32.900,17.962,-0.0302,6.3
24/02/19,17:00:01,0.06189,20.841,34.200,16.773,-0.0295,4.5
24/02/19,18:00:01,0.06075,18.485,36.800,15.724,-0.0288,3.5
24/02/19,19:00:01,0.06075,15.819,41.800,14.553,-0.0280,2.9
24/02/19,20:00:01,0.06018,11.467,52.700,12.703,-0.0273,2.2
24/02/19,21:00:01,0.06018,7.318,61.300,10.590,-0.0266,0.4
24/02/19,22:00:01,0.06018,4.324,65.400,8.120,-0.0259,-1.6
24/02/19,23:00:01,0.06018,3.749,72.800,7.393,-0.0251,-0.7
25/02/19,00:00:01,0.06018,2.690,74.300,6.509,-0.0244,-1.4
25/02/19,01:00:01,0.06075,1.967,76.700,5.898,-0.0237,-1.7
25/02/19,02:00:01,0.06075,1.859,79.300,5.770,-0.0230,-1.3
25/02/19,03:00:01,0.06075,1.940,81.400,5.745,-0.0222,-0.9
25/02/19,04:00:01,0.06132,2.262,84.300,5.924,-0.0215,-0.1
25/02/19,05:00:01,0.06132,1.208,83.300,5.565,-0.0215,-1.3
25/02/19,06:00:01,0.06132,1.017,84.200,5.128,-0.0208,-1.3
