"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)"
05/11/19,11:00:01,9.657,98.100,16.272,0.2923,9.4
05/11/19,12:00:01,12.847,94.800,20.126,0.2937,12.0
05/11/19,13:00:01,15.986,80.800,23.208,0.2915,12.7
05/11/19,14:00:01,17.701,69.800,22.011,0.2901,12.1
05/11/19,15:00:01,15.008,60.900,18.129,0.2886,7.5
05/11/19,16:00:01,13.497,62.900,14.505,0.2865,6.6
05/11/19,17:00:01,11.175,65.800,12.050,0.2843,5.0
05/11/19,18:00:01,8.543,71.900,10.614,0.2828,3.8
05/11/19,19:00:01,6.306,80.700,9.139,0.2821,3.2
05/11/19,20:00:01,4.766,88.200,7.895,0.2806,3.0
05/11/19,21:00:01,3.670,90.000,6.940,0.2792,2.2
05/11/19,22:00:01,3.591,91.500,6.281,0.2792,2.3
05/11/19,23:00:01,2.610,90.700,5.668,0.2777,1.2
06/11/19,00:00:01,2.182,92.200,5.024,0.2770,1.0
06/11/19,01:00:01,2.021,93.200,4.688,0.2770,1.0
06/11/19,02:00:01,2.101,90.300,4.376,0.2763,0.7
06/11/19,03:00:01,2.021,91.000,4.168,0.2756,0.7
06/11/19,04:00:01,1.967,91.600,3.932,0.2756,0.7
06/11/19,05:00:01,1.670,90.700,3.722,0.2748,0.3
06/11/19,06:00:01,1.994,90.200,3.538,0.2748,0.6
06/11/19,07:00:01,2.610,88.000,3.801,0.2741,0.8
06/11/19,08:00:01,3.089,85.100,4.220,0.2741,0.8
06/11/19,09:00:01,5.924,82.000,4.818,0.2741,3.1
06/11/19,10:00:01,5.231,75.100,7.041,0.2741,1.2
06/11/19,11:00:01,2.983,87.500,6.230,0.2734,1.1
06/11/19,12:00:01,2.956,96.400,5.565,0.2734,2.4
06/11/19,13:00:01,2.770,98.300,6.000,0.2734,2.5
06/11/19,14:00:01,6.051,98.700,7.268,0.2741,5.9
06/11/19,15:00:01,7.720,91.900,9.089,0.2741,6.5
06/11/19,16:00:01,8.095,80.800,8.494,0.2741,5.0
06/11/19,17:00:01,6.433,82.700,7.645,0.2734,3.7
06/11/19,18:00:01,6.000,88.500,6.864,0.2734,4.2
06/11/19,19:00:01,5.257,96.100,6.102,0.2734,4.7
06/11/19,20:00:01,4.999,99.400,5.898,0.2734,4.9
06/11/19,21:00:01,4.999,99.100,5.770,0.2734,4.9
06/11/19,22:00:01,5.024,97.200,5.693,0.2734,4.6
06/11/19,23:00:01,4.558,93.600,5.514,0.2734,3.6
07/11/19,00:00:01,3.801,90.300,5.050,0.2734,2.4
07/11/19,01:00:01,2.343,81.200,4.141,0.2734,-0.5
07/11/19,02:00:01,1.561,83.000,3.485,0.2734,-1.0
07/11/19,03:00:01,1.044,87.700,3.168,0.2727,-0.8
07/11/19,04:00:01,0.825,91.400,2.983,0.2727,-0.4
07/11/19,05:00:01,0.605,94.300,2.956,0.2727,-0.2
07/11/19,06:00:01,0.301,96.600,2.664,0.2727,-0.2
07/11/19,07:00:01,0.107,98.100,2.209,0.2719,-0.2
07/11/19,08:00:01,0.495,98.900,2.316,0.2719,0.3
07/11/19,09:00:01,0.770,99.900,2.983,0.2727,0.8
07/11/19,10:00:01,1.044,100.000,3.696,0.2727,1.0
07/11/19,11:00:01,1.778,100.000,4.714,0.2843,1.8
07/11/19,12:00:01,1.480,100.000,4.792,0.3075,1.5
07/11/19,13:00:01,1.697,100.000,4.089,0.3075,1.7
07/11/19,14:00:01,1.208,100.000,3.985,0.3046,1.2
07/11/19,15:00:01,1.534,100.000,3.617,0.3039,1.5
07/11/19,16:00:01,1.588,100.000,3.722,0.3053,1.6
07/11/19,17:00:01,1.126,100.000,3.512,0.3097,1.1
07/11/19,18:00:01,1.398,100.000,3.063,0.3257,1.4
