"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832569, SEN S/N: 9818209, LBL: Ambient)","RH, % (LGR S/N: 9832569, SEN S/N: 9818209)","Temp, °C (LGR S/N: 9832569, SEN S/N: 9824746, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833753, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833755, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832569, SEN S/N: 9818209)"
05/11/19,11:00:01,16.677,78.100,6.077,0.2763,0.2589,12.9
05/11/19,12:00:01,18.889,65.200,6.611,0.2777,0.2596,12.2
05/11/19,13:00:01,20.627,51.100,7.895,0.2777,0.2596,10.2
05/11/19,14:00:01,21.199,51.800,9.485,0.2777,0.2596,10.9
05/11/19,15:00:01,18.937,49.300,11.127,0.2770,0.2589,8.1
05/11/19,16:00:01,16.558,54.300,12.268,0.2756,0.2581,7.3
05/11/19,17:00:01,13.233,59.400,12.823,0.2748,0.2567,5.5
05/11/19,18:00:01,9.361,67.600,12.678,0.2748,0.2560,3.7
05/11/19,19:00:01,6.230,79.300,11.783,0.2748,0.2552,2.9
05/11/19,20:00:01,4.792,88.100,10.565,0.2734,0.2545,3.0
05/11/19,21:00:01,3.670,90.000,9.558,0.2734,0.2538,2.2
05/11/19,22:00:01,3.643,91.500,8.742,0.2727,0.2530,2.4
05/11/19,23:00:01,2.477,90.700,8.045,0.2719,0.2523,1.1
06/11/19,00:00:01,1.994,92.600,7.419,0.2719,0.2523,0.9
06/11/19,01:00:01,1.886,93.600,6.914,0.2712,0.2516,1.0
06/11/19,02:00:01,1.913,90.800,6.484,0.2712,0.2516,0.6
06/11/19,03:00:01,1.805,91.600,6.179,0.2705,0.2516,0.6
06/11/19,04:00:01,1.697,92.300,5.898,0.2705,0.2509,0.6
06/11/19,05:00:01,1.453,91.600,5.642,0.2698,0.2509,0.2
06/11/19,06:00:01,1.778,91.200,5.385,0.2698,0.2501,0.5
06/11/19,07:00:01,2.744,88.500,5.257,0.2690,0.2509,1.0
06/11/19,08:00:01,3.406,83.700,5.231,0.2690,0.2509,0.9
06/11/19,09:00:01,7.343,78.300,5.282,0.2690,0.2501,3.8
06/11/19,10:00:01,6.331,71.000,5.565,0.2683,0.2501,1.5
06/11/19,11:00:01,3.406,85.800,5.821,0.2683,0.2494,1.3
06/11/19,12:00:01,3.485,95.000,5.745,0.2683,0.2494,2.8
06/11/19,13:00:01,3.009,96.100,5.745,0.2676,0.2494,2.4
06/11/19,14:00:01,7.293,96.600,5.847,0.2676,0.2501,6.8
06/11/19,15:00:01,9.188,87.600,6.433,0.2676,0.2501,7.2
06/11/19,16:00:01,9.163,75.700,7.419,0.2676,0.2501,5.1
06/11/19,17:00:01,6.990,79.600,7.995,0.2676,0.2501,3.7
06/11/19,18:00:01,6.128,87.300,7.795,0.2676,0.2494,4.2
06/11/19,19:00:01,5.308,95.200,7.343,0.2661,0.2487,4.6
06/11/19,20:00:01,4.973,98.400,7.041,0.2661,0.2487,4.7
06/11/19,21:00:01,4.921,98.300,6.813,0.2654,0.2487,4.7
06/11/19,22:00:01,4.895,97.200,6.636,0.2661,0.2494,4.5
06/11/19,23:00:01,4.350,94.800,6.509,0.2654,0.2487,3.6
07/11/19,00:00:01,3.433,92.000,6.306,0.2654,0.2494,2.3
07/11/19,01:00:01,1.994,83.700,5.924,0.2654,0.2494,-0.5
07/11/19,02:00:01,1.317,84.800,5.437,0.2654,0.2480,-1.0
07/11/19,03:00:01,0.880,88.700,5.050,0.2654,0.2487,-0.8
07/11/19,04:00:01,0.797,92.000,4.740,0.2647,0.2487,-0.4
07/11/19,05:00:01,0.660,94.200,4.506,0.2647,0.2480,-0.2
07/11/19,06:00:01,0.273,96.500,4.298,0.2647,0.2487,-0.2
07/11/19,07:00:01,0.107,98.000,4.063,0.2647,0.2487,-0.2
07/11/19,08:00:01,0.522,98.500,3.880,0.2647,0.2487,0.3
07/11/19,09:00:01,1.017,98.600,3.801,0.2639,0.2487,0.8
07/11/19,10:00:01,1.480,98.800,3.775,0.2639,0.2487,1.3
07/11/19,11:00:01,2.262,98.700,3.801,0.2632,0.2523,2.1
07/11/19,12:00:01,1.832,98.800,3.906,0.2705,0.2574,1.7
07/11/19,13:00:01,2.101,99.600,3.880,0.2770,0.2603,2.0
07/11/19,14:00:01,1.425,99.800,3.932,0.2785,0.2610,1.4
07/11/19,15:00:01,1.805,100.000,3.932,0.2792,0.2618,1.8
07/11/19,16:00:01,1.751,100.000,3.932,0.2799,0.2625,1.7
07/11/19,17:00:01,1.153,100.000,3.906,0.2843,0.2654,1.1
07/11/19,18:00:01,1.371,100.000,3.617,0.3024,0.2756,1.4
07/11/19,19:00:01,1.344,100.000,3.195,0.3191,0.2944,1.3
07/11/19,20:00:01,2.101,100.000,2.797,0.3206,0.2995,2.1
07/11/19,21:00:01,2.610,100.000,2.637,0.3206,0.3010,2.6
07/11/19,22:00:01,2.823,100.000,2.744,0.3162,0.2981,2.8
07/11/19,23:00:01,2.797,100.000,2.903,0.3133,0.2966,2.8
08/11/19,00:00:01,2.744,100.000,3.036,0.3053,0.2894,2.7
08/11/19,01:00:01,2.503,100.000,3.142,0.3017,0.2865,2.5
08/11/19,02:00:01,2.101,100.000,3.195,0.3003,0.2865,2.1
08/11/19,03:00:01,1.859,100.000,3.168,0.2988,0.2850,1.9
08/11/19,04:00:01,1.480,100.000,3.063,0.3017,0.2886,1.5
08/11/19,05:00:01,1.534,100.000,2.850,0.3010,0.2872,1.5
08/11/19,06:00:01,1.371,100.000,2.823,0.2981,0.2843,1.4
08/11/19,07:00:01,1.262,100.000,2.823,0.2952,0.2814,1.3
08/11/19,08:00:01,0.797,100.000,2.823,0.2930,0.2792,0.8
08/11/19,09:00:01,1.044,100.000,2.744,0.2915,0.2785,1.0
08/11/19,10:00:01,1.208,100.000,2.690,0.2930,0.2806,1.2
08/11/19,11:00:01,1.643,100.000,2.744,0.2930,0.2814,1.6
08/11/19,12:00:01,7.268,99.600,2.877,0.2952,0.2836,7.2
08/11/19,13:00:01,3.380,97.100,3.696,0.2930,0.2814,3.0
08/11/19,14:00:01,1.859,98.800,3.906,0.2908,0.2785,1.7
08/11/19,15:00:01,2.557,99.400,3.643,0.2894,0.2777,2.5
08/11/19,16:00:01,4.999,99.600,3.880,0.3003,0.2872,4.9
08/11/19,17:00:01,3.906,98.400,4.480,0.2966,0.2843,3.7
08/11/19,18:00:01,2.903,99.200,4.662,0.2952,0.2828,2.8
08/11/19,19:00:01,1.262,98.900,4.844,0.2937,0.2806,1.1
08/11/19,20:00:01,0.301,98.000,4.376,0.2915,0.2785,0.0
08/11/19,21:00:01,0.246,96.900,3.906,0.2894,0.2770,-0.2
08/11/19,22:00:01,-0.116,97.200,3.617,0.2886,0.2756,-0.5
08/11/19,23:00:01,-0.873,96.000,3.380,0.2872,0.2741,-1.4
09/11/19,00:00:01,-1.128,96.000,3.116,0.2857,0.2734,-1.7
09/11/19,01:00:01,-2.160,94.700,2.903,0.2850,0.2727,-2.9
09/11/19,02:00:01,-2.276,94.000,2.664,0.2843,0.2712,-3.1
