"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832559, SEN S/N: 9818224, LBL: Ambient)","RH, % (LGR S/N: 9832559, SEN S/N: 9818224)","Temp, °C (LGR S/N: 9832559, SEN S/N: 9824745, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832559, SEN S/N: 9827494, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832559, SEN S/N: 9827497, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832559, SEN S/N: 9818224)"
05/11/19,11:00:01,5.539,1.000,5.334,0.2719,0.2981,-46.6
05/11/19,12:00:01,8.767,1.000,5.693,0.2756,0.2901,-44.6
05/11/19,13:00:01,9.756,1.000,6.990,0.2770,0.2850,-44.0
05/11/19,14:00:01,10.590,1.000,8.543,0.2777,0.2821,-43.5
05/11/19,15:00:01,10.100,1.000,9.682,0.2770,0.2799,-43.8
05/11/19,16:00:01,9.780,1.000,10.198,0.2763,0.2777,-44.0
05/11/19,17:00:01,9.188,1.000,10.247,0.2756,0.2763,-44.4
05/11/19,18:00:01,8.519,1.000,9.928,0.2748,0.2748,-44.8
05/11/19,19:00:01,7.318,1.000,9.435,0.2748,0.2734,-45.5
05/11/19,20:00:01,5.616,1.000,8.891,0.2748,0.2727,-46.6
05/11/19,21:00:01,4.662,1.000,8.394,0.2741,0.2719,-47.1
05/11/19,22:00:01,3.985,1.000,7.920,0.2734,0.2705,-47.6
05/11/19,23:00:01,3.221,1.000,7.519,0.2727,0.2698,-48.0
06/11/19,00:00:01,3.327,1.000,7.142,0.2727,0.2683,-48.0
06/11/19,01:00:01,2.557,1.000,6.788,0.2727,0.2676,-48.5
06/11/19,02:00:01,2.664,1.000,6.484,0.2719,0.2676,-48.4
06/11/19,03:00:01,2.717,1.000,6.230,0.2712,0.2668,-48.4
06/11/19,04:00:01,2.610,1.000,6.026,0.2712,0.2661,-48.4
06/11/19,05:00:01,2.343,1.000,5.821,0.2705,0.2654,-48.6
06/11/19,06:00:01,2.262,1.000,5.642,0.2705,0.2647,-48.6
06/11/19,07:00:01,2.557,1.000,5.488,0.2698,0.2647,-48.5
06/11/19,08:00:01,2.877,1.000,5.385,0.2690,0.2639,-48.3
06/11/19,09:00:01,4.141,1.000,5.360,0.2683,0.2632,-47.5
06/11/19,10:00:01,4.558,1.000,5.385,0.2690,0.2632,-47.2
06/11/19,11:00:01,3.854,1.000,5.539,0.2690,0.2625,-47.6
06/11/19,12:00:01,3.670,1.000,5.539,0.2690,0.2618,-47.8
06/11/19,13:00:01,3.854,1.000,5.514,0.2683,0.2618,-47.6
06/11/19,14:00:01,4.973,1.000,5.539,0.2676,0.2618,-47.0
06/11/19,15:00:01,6.051,1.000,5.745,0.2676,0.2610,-46.3
