"Date","Time, GMT+11:00","Water Content, m^3/m^3 (LGR S/N: 9832560, SEN S/N: 0)","Temp, °C (LGR S/N: 9832560, SEN S/N: 9818210)","RH, % (LGR S/N: 9832560, SEN S/N: 9818210)","Temp, °C (LGR S/N: 9832560, SEN S/N: 9824742)","Water Content, m³/m³ (LGR S/N: 9832560, SEN S/N: 9833751)","DewPt, °C (LGR S/N: 9832560, SEN S/N: 9818210)"
05/11/19,10:00:01,0.13787,11.613,78.700,3.564,0.1383,8.1
05/11/19,11:00:01,0.13845,14.912,73.700,4.376,0.1354,10.3
05/11/19,12:00:01,0.13959,18.343,66.800,6.433,0.1332,12.1
05/11/19,13:00:01,0.13959,17.867,58.600,8.519,0.1274,9.7
05/11/19,14:00:01,0.14016,20.031,62.700,10.590,0.1245,12.7
05/11/19,15:00:01,0.13902,18.604,60.200,12.413,0.1216,10.8
05/11/19,16:00:01,0.13902,15.772,66.700,12.751,0.1194,9.6
05/11/19,17:00:01,0.13845,12.050,70.900,11.443,0.1187,6.9
05/11/19,18:00:01,0.13787,9.040,77.000,10.516,0.1172,5.2
05/11/19,19:00:01,0.13787,6.051,82.400,8.965,0.1165,3.3
05/11/19,20:00:01,0.13730,4.869,89.100,7.519,0.1165,3.2
05/11/19,21:00:01,0.13673,3.327,90.900,6.611,0.1165,2.0
05/11/19,22:00:01,0.13616,3.354,92.200,5.872,0.1180,2.2
05/11/19,23:00:01,0.13616,2.047,92.200,4.973,0.1187,0.9
06/11/19,00:00:01,0.13559,1.534,92.800,4.324,0.1158,0.5
06/11/19,01:00:01,0.13559,1.371,92.700,4.011,0.1158,0.3
06/11/19,02:00:01,0.13502,1.425,92.700,3.696,0.1158,0.4
06/11/19,03:00:01,0.13502,1.317,93.000,3.512,0.1158,0.3
06/11/19,04:00:01,0.13502,1.262,93.200,3.327,0.1158,0.3
06/11/19,05:00:01,0.13445,0.934,93.200,3.089,0.1158,-0.0
06/11/19,06:00:01,0.13445,1.317,93.100,2.877,0.1158,0.3
06/11/19,07:00:01,0.13445,2.316,91.600,3.221,0.1158,1.1
06/11/19,08:00:01,0.13388,3.801,86.300,3.749,0.1158,1.7
06/11/19,09:00:01,0.13388,9.977,78.900,4.324,0.1165,6.5
06/11/19,10:00:01,0.13388,7.645,70.600,6.153,0.1129,2.7
06/11/19,11:00:01,0.13388,4.350,83.100,5.437,0.1121,1.7
06/11/19,12:00:01,0.13388,4.011,91.300,4.999,0.1136,2.7
06/11/19,13:00:01,0.13445,3.617,90.800,5.488,0.1136,2.3
06/11/19,14:00:01,0.13388,8.270,89.800,6.128,0.1150,6.7
06/11/19,15:00:01,0.13388,9.952,86.300,7.845,0.1136,7.8
06/11/19,16:00:01,0.13388,9.262,80.600,8.319,0.1121,6.1
06/11/19,17:00:01,0.13445,7.268,82.800,7.494,0.1107,4.5
06/11/19,18:00:01,0.13388,6.408,87.500,6.763,0.1107,4.5
06/11/19,19:00:01,0.13388,5.488,89.100,6.153,0.1150,3.8
06/11/19,20:00:01,0.13330,5.050,88.900,5.975,0.1172,3.4
06/11/19,21:00:01,0.13330,5.076,89.100,5.847,0.1180,3.4
06/11/19,22:00:01,0.13330,5.076,89.700,5.770,0.1180,3.5
06/11/19,23:00:01,0.13330,4.558,90.600,5.539,0.1180,3.2
07/11/19,00:00:01,0.13330,3.643,90.700,4.844,0.1180,2.3
07/11/19,01:00:01,0.13330,1.751,88.100,3.696,0.1180,-0.0
07/11/19,02:00:01,0.13330,0.962,89.000,2.983,0.1180,-0.6
07/11/19,03:00:01,0.13330,0.550,91.000,2.664,0.1180,-0.8
07/11/19,04:00:01,0.13330,0.577,91.800,2.396,0.1180,-0.6
07/11/19,05:00:01,0.13330,0.412,91.800,2.370,0.1180,-0.8
07/11/19,06:00:01,0.13330,0.107,91.300,2.021,0.1187,-1.1
07/11/19,07:00:01,0.13330,-0.116,90.700,1.724,0.1209,-1.5
07/11/19,08:00:01,0.13273,0.356,90.300,1.886,0.1245,-1.0
07/11/19,09:00:01,0.13273,1.153,90.200,2.370,0.1274,-0.3
07/11/19,10:00:01,0.13273,2.128,89.900,2.850,0.1296,0.6
07/11/19,11:00:01,0.13273,3.722,89.800,3.195,0.1310,2.2
07/11/19,12:00:01,0.13273,2.717,90.100,3.089,0.1332,1.3
07/11/19,13:00:01,0.13330,2.850,89.700,2.903,0.1339,1.3
07/11/19,14:00:01,0.13388,1.778,89.600,2.877,0.1339,0.3
07/11/19,15:00:01,0.13445,2.047,89.800,2.850,0.1354,0.5
07/11/19,16:00:01,0.13502,2.101,89.900,3.116,0.1368,0.6
07/11/19,17:00:01,0.13502,1.289,90.000,3.009,0.1405,-0.2
07/11/19,18:00:01,0.13616,1.371,90.300,2.584,0.1506,-0.0
07/11/19,19:00:01,0.13959,1.344,90.600,2.289,0.1681,-0.0
07/11/19,20:00:01,0.15273,2.047,91.000,2.423,0.1732,0.7
07/11/19,21:00:01,0.15558,2.503,91.300,2.850,0.1732,1.2
07/11/19,22:00:01,0.15558,2.744,91.400,3.116,0.1717,1.5
07/11/19,23:00:01,0.15558,2.770,91.500,3.195,0.1695,1.5
08/11/19,00:00:01,0.15330,2.690,91.500,3.195,0.1652,1.4
08/11/19,01:00:01,0.15159,2.423,91.500,3.168,0.1623,1.2
08/11/19,02:00:01,0.15044,2.021,91.400,2.930,0.1608,0.8
08/11/19,03:00:01,0.14987,1.859,91.400,2.744,0.1601,0.6
08/11/19,04:00:01,0.14987,1.453,91.400,2.530,0.1615,0.2
08/11/19,05:00:01,0.15044,1.480,91.500,2.477,0.1608,0.2
08/11/19,06:00:01,0.15044,1.289,91.600,2.370,0.1594,0.1
08/11/19,07:00:01,0.14930,1.208,91.500,2.289,0.1572,-0.0
08/11/19,08:00:01,0.14816,0.770,91.400,2.209,0.1557,-0.5
08/11/19,09:00:01,0.14759,1.344,91.300,2.128,0.1564,0.1
08/11/19,10:00:01,0.14759,1.371,91.100,2.557,0.1543,0.1
08/11/19,11:00:01,0.14759,2.316,90.900,2.450,0.1579,1.0
08/11/19,12:00:01,0.14816,9.386,90.700,4.376,0.1594,8.0
08/11/19,13:00:01,0.14816,4.844,91.300,5.437,0.1528,3.5
08/11/19,14:00:01,0.14816,1.425,91.800,3.406,0.1564,0.2
08/11/19,15:00:01,0.14759,2.797,90.900,4.324,0.1557,1.5
08/11/19,16:00:01,0.14816,5.565,90.300,5.668,0.1557,4.1
08/11/19,17:00:01,0.14873,3.854,91.200,2.877,0.1623,2.6
08/11/19,18:00:01,0.14873,2.503,90.400,2.557,0.1572,1.1
08/11/19,19:00:01,0.14759,0.907,90.800,1.235,0.1543,-0.4
08/11/19,20:00:01,0.14702,-0.311,91.300,0.550,0.1521,-1.6
08/11/19,21:00:01,0.14644,-0.060,91.700,1.099,0.1506,-1.3
08/11/19,22:00:01,0.14587,-0.732,91.600,0.550,0.1492,-1.9
08/11/19,23:00:01,0.14530,-1.356,92.100,-0.311,0.1463,-2.5
09/11/19,00:00:01,0.14473,-1.584,91.400,-1.128,0.1441,-2.8
09/11/19,01:00:01,0.14416,-2.247,91.700,-1.756,0.1361,-3.4
09/11/19,02:00:01,0.14416,-2.450,91.700,-2.421,0.1252,-3.6
09/11/19,03:00:01,0.14359,-2.596,92.700,-1.641,0.1187,-3.6
09/11/19,04:00:01,0.14302,-2.830,92.200,-2.044,0.1143,-3.9
09/11/19,05:00:01,0.14244,-2.421,92.200,-2.102,0.1107,-3.5
09/11/19,06:00:01,0.14244,-3.035,92.700,-2.596,0.1027,-4.1
09/11/19,07:00:01,0.14187,-1.727,92.000,-2.189,0.1049,-2.9
09/11/19,08:00:01,0.14130,0.632,92.000,-1.185,0.1209,-0.5
09/11/19,09:00:01,0.14130,0.825,90.300,0.079,0.1325,-0.6
09/11/19,10:00:01,0.14130,5.076,89.300,0.605,0.1347,3.5
09/11/19,11:00:01,0.14244,9.262,84.700,1.262,0.1354,6.8
09/11/19,12:00:01,0.14302,12.968,76.100,3.485,0.1325,8.9
09/11/19,13:00:01,0.14302,8.519,78.000,5.231,0.1288,4.9
09/11/19,14:00:01,0.14302,5.591,85.400,5.693,0.1267,3.3
09/11/19,15:00:01,0.14244,3.221,90.800,4.220,0.1267,1.9
09/11/19,16:00:01,0.14187,4.376,90.000,4.089,0.1281,2.9
09/11/19,17:00:01,0.14130,2.850,90.300,3.880,0.1274,1.4
09/11/19,18:00:01,0.14130,1.859,90.200,3.248,0.1281,0.4
09/11/19,19:00:01,0.14130,1.044,90.100,2.823,0.1296,-0.4
09/11/19,20:00:01,0.14130,0.577,90.100,2.584,0.1303,-0.9
09/11/19,21:00:01,0.14130,0.577,90.100,2.396,0.1318,-0.9
09/11/19,22:00:01,0.14130,0.550,90.200,2.343,0.1325,-0.9
09/11/19,23:00:01,0.14130,0.605,90.300,2.289,0.1332,-0.8
10/11/19,00:00:01,0.14130,0.550,90.500,2.236,0.1332,-0.8
10/11/19,01:00:01,0.14130,0.715,90.600,2.289,0.1332,-0.6
10/11/19,02:00:01,0.14130,0.715,90.500,2.370,0.1332,-0.7
10/11/19,03:00:01,0.14130,0.660,90.700,2.262,0.1332,-0.7
10/11/19,04:00:01,0.14130,0.715,90.800,2.047,0.1325,-0.6
10/11/19,05:00:01,0.14130,0.742,90.900,1.832,0.1325,-0.6
10/11/19,06:00:01,0.14130,0.934,91.000,1.670,0.1325,-0.4
10/11/19,07:00:01,0.14130,1.859,91.200,1.751,0.1332,0.6
10/11/19,08:00:01,0.14073,3.221,91.200,2.557,0.1332,1.9
10/11/19,09:00:01,0.14130,4.999,90.400,3.801,0.1332,3.6
10/11/19,10:00:01,0.14187,7.343,89.700,5.205,0.1332,5.8
10/11/19,11:00:01,0.14244,8.817,90.400,6.281,0.1325,7.3
10/11/19,12:00:01,0.14244,9.460,89.900,7.041,0.1310,7.9
10/11/19,13:00:01,0.14244,11.200,87.000,8.095,0.1303,9.1
10/11/19,14:00:01,0.14244,14.553,80.900,9.509,0.1303,11.3
10/11/19,15:00:01,0.14244,12.799,79.400,9.706,0.1267,9.3
10/11/19,16:00:01,0.14244,14.242,79.000,10.369,0.1259,10.7
10/11/19,17:00:01,0.14187,11.880,77.400,10.614,0.1238,8.1
10/11/19,18:00:01,0.14130,9.485,83.800,9.238,0.1223,6.9
10/11/19,19:00:01,0.14073,6.687,88.000,8.020,0.1216,4.8
10/11/19,20:00:01,0.14073,4.869,90.500,6.839,0.1223,3.4
10/11/19,21:00:01,0.14016,3.248,91.100,5.975,0.1223,1.9
10/11/19,22:00:01,0.13959,2.717,90.900,5.334,0.1223,1.4
10/11/19,23:00:01,0.13959,2.903,90.200,4.973,0.1223,1.5
11/11/19,00:00:01,0.13902,3.591,89.500,4.844,0.1230,2.0
11/11/19,01:00:01,0.13902,4.298,89.700,5.179,0.1230,2.8
11/11/19,02:00:01,0.13902,4.011,89.700,5.128,0.1223,2.5
11/11/19,03:00:01,0.13902,4.194,90.000,5.050,0.1223,2.7
11/11/19,04:00:01,0.13845,3.406,90.000,4.792,0.1223,1.9
11/11/19,05:00:01,0.13845,2.983,90.000,4.610,0.1223,1.5
11/11/19,06:00:01,0.13845,2.717,90.200,4.324,0.1223,1.3
11/11/19,07:00:01,0.13845,4.688,90.500,4.610,0.1230,3.3
11/11/19,08:00:01,0.13845,7.995,90.700,5.411,0.1238,6.6
11/11/19,09:00:01,0.13902,12.243,77.000,5.924,0.1223,8.3
11/11/19,10:00:01,0.13902,15.366,66.900,6.306,0.1209,9.3
11/11/19,11:00:01,0.13959,18.509,55.100,8.394,0.1187,9.3
11/11/19,12:00:01,0.13959,19.841,52.400,10.051,0.1150,9.8
11/11/19,13:00:01,0.13959,20.317,51.400,11.516,0.1092,10.0
11/11/19,14:00:01,0.13902,19.746,53.800,12.534,0.1049,10.1
11/11/19,15:00:01,0.13845,17.915,56.800,13.161,0.1012,9.2
11/11/19,16:00:01,0.13787,15.724,60.000,12.316,0.0998,8.0
11/11/19,17:00:01,0.13730,14.816,65.300,11.856,0.0983,8.4
11/11/19,18:00:01,0.13730,11.102,67.200,10.834,0.0969,5.3
11/11/19,19:00:01,0.13673,9.262,69.400,9.188,0.0969,4.0
11/11/19,20:00:01,0.13616,7.569,73.200,8.045,0.0969,3.1
11/11/19,21:00:01,0.13559,6.839,77.200,7.368,0.0969,3.1
11/11/19,22:00:01,0.13559,7.142,72.300,6.864,0.0969,2.5
11/11/19,23:00:01,0.13502,7.041,65.200,6.535,0.0969,1.0
12/11/19,00:00:01,0.13502,6.914,63.600,6.281,0.0962,0.5
12/11/19,01:00:01,0.13502,7.167,61.400,6.153,0.0962,0.3
12/11/19,02:00:01,0.13388,7.494,60.100,6.204,0.0954,0.3
12/11/19,03:00:01,0.13388,7.594,56.500,6.179,0.0954,-0.5
12/11/19,04:00:01,0.13330,7.116,55.300,6.179,0.0947,-1.2
12/11/19,05:00:01,0.13330,7.393,57.000,6.051,0.0940,-0.6
12/11/19,06:00:01,0.13330,6.889,56.000,5.975,0.0933,-1.3
12/11/19,07:00:01,0.13273,7.419,55.700,5.975,0.0925,-0.9
12/11/19,08:00:01,0.13273,7.393,57.500,6.230,0.0925,-0.4
12/11/19,09:00:01,0.13273,9.682,57.100,6.788,0.0925,1.6
12/11/19,10:00:01,0.13273,17.938,46.200,8.344,0.0911,6.2
12/11/19,11:00:01,0.13330,20.674,40.000,10.296,0.0882,6.6
12/11/19,12:00:01,0.13330,23.184,40.200,12.630,0.0845,8.9
12/11/19,13:00:01,0.13273,18.271,45.400,13.738,0.0780,6.3
12/11/19,14:00:01,0.13216,21.199,51.900,13.642,0.0758,10.9
12/11/19,15:00:01,0.13216,19.056,51.000,14.721,0.0729,8.7
12/11/19,16:00:01,0.13102,14.816,46.100,13.305,0.0707,3.4
12/11/19,17:00:01,0.13045,10.810,54.400,10.932,0.0700,2.0
12/11/19,18:00:01,0.13045,7.895,58.400,9.287,0.0707,0.2
12/11/19,19:00:01,0.12988,4.558,63.600,7.419,0.0707,-1.7
12/11/19,20:00:01,0.12988,2.316,73.000,6.077,0.0715,-2.0
12/11/19,21:00:01,0.12988,0.439,90.000,4.324,0.0722,-1.0
12/11/19,22:00:01,0.12931,0.384,91.700,3.985,0.0736,-0.8
12/11/19,23:00:01,0.12931,-0.116,91.800,3.406,0.0736,-1.3
13/11/19,00:00:01,0.12873,-1.527,91.900,2.744,0.0736,-2.7
