Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC(SEN S/N: 9818212,  Ambient)","RH, %(SEN S/N: 9818212)","DewPt, ÁC(SEN S/N: 9818212)",3cm,"Water Content, m^3/m^3(SEN S/N: 9827492,  5cmBG)","Water Content, m^3/m^3(SEN S/N: 9827496,  10cmBG)"
ITEX1U,1,OTC,11/11/10,14:00:21,19.674,86.7,17.4,,0.1913,0.192
ITEX1U,1,OTC,11/11/10,15:00:22,20.936,83.3,18,,0.1935,0.192
ITEX1U,1,OTC,11/11/10,16:00:23,19.555,81.1,16.2,,0.1935,0.192
ITEX1U,1,OTC,11/11/10,17:00:24,19.984,81.4,16.7,,0.1942,0.1913
ITEX1U,1,OTC,11/11/10,18:00:25,16.225,84.1,13.6,,0.1949,0.1906
ITEX1U,1,OTC,11/11/10,19:00:26,14.074,88.1,12.1,,0.1942,0.1899
ITEX1U,1,OTC,11/11/10,20:00:27,12.364,93.1,11.3,,0.1942,0.1899
ITEX1U,1,OTC,11/11/10,21:00:28,12.243,95.8,11.6,,0.1935,0.1899
ITEX1U,1,OTC,11/11/10,22:00:29,12.34,94.4,11.5,,0.1935,0.1891
ITEX1U,1,OTC,11/11/10,23:00:30,12.268,93.1,11.2,,0.1935,0.1891
ITEX1U,1,OTC,12/11/10,00:00:31,12.509,90.6,11,,0.1935,0.1884
ITEX1U,1,OTC,12/11/10,01:00:32,12.219,89.3,10.5,,0.1935,0.1884
ITEX1U,1,OTC,12/11/10,02:00:33,12.389,89,10.6,,0.1928,0.1884
ITEX1U,1,OTC,12/11/10,03:00:34,12.292,89.4,10.6,,0.1935,0.1884
ITEX1U,1,OTC,12/11/10,04:00:35,11.637,91,10.2,,0.1928,0.1884
ITEX1U,1,OTC,12/11/10,05:00:36,11.492,92.8,10.4,,0.1935,0.1877
ITEX1U,1,OTC,12/11/10,06:00:37,11.321,94.6,10.5,,0.1928,0.1877
ITEX1U,1,OTC,12/11/10,07:00:38,12.413,96.3,11.9,,0.1928,0.1884
ITEX1U,1,OTC,12/11/10,08:00:39,14.553,94.5,13.7,,0.1935,0.1884
ITEX1U,1,OTC,12/11/10,09:00:40,14.146,92.9,13,,0.1935,0.1884
ITEX1U,1,OTC,12/11/10,10:00:41,15.079,92.3,13.9,,0.1928,0.1877
ITEX1U,1,OTC,12/11/10,11:00:42,15.055,91.8,13.7,,0.1928,0.1891
ITEX1U,1,OTC,12/11/10,12:00:43,15.867,90.9,14.4,,0.1935,0.1891
ITEX1U,1,OTC,12/11/10,13:00:44,23.304,85.3,20.7,,0.192,0.1891
ITEX1U,1,OTC,12/11/10,14:00:45,21.795,80.9,18.4,,0.1942,0.1899
ITEX1U,1,OTC,12/11/10,15:00:46,18.366,79.3,14.7,,0.1928,0.1891
ITEX1U,1,OTC,12/11/10,16:00:47,20.698,78.3,16.8,,0.1928,0.1877
ITEX1U,1,OTC,12/11/10,17:00:48,18.794,77.9,14.9,,0.192,0.1877
ITEX1U,1,OTC,12/11/10,18:00:49,16.344,83.5,13.6,,0.1935,0.1862
ITEX1U,1,OTC,12/11/10,19:00:50,15.629,86.6,13.4,,0.1928,0.1855
ITEX1U,1,OTC,12/11/10,20:00:51,13.954,86.9,11.8,,0.1928,0.1848
ITEX1U,1,OTC,12/11/10,21:00:52,13.642,86.9,11.5,,0.192,0.1848
ITEX1U,1,OTC,12/11/10,22:00:53,12.582,86.8,10.5,,0.192,0.184
ITEX1U,1,OTC,12/11/10,23:00:54,12.896,88,11,,0.1913,0.184
ITEX1U,1,OTC,13/11/10,00:00:55,12.485,88.9,10.7,,0.1913,0.1833
ITEX1U,1,OTC,13/11/10,01:00:56,12.534,87.4,10.5,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,02:00:57,12.63,86.1,10.4,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,03:00:58,12.558,85.4,10.2,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,04:00:59,12.413,88,10.5,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,05:01:00,13.233,89.2,11.5,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,06:01:01,12.944,90.7,11.5,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,07:01:02,13.064,91.8,11.8,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,08:01:03,16.106,90.8,14.6,,0.1906,0.1826
ITEX1U,1,OTC,13/11/10,09:01:04,15.079,90.8,13.6,,0.1906,0.1826
ITEX1U,1,OTC,13/11/10,10:01:05,14.194,94.6,13.4,,0.1906,0.1833
ITEX1U,1,OTC,13/11/10,11:01:06,13.401,99.7,13.4,,0.1899,0.1833
ITEX1U,1,OTC,13/11/10,12:01:07,13.594,100,13.6,,0.1899,0.184
ITEX1U,1,OTC,13/11/10,13:01:08,14.146,100,14.2,,0.1906,0.187
ITEX1U,1,OTC,13/11/10,14:01:09,13.906,100,13.9,,0.1928,0.1928
ITEX1U,1,OTC,13/11/10,15:01:10,13.882,100,13.9,,0.1964,0.1978
ITEX1U,1,OTC,13/11/10,16:01:11,15.294,100,15.3,,0.2189,0.2138
ITEX1U,1,OTC,13/11/10,17:01:12,14.218,97.7,13.9,,0.2269,0.2189
ITEX1U,1,OTC,13/11/10,18:01:13,14.218,99.9,14.2,,0.2269,0.2189
ITEX1U,1,OTC,13/11/10,19:01:14,13.185,100,13.2,,0.2254,0.2175
ITEX1U,1,OTC,13/11/10,20:01:15,13.425,100,13.4,,0.2233,0.216
ITEX1U,1,OTC,13/11/10,21:01:16,12.219,100,12.2,,0.2574,0.2313
ITEX1U,1,OTC,13/11/10,22:01:17,12.485,100,12.5,,0.2545,0.2342
ITEX1U,1,OTC,13/11/10,23:01:18,13.04,100,13.1,,0.2443,0.2218
ITEX1U,1,OTC,14/11/10,00:01:19,13.233,100,13.2,,0.2414,0.2196
ITEX1U,1,OTC,14/11/10,01:01:20,13.161,100,13.2,,0.2589,0.2284
ITEX1U,1,OTC,14/11/10,02:01:21,12.654,100,12.7,,0.2523,0.2233
ITEX1U,1,OTC,14/11/10,03:01:22,12.268,100,12.3,,0.24,0.2153
ITEX1U,1,OTC,14/11/10,04:01:23,11.783,100,11.8,,0.2356,0.2124
ITEX1U,1,OTC,14/11/10,05:01:24,11.832,100,11.8,,0.2313,0.2095
ITEX1U,1,OTC,14/11/10,06:01:25,12.389,100,12.4,,0.2378,0.216
ITEX1U,1,OTC,14/11/10,07:01:26,12.678,100,12.7,,0.2451,0.224
ITEX1U,1,OTC,14/11/10,08:01:27,13.04,100,13.1,,0.2436,0.2211
ITEX1U,1,OTC,14/11/10,09:01:28,13.112,100,13.1,,0.2371,0.2146
ITEX1U,1,OTC,14/11/10,10:01:29,13.449,100,13.5,,0.2589,0.2349
ITEX1U,1,OTC,14/11/10,11:01:30,13.714,100,13.7,,0.2538,0.2276
ITEX1U,1,OTC,14/11/10,12:01:31,12.534,100,12.5,,0.2465,0.2225
ITEX1U,1,OTC,14/11/10,13:01:32,12.63,100,12.6,,0.2407,0.216
ITEX1U,1,OTC,14/11/10,14:01:33,12.992,100,13,,0.2356,0.2138
ITEX1U,1,OTC,14/11/10,15:01:34,12.509,100,12.5,,0.232,0.2131
ITEX1U,1,OTC,14/11/10,16:01:35,12.654,99.6,12.6,,0.2291,0.2131
ITEX1U,1,OTC,14/11/10,17:01:36,12.074,99.7,12,,0.2269,0.2131
ITEX1U,1,OTC,14/11/10,18:01:37,11.248,99.8,11.2,,0.2254,0.2124
ITEX1U,1,OTC,14/11/10,19:01:38,10.834,99.9,10.8,,0.224,0.2116
ITEX1U,1,OTC,14/11/10,20:01:39,10.051,100,10.1,,0.2233,0.2116
ITEX1U,1,OTC,14/11/10,21:01:40,9.485,100,9.5,,0.2218,0.2109
ITEX1U,1,OTC,14/11/10,22:01:41,9.435,100,9.4,,0.2211,0.2109
ITEX1U,1,OTC,14/11/10,23:01:42,9.262,100,9.3,,0.2204,0.2102
ITEX1U,1,OTC,15/11/10,00:01:43,9.336,100,9.3,,0.2196,0.2102
ITEX1U,1,OTC,15/11/10,01:01:44,9.238,100,9.2,,0.2189,0.2095
ITEX1U,1,OTC,15/11/10,02:01:45,8.99,100,9,,0.2189,0.2087
ITEX1U,1,OTC,15/11/10,03:01:46,8.767,100,8.8,,0.2175,0.2087
ITEX1U,1,OTC,15/11/10,04:01:47,8.369,100,8.4,,0.2175,0.2087
ITEX1U,1,OTC,15/11/10,05:01:48,7.895,100,7.9,,0.2167,0.2087
ITEX1U,1,OTC,15/11/10,06:01:49,7.192,100,7.2,,0.2167,0.2095
ITEX1U,1,OTC,15/11/10,07:01:50,7.343,100,7.3,,0.216,0.2087
ITEX1U,1,OTC,15/11/10,08:01:51,7.645,98.6,7.4,,0.216,0.2095
ITEX1U,1,OTC,15/11/10,09:01:52,9.706,96.1,9.1,,0.2153,0.2095
ITEX1U,1,OTC,15/11/10,10:01:53,12.413,91.6,11.1,,0.2153,0.2095
ITEX1U,1,OTC,15/11/10,11:01:54,14.314,84.9,11.8,,0.2153,0.2095
ITEX1U,1,OTC,15/11/10,12:01:55,13.954,82.2,11,,0.2153,0.2102
ITEX1U,1,OTC,15/11/10,13:01:56,11.734,82.3,8.8,,0.2146,0.2095
ITEX1U,1,OTC,15/11/10,14:01:57,16.939,80.8,13.6,,0.2131,0.2087
ITEX1U,1,OTC,15/11/10,15:01:58,18.39,76.3,14.2,,0.2131,0.208
ITEX1U,1,OTC,15/11/10,16:01:59,16.225,77.6,12.3,,0.2124,0.2066
ITEX1U,1,OTC,15/11/10,17:02:00,12.63,81.3,9.5,,0.2131,0.2051
ITEX1U,1,OTC,15/11/10,18:02:01,10.394,82.2,7.5,,0.2124,0.2037
ITEX1U,1,OTC,15/11/10,19:02:02,8.12,86.3,6,,0.2116,0.2022
ITEX1U,1,OTC,15/11/10,20:02:03,6.281,92.9,5.2,,0.2109,0.2015
ITEX1U,1,OTC,15/11/10,21:02:04,5.898,98.8,5.7,,0.2102,0.2008
ITEX1U,1,OTC,15/11/10,22:02:05,5.462,99.3,5.4,,0.2102,0.2
ITEX1U,1,OTC,15/11/10,23:02:06,3.538,99.4,3.5,,0.2095,0.2
ITEX1U,1,OTC,16/11/10,00:02:07,4.037,100,4,,0.2095,0.1993
ITEX1U,1,OTC,16/11/10,01:02:08,2.85,100,2.8,,0.2087,0.1993
ITEX1U,1,OTC,16/11/10,02:02:09,2.637,100,2.6,,0.2087,0.1978
ITEX1U,1,OTC,16/11/10,03:02:10,3.932,100,3.9,,0.2087,0.1978
ITEX1U,1,OTC,16/11/10,04:02:11,3.67,100,3.7,,0.208,0.1978
ITEX1U,1,OTC,16/11/10,05:02:12,3.116,100,3.1,,0.208,0.1971
ITEX1U,1,OTC,16/11/10,06:02:13,2.637,100,2.6,,0.208,0.1971
ITEX1U,1,OTC,16/11/10,07:02:14,3.168,100,3.2,,0.2073,0.1971
ITEX1U,1,OTC,16/11/10,08:02:15,5.924,96.3,5.4,,0.2066,0.1971
ITEX1U,1,OTC,16/11/10,09:02:16,11.953,88.1,10.1,,0.2073,0.1971
ITEX1U,1,OTC,16/11/10,10:02:17,12.219,83.6,9.5,,0.2066,0.1971
ITEX1U,1,OTC,16/11/10,11:02:18,12.799,80,9.4,,0.2073,0.1971
ITEX1U,1,OTC,16/11/10,12:02:19,11.248,79.2,7.8,,0.2073,0.1986
ITEX1U,1,OTC,16/11/10,13:02:20,12.485,75.9,8.4,,0.2066,0.1986
ITEX1U,1,OTC,16/11/10,14:02:21,15.629,75.4,11.3,,0.2066,0.1964
ITEX1U,1,OTC,16/11/10,15:02:22,13.137,75.1,8.8,,0.2058,0.1949
