Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC( Ambient)","RH, %()","DewPt, ÁC()",,"Water Content, m^3/m^3( 5cmBG)","Water Content, m^3/m^3( 10cmBG)"
ITEX1U,25,CTL,11/11/10,15:00:22,25.744,81.8,22.4,,0.179,0.0802
ITEX1U,25,CTL,11/11/10,16:00:23,22.848,80.9,19.4,,0.1797,0.0802
ITEX1U,25,CTL,11/11/10,17:00:24,22.585,82,19.4,,0.1811,0.0787
ITEX1U,25,CTL,11/11/10,18:00:25,18.057,84.7,15.5,,0.1804,0.0766
ITEX1U,25,CTL,11/11/10,19:00:26,14.912,88.8,13.1,,0.1804,0.0758
ITEX1U,25,CTL,11/11/10,20:00:27,11.977,95.6,11.3,,0.179,0.0751
ITEX1U,25,CTL,11/11/10,21:00:28,11.613,98.8,11.4,,0.179,0.0751
ITEX1U,25,CTL,11/11/10,22:00:29,11.516,98.5,11.3,,0.179,0.0751
ITEX1U,25,CTL,11/11/10,23:00:30,11.346,97.9,11,,0.179,0.0744
ITEX1U,25,CTL,12/11/10,00:00:31,11.37,96.5,10.8,,0.179,0.0736
ITEX1U,25,CTL,12/11/10,01:00:32,11.346,95.6,10.7,,0.179,0.0722
ITEX1U,25,CTL,12/11/10,02:00:33,11.443,95.1,10.7,,0.1797,0.0707
ITEX1U,25,CTL,12/11/10,03:00:34,11.248,95.4,10.6,,0.1797,0.07
ITEX1U,25,CTL,12/11/10,04:00:35,10.883,96.3,10.3,,0.1797,0.07
ITEX1U,25,CTL,12/11/10,05:00:36,10.883,97.3,10.5,,0.1804,0.0693
ITEX1U,25,CTL,12/11/10,06:00:37,10.736,98.5,10.5,,0.1797,0.0686
ITEX1U,25,CTL,12/11/10,07:00:38,12.678,99,12.5,,0.1811,0.0686
ITEX1U,25,CTL,12/11/10,08:00:39,16.701,95.5,16,,0.1811,0.0686
ITEX1U,25,CTL,12/11/10,09:00:40,16.368,91.1,14.9,,0.1811,0.0678
ITEX1U,25,CTL,12/11/10,10:00:41,17.701,91.1,16.3,,0.1819,0.0678
ITEX1U,25,CTL,12/11/10,11:00:42,17.034,91,15.6,,0.1819,0.0678
ITEX1U,25,CTL,12/11/10,12:00:43,17.296,92,16,,0.1819,0.0671
ITEX1U,25,CTL,12/11/10,13:00:44,27.235,85.9,24.7,,0.1833,0.07
ITEX1U,25,CTL,12/11/10,14:00:45,25.623,79.8,21.9,,0.1833,0.07
ITEX1U,25,CTL,12/11/10,15:00:46,20.913,81.6,17.7,,0.1833,0.0686
ITEX1U,25,CTL,12/11/10,16:00:47,22.393,83.6,19.5,,0.1833,0.0664
ITEX1U,25,CTL,12/11/10,17:00:48,19.294,82.5,16.3,,0.1826,0.0657
ITEX1U,25,CTL,12/11/10,18:00:49,17.058,86.8,14.9,,0.1826,0.0628
ITEX1U,25,CTL,12/11/10,19:00:50,15.819,89.4,14.1,,0.1811,0.0606
ITEX1U,25,CTL,12/11/10,20:00:51,13.497,90.6,12,,0.1804,0.0591
ITEX1U,25,CTL,12/11/10,21:00:52,12.654,91.9,11.4,,0.179,0.0584
ITEX1U,25,CTL,12/11/10,22:00:53,11.516,92.7,10.4,,0.179,0.0584
ITEX1U,25,CTL,12/11/10,23:00:54,11.904,94.2,11,,0.179,0.0577
ITEX1U,25,CTL,13/11/10,00:00:55,11.224,94.6,10.4,,0.1782,0.0569
ITEX1U,25,CTL,13/11/10,01:00:56,11.565,94.1,10.7,,0.1782,0.0569
ITEX1U,25,CTL,13/11/10,02:00:57,11.224,92.9,10.1,,0.1782,0.0562
ITEX1U,25,CTL,13/11/10,03:00:58,11.37,92.6,10.2,,0.1782,0.0562
ITEX1U,25,CTL,13/11/10,04:00:59,11.443,94,10.5,,0.1782,0.0548
ITEX1U,25,CTL,13/11/10,05:01:00,12.509,94.4,11.6,,0.179,0.0548
ITEX1U,25,CTL,13/11/10,06:01:01,12.34,95,11.6,,0.179,0.054
ITEX1U,25,CTL,13/11/10,07:01:02,13.016,95,12.2,,0.1782,0.0526
ITEX1U,25,CTL,13/11/10,08:01:03,18.414,92.8,17.2,,0.179,0.0533
ITEX1U,25,CTL,13/11/10,09:01:04,17.011,89.8,15.3,,0.179,0.0533
ITEX1U,25,CTL,13/11/10,10:01:05,16.344,93.6,15.3,,0.179,0.0533
ITEX1U,25,CTL,13/11/10,11:01:06,14.505,98,14.2,,0.179,0.0526
