Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC( Ambient)","RH, %()","DewPt, ÁC()",,"Water Content, m^3/m^3( 5cmBG)","Water Content, m^3/m^3( 10cmBG)"
ITEX1U,3,CTL,11/11/10,15:00:22,20.293,78.3,16.4,,0.2204,0.2589
ITEX1U,3,CTL,11/11/10,16:00:23,18.818,81.1,15.5,,0.2211,0.2589
ITEX1U,3,CTL,11/11/10,17:00:24,17.962,82.3,14.9,,0.2211,0.2574
ITEX1U,3,CTL,11/11/10,18:00:25,16.368,82.7,13.4,,0.2211,0.256
ITEX1U,3,CTL,11/11/10,19:00:26,13.882,86.1,11.6,,0.2211,0.2552
ITEX1U,3,CTL,11/11/10,20:00:27,12.292,92.4,11.1,,0.2211,0.2538
ITEX1U,3,CTL,11/11/10,21:00:28,12.268,94.3,11.4,,0.2204,0.253
ITEX1U,3,CTL,11/11/10,22:00:29,12.243,91.7,10.9,,0.2204,0.2523
ITEX1U,3,CTL,11/11/10,23:00:30,12.122,90.1,10.6,,0.2196,0.2516
ITEX1U,3,CTL,12/11/10,00:00:31,12.509,86.4,10.3,,0.2196,0.2516
ITEX1U,3,CTL,12/11/10,01:00:32,12.219,84.7,9.7,,0.2189,0.2509
ITEX1U,3,CTL,12/11/10,02:00:33,12.34,83.8,9.7,,0.2189,0.2509
ITEX1U,3,CTL,12/11/10,03:00:34,12.268,84.4,9.7,,0.2189,0.2509
ITEX1U,3,CTL,12/11/10,04:00:35,11.589,86.7,9.5,,0.2189,0.2501
ITEX1U,3,CTL,12/11/10,05:00:36,11.467,89.3,9.8,,0.2182,0.2501
ITEX1U,3,CTL,12/11/10,06:00:37,11.346,91.7,10.1,,0.2182,0.2501
ITEX1U,3,CTL,12/11/10,07:00:38,12.243,93.8,11.3,,0.2182,0.2516
ITEX1U,3,CTL,12/11/10,08:00:39,14.122,92.3,12.9,,0.2182,0.2509
ITEX1U,3,CTL,12/11/10,09:00:40,13.978,89.6,12.3,,0.2182,0.2509
ITEX1U,3,CTL,12/11/10,10:00:41,15.008,88.9,13.2,,0.2196,0.2523
ITEX1U,3,CTL,12/11/10,11:00:42,15.031,88.1,13.1,,0.2196,0.253
ITEX1U,3,CTL,12/11/10,12:00:43,15.772,86.7,13.6,,0.2196,0.253
ITEX1U,3,CTL,12/11/10,13:00:44,21.724,78.5,17.8,,0.2204,0.2538
ITEX1U,3,CTL,12/11/10,14:00:45,20.889,70.1,15.3,,0.2211,0.256
ITEX1U,3,CTL,12/11/10,15:00:46,18.081,72,13,,0.2218,0.2552
ITEX1U,3,CTL,12/11/10,16:00:47,20.507,74,15.7,,0.2218,0.2538
ITEX1U,3,CTL,12/11/10,17:00:48,18.414,75,13.9,,0.2211,0.253
ITEX1U,3,CTL,12/11/10,18:00:49,16.249,80.2,12.8,,0.2211,0.2509
ITEX1U,3,CTL,12/11/10,19:00:50,15.366,83.3,12.6,,0.2211,0.2494
ITEX1U,3,CTL,12/11/10,20:00:51,14.05,83.8,11.4,,0.2204,0.2487
ITEX1U,3,CTL,12/11/10,21:00:52,13.666,83.4,10.9,,0.2204,0.248
ITEX1U,3,CTL,12/11/10,22:00:53,12.63,82.9,9.8,,0.2189,0.2465
ITEX1U,3,CTL,12/11/10,23:00:54,13.088,84.3,10.5,,0.2189,0.2465
ITEX1U,3,CTL,13/11/10,00:00:55,12.509,85.3,10.1,,0.2182,0.2458
ITEX1U,3,CTL,13/11/10,01:00:56,12.582,83.8,9.9,,0.2182,0.2458
ITEX1U,3,CTL,13/11/10,02:00:57,12.727,82.1,9.8,,0.2182,0.2458
ITEX1U,3,CTL,13/11/10,03:00:58,12.534,81.6,9.5,,0.2182,0.2451
ITEX1U,3,CTL,13/11/10,04:00:59,12.413,84.6,9.9,,0.2175,0.2451
ITEX1U,3,CTL,13/11/10,05:01:00,13.329,85.9,11,,0.2175,0.2451
ITEX1U,3,CTL,13/11/10,06:01:01,12.968,87.8,11,,0.2167,0.2451
ITEX1U,3,CTL,13/11/10,07:01:02,13.064,88.8,11.3,,0.2175,0.2451
ITEX1U,3,CTL,13/11/10,08:01:03,16.201,88.2,14.3,,0.2167,0.2443
ITEX1U,3,CTL,13/11/10,09:01:04,15.127,88.2,13.2,,0.2175,0.2458
ITEX1U,3,CTL,13/11/10,10:01:05,14.17,92.9,13.1,,0.2182,0.2465
ITEX1U,3,CTL,13/11/10,11:01:06,13.353,99.1,13.2,,0.2189,0.2472
ITEX1U,3,CTL,13/11/10,12:01:07,13.522,99.9,13.5,,0.2204,0.2451
ITEX1U,3,CTL,13/11/10,13:01:08,14.05,100,14.1,,0.2218,0.2632
ITEX1U,3,CTL,13/11/10,14:01:09,13.882,100,13.9,,0.2298,0.2763
ITEX1U,3,CTL,13/11/10,15:01:10,13.858,100,13.9,,0.2363,0.2741
ITEX1U,3,CTL,13/11/10,16:01:11,15.008,100,15,,0.2719,0.2915
ITEX1U,3,CTL,13/11/10,17:01:12,14.098,98.5,13.9,,0.2661,0.2879
ITEX1U,3,CTL,13/11/10,18:01:13,14.17,99.9,14.2,,0.2632,0.2821
ITEX1U,3,CTL,13/11/10,19:01:14,13.209,99.8,13.2,,0.2603,0.2806
ITEX1U,3,CTL,13/11/10,20:01:15,13.522,99.8,13.5,,0.2574,0.2712
ITEX1U,3,CTL,13/11/10,21:01:16,12.219,100,12.2,,0.3969,0.3184
ITEX1U,3,CTL,13/11/10,22:01:17,12.509,100,12.5,,0.354,0.3068
ITEX1U,3,CTL,13/11/10,23:01:18,13.064,100,13.1,,0.3242,0.2915
ITEX1U,3,CTL,14/11/10,00:01:19,13.257,100,13.3,,0.3184,0.2901
ITEX1U,3,CTL,14/11/10,01:01:20,13.185,100,13.2,,0.3431,0.3112
ITEX1U,3,CTL,14/11/10,02:01:21,12.654,100,12.7,,0.3235,0.293
ITEX1U,3,CTL,14/11/10,03:01:22,12.292,100,12.3,,0.3024,0.2836
ITEX1U,3,CTL,14/11/10,04:01:23,11.783,100,11.8,,0.2894,0.2806
ITEX1U,3,CTL,14/11/10,05:01:24,11.856,100,11.9,,0.2806,0.2748
ITEX1U,3,CTL,14/11/10,06:01:25,12.413,100,12.4,,0.2901,0.2843
ITEX1U,3,CTL,14/11/10,07:01:26,12.678,100,12.7,,0.3112,0.3024
ITEX1U,3,CTL,14/11/10,08:01:27,13.016,100,13,,0.3032,0.2915
ITEX1U,3,CTL,14/11/10,09:01:28,13.064,100,13.1,,0.2923,0.2843
ITEX1U,3,CTL,14/11/10,10:01:29,13.401,100,13.4,,0.325,0.3075
ITEX1U,3,CTL,14/11/10,11:01:30,13.69,100,13.7,,0.3148,0.2988
ITEX1U,3,CTL,14/11/10,12:01:31,12.509,100,12.5,,0.3032,0.2894
ITEX1U,3,CTL,14/11/10,13:01:32,12.727,100,12.7,,0.2915,0.2843
ITEX1U,3,CTL,14/11/10,14:01:33,12.92,100,12.9,,0.2828,0.2843
ITEX1U,3,CTL,14/11/10,15:01:34,12.437,100,12.5,,0.2777,0.2836
ITEX1U,3,CTL,14/11/10,16:01:35,12.654,99.9,12.7,,0.2734,0.2836
ITEX1U,3,CTL,14/11/10,17:01:36,11.953,99.9,12,,0.2712,0.2821
ITEX1U,3,CTL,14/11/10,18:01:37,11.175,100,11.2,,0.2683,0.2806
ITEX1U,3,CTL,14/11/10,19:01:38,10.736,99.9,10.7,,0.2668,0.2792
ITEX1U,3,CTL,14/11/10,20:01:39,10.001,100,10,,0.2647,0.2785
ITEX1U,3,CTL,14/11/10,21:01:40,9.386,100,9.4,,0.2639,0.277
ITEX1U,3,CTL,14/11/10,22:01:41,9.41,100,9.4,,0.2625,0.2763
ITEX1U,3,CTL,14/11/10,23:01:42,9.238,100,9.2,,0.261,0.2756
ITEX1U,3,CTL,15/11/10,00:01:43,9.312,100,9.3,,0.261,0.2748
ITEX1U,3,CTL,15/11/10,01:01:44,9.213,100,9.2,,0.2596,0.2741
ITEX1U,3,CTL,15/11/10,02:01:45,8.965,100,9,,0.2589,0.2741
ITEX1U,3,CTL,15/11/10,03:01:46,8.742,100,8.8,,0.2581,0.2734
ITEX1U,3,CTL,15/11/10,04:01:47,8.344,100,8.4,,0.2574,0.2734
ITEX1U,3,CTL,15/11/10,05:01:48,7.845,100,7.9,,0.2567,0.2727
ITEX1U,3,CTL,15/11/10,06:01:49,7.167,100,7.2,,0.256,0.2719
ITEX1U,3,CTL,15/11/10,07:01:50,7.268,99.6,7.2,,0.256,0.2719
ITEX1U,3,CTL,15/11/10,08:01:51,7.594,97.8,7.3,,0.2545,0.2712
ITEX1U,3,CTL,15/11/10,09:01:52,9.682,94.4,8.8,,0.2538,0.2712
ITEX1U,3,CTL,15/11/10,10:01:53,13.473,88.3,11.6,,0.2538,0.2719
ITEX1U,3,CTL,15/11/10,11:01:54,14.745,79.1,11.2,,0.253,0.2741
ITEX1U,3,CTL,15/11/10,12:01:55,14.218,75.8,10,,0.253,0.2734
ITEX1U,3,CTL,15/11/10,13:01:56,11.346,76.8,7.4,,0.253,0.2727
ITEX1U,3,CTL,15/11/10,14:01:57,15.867,75.4,11.5,,0.2516,0.2719
ITEX1U,3,CTL,15/11/10,15:01:58,17.415,71,12.1,,0.2516,0.2712
ITEX1U,3,CTL,15/11/10,16:01:59,14.625,73.2,9.9,,0.2509,0.269
ITEX1U,3,CTL,15/11/10,17:02:00,11.273,77.1,7.4,,0.2494,0.2668
ITEX1U,3,CTL,15/11/10,18:02:01,10.247,77.3,6.5,,0.2487,0.2647
ITEX1U,3,CTL,15/11/10,19:02:02,7.695,82,4.8,,0.248,0.2625
ITEX1U,3,CTL,15/11/10,20:02:03,5.719,90.5,4.3,,0.2465,0.261
ITEX1U,3,CTL,15/11/10,21:02:04,5.693,97.7,5.4,,0.2458,0.2603
ITEX1U,3,CTL,15/11/10,22:02:05,5.076,98.1,4.8,,0.2451,0.2596
ITEX1U,3,CTL,15/11/10,23:02:06,3.009,98.7,2.8,,0.2443,0.2589
ITEX1U,3,CTL,16/11/10,00:02:07,3.564,100,3.6,,0.2443,0.2589
