Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC( Ambient)","RH, %()","DewPt, ÁC()","Temp, ÁC( 3cmBG)","Water Content, m^3/m^3( 5cmBG)","Water Content, m^3/m^3( 10cmBG)"
ITEX2.0,5,CTL,11/11/10,14:00:21,19.08,63.5,12,20.627,0.2044,0.155
ITEX2.0,5,CTL,11/11/10,15:00:22,20.174,61,12.4,21.056,0.2037,0.1557
ITEX2.0,5,CTL,11/11/10,16:00:23,18.985,60.5,11.2,21.604,0.2029,0.1572
ITEX2.0,5,CTL,11/11/10,17:00:24,17.938,62.8,10.8,20.198,0.2022,0.1564
ITEX2.0,5,CTL,11/11/10,18:00:25,16.344,67.8,10.4,19.294,0.2,0.155
ITEX2.0,5,CTL,11/11/10,19:00:26,13.882,76.4,9.8,17.082,0.1978,0.1535
ITEX2.0,5,CTL,11/11/10,20:00:27,12.243,86.5,10.1,14.385,0.1957,0.1535
ITEX2.0,5,CTL,11/11/10,21:00:28,12.195,91,10.8,12.823,0.1949,0.1528
ITEX2.0,5,CTL,11/11/10,22:00:29,12.243,89,10.5,11.929,0.1942,0.1521
ITEX2.0,5,CTL,11/11/10,23:00:30,12.195,87.1,10.1,11.346,0.1935,0.1514
ITEX2.0,5,CTL,12/11/10,00:00:31,12.509,83,9.7,10.883,0.1928,0.1499
ITEX2.0,5,CTL,12/11/10,01:00:32,12.147,81,9,10.492,0.1928,0.1492
ITEX2.0,5,CTL,12/11/10,02:00:33,12.316,79.7,8.9,10.198,0.1913,0.1485
ITEX2.0,5,CTL,12/11/10,03:00:34,12.098,80.5,8.9,10.051,0.1913,0.1485
ITEX2.0,5,CTL,12/11/10,04:00:35,11.589,83.2,8.8,9.952,0.1928,0.1477
ITEX2.0,5,CTL,12/11/10,05:00:36,11.419,86.4,9.2,9.854,0.1935,0.147
ITEX2.0,5,CTL,12/11/10,06:00:37,11.321,89,9.6,9.879,0.1928,0.147
ITEX2.0,5,CTL,12/11/10,07:00:38,12.05,92.2,10.8,10.124,0.1935,0.147
ITEX2.0,5,CTL,12/11/10,08:00:39,13.858,90.6,12.4,11.151,0.1942,0.1463
ITEX2.0,5,CTL,12/11/10,09:00:40,13.714,87.4,11.7,12.823,0.1971,0.1463
ITEX2.0,5,CTL,12/11/10,10:00:41,15.103,85.8,12.8,14.05,0.1964,0.1463
ITEX2.0,5,CTL,12/11/10,11:00:42,14.888,84.8,12.4,15.175,0.1964,0.147
ITEX2.0,5,CTL,12/11/10,12:00:43,15.796,83.2,13,15.342,0.1978,0.1477
ITEX2.0,5,CTL,12/11/10,13:00:44,22.106,72.4,16.9,17.891,0.2,0.1492
ITEX2.0,5,CTL,12/11/10,14:00:45,21.413,60.9,13.6,23.954,0.2037,0.1499
ITEX2.0,5,CTL,12/11/10,15:00:46,17.986,63.9,11.1,24.798,0.2029,0.1485
ITEX2.0,5,CTL,12/11/10,16:00:47,21.056,66.3,14.5,22.393,0.2015,0.1492
ITEX2.0,5,CTL,12/11/10,17:00:48,18.818,68.3,12.9,22.298,0.2008,0.1492
ITEX2.0,5,CTL,12/11/10,18:00:49,16.296,74.1,11.7,20.293,0.1993,0.1477
ITEX2.0,5,CTL,12/11/10,19:00:50,15.748,77.9,11.9,17.724,0.1978,0.147
ITEX2.0,5,CTL,12/11/10,20:00:51,14.026,79.2,10.5,15.843,0.1957,0.1463
ITEX2.0,5,CTL,12/11/10,21:00:52,13.473,79.8,10.1,14.122,0.1949,0.1456
ITEX2.0,5,CTL,12/11/10,22:00:53,12.243,79.5,8.8,12.968,0.1935,0.1448
ITEX2.0,5,CTL,12/11/10,23:00:54,12.896,81.8,9.9,12.098,0.1942,0.1448
ITEX2.0,5,CTL,13/11/10,00:00:55,12.098,83,9.3,11.637,0.1935,0.1441
ITEX2.0,5,CTL,13/11/10,01:00:56,12.098,81.1,9,11.175,0.1928,0.1441
ITEX2.0,5,CTL,13/11/10,02:00:57,12.534,79.9,9.2,10.858,0.1913,0.1434
ITEX2.0,5,CTL,13/11/10,03:00:58,12.364,78.2,8.7,10.541,0.1913,0.1426
ITEX2.0,5,CTL,13/11/10,04:00:59,12.171,81.7,9.1,10.467,0.192,0.1426
ITEX2.0,5,CTL,13/11/10,05:01:00,13.137,83,10.3,10.712,0.1913,0.1426
ITEX2.0,5,CTL,13/11/10,06:01:01,12.944,84.9,10.5,11.102,0.192,0.1419
ITEX2.0,5,CTL,13/11/10,07:01:02,12.968,86.8,10.8,11.37,0.192,0.1419
ITEX2.0,5,CTL,13/11/10,08:01:03,16.034,85.3,13.6,12.147,0.192,0.1426
ITEX2.0,5,CTL,13/11/10,09:01:04,15.294,85.4,12.9,13.57,0.192,0.1426
ITEX2.0,5,CTL,13/11/10,10:01:05,14.218,91.2,12.8,14.29,0.1935,0.1441
ITEX2.0,5,CTL,13/11/10,11:01:06,13.257,98.7,13.1,13.978,0.1957,0.1456
ITEX2.0,5,CTL,13/11/10,12:01:07,13.377,99.8,13.4,13.882,0.1964,0.1434
ITEX2.0,5,CTL,13/11/10,13:01:08,13.906,100,13.9,14.242,0.2334,0.1477
ITEX2.0,5,CTL,13/11/10,14:01:09,13.882,100,13.9,14.361,0.2407,0.1543
ITEX2.0,5,CTL,13/11/10,15:01:10,13.786,100,13.8,14.146,0.2443,0.1594
ITEX2.0,5,CTL,13/11/10,16:01:11,15.079,100,15.1,14.29,0.2698,0.1899
ITEX2.0,5,CTL,13/11/10,17:01:12,14.122,99.1,14,17.13,0.2494,0.1775
ITEX2.0,5,CTL,13/11/10,18:01:13,13.978,100,14,15.676,0.2465,0.1746
ITEX2.0,5,CTL,13/11/10,19:01:14,13.137,100,13.2,14.553,0.2385,0.171
ITEX2.0,5,CTL,13/11/10,20:01:15,13.449,100,13.5,13.69,0.2342,0.1695
ITEX2.0,5,CTL,13/11/10,21:01:16,12.147,100,12.2,13.377,0.2944,0.2298
ITEX2.0,5,CTL,13/11/10,22:01:17,12.437,100,12.5,12.751,0.2821,0.2102
ITEX2.0,5,CTL,13/11/10,23:01:18,12.992,100,13,12.727,0.2661,0.1964
ITEX2.0,5,CTL,14/11/10,00:01:19,13.185,100,13.2,12.847,0.2668,0.1986
ITEX2.0,5,CTL,14/11/10,01:01:20,13.137,100,13.2,12.992,0.293,0.2225
ITEX2.0,5,CTL,14/11/10,02:01:21,12.63,100,12.6,13.016,0.2654,0.2029
ITEX2.0,5,CTL,14/11/10,03:01:22,12.316,100,12.3,12.92,0.2574,0.1906
ITEX2.0,5,CTL,14/11/10,04:01:23,11.734,100,11.7,12.509,0.2458,0.187
ITEX2.0,5,CTL,14/11/10,05:01:24,11.759,100,11.8,12.195,0.2392,0.179
ITEX2.0,5,CTL,14/11/10,06:01:25,12.316,100,12.3,12.195,0.2596,0.1891
ITEX2.0,5,CTL,14/11/10,07:01:26,12.582,100,12.6,12.437,0.2857,0.2102
ITEX2.0,5,CTL,14/11/10,08:01:27,12.847,100,12.9,12.871,0.2668,0.1971
ITEX2.0,5,CTL,14/11/10,09:01:28,13.04,100,13.1,13.353,0.253,0.1877
ITEX2.0,5,CTL,14/11/10,10:01:29,13.377,100,13.4,13.978,0.2879,0.2196
ITEX2.0,5,CTL,14/11/10,11:01:30,13.666,100,13.7,14.649,0.2734,0.2051
ITEX2.0,5,CTL,14/11/10,12:01:31,12.389,100,12.4,15.175,0.2632,0.1971
ITEX2.0,5,CTL,14/11/10,13:01:32,12.558,100,12.6,14.361,0.2509,0.1891
ITEX2.0,5,CTL,14/11/10,14:01:33,12.703,100,12.7,15.103,0.2422,0.1819
ITEX2.0,5,CTL,14/11/10,15:01:34,12.219,100,12.2,15.891,0.2378,0.1775
ITEX2.0,5,CTL,14/11/10,16:01:35,12.364,100,12.4,16.01,0.2327,0.1746
ITEX2.0,5,CTL,14/11/10,17:01:36,11.904,100,11.9,15.342,0.2305,0.1724
ITEX2.0,5,CTL,14/11/10,18:01:37,11.248,100,11.3,13.978,0.2269,0.1695
ITEX2.0,5,CTL,14/11/10,19:01:38,10.761,99.9,10.8,13.185,0.2262,0.1681
ITEX2.0,5,CTL,14/11/10,20:01:39,10.051,100,10.1,12.219,0.2247,0.1659
ITEX2.0,5,CTL,14/11/10,21:01:40,9.386,100,9.4,11.346,0.2233,0.1652
ITEX2.0,5,CTL,14/11/10,22:01:41,9.435,100,9.4,10.834,0.2218,0.1637
ITEX2.0,5,CTL,14/11/10,23:01:42,9.312,100,9.3,10.492,0.2211,0.1637
ITEX2.0,5,CTL,15/11/10,00:01:43,9.312,100,9.3,10.345,0.2204,0.1623
ITEX2.0,5,CTL,15/11/10,01:01:44,9.163,100,9.2,10.32,0.2196,0.1615
ITEX2.0,5,CTL,15/11/10,02:01:45,8.965,100,9,10.198,0.2196,0.1608
ITEX2.0,5,CTL,15/11/10,03:01:46,8.717,100,8.7,10.001,0.2189,0.1608
ITEX2.0,5,CTL,15/11/10,04:01:47,8.344,100,8.4,9.78,0.2182,0.1601
ITEX2.0,5,CTL,15/11/10,05:01:48,7.82,100,7.8,9.558,0.2175,0.1594
ITEX2.0,5,CTL,15/11/10,06:01:49,7.192,100,7.2,9.163,0.2167,0.1586
ITEX2.0,5,CTL,15/11/10,07:01:50,7.293,99.5,7.2,8.792,0.2167,0.1586
ITEX2.0,5,CTL,15/11/10,08:01:51,7.619,97.4,7.2,9.139,0.2167,0.1579
ITEX2.0,5,CTL,15/11/10,09:01:52,9.336,94.5,8.5,9.682,0.216,0.1564
ITEX2.0,5,CTL,15/11/10,10:01:53,12.63,88.3,10.8,11.029,0.2175,0.1557
ITEX2.0,5,CTL,15/11/10,11:01:54,14.409,78.5,10.7,12.92,0.2189,0.155
ITEX2.0,5,CTL,15/11/10,12:01:55,14.912,71.7,9.9,16.153,0.2218,0.155
