"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
02-11-2011,16:22:47,0.2603
02-11-2011,17:22:48,0.2596
02-11-2011,18:22:49,0.2589
02-11-2011,19:22:50,0.2581
02-11-2011,20:22:51,0.2574
02-11-2011,21:22:52,0.2574
02-11-2011,22:22:53,0.2567
02-11-2011,23:22:54,0.2567
03-11-2011,00:22:55,0.2560
03-11-2011,01:22:56,0.2560
03-11-2011,02:22:57,0.2552
03-11-2011,03:22:58,0.2552
03-11-2011,04:22:59,0.2545
03-11-2011,05:23:00,0.2545
03-11-2011,06:23:01,0.2538
03-11-2011,07:23:02,0.2538
03-11-2011,08:23:03,0.2545
03-11-2011,09:23:04,0.2552
03-11-2011,10:23:05,0.2560
03-11-2011,11:23:06,0.2574
03-11-2011,12:23:07,0.2581
03-11-2011,13:23:08,0.2581
03-11-2011,14:23:09,0.2567
03-11-2011,15:23:10,0.2538
03-11-2011,16:23:11,0.2530
03-11-2011,17:23:12,0.2501
03-11-2011,18:23:13,0.2494
03-11-2011,19:23:14,0.2480
03-11-2011,20:23:15,0.2472
03-11-2011,21:23:16,0.2465
03-11-2011,22:23:17,0.2465
03-11-2011,23:23:18,0.2458
04-11-2011,00:23:19,0.2451
04-11-2011,01:23:20,0.2451
04-11-2011,02:23:21,0.2443
04-11-2011,03:23:22,0.2436
04-11-2011,04:23:23,0.2436
04-11-2011,05:23:24,0.2429
04-11-2011,06:23:25,0.2429
04-11-2011,07:23:26,0.2429
04-11-2011,08:23:27,0.2436
04-11-2011,09:23:28,0.2443
04-11-2011,10:23:29,0.2458
04-11-2011,11:23:30,0.2465
04-11-2011,12:23:31,0.2465
04-11-2011,13:23:32,0.2465
04-11-2011,14:23:33,0.2451
04-11-2011,15:23:34,0.2429
04-11-2011,16:23:35,0.2400
04-11-2011,17:23:36,0.2371
04-11-2011,18:23:37,0.2356
04-11-2011,19:23:38,0.2342
04-11-2011,20:23:39,0.2327
04-11-2011,21:23:40,0.2320
04-11-2011,22:23:41,0.2320
04-11-2011,23:23:42,0.2313
05-11-2011,00:23:43,0.2313
05-11-2011,01:23:44,0.2313
05-11-2011,02:23:45,0.2305
05-11-2011,03:23:46,0.2313
05-11-2011,04:23:47,0.2305
05-11-2011,05:23:48,0.2305
05-11-2011,06:23:49,0.2305
05-11-2011,07:23:50,0.2305
05-11-2011,08:23:51,0.2305
05-11-2011,09:23:52,0.2305
05-11-2011,10:23:53,0.2313
05-11-2011,11:23:54,0.2320
05-11-2011,12:23:55,0.2320
05-11-2011,13:23:56,0.2313
05-11-2011,14:23:57,0.2291
05-11-2011,15:23:58,0.2276
05-11-2011,16:23:59,0.2254
05-11-2011,17:24:00,0.2225
05-11-2011,18:24:01,0.2196
05-11-2011,19:24:02,0.2175
05-11-2011,20:24:03,0.2167
05-11-2011,21:24:04,0.2153
05-11-2011,22:24:05,0.2153
05-11-2011,23:24:06,0.2146
