"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818207, LBL: Ambient)","RH, % (SEN S/N: 9818207)","DewPt, ¡C (SEN S/N: 9818207)","Water Content, m?/m? (SEN S/N: 9827490, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833762, LBL: 10cmBG)"
02-11-2011,16:22:47,10.443,77.600,6.7,0.2189,0.2792
02-11-2011,17:22:48,8.469,78.400,4.9,0.2167,0.2799
02-11-2011,18:22:49,8.891,79.600,5.6,0.2182,0.2799
02-11-2011,19:22:50,6.000,86.000,3.8,0.2175,0.2792
02-11-2011,20:22:51,4.141,91.300,2.9,0.2167,0.2792
02-11-2011,21:22:52,2.450,94.500,1.7,0.2167,0.2785
02-11-2011,22:22:53,0.852,96.400,0.3,0.2160,0.2785
02-11-2011,23:22:54,1.398,97.200,1.0,0.2146,0.2785
03-11-2011,00:22:55,1.317,96.700,0.8,0.2160,0.2785
03-11-2011,01:22:56,-0.620,96.100,-1.2,0.2146,0.2777
03-11-2011,02:22:57,-1.986,95.300,-2.6,0.2146,0.2777
03-11-2011,03:22:58,-3.124,91.400,-4.3,0.2131,0.2777
03-11-2011,04:22:59,-3.717,92.200,-4.8,0.2138,0.2777
03-11-2011,05:23:00,-1.327,96.700,-1.8,0.2124,0.2777
03-11-2011,06:23:01,-2.566,91.800,-3.7,0.2131,0.2770
03-11-2011,07:23:02,-0.648,84.300,-3.0,0.2116,0.2770
03-11-2011,08:23:03,3.932,63.600,-2.3,0.2109,0.2763
03-11-2011,09:23:04,8.070,42.800,-3.8,0.2116,0.2756
03-11-2011,10:23:05,11.467,42.800,-0.7,0.2349,0.2777
03-11-2011,11:23:06,16.177,45.400,4.4,0.2233,0.2785
03-11-2011,12:23:07,18.200,46.300,6.5,0.2225,0.2777
03-11-2011,13:23:08,19.651,48.600,8.5,0.2225,0.2777
03-11-2011,14:23:09,18.771,50.700,8.4,0.2182,0.2763
03-11-2011,15:23:10,14.026,56.000,5.4,0.2160,0.2756
03-11-2011,16:23:11,22.489,52.800,12.4,0.2153,0.2748
03-11-2011,17:23:12,11.637,66.900,5.7,0.2131,0.2734
03-11-2011,18:23:13,9.805,77.500,6.1,0.2124,0.2734
03-11-2011,19:23:14,8.767,78.700,5.3,0.2116,0.2727
03-11-2011,20:23:15,5.924,88.900,4.2,0.2124,0.2719
03-11-2011,21:23:16,5.693,93.700,4.8,0.2124,0.2719
03-11-2011,22:23:17,3.564,94.800,2.8,0.2109,0.2712
03-11-2011,23:23:18,1.805,97.700,1.5,0.2095,0.2712
04-11-2011,00:23:19,1.371,98.200,1.1,0.2109,0.2705
04-11-2011,01:23:20,0.742,98.400,0.5,0.2109,0.2705
04-11-2011,02:23:21,-0.116,98.100,-0.4,0.2102,0.2698
04-11-2011,03:23:22,-1.842,94.200,-2.7,0.2095,0.2698
04-11-2011,04:23:23,-2.479,94.000,-3.3,0.2087,0.2698
04-11-2011,05:23:24,-1.727,96.000,-2.3,0.2087,0.2690
04-11-2011,06:23:25,-0.760,96.500,-1.3,0.2087,0.2690
04-11-2011,07:23:26,2.021,94.700,1.3,0.2073,0.2690
04-11-2011,08:23:27,7.995,79.500,4.7,0.2080,0.2690
04-11-2011,09:23:28,12.147,59.000,4.4,0.2109,0.2690
04-11-2011,10:23:29,15.270,52.800,5.7,0.2124,0.2690
04-11-2011,11:23:30,18.604,48.800,7.6,0.2131,0.2690
04-11-2011,12:23:31,20.531,47.000,8.8,0.2138,0.2690
04-11-2011,13:23:32,23.352,44.300,10.5,0.2146,0.2683
04-11-2011,14:23:33,28.345,47.900,16.3,0.2116,0.2676
04-11-2011,15:23:34,22.657,48.700,11.3,0.2080,0.2661
04-11-2011,16:23:35,19.318,53.400,9.6,0.2073,0.2647
04-11-2011,17:23:36,17.819,67.700,11.8,0.2058,0.2639
04-11-2011,18:23:37,17.867,60.400,10.1,0.2037,0.2632
04-11-2011,19:23:38,10.590,72.200,5.8,0.2022,0.2625
04-11-2011,20:23:39,4.584,83.400,2.0,0.2015,0.2618
04-11-2011,21:23:40,3.301,91.800,2.1,0.2008,0.2610
04-11-2011,22:23:41,2.850,95.600,2.2,0.2008,0.2603
04-11-2011,23:23:42,4.376,97.500,4.0,0.2008,0.2603
05-11-2011,00:23:43,6.000,99.900,6.0,0.2000,0.2603
05-11-2011,01:23:44,6.255,99.600,6.2,0.2000,0.2603
05-11-2011,02:23:45,6.535,99.300,6.4,0.2000,0.2596
