"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818222, LBL: Ambient)","RH, % (SEN S/N: 9818222)","DewPt, ¡C (SEN S/N: 9818222)","Temp, ¡C (SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833766, LBL: 10cmBG)"
02-11-2011,16:22:47,11.200,74.200,6.8,14.649,0.2705
02-11-2011,17:22:48,8.494,76.700,4.6,14.146,0.2698
02-11-2011,18:22:49,9.312,78.100,5.7,13.305,0.2698
02-11-2011,19:22:50,5.847,85.000,3.5,12.171,0.2698
02-11-2011,20:22:51,3.932,90.500,2.5,10.296,0.2690
02-11-2011,21:22:52,1.886,94.800,1.1,8.742,0.2683
02-11-2011,22:22:53,-0.116,98.700,-0.3,7.368,0.2683
02-11-2011,23:22:54,0.301,98.900,0.1,6.535,0.2676
03-11-2011,00:22:55,-0.032,98.800,-0.2,6.306,0.2676
03-11-2011,01:22:56,-2.276,99.300,-2.4,5.539,0.2668
03-11-2011,02:22:57,-4.227,99.300,-4.3,4.376,0.2668
03-11-2011,03:22:58,-6.452,97.700,-6.8,3.380,0.2661
03-11-2011,04:22:59,-5.605,98.700,-5.8,2.610,0.2661
03-11-2011,05:23:00,-2.947,99.800,-3.0,2.610,0.2654
03-11-2011,06:23:01,-4.499,97.500,-4.8,2.503,0.2654
03-11-2011,07:23:02,-0.986,91.200,-2.2,2.664,0.2661
03-11-2011,08:23:03,7.444,66.700,1.7,2.956,0.2654
03-11-2011,09:23:04,12.413,37.900,-1.5,3.485,0.2654
03-11-2011,10:23:05,14.864,38.500,0.9,7.870,0.2661
03-11-2011,11:23:06,17.415,41.000,4.0,15.915,0.2668
03-11-2011,12:23:07,16.534,43.200,4.0,21.103,0.2676
03-11-2011,13:23:08,17.677,46.900,6.2,24.750,0.2690
03-11-2011,14:23:09,16.010,47.800,5.0,26.671,0.2698
03-11-2011,15:23:10,15.700,54.300,6.5,23.280,0.2705
03-11-2011,16:23:11,20.841,46.800,9.1,23.424,0.2698
03-11-2011,17:23:12,10.932,64.800,4.6,21.032,0.2698
03-11-2011,18:23:13,9.336,75.700,5.3,17.415,0.2690
03-11-2011,19:23:14,7.920,76.800,4.1,15.533,0.2683
03-11-2011,20:23:15,5.128,89.800,3.6,13.449,0.2676
03-11-2011,21:23:16,5.024,95.500,4.4,12.025,0.2668
03-11-2011,22:23:17,3.406,97.400,3.0,10.834,0.2661
03-11-2011,23:23:18,0.989,99.000,0.8,9.386,0.2661
04-11-2011,00:23:19,0.467,99.500,0.4,7.895,0.2654
04-11-2011,01:23:20,-0.143,99.800,-0.2,6.864,0.2654
04-11-2011,02:23:21,-1.986,99.600,-2.0,6.026,0.2647
04-11-2011,03:23:22,-3.390,99.800,-3.4,5.076,0.2647
04-11-2011,04:23:23,-4.167,100.000,-4.2,4.298,0.2639
04-11-2011,05:23:24,-2.742,100.000,-2.8,3.643,0.2639
04-11-2011,06:23:25,-1.356,98.800,-1.5,3.274,0.2632
04-11-2011,07:23:26,2.823,93.500,1.9,3.512,0.2632
04-11-2011,08:23:27,10.834,75.900,6.8,4.194,0.2639
04-11-2011,09:23:28,16.606,52.200,6.8,5.308,0.2639
04-11-2011,10:23:29,19.294,45.400,7.2,9.805,0.2639
04-11-2011,11:23:30,21.509,44.200,8.8,17.724,0.2647
04-11-2011,12:23:31,22.393,41.200,8.6,22.848,0.2668
04-11-2011,13:23:32,24.750,40.500,10.4,26.402,0.2676
04-11-2011,14:23:33,26.036,43.100,12.5,28.791,0.2690
04-11-2011,15:23:34,23.376,43.400,10.2,29.916,0.2698
04-11-2011,16:23:35,17.724,47.800,6.5,27.653,0.2698
04-11-2011,17:23:36,21.294,59.100,13.0,22.896,0.2705
04-11-2011,18:23:37,20.222,53.500,10.5,21.915,0.2698
04-11-2011,19:23:38,10.932,64.900,4.6,18.842,0.2683
04-11-2011,20:23:39,2.557,85.400,0.4,15.103,0.2683
04-11-2011,21:23:40,4.037,97.300,3.6,12.509,0.2676
04-11-2011,22:23:41,5.128,99.300,5.0,11.053,0.2668
04-11-2011,23:23:42,6.306,98.700,6.1,10.149,0.2661
05-11-2011,00:23:43,7.795,94.700,7.0,10.001,0.2654
05-11-2011,01:23:44,7.745,94.800,7.0,9.731,0.2647
05-11-2011,02:23:45,7.870,93.800,6.9,9.460,0.2647
05-11-2011,03:23:46,6.509,93.100,5.5,9.089,0.2647
05-11-2011,04:23:47,7.041,89.600,5.5,8.494,0.2647
05-11-2011,05:23:48,6.687,87.700,4.8,8.095,0.2647
05-11-2011,06:23:49,6.788,88.600,5.0,7.845,0.2639
05-11-2011,07:23:50,9.534,74.800,5.3,7.720,0.2639
05-11-2011,08:23:51,13.064,54.900,4.2,7.945,0.2639
05-11-2011,09:23:52,16.844,53.800,7.4,8.717,0.2639
05-11-2011,10:23:53,18.176,51.500,8.0,12.389,0.2647
05-11-2011,11:23:54,19.389,48.700,8.3,18.509,0.2654
05-11-2011,12:23:55,21.056,49.300,10.0,22.920,0.2661
05-11-2011,13:23:56,21.270,49.600,10.3,26.134,0.2668
05-11-2011,14:23:57,22.178,49.300,11.1,28.122,0.2676
05-11-2011,15:23:58,22.274,50.300,11.5,29.015,0.2676
05-11-2011,16:23:59,22.082,48.100,10.6,28.866,0.2683
05-11-2011,17:24:00,20.650,49.900,9.8,27.136,0.2676
05-11-2011,18:24:01,18.771,53.300,9.1,24.219,0.2676
05-11-2011,19:24:02,12.001,61.300,4.8,20.246,0.2668
05-11-2011,20:24:03,7.670,80.300,4.5,16.201,0.2661
05-11-2011,21:24:04,9.089,79.700,5.8,13.978,0.2654
05-11-2011,22:24:05,9.015,75.400,4.9,12.823,0.2647
05-11-2011,23:24:06,9.534,73.800,5.1,12.171,0.2647
06-11-2011,00:24:07,11.127,67.500,5.3,11.516,0.2639
06-11-2011,01:24:08,11.565,64.800,5.2,11.346,0.2639
06-11-2011,02:24:09,11.419,66.000,5.3,11.224,0.2639
06-11-2011,03:24:10,11.783,67.100,5.9,11.078,0.2632
06-11-2011,04:24:11,11.540,69.200,6.1,11.102,0.2632
06-11-2011,05:24:12,11.321,75.800,7.2,11.005,0.2632
06-11-2011,06:24:13,11.321,81.000,8.2,10.980,0.2632
06-11-2011,07:24:14,11.613,81.800,8.6,11.078,0.2632
06-11-2011,08:24:15,12.074,84.200,9.5,11.467,0.2625
06-11-2011,09:24:16,12.992,84.100,10.4,12.316,0.2625
06-11-2011,10:24:17,13.858,82.800,11.0,13.522,0.2625
06-11-2011,11:24:18,16.511,76.900,12.5,15.103,0.2618
06-11-2011,12:24:19,19.770,63.100,12.6,19.365,0.2618
06-11-2011,13:24:20,21.772,60.400,13.8,23.088,0.2618
06-11-2011,14:24:21,17.177,65.200,10.6,24.146,0.2618
06-11-2011,15:24:22,19.199,64.700,12.4,23.569,0.2618
06-11-2011,16:24:23,14.840,73.800,10.2,22.082,0.2625
06-11-2011,17:24:24,10.663,87.100,8.6,17.938,0.2610
06-11-2011,18:24:25,9.977,97.600,9.6,13.594,0.2596
06-11-2011,19:24:26,10.271,98.400,10.0,12.847,0.2639
06-11-2011,20:24:27,10.247,99.800,10.2,12.268,0.2632
06-11-2011,21:24:28,9.682,100.000,9.7,11.565,0.2654
06-11-2011,22:24:29,10.100,100.000,10.1,11.370,0.2654
06-11-2011,23:24:30,10.247,100.000,10.3,11.394,0.2661
07-11-2011,00:24:31,10.247,100.000,10.3,11.321,0.2668
07-11-2011,01:24:32,10.271,100.000,10.3,11.224,0.2676
07-11-2011,02:24:33,10.124,100.000,10.1,11.127,0.2683
07-11-2011,03:24:34,10.026,100.000,10.0,10.956,0.2690
07-11-2011,04:24:35,9.756,100.000,9.8,10.834,0.2698
07-11-2011,05:24:36,9.608,100.000,9.6,10.663,0.2705
07-11-2011,06:24:37,9.534,100.000,9.5,10.541,0.2705
07-11-2011,07:24:38,9.509,100.000,9.5,10.541,0.2705
07-11-2011,08:24:39,9.879,100.000,9.9,11.078,0.2712
07-11-2011,09:24:40,10.956,99.600,10.9,11.710,0.2705
07-11-2011,10:24:41,13.978,92.400,12.8,12.775,0.2705
07-11-2011,11:24:42,16.820,78.100,13.0,16.963,0.2698
07-11-2011,12:24:43,17.510,65.400,11.0,19.555,0.2705
07-11-2011,13:24:44,18.010,65.700,11.5,21.294,0.2705
07-11-2011,14:24:45,20.293,62.900,13.0,22.920,0.2705
07-11-2011,15:24:46,19.865,61.600,12.3,24.388,0.2705
07-11-2011,16:24:47,19.008,62.600,11.7,24.291,0.2705
07-11-2011,17:24:48,18.818,62.500,11.5,23.232,0.2705
07-11-2011,18:24:49,15.031,65.700,8.7,21.151,0.2698
07-11-2011,19:24:50,11.589,77.500,7.8,17.558,0.2690
07-11-2011,20:24:51,8.543,91.500,7.2,14.697,0.2683
07-11-2011,21:24:52,9.163,96.600,8.7,12.920,0.2676
07-11-2011,22:24:53,8.916,97.600,8.6,11.856,0.2661
07-11-2011,23:24:54,10.320,96.700,9.8,11.346,0.2661
08-11-2011,00:24:55,11.127,91.400,9.8,11.151,0.2661
08-11-2011,01:24:56,11.710,89.700,10.1,11.273,0.2654
