Date,"Time, GMT+11:00","Temp, ÁC (SEN S/N: 9818218, LBL: Ambient)","RH, % (SEN S/N: 9818218)","DewPt, ÁC (SEN S/N: 9818218)","Temp, ÁC (SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m^3/m^3 (SEN S/N: 4650904)"
02/11/11,15:22:46,11.2,69,5.7,17.962,0.0983,0.14359
02/11/11,16:22:47,11.394,71.8,6.5,16.725,0.0983,0.14416
02/11/11,17:22:48,8.717,75,4.5,15.247,0.0983,0.14416
02/11/11,18:22:49,9.064,76.1,5.1,14.888,0.0976,0.14416
02/11/11,19:22:50,5.898,83.6,3.3,12.147,0.0969,0.14359
02/11/11,20:22:51,3.958,89.2,2.3,9.262,0.0969,0.14359
02/11/11,21:22:52,2.182,93.4,1.2,7.318,0.0962,0.14359
02/11/11,22:22:53,0.218,96.3,-0.3,5.77,0.0962,0.14359
02/11/11,23:22:54,1.235,96.5,0.7,5.282,0.0962,0.14302
03/11/11,00:22:55,0.687,95.6,0.1,5.257,0.0962,0.14359
03/11/11,01:22:56,-1.556,96,-2.1,4.011,0.0954,0.14416
03/11/11,02:22:57,-3.449,95.8,-4,2.69,0.0962,0.14359
03/11/11,03:22:58,-4.56,94.7,-5.3,1.697,0.0962,0.14302
03/11/11,04:22:59,-4.046,96,-4.6,1.044,0.0962,0.14302
03/11/11,05:23:00,-1.986,99,-2.1,1.561,0.0962,0.14302
03/11/11,06:23:01,-3.598,95.2,-4.3,1.262,0.0962,0.14302
03/11/11,07:23:02,1.751,89.7,0.2,2.101,0.0969,0.14302
03/11/11,08:23:03,11.053,59.8,3.5,3.564,0.0969,0.14302
03/11/11,09:23:04,16.582,37.9,2.2,6.23,0.0969,0.14187
03/11/11,10:23:05,16.868,37.5,2.3,10.907,0.0969,0.14187
03/11/11,11:23:06,20.293,39.8,6.2,16.868,0.0976,0.14187
03/11/11,12:23:07,22.681,42.1,9.2,32.381,0.0976,0.14187
03/11/11,13:23:08,20.984,45.2,8.7,40.142,0.0983,0.14302
03/11/11,14:23:09,20.293,47.4,8.8,41.21,0.0991,0.14416
03/11/11,15:23:10,16.749,51.1,6.6,30.672,0.0991,0.14416
03/11/11,16:23:11,25.331,45.3,12.7,36.2,0.0983,0.14359
03/11/11,17:23:12,12.243,61,5,24.146,0.0983,0.14416
03/11/11,18:23:13,9.928,72.7,5.3,18.366,0.0969,0.14416
03/11/11,19:23:14,9.312,74.7,5.1,16.225,0.0954,0.14359
03/11/11,20:23:15,5.437,86.6,3.4,12.413,0.0947,0.14359
03/11/11,21:23:16,5.411,92.9,4.4,10.81,0.094,0.14359
03/11/11,22:23:17,3.538,94.3,2.7,9.139,0.094,0.14302
03/11/11,23:23:18,1.317,96.4,0.8,6.99,0.0933,0.14302
04/11/11,00:23:19,0.934,97.6,0.6,5.437,0.0925,0.14244
04/11/11,01:23:20,0.384,97.6,0,4.558,0.0933,0.14244
04/11/11,02:23:21,-1.213,97.2,-1.6,3.749,0.0933,0.14244
04/11/11,03:23:22,-2.247,96.4,-2.7,2.797,0.0925,0.14244
04/11/11,04:23:23,-2.771,97.9,-3.1,2.236,0.0925,0.1413
04/11/11,05:23:24,-2.218,98,-2.5,1.615,0.0933,0.1413
04/11/11,06:23:25,-0.563,96.8,-1,1.48,0.0933,0.14187
04/11/11,07:23:26,8.742,82.1,5.9,3.036,0.0925,0.14073
04/11/11,08:23:27,14.529,61.5,7.2,5.77,0.0933,0.14073
04/11/11,09:23:28,18.033,47.6,6.8,9.064,0.0925,0.14016
04/11/11,10:23:29,22.13,44.3,9.4,14.29,0.0933,0.14016
04/11/11,11:23:30,23.352,42.8,10,20.96,0.0933,0.14016
04/11/11,12:23:31,26.109,41.7,12.1,37.096,0.094,0.14016
04/11/11,13:23:32,29.04,38.7,13.6,44.411,0.094,0.14073
04/11/11,14:23:33,28.916,42.8,15,47.974,0.0954,0.14073
04/11/11,15:23:34,24.968,43.4,11.7,47.125,0.0969,0.1413
04/11/11,16:23:35,19.984,46.2,8.1,38.98,0.0954,0.14187
04/11/11,17:23:36,22.729,59.3,14.4,27.259,0.0933,0.14244
04/11/11,18:23:37,18.58,54.9,9.4,25.089,0.0918,0.14187
04/11/11,19:23:38,13.473,65.7,7.2,18.557,0.0918,0.14187
04/11/11,20:23:39,4.532,79.1,1.2,12.606,0.0904,0.14187
04/11/11,21:23:40,3.617,91.9,2.4,9.485,0.0889,0.1413
04/11/11,22:23:41,4.895,97.5,4.5,8.319,0.0882,0.1413
04/11/11,23:23:42,5.847,99.1,5.7,7.77,0.0882,0.14073
05/11/11,00:23:43,7.645,95.4,7,8.344,0.0882,0.14073
05/11/11,01:23:44,7.544,94.8,6.8,8.095,0.0882,0.14073
05/11/11,02:23:45,7.695,94.2,6.8,8.02,0.0882,0.14016
05/11/11,03:23:46,6.585,92.7,5.5,7.569,0.0882,0.14016
05/11/11,04:23:47,6.636,90.2,5.2,6.712,0.0882,0.14016
05/11/11,05:23:48,6.357,88.9,4.7,6.357,0.0882,0.14016
05/11/11,06:23:49,7.268,88.6,5.5,6.357,0.0882,0.14016
05/11/11,07:23:50,10.956,70.7,5.9,7.066,0.0882,0.1413
05/11/11,08:23:51,14.553,51.4,4.7,8.519,0.0874,0.14073
05/11/11,09:23:52,18.723,50.7,8.3,11.443,0.0874,0.14016
05/11/11,10:23:53,20.412,48.8,9.3,16.058,0.0882,0.13959
05/11/11,11:23:54,20.222,47.2,8.6,21.819,0.0889,0.13902
05/11/11,12:23:55,22.25,47.5,10.6,37.59,0.0889,0.13902
05/11/11,13:23:56,21.724,47.1,10,44.442,0.0889,0.13902
05/11/11,14:23:57,22.393,48,10.9,47.548,0.0904,0.13902
05/11/11,15:23:58,22.345,49.7,11.3,47.482,0.0918,0.13959
05/11/11,16:23:59,22.274,47.8,10.7,46.77,0.0911,0.14016
05/11/11,17:24:00,21.27,49.2,10.2,41.094,0.0896,0.14016
05/11/11,18:24:01,17.986,53.8,8.5,26.842,0.0867,0.13959
05/11/11,19:24:02,12.871,61,5.5,19.912,0.086,0.13959
05/11/11,20:24:03,7.116,78.7,3.7,13.497,0.0845,0.13959
05/11/11,21:24:04,8.568,81.4,5.6,11.102,0.0831,0.13959
05/11/11,22:24:05,9.04,76.9,5.2,10.32,0.0824,0.13902
05/11/11,23:24:06,9.78,73.8,5.3,10.173,0.0824,0.13902
06/11/11,00:24:07,11.248,66.3,5.2,9.756,0.0816,0.13845
06/11/11,01:24:08,11.662,64.1,5.1,10.001,0.0816,0.13902
06/11/11,02:24:09,11.346,65.3,5.1,10.075,0.0816,0.13845
06/11/11,03:24:10,11.88,66.1,5.8,10.149,0.0809,0.13787
06/11/11,04:24:11,11.54,68.4,5.9,10.394,0.0809,0.13787
06/11/11,05:24:12,11.394,74.8,7.1,10.345,0.0809,0.13787
06/11/11,06:24:13,11.565,79.9,8.2,10.467,0.0809,0.13787
06/11/11,07:24:14,11.662,80.4,8.4,11.005,0.0802,0.13787
06/11/11,08:24:15,12.122,82.8,9.3,11.953,0.0802,0.13787
06/11/11,09:24:16,13.185,82.5,10.3,14.05,0.0802,0.13787
06/11/11,10:24:17,14.218,81,11,16.439,0.0809,0.1373
06/11/11,11:24:18,16.511,74.8,12,18.366,0.0816,0.1373
06/11/11,12:24:19,20.293,61.3,12.6,30.142,0.0824,0.13673
06/11/11,13:24:20,22.345,58.3,13.8,37.178,0.0824,0.13616
06/11/11,14:24:21,17.391,63.3,10.4,34.889,0.0838,0.13673
06/11/11,15:24:22,19.46,63.7,12.4,34.045,0.0838,0.13673
06/11/11,16:24:23,15.079,72.1,10.1,27.407,0.0831,0.1373
06/11/11,17:24:24,10.98,85.6,8.7,17.558,0.0809,0.13616
06/11/11,18:24:25,10.026,97.1,9.6,12.823,0.0773,0.13388
06/11/11,19:24:26,10.467,98.3,10.2,13.088,0.0766,0.1333
06/11/11,20:24:27,10.247,99.5,10.2,12.437,0.0751,0.13273
06/11/11,21:24:28,9.682,100,9.7,11.54,0.0751,0.1333
06/11/11,22:24:29,10.1,100,10.1,11.492,0.0751,0.13273
06/11/11,23:24:30,10.222,100,10.2,11.516,0.0751,0.13273
07/11/11,00:24:31,10.247,100,10.3,11.419,0.0744,0.13216
07/11/11,01:24:32,10.271,100,10.3,11.321,0.0744,0.13273
07/11/11,02:24:33,10.1,100,10.1,11.175,0.0744,0.13273
07/11/11,03:24:34,10.001,100,10,10.98,0.0744,0.13216
07/11/11,04:24:35,9.756,100,9.8,10.834,0.0744,0.13273
07/11/11,05:24:36,9.583,100,9.6,10.663,0.0744,0.13273
07/11/11,06:24:37,9.558,100,9.6,10.541,0.0744,0.13216
07/11/11,07:24:38,9.509,100,9.5,10.712,0.0744,0.13273
07/11/11,08:24:39,9.952,100,10,11.71,0.0744,0.1333
07/11/11,09:24:40,11.321,98.7,11.1,12.751,0.0744,0.13273
07/11/11,10:24:41,14.361,90.2,12.8,13.714,0.0751,0.13273
07/11/11,11:24:42,16.749,75.9,12.5,18.033,0.0773,0.13273
07/11/11,12:24:43,17.938,63.6,11,26.622,0.0795,0.1333
07/11/11,13:24:44,18.747,63.3,11.6,30.041,0.0809,0.1333
07/11/11,14:24:45,20.817,61.2,13.1,32.613,0.0831,0.13388
07/11/11,15:24:46,20.103,60.5,12.2,33.209,0.0853,0.13388
07/11/11,16:24:47,19.294,61.2,11.7,31.51,0.0853,0.13445
07/11/11,17:24:48,18.866,61.1,11.2,29.765,0.0838,0.13445
07/11/11,18:24:49,14.816,65.2,8.4,22.274,0.0824,0.13445
07/11/11,19:24:50,11.71,76.6,7.7,17.32,0.0809,0.13388
07/11/11,20:24:51,9.015,89.6,7.4,14.002,0.0795,0.13388
07/11/11,21:24:52,9.361,94.8,8.6,12.292,0.078,0.1333
07/11/11,22:24:53,9.139,96.3,8.6,11.346,0.0773,0.13273
07/11/11,23:24:54,10.418,95.9,9.8,11.005,0.0773,0.1333
08/11/11,00:24:55,11.175,90.2,9.6,10.932,0.0773,0.13273
08/11/11,01:24:56,11.734,88.8,10,11.224,0.0766,0.13273
08/11/11,02:24:57,12.025,92.5,10.9,11.346,0.0766,0.13388
08/11/11,03:24:58,12.364,95.4,11.7,12.025,0.0766,0.1333
08/11/11,04:24:59,11.953,96.5,11.4,11.929,0.0766,0.1333
08/11/11,05:25:00,12.292,96.3,11.7,11.953,0.0766,0.1333
08/11/11,06:25:01,12.292,95.9,11.7,12.147,0.0766,0.1333
08/11/11,07:25:02,12.389,95.1,11.6,12.316,0.0766,0.1333
08/11/11,08:25:03,13.04,96.1,12.4,12.751,0.0766,0.1333
08/11/11,09:25:04,12.34,98.8,12.2,12.896,0.0751,0.13273
08/11/11,10:25:05,12.534,100,12.5,12.823,0.0751,0.13216
08/11/11,11:25:06,12.292,100,12.3,13.137,0.0758,0.13273
08/11/11,12:25:07,13.978,99.4,13.9,19.484,0.0773,0.1333
08/11/11,13:25:08,12.509,91.3,11.1,21.819,0.0787,0.13388
08/11/11,14:25:09,15.939,89,14.1,19.46,0.0787,0.13445
08/11/11,15:25:10,16.129,76,11.9,25.55,0.0809,0.13445
08/11/11,16:25:11,16.368,73.8,11.7,24.532,0.0816,0.13445
08/11/11,17:25:12,14.481,76,10.3,22.13,0.0809,0.13502
08/11/11,18:25:13,13.329,80.8,10.1,17.534,0.0795,0.13502
08/11/11,19:25:14,12.268,84.6,9.8,14.745,0.078,0.13502
08/11/11,20:25:15,10.516,87,8.5,12.799,0.0773,0.13502
08/11/11,21:25:16,10.516,89.8,8.9,11.589,0.0766,0.13502
08/11/11,22:25:17,10.785,98.1,10.5,11.005,0.0758,0.13445
08/11/11,23:25:18,10.443,98.4,10.2,10.761,0.0758,0.13445
09/11/11,00:25:19,11.078,97.4,10.7,10.492,0.0758,0.13445
09/11/11,01:25:20,11.102,97.5,10.7,10.907,0.0758,0.13388
09/11/11,02:25:21,11.394,98,11.1,11.2,0.0758,0.13445
09/11/11,03:25:22,11.273,98.1,11,11.321,0.0758,0.13445
09/11/11,04:25:23,11.273,99.2,11.2,11.419,0.0758,0.13445
09/11/11,05:25:24,10.663,100,10.7,11.419,0.0758,0.13445
09/11/11,06:25:25,11.2,100,11.2,11.467,0.0758,0.13445
09/11/11,07:25:26,11.637,100,11.7,12.074,0.0751,0.13445
09/11/11,08:25:27,11.88,100,11.9,12.703,0.0758,0.13445
09/11/11,09:25:28,11.904,100,11.9,12.871,0.0758,0.13502
09/11/11,10:25:29,12.147,100,12.2,13.185,0.0758,0.13502
09/11/11,11:25:30,11.759,100,11.8,13.618,0.0766,0.13445
09/11/11,12:25:31,12.437,100,12.5,14.433,0.0773,0.13445
09/11/11,13:25:32,11.929,100,11.9,15.533,0.078,0.13445
09/11/11,14:25:33,11.953,100,12,14.074,0.078,0.13502
09/11/11,15:25:34,12.437,100,12.5,13.978,0.078,0.13502
09/11/11,16:25:35,12.678,99.7,12.6,14.385,0.078,0.13559
09/11/11,17:25:36,13.594,97.5,13.2,14.505,0.078,0.13559
09/11/11,18:25:37,13.57,97.1,13.1,14.409,0.078,0.13502
09/11/11,19:25:38,13.497,98.5,13.3,13.714,0.0773,0.13616
09/11/11,20:25:39,13.137,100,13.2,13.281,0.0773,0.13616
09/11/11,21:25:40,11.977,100,12,12.871,0.078,0.13559
09/11/11,22:25:41,11.053,100,11.1,12.05,0.078,0.13559
09/11/11,23:25:42,10.516,100,10.5,11.443,0.078,0.13559
10/11/11,00:25:43,9.608,100,9.6,11.005,0.078,0.13673
10/11/11,01:25:44,9.731,100,9.7,10.492,0.0795,0.15616
10/11/11,02:25:45,9.312,100,9.3,10.124,0.0838,0.16015
10/11/11,03:25:46,9.213,100,9.2,9.928,0.0845,0.15787
10/11/11,04:25:47,9.336,100,9.3,9.952,0.086,0.15616
10/11/11,05:25:48,9.583,100,9.6,10.026,0.0867,0.15444
10/11/11,06:25:49,8.693,100,8.7,9.879,0.0896,0.15501
10/11/11,07:25:50,7.015,100,7,9.262,0.115,0.18529
10/11/11,08:25:51,4.48,100,4.5,8.095,0.1158,0.18129
10/11/11,09:25:52,6.788,100,6.8,8.891,0.1114,0.17158
10/11/11,10:25:53,11.2,96.6,10.7,12.074,0.1092,0.16701
10/11/11,11:25:54,12.678,81.7,9.6,16.892,0.1071,0.16415
