"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818215, LBL: Ambient)","RH, % (SEN S/N: 9818215)","DewPt, ¡C (SEN S/N: 9818215)","Water Content, m?/m? (SEN S/N: 9827498, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833749, LBL: 10cmBG)"
10-05-2012,14:38:45,12.268,81.100,9.1,0.2240,0.2654
10-05-2012,15:38:46,11.443,80.800,8.3,0.2233,0.2632
10-05-2012,16:38:47,9.188,82.100,6.3,0.2218,0.2618
10-05-2012,17:38:48,6.357,86.700,4.3,0.2211,0.2610
10-05-2012,18:38:49,5.308,93.500,4.3,0.2204,0.2596
10-05-2012,19:38:50,5.154,96.400,4.6,0.2196,0.2596
10-05-2012,20:38:51,5.128,97.500,4.8,0.2189,0.2589
10-05-2012,21:38:52,5.745,98.200,5.5,0.2182,0.2581
10-05-2012,22:38:53,5.719,98.100,5.4,0.2175,0.2589
10-05-2012,23:38:54,5.514,97.600,5.2,0.2175,0.2581
11-05-2012,00:38:55,5.360,97.600,5.0,0.2167,0.2574
11-05-2012,01:38:56,4.895,96.900,4.4,0.2160,0.2574
11-05-2012,02:38:57,4.558,96.700,4.1,0.2160,0.2560
11-05-2012,03:38:58,4.558,97.400,4.2,0.2153,0.2560
11-05-2012,04:38:59,4.558,97.400,4.2,0.2146,0.2560
11-05-2012,05:39:00,4.246,97.700,3.9,0.2146,0.2560
11-05-2012,06:39:01,4.636,98.100,4.4,0.2146,0.2552
11-05-2012,07:39:02,3.932,97.500,3.6,0.2138,0.2552
11-05-2012,08:39:03,4.220,97.800,3.9,0.2138,0.2560
11-05-2012,09:39:04,6.102,96.200,5.5,0.2138,0.2552
11-05-2012,10:39:05,8.668,90.900,7.3,0.2124,0.2545
11-05-2012,11:39:06,9.114,86.200,6.9,0.2124,0.2545
11-05-2012,12:39:07,11.248,82.500,8.4,0.2124,0.2545
11-05-2012,13:39:08,8.965,84.200,6.5,0.2116,0.2538
11-05-2012,14:39:09,9.534,87.600,7.6,0.2116,0.2545
11-05-2012,15:39:10,8.817,83.300,6.2,0.2109,0.2530
11-05-2012,16:39:11,7.167,82.200,4.3,0.2102,0.2523
11-05-2012,17:39:12,3.906,84.700,1.6,0.2102,0.2516
11-05-2012,18:39:13,2.021,89.500,0.5,0.2095,0.2523
11-05-2012,19:39:14,-0.451,90.600,-1.8,0.2095,0.2501
11-05-2012,20:39:15,-1.015,92.200,-2.1,0.2087,0.2487
11-05-2012,21:39:16,-0.479,93.900,-1.3,0.2087,0.2487
11-05-2012,22:39:17,-0.060,94.600,-0.8,0.2080,0.2480
11-05-2012,23:39:18,-0.004,94.600,-0.8,0.2080,0.2480
12-05-2012,00:39:19,-0.817,93.800,-1.7,0.2087,0.2480
12-05-2012,01:39:20,-1.699,92.900,-2.7,0.2080,0.2480
12-05-2012,02:39:21,-1.785,93.600,-2.7,0.2073,0.2472
12-05-2012,03:39:22,-2.160,93.500,-3.1,0.2073,0.2472
12-05-2012,04:39:23,-2.247,93.600,-3.1,0.2073,0.2465
12-05-2012,05:39:24,-2.479,93.900,-3.3,0.2066,0.2458
