"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
10-05-2012,13:38:44,0.2923
10-05-2012,14:38:45,0.2915
10-05-2012,15:38:46,0.2901
10-05-2012,16:38:47,0.2894
10-05-2012,17:38:48,0.2879
10-05-2012,18:38:49,0.2872
10-05-2012,19:38:50,0.2872
10-05-2012,20:38:51,0.2865
10-05-2012,21:38:52,0.2865
10-05-2012,22:38:53,0.2857
10-05-2012,23:38:54,0.2857
11-05-2012,00:38:55,0.2850
11-05-2012,01:38:56,0.2850
11-05-2012,02:38:57,0.2843
11-05-2012,03:38:58,0.2843
11-05-2012,04:38:59,0.2836
11-05-2012,05:39:00,0.2836
11-05-2012,06:39:01,0.2836
11-05-2012,07:39:02,0.2828
11-05-2012,08:39:03,0.2821
11-05-2012,09:39:04,0.2821
11-05-2012,10:39:05,0.2821
11-05-2012,11:39:06,0.2821
11-05-2012,12:39:07,0.2814
11-05-2012,13:39:08,0.2814
11-05-2012,14:39:09,0.2814
11-05-2012,15:39:10,0.2806
11-05-2012,16:39:11,0.2799
11-05-2012,17:39:12,0.2792
11-05-2012,18:39:13,0.2785
11-05-2012,19:39:14,0.2777
11-05-2012,20:39:15,0.2770
11-05-2012,21:39:16,0.2770
11-05-2012,22:39:17,0.2763
11-05-2012,23:39:18,0.2763
12-05-2012,00:39:19,0.2756
12-05-2012,01:39:20,0.2756
12-05-2012,02:39:21,0.2748
12-05-2012,03:39:22,0.2748
12-05-2012,04:39:23,0.2741
12-05-2012,05:39:24,0.2741
12-05-2012,06:39:25,0.2741
12-05-2012,07:39:26,0.2727
12-05-2012,08:39:27,0.2727
12-05-2012,09:39:28,0.2719
12-05-2012,10:39:29,0.2727
12-05-2012,11:39:30,0.2727
12-05-2012,12:39:31,0.2727
12-05-2012,13:39:32,0.2741
12-05-2012,14:39:33,0.2756
12-05-2012,15:39:34,0.2756
12-05-2012,16:39:35,0.2748
12-05-2012,17:39:36,0.2748
12-05-2012,18:39:37,0.2741
12-05-2012,19:39:38,0.2741
12-05-2012,20:39:39,0.2734
12-05-2012,21:39:40,0.2734
12-05-2012,22:39:41,0.2734
12-05-2012,23:39:42,0.2734
13-05-2012,00:39:43,0.2741
13-05-2012,01:39:44,0.2734
13-05-2012,02:39:45,0.2741
13-05-2012,03:39:46,0.2741
13-05-2012,04:39:47,0.2741
13-05-2012,05:39:48,0.2741
13-05-2012,06:39:49,0.2741
13-05-2012,07:39:50,0.2734
13-05-2012,08:39:51,0.2734
13-05-2012,09:39:52,0.2741
13-05-2012,10:39:53,0.2741
13-05-2012,11:39:54,0.2770
13-05-2012,12:39:55,0.2792
13-05-2012,13:39:56,0.2814
13-05-2012,14:39:57,0.2908
13-05-2012,15:39:58,0.3148
13-05-2012,16:39:59,0.3133
13-05-2012,17:40:00,0.3104
13-05-2012,18:40:01,0.3068
13-05-2012,19:40:02,0.3039
13-05-2012,20:40:03,0.3017
13-05-2012,21:40:04,0.3003
13-05-2012,22:40:05,0.2988
13-05-2012,23:40:06,0.2974
14-05-2012,00:40:07,0.2966
14-05-2012,01:40:08,0.2959
14-05-2012,02:40:09,0.2944
14-05-2012,03:40:10,0.2937
14-05-2012,04:40:11,0.2923
14-05-2012,05:40:12,0.2915
14-05-2012,06:40:13,0.2908
14-05-2012,07:40:14,0.2901
14-05-2012,08:40:15,0.2894
