"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818213, LBL: Ambient)","RH, % (SEN S/N: 9818213)","DewPt, ¡C (SEN S/N: 9818213)","Temp, ¡C (SEN S/N: 9824750, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9827499, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833754, LBL: 10cmBG)"
09-05-2012,15:38:22,7.015,71.600,2.2,5.745,0.2792,0.2581
09-05-2012,16:38:23,6.000,77.200,2.3,5.668,0.2792,0.2574
09-05-2012,17:38:24,6.687,72.900,2.2,5.462,0.2785,0.2574
09-05-2012,18:38:25,5.205,85.900,3.0,5.334,0.2792,0.2581
09-05-2012,19:38:26,5.076,96.600,4.6,5.282,0.2785,0.2589
09-05-2012,20:38:27,4.766,99.600,4.7,5.257,0.3664,0.3395
09-05-2012,21:38:28,5.847,100.000,5.9,5.231,0.3852,0.3424
09-05-2012,22:38:29,6.026,100.000,6.0,5.385,0.3743,0.3329
09-05-2012,23:38:30,5.924,100.000,5.9,5.514,0.3613,0.3250
10-05-2012,00:38:31,5.745,100.000,5.7,5.565,0.3504,0.3191
10-05-2012,01:38:32,5.745,100.000,5.7,5.565,0.3409,0.3155
10-05-2012,02:38:33,5.668,100.000,5.7,5.565,0.3351,0.3126
10-05-2012,03:38:34,5.385,100.000,5.4,5.565,0.3308,0.3104
10-05-2012,04:38:35,4.792,100.000,4.8,5.514,0.3271,0.3090
10-05-2012,05:38:36,4.037,100.000,4.0,5.308,0.3242,0.3075
10-05-2012,06:38:37,3.958,99.500,3.9,5.050,0.3213,0.3061
10-05-2012,07:38:38,3.670,98.400,3.4,4.844,0.3199,0.3046
10-05-2012,08:38:39,3.985,95.400,3.3,4.636,0.3177,0.3039
10-05-2012,09:38:40,6.763,88.800,5.1,4.558,0.3155,0.3024
10-05-2012,10:38:41,9.485,78.900,6.0,4.869,0.3141,0.3017
10-05-2012,11:38:42,11.151,73.300,6.6,5.437,0.3126,0.3010
10-05-2012,12:38:43,12.558,71.400,7.5,6.000,0.3112,0.2988
10-05-2012,13:38:44,13.570,68.000,7.8,6.940,0.3097,0.2988
10-05-2012,14:38:45,9.312,72.400,4.6,7.770,0.3090,0.2981
10-05-2012,15:38:46,9.829,75.800,5.8,8.045,0.3082,0.2966
10-05-2012,16:38:47,7.995,78.700,4.5,7.845,0.3075,0.2959
10-05-2012,17:38:48,5.949,86.200,3.8,7.393,0.3061,0.2937
10-05-2012,18:38:49,5.102,96.200,4.6,6.889,0.3053,0.2930
10-05-2012,19:38:50,4.973,98.000,4.7,6.509,0.3046,0.2915
10-05-2012,20:38:51,5.539,97.900,5.2,6.230,0.3039,0.2908
10-05-2012,21:38:52,5.949,98.400,5.7,6.128,0.3032,0.2908
10-05-2012,22:38:53,5.898,98.300,5.7,6.128,0.3017,0.2901
10-05-2012,23:38:54,5.693,95.300,5.0,6.102,0.3017,0.2894
11-05-2012,00:38:55,5.437,95.400,4.8,5.975,0.3010,0.2886
11-05-2012,01:38:56,5.231,92.500,4.1,5.872,0.3003,0.2886
11-05-2012,02:38:57,4.999,92.300,3.9,5.693,0.2995,0.2872
11-05-2012,03:38:58,4.947,92.800,3.9,5.565,0.2995,0.2872
11-05-2012,04:38:59,5.024,93.300,4.0,5.462,0.2988,0.2865
11-05-2012,05:39:00,5.024,93.400,4.1,5.360,0.2981,0.2857
11-05-2012,06:39:01,4.740,94.700,4.0,5.257,0.2974,0.2857
11-05-2012,07:39:02,4.063,95.000,3.3,5.231,0.2974,0.2850
11-05-2012,08:39:03,4.350,93.400,3.4,5.102,0.2966,0.2843
11-05-2012,09:39:04,5.360,89.100,3.7,5.076,0.2959,0.2843
11-05-2012,10:39:05,7.116,83.800,4.6,5.308,0.2959,0.2836
11-05-2012,11:39:06,6.051,85.100,3.7,5.693,0.2952,0.2836
11-05-2012,12:39:07,7.091,82.500,4.3,6.026,0.2952,0.2828
11-05-2012,13:39:08,4.844,91.000,3.5,6.331,0.2952,0.2828
11-05-2012,14:39:09,6.560,94.100,5.7,6.535,0.2944,0.2821
11-05-2012,15:39:10,6.230,85.500,4.0,6.636,0.2937,0.2814
11-05-2012,16:39:11,5.024,82.000,2.2,6.458,0.2937,0.2814
11-05-2012,17:39:12,2.343,82.700,-0.3,6.026,0.2930,0.2806
11-05-2012,18:39:13,0.880,90.500,-0.5,5.488,0.2923,0.2799
11-05-2012,19:39:14,-0.986,90.000,-2.4,4.895,0.2923,0.2792
11-05-2012,20:39:15,-1.270,90.800,-2.6,4.272,0.2915,0.2785
11-05-2012,21:39:16,-0.902,92.100,-2.0,3.854,0.2915,0.2777
11-05-2012,22:39:17,-0.311,91.800,-1.5,3.591,0.2908,0.2770
11-05-2012,23:39:18,-0.535,91.300,-1.8,3.380,0.2901,0.2770
12-05-2012,00:39:19,-1.641,90.200,-3.0,3.168,0.2901,0.2763
12-05-2012,01:39:20,-2.537,88.600,-4.2,2.850,0.2901,0.2763
12-05-2012,02:39:21,-2.392,91.400,-3.6,2.637,0.2894,0.2756
12-05-2012,03:39:22,-2.683,89.300,-4.2,2.477,0.2894,0.2748
12-05-2012,04:39:23,-2.537,90.200,-3.9,2.343,0.2886,0.2748
12-05-2012,05:39:24,-3.124,92.000,-4.2,2.236,0.2879,0.2741
12-05-2012,06:39:25,-3.896,93.100,-4.9,2.101,0.2879,0.2741
12-05-2012,07:39:26,-5.760,94.100,-6.6,1.994,0.2872,0.2741
12-05-2012,08:39:27,-4.408,95.100,-5.1,1.886,0.2872,0.2734
12-05-2012,09:39:28,2.717,84.900,0.4,1.751,0.2872,0.2727
12-05-2012,10:39:29,5.385,71.100,0.6,1.697,0.2865,0.2727
12-05-2012,11:39:30,7.343,65.400,1.3,1.670,0.2872,0.2719
12-05-2012,12:39:31,9.139,62.300,2.3,1.886,0.2865,0.2719
12-05-2012,13:39:32,8.668,57.500,0.8,3.063,0.2865,0.2719
12-05-2012,14:39:33,7.645,59.700,0.3,4.350,0.2865,0.2719
12-05-2012,15:39:34,4.688,67.500,-0.8,5.179,0.2857,0.2719
12-05-2012,16:39:35,0.051,76.100,-3.7,5.102,0.2857,0.2719
12-05-2012,17:39:36,-1.470,85.000,-3.7,4.558,0.2857,0.2712
12-05-2012,18:39:37,-1.327,87.800,-3.1,3.906,0.2850,0.2705
12-05-2012,19:39:38,-1.470,90.100,-2.9,3.459,0.2850,0.2705
12-05-2012,20:39:39,-1.498,95.100,-2.2,3.168,0.2850,0.2705
12-05-2012,21:39:40,-1.441,97.600,-1.8,2.903,0.2850,0.2698
12-05-2012,22:39:41,-1.356,98.200,-1.6,2.744,0.2843,0.2690
12-05-2012,23:39:42,-1.327,99.200,-1.4,2.664,0.2843,0.2690
13-05-2012,00:39:43,-1.299,99.200,-1.4,2.610,0.2843,0.2690
13-05-2012,01:39:44,-1.356,99.400,-1.4,2.584,0.2843,0.2683
13-05-2012,02:39:45,-1.384,99.400,-1.5,2.530,0.2836,0.2683
13-05-2012,03:39:46,-1.128,99.800,-1.2,2.503,0.2836,0.2683
13-05-2012,04:39:47,-1.185,100.000,-1.2,2.477,0.2836,0.2683
