Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC (SEN S/N: 9818218, LBL: Ambient)","RH, % (SEN S/N: 9818218)","DewPt, ÁC (SEN S/N: 9818218)","Temp, ÁC (SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833760, LBL: 10cmBG)"
ITEX2.0,2,OTC,09/05/12,12:38:19,7.293,76.8,3.5,7.845,0.0933,0.256
ITEX2.0,2,OTC,09/05/12,13:38:20,6.255,78.9,2.9,7.368,0.094,0.2567
ITEX2.0,2,OTC,09/05/12,14:38:21,4.973,80.5,1.9,6.737,0.094,0.2567
ITEX2.0,2,OTC,09/05/12,15:38:22,6.99,77.4,3.3,6.661,0.094,0.2567
ITEX2.0,2,OTC,09/05/12,16:38:23,5.924,77.3,2.3,5.924,0.0933,0.2567
ITEX2.0,2,OTC,09/05/12,17:38:24,6.661,72.6,2.1,5.437,0.0933,0.2567
ITEX2.0,2,OTC,09/05/12,18:38:25,5.024,86.4,2.9,4.973,0.0933,0.2567
ITEX2.0,2,OTC,09/05/12,19:38:26,5.05,97.8,4.7,4.999,0.0933,0.256
ITEX2.0,2,OTC,09/05/12,20:38:27,4.766,100,4.8,5.024,0.0933,0.2552
ITEX2.0,2,OTC,09/05/12,21:38:28,5.847,100,5.9,5.205,0.0933,0.2552
ITEX2.0,2,OTC,09/05/12,22:38:29,6.026,100,6,5.488,0.0933,0.2552
ITEX2.0,2,OTC,09/05/12,23:38:30,5.924,100,5.9,5.591,0.0933,0.2552
ITEX2.0,2,OTC,10/05/12,00:38:31,5.719,100,5.7,5.616,0.0933,0.2552
ITEX2.0,2,OTC,10/05/12,01:38:32,5.719,100,5.7,5.514,0.094,0.2552
ITEX2.0,2,OTC,10/05/12,02:38:33,5.642,100,5.6,5.488,0.094,0.2552
ITEX2.0,2,OTC,10/05/12,03:38:34,5.36,100,5.4,5.462,0.094,0.2552
ITEX2.0,2,OTC,10/05/12,04:38:35,4.766,100,4.8,5.05,0.094,0.2552
ITEX2.0,2,OTC,10/05/12,05:38:36,4.011,100,4,4.324,0.094,0.2545
ITEX2.0,2,OTC,10/05/12,06:38:37,3.88,100,3.9,3.906,0.094,0.2552
ITEX2.0,2,OTC,10/05/12,07:38:38,3.643,100,3.6,3.617,0.094,0.2545
ITEX2.0,2,OTC,10/05/12,08:38:39,3.67,97.6,3.3,3.354,0.094,0.2552
ITEX2.0,2,OTC,10/05/12,09:38:40,6.382,89.3,4.8,3.827,0.0947,0.2552
ITEX2.0,2,OTC,10/05/12,10:38:41,8.792,79,5.4,5.05,0.0947,0.2552
ITEX2.0,2,OTC,10/05/12,11:38:42,10.369,73.6,5.9,7.091,0.0947,0.2552
ITEX2.0,2,OTC,10/05/12,12:38:43,11.565,72.2,6.7,9.534,0.0962,0.2545
ITEX2.0,2,OTC,10/05/12,13:38:44,11.053,72.2,6.3,10.834,0.0976,0.2552
ITEX2.0,2,OTC,10/05/12,14:38:45,8.519,77.3,4.8,10.761,0.0976,0.256
ITEX2.0,2,OTC,10/05/12,15:38:46,9.361,79.5,6,9.583,0.0983,0.2567
ITEX2.0,2,OTC,10/05/12,16:38:47,7.695,80.2,4.5,8.245,0.0983,0.256
ITEX2.0,2,OTC,10/05/12,17:38:48,5.847,86.8,3.8,6.965,0.0976,0.256
ITEX2.0,2,OTC,10/05/12,18:38:49,5.076,96.5,4.6,5.872,0.0969,0.256
ITEX2.0,2,OTC,10/05/12,19:38:50,4.973,98.4,4.7,5.462,0.0962,0.256
ITEX2.0,2,OTC,10/05/12,20:38:51,5.539,98.2,5.3,5.282,0.0962,0.256
ITEX2.0,2,OTC,10/05/12,21:38:52,5.975,98.7,5.8,5.642,0.0962,0.2567
ITEX2.0,2,OTC,10/05/12,22:38:53,5.898,98.5,5.7,5.796,0.0954,0.256
ITEX2.0,2,OTC,10/05/12,23:38:54,5.719,95.2,5,5.668,0.0954,0.256
ITEX2.0,2,OTC,11/05/12,00:38:55,5.437,95.3,4.7,5.488,0.0954,0.256
ITEX2.0,2,OTC,11/05/12,01:38:56,5.231,92.2,4.1,5.231,0.0954,0.2567
ITEX2.0,2,OTC,11/05/12,02:38:57,4.973,92,3.8,4.947,0.0954,0.256
ITEX2.0,2,OTC,11/05/12,03:38:58,4.947,92.6,3.9,4.792,0.0947,0.256
ITEX2.0,2,OTC,11/05/12,04:38:59,5.024,93,4,4.714,0.0947,0.256
ITEX2.0,2,OTC,11/05/12,05:39:00,5.024,93.1,4,4.506,0.0947,0.2567
ITEX2.0,2,OTC,11/05/12,06:39:01,4.74,94.4,3.9,4.662,0.0947,0.2567
ITEX2.0,2,OTC,11/05/12,07:39:02,4.011,94.8,3.3,4.454,0.0947,0.2567
ITEX2.0,2,OTC,11/05/12,08:39:03,4.298,93.1,3.3,4.298,0.0947,0.2567
ITEX2.0,2,OTC,11/05/12,09:39:04,5.257,88.6,3.5,4.921,0.0947,0.256
ITEX2.0,2,OTC,11/05/12,10:39:05,7.041,83.4,4.4,5.796,0.0947,0.256
ITEX2.0,2,OTC,11/05/12,11:39:06,5.745,84.9,3.4,6.965,0.0954,0.2567
ITEX2.0,2,OTC,11/05/12,12:39:07,6.864,82.5,4.1,7.97,0.0954,0.2567
ITEX2.0,2,OTC,11/05/12,13:39:08,4.662,91.1,3.3,7.92,0.0954,0.2567
ITEX2.0,2,OTC,11/05/12,14:39:09,5.949,94.6,5.2,8.17,0.0962,0.2574
ITEX2.0,2,OTC,11/05/12,15:39:10,5.745,86.2,3.6,7.72,0.0962,0.2574
ITEX2.0,2,OTC,11/05/12,16:39:11,4.688,82.4,2,6.23,0.0954,0.2574
ITEX2.0,2,OTC,11/05/12,17:39:12,2.128,82.9,-0.5,4.714,0.0947,0.2574
ITEX2.0,2,OTC,11/05/12,18:39:13,0.715,90.7,-0.6,3.67,0.094,0.2567
ITEX2.0,2,OTC,11/05/12,19:39:14,-1.185,90.2,-2.6,2.316,0.0933,0.2567
ITEX2.0,2,OTC,11/05/12,20:39:15,-1.356,91.2,-2.6,1.534,0.0933,0.2567
ITEX2.0,2,OTC,11/05/12,21:39:16,-0.986,92.3,-2.1,1.588,0.0933,0.2567
ITEX2.0,2,OTC,11/05/12,22:39:17,-0.451,91.8,-1.6,1.48,0.0933,0.256
ITEX2.0,2,OTC,11/05/12,23:39:18,-0.676,91.3,-1.9,1.398,0.0933,0.256
ITEX2.0,2,OTC,12/05/12,00:39:19,-1.785,90.2,-3.2,0.934,0.0925,0.256
ITEX2.0,2,OTC,12/05/12,01:39:20,-2.712,88.6,-4.3,0.329,0.0925,0.256
ITEX2.0,2,OTC,12/05/12,02:39:21,-2.537,91.4,-3.8,0.218,0.0925,0.2552
ITEX2.0,2,OTC,12/05/12,03:39:22,-2.83,89.3,-4.4,0.163,0.0925,0.256
ITEX2.0,2,OTC,12/05/12,04:39:23,-2.683,90.2,-4.1,0.079,0.0925,0.256
ITEX2.0,2,OTC,12/05/12,05:39:24,-3.36,92.1,-4.5,0.051,0.0925,0.256
ITEX2.0,2,OTC,12/05/12,06:39:25,-4.076,93.2,-5,-0.032,0.0918,0.2552
ITEX2.0,2,OTC,12/05/12,07:39:26,-5.511,94,-6.3,-0.143,0.0918,0.2552
ITEX2.0,2,OTC,12/05/12,08:39:27,-5.11,94.5,-5.9,-0.283,0.0918,0.2552
ITEX2.0,2,OTC,12/05/12,09:39:28,2.155,85.7,0,-0.143,0.0925,0.2552
ITEX2.0,2,OTC,12/05/12,10:39:29,4.999,70,0,-0.004,0.0933,0.2552
ITEX2.0,2,OTC,12/05/12,11:39:30,6.737,64.3,0.5,0.329,0.0933,0.256
ITEX2.0,2,OTC,12/05/12,12:39:31,7.544,62.2,0.8,4.22,0.0933,0.2552
ITEX2.0,2,OTC,12/05/12,13:39:32,6.281,61.1,-0.7,7.091,0.094,0.256
ITEX2.0,2,OTC,12/05/12,14:39:33,5.102,65.2,-0.9,7.67,0.094,0.256
ITEX2.0,2,OTC,12/05/12,15:39:34,3.643,71.4,-1,6.509,0.094,0.2567
ITEX2.0,2,OTC,12/05/12,16:39:35,-0.171,77.5,-3.6,4.584,0.094,0.2567
ITEX2.0,2,OTC,12/05/12,17:39:36,-1.67,85.6,-3.8,2.53,0.0925,0.2567
ITEX2.0,2,OTC,12/05/12,18:39:37,-1.441,88,-3.2,1.588,0.0918,0.256
ITEX2.0,2,OTC,12/05/12,19:39:38,-1.613,90.2,-3,1.371,0.0918,0.256
ITEX2.0,2,OTC,12/05/12,20:39:39,-1.613,95.2,-2.3,1.071,0.0918,0.2552
ITEX2.0,2,OTC,12/05/12,21:39:40,-1.556,97.8,-1.9,0.605,0.0918,0.256
ITEX2.0,2,OTC,12/05/12,22:39:41,-1.413,98.4,-1.6,0.632,0.0918,0.256
ITEX2.0,2,OTC,12/05/12,23:39:42,-1.413,99.4,-1.5,0.77,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,00:39:43,-1.384,99.4,-1.5,0.934,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,01:39:44,-1.47,99.6,-1.5,1.017,0.0918,0.256
ITEX2.0,2,OTC,13/05/12,02:39:45,-1.498,99.8,-1.5,1.071,0.0918,0.256
ITEX2.0,2,OTC,13/05/12,03:39:46,-1.213,100,-1.2,1.126,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,04:39:47,-1.299,100,-1.3,1.126,0.0925,0.2552
ITEX2.0,2,OTC,13/05/12,05:39:48,-1.299,100,-1.3,1.153,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,06:39:49,-1.384,100,-1.4,1.18,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,07:39:50,-0.845,100,-0.9,1.208,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,08:39:51,-0.76,99.9,-0.8,1.235,0.0925,0.2552
ITEX2.0,2,OTC,13/05/12,09:39:52,-0.227,100,-0.2,1.317,0.0918,0.2552
ITEX2.0,2,OTC,13/05/12,10:39:53,0.051,99.6,0,1.425,0.0918,0.2545
ITEX2.0,2,OTC,13/05/12,11:39:54,0.218,99,0.1,1.615,0.0918,0.2545
ITEX2.0,2,OTC,13/05/12,12:39:55,0.384,98.5,0.2,2.047,0.0925,0.2545
ITEX2.0,2,OTC,13/05/12,13:39:56,1.153,97.4,0.8,2.797,0.0925,0.2545
ITEX2.0,2,OTC,13/05/12,14:39:57,3.248,93.3,2.3,4.454,0.1281,0.261
ITEX2.0,2,OTC,13/05/12,15:39:58,3.116,88.8,1.4,5.05,0.1223,0.2603
ITEX2.0,2,OTC,13/05/12,16:39:59,2.503,90.4,1.1,4.61,0.1209,0.2603
ITEX2.0,2,OTC,13/05/12,17:40:00,-0.199,90.1,-1.6,3.591,0.1194,0.2596
ITEX2.0,2,OTC,13/05/12,18:40:01,-1.699,93.8,-2.6,1.913,0.1172,0.2589
ITEX2.0,2,OTC,13/05/12,19:40:02,-1.756,95.8,-2.3,1.344,0.1165,0.2581
ITEX2.0,2,OTC,13/05/12,20:40:03,-1.727,96.7,-2.2,1.18,0.115,0.2581
ITEX2.0,2,OTC,13/05/12,21:40:04,-1.958,97.3,-2.3,0.907,0.1143,0.2574
ITEX2.0,2,OTC,13/05/12,22:40:05,-2.276,97.8,-2.6,0.66,0.1136,0.2574
ITEX2.0,2,OTC,13/05/12,23:40:06,-2.859,98.3,-3.1,0.522,0.1129,0.2574
ITEX2.0,2,OTC,14/05/12,00:40:07,-2.976,98.4,-3.2,0.384,0.1121,0.2567
ITEX2.0,2,OTC,14/05/12,01:40:08,-3.153,98.3,-3.4,0.273,0.1114,0.2567
ITEX2.0,2,OTC,14/05/12,02:40:09,-3.183,98.7,-3.4,0.218,0.1107,0.2567
ITEX2.0,2,OTC,14/05/12,03:40:10,-3.598,97.9,-3.9,0.19,0.1107,0.256
ITEX2.0,2,OTC,14/05/12,04:40:11,-3.212,98.6,-3.4,0.163,0.1107,0.2567
ITEX2.0,2,OTC,14/05/12,05:40:12,-3.183,98.8,-3.4,0.135,0.11,0.256
ITEX2.0,2,OTC,14/05/12,06:40:13,-3.183,98.5,-3.4,0.163,0.1092,0.256
ITEX2.0,2,OTC,14/05/12,07:40:14,-3.212,98.6,-3.4,0.135,0.1092,0.256
ITEX2.0,2,OTC,14/05/12,08:40:15,-2.888,98.8,-3.1,0.135,0.1085,0.256
ITEX2.0,2,OTC,14/05/12,09:40:16,-1.498,98.9,-1.7,0.19,0.1085,0.256
ITEX2.0,2,OTC,14/05/12,10:40:17,2.262,93.8,1.4,0.273,0.1085,0.2552
ITEX2.0,2,OTC,14/05/12,11:40:18,5.257,84.9,2.9,0.605,0.1078,0.2552
ITEX2.0,2,OTC,14/05/12,12:40:19,7.745,74.6,3.5,3.433,0.1078,0.256
ITEX2.0,2,OTC,14/05/12,13:40:20,8.444,69.8,3.3,6.585,0.1078,0.256
ITEX2.0,2,OTC,14/05/12,14:40:21,8.99,71.3,4.1,8.319,0.1092,0.256
ITEX2.0,2,OTC,14/05/12,15:40:22,4.558,72.6,0.1,8.568,0.11,0.256
ITEX2.0,2,OTC,14/05/12,16:40:23,3.142,85.8,1,6.763,0.1092,0.256
ITEX2.0,2,OTC,14/05/12,17:40:24,1.724,91.9,0.5,5.05,0.1092,0.256
ITEX2.0,2,OTC,14/05/12,18:40:25,1.208,96.2,0.7,3.906,0.1085,0.2567
ITEX2.0,2,OTC,14/05/12,19:40:26,1.235,98.2,1,3.38,0.1078,0.256
ITEX2.0,2,OTC,14/05/12,20:40:27,1.262,98.8,1.1,3.089,0.1078,0.256
ITEX2.0,2,OTC,14/05/12,21:40:28,1.099,98.9,0.9,2.903,0.1071,0.256
ITEX2.0,2,OTC,14/05/12,22:40:29,-0.676,98.6,-0.9,2.182,0.1071,0.256
ITEX2.0,2,OTC,14/05/12,23:40:30,-1.071,99.8,-1.1,1.071,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,00:40:31,-1.27,100,-1.3,0.77,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,01:40:32,-1.128,99.7,-1.2,0.577,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,02:40:33,-0.986,100,-1,0.439,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,03:40:34,-1.043,100,-1,0.329,0.1063,0.2545
ITEX2.0,2,OTC,15/05/12,04:40:35,-1.213,100,-1.2,0.273,0.1056,0.2545
ITEX2.0,2,OTC,15/05/12,05:40:36,-0.032,100,0,0.301,0.1056,0.2545
ITEX2.0,2,OTC,15/05/12,06:40:37,0.218,100,0.2,0.467,0.1056,0.2545
ITEX2.0,2,OTC,15/05/12,07:40:38,0.467,100,0.5,0.632,0.1056,0.2545
ITEX2.0,2,OTC,15/05/12,08:40:39,1.208,100,1.2,0.907,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,09:40:40,2.983,100,3,1.994,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,10:40:41,4.869,97.8,4.6,3.67,0.1063,0.2552
ITEX2.0,2,OTC,15/05/12,11:40:42,5.847,92.4,4.7,5.154,0.1071,0.2552
ITEX2.0,2,OTC,15/05/12,12:40:43,9.805,84,7.2,7.242,0.1071,0.2552
ITEX2.0,2,OTC,15/05/12,13:40:44,10.663,75.4,6.5,9.04,0.1071,0.256
ITEX2.0,2,OTC,15/05/12,14:40:45,12.896,69.2,7.4,10.541,0.1071,0.256
ITEX2.0,2,OTC,15/05/12,15:40:46,8.12,75,4,9.657,0.1071,0.256
ITEX2.0,2,OTC,15/05/12,16:40:47,4.584,83,2,7.97,0.1063,0.256
ITEX2.0,2,OTC,15/05/12,17:40:48,3.116,90.8,1.8,6.306,0.1063,0.256
ITEX2.0,2,OTC,15/05/12,18:40:49,1.099,94,0.2,4.688,0.1056,0.256
ITEX2.0,2,OTC,15/05/12,19:40:50,2.182,97.8,1.9,4.141,0.1049,0.256
ITEX2.0,2,OTC,15/05/12,20:40:51,1.886,98.1,1.6,4.011,0.1049,0.256
ITEX2.0,2,OTC,15/05/12,21:40:52,1.778,98.1,1.5,3.749,0.1049,0.256
ITEX2.0,2,OTC,15/05/12,22:40:53,-0.004,97.3,-0.4,3.142,0.1042,0.2552
ITEX2.0,2,OTC,15/05/12,23:40:54,-0.986,98.3,-1.2,2.101,0.1042,0.2552
ITEX2.0,2,OTC,16/05/12,00:40:55,-1.185,98.8,-1.4,1.262,0.1034,0.2552
ITEX2.0,2,OTC,16/05/12,01:40:56,-1.986,99.3,-2.1,0.825,0.1034,0.2552
ITEX2.0,2,OTC,16/05/12,02:40:57,-3.212,98.2,-3.5,0.495,0.1034,0.2552
ITEX2.0,2,OTC,16/05/12,03:40:58,-2.888,98.9,-3,0.301,0.1034,0.2552
ITEX2.0,2,OTC,16/05/12,04:40:59,-2.334,99.4,-2.4,0.273,0.1034,0.2545
ITEX2.0,2,OTC,16/05/12,05:41:00,-1.47,100,-1.5,0.301,0.1034,0.2552
