"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
23-11-2012,11:57:30,0.1550
23-11-2012,12:57:31,0.1535
23-11-2012,13:57:32,0.1521
23-11-2012,14:57:33,0.1514
23-11-2012,15:57:34,0.1499
23-11-2012,16:57:35,0.1499
23-11-2012,17:57:36,0.1492
23-11-2012,18:57:37,0.1485
23-11-2012,19:57:38,0.1477
23-11-2012,20:57:39,0.1463
23-11-2012,21:57:40,0.1463
23-11-2012,22:57:41,0.1463
23-11-2012,23:57:42,0.1456
24-11-2012,00:57:43,0.1456
24-11-2012,01:57:44,0.1448
24-11-2012,02:57:45,0.1448
24-11-2012,03:57:46,0.1448
24-11-2012,04:57:47,0.1448
24-11-2012,05:57:48,0.1448
24-11-2012,06:57:49,0.1456
24-11-2012,07:57:50,0.1463
24-11-2012,08:57:51,0.1463
24-11-2012,09:57:52,0.1463
24-11-2012,10:57:53,0.1463
24-11-2012,11:57:54,0.1456
24-11-2012,12:57:55,0.1448
24-11-2012,13:57:56,0.1426
24-11-2012,14:57:57,0.1412
24-11-2012,15:57:58,0.1397
24-11-2012,16:57:59,0.1383
24-11-2012,17:58:00,0.1368
24-11-2012,18:58:01,0.1361
24-11-2012,19:58:02,0.1354
24-11-2012,20:58:03,0.1354
24-11-2012,21:58:04,0.1354
24-11-2012,22:58:05,0.1347
24-11-2012,23:58:06,0.1347
25-11-2012,00:58:07,0.1347
25-11-2012,01:58:08,0.1347
25-11-2012,02:58:09,0.1347
25-11-2012,03:58:10,0.1339
25-11-2012,04:58:11,0.1347
25-11-2012,05:58:12,0.1339
25-11-2012,06:58:13,0.1339
25-11-2012,07:58:14,0.1347
25-11-2012,08:58:15,0.1347
25-11-2012,09:58:16,0.1347
25-11-2012,10:58:17,0.1347
25-11-2012,11:58:18,0.1339
25-11-2012,12:58:19,0.1332
25-11-2012,13:58:20,0.1325
25-11-2012,14:58:21,0.1310
25-11-2012,15:58:22,0.1296
25-11-2012,16:58:23,0.1274
25-11-2012,17:58:24,0.1267
25-11-2012,18:58:25,0.1259
25-11-2012,19:58:26,0.1245
25-11-2012,20:58:27,0.1238
25-11-2012,21:58:28,0.1238
25-11-2012,22:58:29,0.1230
25-11-2012,23:58:30,0.1230
26-11-2012,00:58:31,0.1230
26-11-2012,01:58:32,0.1230
26-11-2012,02:58:33,0.1223
26-11-2012,03:58:34,0.1223
26-11-2012,04:58:35,0.1230
26-11-2012,05:58:36,0.1230
26-11-2012,06:58:37,0.1230
26-11-2012,07:58:38,0.1238
26-11-2012,08:58:39,0.1245
26-11-2012,09:58:40,0.1245
26-11-2012,10:58:41,0.1245
26-11-2012,11:58:42,0.1252
26-11-2012,12:58:43,0.1252
26-11-2012,13:58:44,0.1259
26-11-2012,14:58:45,0.1245
26-11-2012,15:58:46,0.1245
26-11-2012,16:58:47,0.1230
26-11-2012,17:58:48,0.1216
26-11-2012,18:58:49,0.1209
26-11-2012,19:58:50,0.1201
26-11-2012,20:58:51,0.1194
26-11-2012,21:58:52,0.1201
26-11-2012,22:58:53,0.1201
26-11-2012,23:58:54,0.1194
27-11-2012,00:58:55,0.1194
27-11-2012,01:58:56,0.1194
27-11-2012,02:58:57,0.1194
27-11-2012,03:58:58,0.1201
27-11-2012,04:58:59,0.1209
27-11-2012,05:59:00,0.1209
27-11-2012,06:59:01,0.1223
27-11-2012,07:59:02,0.1347
27-11-2012,08:59:03,0.1470
27-11-2012,09:59:04,0.1521
27-11-2012,10:59:05,0.1673
27-11-2012,11:59:06,0.1855
27-11-2012,12:59:07,0.1928
27-11-2012,13:59:08,0.1935
