"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818207, LBL: Ambient)","RH, % (SEN S/N: 9818207)","DewPt, ¡C (SEN S/N: 9818207)","Water Content, m?/m? (SEN S/N: 9827490, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833762, LBL: 10cmBG)"
23-11-2012,10:57:29,18.224,51.600,8.1,0.1209,0.1913
23-11-2012,11:57:30,21.533,55.300,12.2,0.1209,0.1899
23-11-2012,12:57:31,20.222,57.700,11.6,0.1187,0.1884
23-11-2012,13:57:32,22.633,64.100,15.5,0.1172,0.1877
23-11-2012,14:57:33,20.246,65.600,13.6,0.1158,0.1862
23-11-2012,15:57:34,19.912,71.000,14.5,0.1158,0.1862
23-11-2012,16:57:35,17.867,71.800,12.7,0.1150,0.1855
23-11-2012,17:57:36,15.103,75.000,10.7,0.1143,0.1855
23-11-2012,18:57:37,13.377,77.800,9.6,0.1143,0.1848
23-11-2012,19:57:38,10.761,84.300,8.2,0.1136,0.1848
23-11-2012,20:57:39,5.334,82.900,2.7,0.1129,0.1848
23-11-2012,21:57:40,4.089,88.500,2.4,0.1129,0.1848
23-11-2012,22:57:41,5.050,92.900,4.0,0.1129,0.1848
23-11-2012,23:57:42,2.956,89.900,1.5,0.1136,0.1848
24-11-2012,00:57:43,2.236,89.600,0.7,0.1136,0.1848
24-11-2012,01:57:44,1.832,91.700,0.6,0.1136,0.1840
24-11-2012,02:57:45,1.697,93.100,0.7,0.1143,0.1848
24-11-2012,03:57:46,3.670,95.500,3.0,0.1143,0.1840
24-11-2012,04:57:47,5.282,99.900,5.3,0.1143,0.1848
24-11-2012,05:57:48,5.821,96.500,5.3,0.1136,0.1848
24-11-2012,06:57:49,8.344,89.200,6.7,0.1136,0.1848
24-11-2012,07:57:50,10.687,83.000,7.9,0.1136,0.1848
24-11-2012,08:57:51,13.449,81.500,10.4,0.1143,0.1848
24-11-2012,09:57:52,15.963,74.900,11.5,0.1158,0.1840
24-11-2012,10:57:53,20.031,67.300,13.8,0.1165,0.1833
24-11-2012,11:57:54,22.824,59.100,14.4,0.1158,0.1819
24-11-2012,12:57:55,24.122,53.800,14.2,0.1150,0.1797
24-11-2012,13:57:56,24.484,53.500,14.4,0.1136,0.1782
24-11-2012,14:57:57,21.819,50.800,11.2,0.1114,0.1761
24-11-2012,15:57:58,19.627,55.800,10.6,0.1100,0.1746
24-11-2012,16:57:59,16.749,57.200,8.3,0.1085,0.1739
24-11-2012,17:58:00,17.605,61.600,10.2,0.1078,0.1739
24-11-2012,18:58:01,17.082,63.000,10.0,0.1078,0.1732
24-11-2012,19:58:02,11.565,73.000,6.9,0.1071,0.1732
24-11-2012,20:58:03,10.932,82.300,8.0,0.1071,0.1732
24-11-2012,21:58:04,9.163,88.100,7.3,0.1071,0.1732
24-11-2012,22:58:05,7.745,92.000,6.5,0.1063,0.1732
24-11-2012,23:58:06,9.312,95.500,8.6,0.1071,0.1732
25-11-2012,00:58:07,9.608,92.500,8.5,0.1071,0.1732
25-11-2012,01:58:08,7.167,92.000,6.0,0.1063,0.1732
