"Plot Title: ITEX1U_3CTL"
"#","Date","Time, GMT+11:00","Water Content, m³/m³ (LGR S/N: 9832566, SEN S/N: 9833752, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832566, SEN S/N: 10284205)","RH, % (LGR S/N: 9832566, SEN S/N: 10284205)","DewPt, °C (LGR S/N: 9832566, SEN S/N: 10284205)"
1,28/05/13,13:11:56,0.3584,3.775,90.100,2.3
2,28/05/13,14:11:57,0.3685,4.246,85.900,2.1
3,28/05/13,15:11:58,0.3649,5.102,84.200,2.7
4,28/05/13,16:11:59,0.3598,4.194,83.400,1.6
5,28/05/13,17:12:00,0.3475,2.664,86.400,0.6
6,28/05/13,18:12:01,0.3351,2.316,88.900,0.7
7,28/05/13,19:12:02,0.3257,1.615,90.300,0.2
8,28/05/13,20:12:03,0.3184,1.778,90.700,0.4
9,28/05/13,21:12:04,0.3133,2.021,91.100,0.7
10,28/05/13,22:12:05,0.3097,2.074,91.100,0.8
11,28/05/13,23:12:06,0.3075,2.128,91.100,0.8
12,29/05/13,00:12:07,0.3061,1.994,91.100,0.7
13,29/05/13,01:12:08,0.3053,2.396,91.000,1.1
14,29/05/13,02:12:09,0.3068,2.557,90.800,1.2
15,29/05/13,03:12:10,0.3097,2.850,90.300,1.4
16,29/05/13,04:12:11,0.3133,2.717,90.200,1.3
17,29/05/13,05:12:12,0.3148,2.610,90.200,1.2
18,29/05/13,06:12:13,0.3148,2.530,90.300,1.1
19,29/05/13,07:12:14,0.3133,2.370,90.400,1.0
20,29/05/13,08:12:15,0.3126,2.370,90.500,1.0
21,29/05/13,09:12:16,0.3126,2.717,90.600,1.3
22,29/05/13,10:12:17,0.3155,3.248,90.600,1.9
23,29/05/13,11:12:18,0.3191,3.617,90.100,2.1
24,29/05/13,12:12:19,0.3206,3.221,89.900,1.7
25,29/05/13,13:12:20,0.3184,3.591,90.500,2.2
26,29/05/13,14:12:21,0.3191,4.818,89.800,3.3
27,29/05/13,15:12:22,0.3170,4.037,88.500,2.3
28,29/05/13,16:12:23,0.3133,3.670,88.700,2.0
29,29/05/13,17:12:24,0.3097,3.591,89.000,2.0
30,29/05/13,18:12:25,0.3061,3.564,90.200,2.1
31,29/05/13,19:12:26,0.3032,3.564,91.000,2.2
32,29/05/13,20:12:27,0.3010,3.722,91.400,2.5
33,29/05/13,21:12:28,0.2995,3.643,91.700,2.4
34,29/05/13,22:12:29,0.2974,3.591,92.000,2.4
35,29/05/13,23:12:30,0.2966,3.880,92.100,2.7
36,30/05/13,00:12:31,0.2952,3.749,92.100,2.6
37,30/05/13,01:12:32,0.2944,3.985,91.500,2.7
38,30/05/13,02:12:33,0.2930,4.506,91.300,3.2
39,30/05/13,03:12:34,0.2923,4.636,92.000,3.5
40,30/05/13,04:12:35,0.2915,4.740,92.300,3.6
41,30/05/13,05:12:36,0.2908,4.844,92.500,3.7
42,30/05/13,06:12:37,0.2901,4.844,92.700,3.8
43,30/05/13,07:12:38,0.2894,4.999,92.800,3.9
44,30/05/13,08:12:39,0.3104,4.480,92.900,3.4
45,30/05/13,09:12:40,0.3555,3.301,92.900,2.3
46,30/05/13,10:12:41,0.3395,5.076,93.400,4.1
47,30/05/13,11:12:42,0.3482,4.973,93.300,4.0
48,30/05/13,12:12:43,0.3438,4.921,93.200,3.9
49,30/05/13,13:12:44,0.3358,4.973,93.300,4.0
50,30/05/13,14:12:45,0.3322,4.973,93.400,4.0
51,30/05/13,15:12:46,0.3300,5.076,93.500,4.1
52,30/05/13,16:12:47,0.3293,4.895,93.500,3.9
53,30/05/13,17:12:48,0.3380,4.844,93.600,3.9
54,30/05/13,18:12:49,0.3308,4.662,93.700,3.7
55,30/05/13,19:12:50,0.3199,4.714,93.800,3.8
56,30/05/13,20:12:51,0.3228,4.740,93.900,3.8
57,30/05/13,21:12:52,0.3279,4.844,93.800,3.9
58,30/05/13,22:12:53,0.3518,5.102,93.800,4.2
59,30/05/13,23:12:54,0.3453,4.869,93.800,4.0
60,31/05/13,00:12:55,0.3475,4.037,93.800,3.1
61,31/05/13,01:12:56,0.3417,4.610,93.900,3.7
62,31/05/13,02:12:57,0.3322,4.947,93.900,4.1
63,31/05/13,03:12:58,0.3337,4.947,94.000,4.1
64,31/05/13,04:12:59,0.3380,5.024,94.000,4.1
65,31/05/13,05:13:00,0.3308,4.921,94.100,4.1
66,31/05/13,06:13:01,0.3300,5.411,94.200,4.6
67,31/05/13,07:13:02,0.3322,5.591,94.200,4.7
68,31/05/13,08:13:03,0.3300,5.539,94.200,4.7
69,31/05/13,09:13:04,0.3279,5.693,94.200,4.8
70,31/05/13,10:13:05,0.3228,6.051,94.200,5.2
71,31/05/13,11:13:06,0.3228,6.509,94.100,5.6
72,31/05/13,12:13:07,0.3220,6.864,94.100,6.0
73,31/05/13,13:13:08,0.3170,6.763,94.000,5.9
74,31/05/13,14:13:09,0.3148,6.914,94.000,6.0
75,31/05/13,15:13:10,0.3133,6.914,94.100,6.0
76,31/05/13,16:13:11,0.3213,6.712,94.100,5.8
77,31/05/13,17:13:12,0.3177,6.306,94.200,5.4
78,31/05/13,18:13:13,0.3235,6.204,94.300,5.4
79,31/05/13,19:13:14,0.3279,6.179,94.500,5.4
80,31/05/13,20:13:15,0.3206,6.128,94.500,5.3
81,31/05/13,21:13:16,0.3220,5.975,94.500,5.2
82,31/05/13,22:13:17,0.3170,5.975,94.700,5.2
83,31/05/13,23:13:18,0.3119,5.872,94.600,5.1
84,01/06/13,00:13:19,0.3075,6.230,94.800,5.5
85,01/06/13,01:13:20,0.3046,6.382,94.800,5.6
86,01/06/13,02:13:21,0.3017,6.611,94.900,5.9
87,01/06/13,03:13:22,0.2995,6.611,94.900,5.9
