"Plot Title: ITEX1U_6OTC"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832570, SEN S/N: 9818211, LBL: Ambient)","RH, % (LGR S/N: 9832570, SEN S/N: 9818211)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9827491, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832570, SEN S/N: 9833764, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832570, SEN S/N: 9818211)"
1,18/04/13,15:55:58,8.593,100.000,0.2668,0.2146,8.6
2,18/04/13,16:55:59,7.870,99.900,0.2676,0.2153,7.9
3,18/04/13,17:56:00,6.687,100.000,0.2668,0.2153,6.7
4,18/04/13,18:56:01,4.636,99.300,0.2668,0.2146,4.5
5,18/04/13,19:56:02,3.880,99.800,0.2661,0.2146,3.9
6,18/04/13,20:56:03,4.168,100.000,0.2654,0.2146,4.2
7,18/04/13,21:56:04,3.354,100.000,0.2654,0.2146,3.4
8,18/04/13,22:56:05,2.850,100.000,0.2647,0.2146,2.8
9,18/04/13,23:56:06,2.343,100.000,0.2639,0.2146,2.3
10,19/04/13,00:56:07,2.557,100.000,0.2639,0.2146,2.6
11,19/04/13,01:56:08,1.967,100.000,0.2632,0.2146,2.0
12,19/04/13,02:56:09,1.697,100.000,0.2632,0.2146,1.7
13,19/04/13,03:56:10,1.588,100.000,0.2625,0.2146,1.6
14,19/04/13,04:56:11,1.534,100.000,0.2625,0.2146,1.5
15,19/04/13,05:56:12,1.208,100.000,0.2618,0.2138,1.2
16,19/04/13,06:56:13,1.344,100.000,0.2618,0.2138,1.3
17,19/04/13,07:56:14,1.670,100.000,0.2610,0.2138,1.7
18,19/04/13,08:56:15,1.453,100.000,0.2610,0.2138,1.5
19,19/04/13,09:56:16,1.615,100.000,0.2610,0.2138,1.6
20,19/04/13,10:56:17,1.859,100.000,0.2610,0.2138,1.9
21,19/04/13,11:56:18,1.994,100.000,0.2603,0.2138,2.0
22,19/04/13,12:56:19,2.047,100.000,0.2603,0.2146,2.0
