"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)"
19/10/2013,12:09:30,17.534,30.400,-0.0,12.703,0.2727
19/10/2013,13:09:31,18.937,28.300,0.2,14.601,0.2734
19/10/2013,14:09:32,19.294,27.000,-0.2,16.796,0.2734
19/10/2013,15:09:33,19.912,24.300,-1.1,17.938,0.2734
19/10/2013,16:09:34,19.199,20.900,-3.7,18.010,0.2734
19/10/2013,17:09:35,17.344,20.900,-5.2,16.487,0.2727
19/10/2013,18:09:36,14.457,26.200,-4.7,14.074,0.2719
19/10/2013,19:09:37,7.217,39.900,-5.5,11.175,0.2712
19/10/2013,20:09:38,4.973,55.400,-3.2,8.519,0.2705
19/10/2013,21:09:39,5.821,59.800,-1.4,6.940,0.2698
19/10/2013,22:09:40,5.616,58.400,-1.9,6.077,0.2690
19/10/2013,23:09:41,5.591,61.200,-1.3,5.488,0.2683
20/10/2013,00:09:42,5.719,64.000,-0.6,5.050,0.2676
20/10/2013,01:09:43,5.821,64.800,-0.3,4.766,0.2676
20/10/2013,02:09:44,5.770,65.800,-0.1,4.532,0.2668
20/10/2013,03:09:45,5.411,66.900,-0.2,4.350,0.2661
20/10/2013,04:09:46,6.051,65.700,0.1,4.168,0.2661
20/10/2013,05:09:47,5.616,64.200,-0.6,4.063,0.2661
20/10/2013,06:09:48,6.408,62.100,-0.3,3.932,0.2654
20/10/2013,07:09:49,6.990,55.200,-1.4,3.958,0.2654
20/10/2013,08:09:50,7.594,55.500,-0.7,4.063,0.2647
20/10/2013,09:09:51,11.005,53.300,1.9,4.272,0.2647
20/10/2013,10:09:52,14.864,44.800,3.0,5.821,0.2647
20/10/2013,11:09:53,16.201,44.500,4.1,8.841,0.2647
20/10/2013,12:09:54,18.129,42.600,5.2,12.219,0.2647
20/10/2013,13:09:55,19.746,39.900,5.7,15.103,0.2647
20/10/2013,14:09:56,20.889,37.000,5.7,17.153,0.2654
20/10/2013,15:09:57,20.222,35.400,4.4,18.152,0.2661
20/10/2013,16:09:58,19.056,36.900,4.0,18.010,0.2654
20/10/2013,17:09:59,18.390,37.700,3.7,16.701,0.2654
20/10/2013,18:10:00,14.601,43.600,2.4,14.745,0.2647
20/10/2013,19:10:01,12.025,52.000,2.5,12.389,0.2647
20/10/2013,20:10:02,10.124,61.100,3.0,10.590,0.2639
20/10/2013,21:10:03,8.941,63.300,2.4,9.386,0.2632
20/10/2013,22:10:04,8.891,63.500,2.4,8.419,0.2625
20/10/2013,23:10:05,7.895,64.700,1.7,7.720,0.2625
21/10/2013,00:10:06,8.419,66.100,2.5,7.116,0.2618
21/10/2013,01:10:07,9.262,60.700,2.1,6.940,0.2610
21/10/2013,02:10:08,9.336,62.400,2.5,6.864,0.2610
21/10/2013,03:10:09,9.657,61.800,2.7,6.737,0.2610
21/10/2013,04:10:10,9.064,61.400,2.0,6.636,0.2610
