"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832564, SEN S/N: 9818206, LBL: Ambient)","RH, % (LGR S/N: 9832564, SEN S/N: 9818206)","Water Content, m³/m³ (LGR S/N: 9832564, SEN S/N: 9833756, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832564, SEN S/N: 9833765, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832564, SEN S/N: 9818206)"
19/10/13,14:09:32,21.437,30.000,0.2400,0.1274,3.2
19/10/13,15:09:33,19.508,30.900,0.2400,0.1245,1.9
19/10/13,16:09:34,17.772,29.500,0.2392,0.1216,-0.2
19/10/13,17:09:35,15.270,30.400,0.2378,0.1194,-2.0
19/10/13,18:09:36,12.775,36.300,0.2356,0.1172,-1.8
19/10/13,19:09:37,9.163,49.500,0.2349,0.1143,-0.8
19/10/13,20:09:38,6.281,62.100,0.2342,0.1121,-0.4
19/10/13,21:09:39,5.847,67.100,0.2327,0.1107,0.2
19/10/13,22:09:40,5.360,67.600,0.2327,0.1107,-0.1
19/10/13,23:09:41,5.282,69.200,0.2320,0.1107,0.1
20/10/13,00:09:42,4.921,72.800,0.2313,0.1100,0.5
20/10/13,01:09:43,4.921,74.100,0.2305,0.1100,0.7
20/10/13,02:09:44,4.714,74.900,0.2298,0.1100,0.6
20/10/13,03:09:45,4.506,75.900,0.2298,0.1100,0.6
20/10/13,04:09:46,4.662,75.900,0.2298,0.1092,0.8
20/10/13,05:09:47,4.584,73.900,0.2284,0.1092,0.3
20/10/13,06:09:48,4.792,71.500,0.2284,0.1085,0.1
20/10/13,07:09:49,5.411,66.400,0.2284,0.1085,-0.3
20/10/13,08:09:50,6.535,65.600,0.2284,0.1085,0.6
20/10/13,09:09:51,10.638,63.000,0.2276,0.1085,3.9
20/10/13,10:09:52,20.817,42.200,0.2276,0.1114,7.5
20/10/13,11:09:53,23.665,36.600,0.2284,0.1121,8.0
20/10/13,12:09:54,24.508,35.500,0.2291,0.1121,8.3
20/10/13,13:09:55,23.280,37.800,0.2298,0.1107,8.1
20/10/13,14:09:56,24.098,36.300,0.2284,0.1085,8.2
20/10/13,15:09:57,22.321,36.200,0.2276,0.1056,6.6
20/10/13,16:09:58,20.103,39.200,0.2276,0.1020,5.8
20/10/13,17:09:59,17.653,42.100,0.2262,0.1005,4.6
20/10/13,18:10:00,14.314,48.400,0.2247,0.0983,3.6
20/10/13,19:10:01,12.316,55.600,0.2247,0.0954,3.7
20/10/13,20:10:02,10.271,65.800,0.2233,0.0940,4.2
20/10/13,21:10:03,9.040,71.600,0.2233,0.0925,4.2
20/10/13,22:10:04,8.095,72.600,0.2233,0.0918,3.5
20/10/13,23:10:05,7.242,76.700,0.2225,0.0911,3.4
21/10/13,00:10:06,7.318,77.900,0.2225,0.0904,3.7
21/10/13,01:10:07,7.594,74.100,0.2218,0.0896,3.3
21/10/13,02:10:08,7.469,74.900,0.2218,0.0896,3.3
21/10/13,03:10:09,7.569,73.500,0.2218,0.0889,3.1
21/10/13,04:10:10,7.192,72.200,0.2211,0.0889,2.5
21/10/13,05:10:11,6.535,76.100,0.2211,0.0882,2.6
21/10/13,06:10:12,6.763,78.800,0.2211,0.0882,3.3
21/10/13,07:10:13,8.095,79.500,0.2196,0.0882,4.8
21/10/13,08:10:14,12.775,71.900,0.2196,0.0889,7.8
21/10/13,09:10:15,17.344,58.700,0.2204,0.0889,9.2
21/10/13,10:10:16,22.992,47.700,0.2196,0.0904,11.3
21/10/13,11:10:17,26.280,41.700,0.2204,0.0925,12.3
21/10/13,12:10:18,22.681,47.200,0.2204,0.0911,10.9
21/10/13,13:10:19,19.555,51.400,0.2204,0.0896,9.3
21/10/13,14:10:20,19.080,53.800,0.2196,0.0882,9.5
21/10/13,15:10:21,20.341,50.600,0.2196,0.0867,9.8
21/10/13,16:10:22,16.820,54.500,0.2189,0.0853,7.6
21/10/13,17:10:23,16.439,58.800,0.2182,0.0838,8.4
21/10/13,18:10:24,14.290,62.800,0.2182,0.0816,7.3
21/10/13,19:10:25,12.558,70.000,0.2175,0.0802,7.2
21/10/13,20:10:26,11.005,75.700,0.2167,0.0787,6.9
21/10/13,21:10:27,10.345,84.000,0.2160,0.0773,7.8
21/10/13,22:10:28,9.903,91.900,0.2160,0.0766,8.7
21/10/13,23:10:29,9.287,94.300,0.2160,0.0758,8.4
22/10/13,00:10:30,9.064,92.600,0.2160,0.0758,7.9
22/10/13,01:10:31,8.792,92.500,0.2160,0.0751,7.7
22/10/13,02:10:32,8.469,92.900,0.2160,0.0751,7.4
22/10/13,03:10:33,8.519,95.900,0.2160,0.0744,7.9
22/10/13,04:10:34,8.120,97.600,0.2160,0.0744,7.8
22/10/13,05:10:35,7.845,98.400,0.2153,0.0744,7.6
22/10/13,06:10:36,8.020,99.400,0.2160,0.0736,7.9
22/10/13,07:10:37,8.717,100.000,0.2153,0.0736,8.7
22/10/13,08:10:38,12.122,99.600,0.2160,0.0744,12.1
22/10/13,09:10:39,19.722,84.500,-0.0614,-0.1319,17.1
