"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Temp, °C (LGR S/N: 9832561, SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
30/05/14,11:38:42,6.102,93.100,6.204,0.1957,0.2690,5.1
30/05/14,12:38:43,7.945,89.200,7.569,0.1964,0.2712,6.3
30/05/14,13:38:44,9.805,83.900,8.394,0.1964,0.2705,7.2
30/05/14,14:38:45,7.845,82.000,8.543,0.1964,0.2705,5.0
30/05/14,15:38:46,7.745,81.100,8.120,0.1957,0.2705,4.7
30/05/14,16:38:47,6.051,86.400,7.393,0.1949,0.2705,4.0
30/05/14,17:38:48,4.220,90.100,5.745,0.1942,0.2705,2.7
30/05/14,18:38:49,3.327,92.700,4.584,0.1935,0.2698,2.3
30/05/14,19:38:50,1.453,92.400,3.485,0.1920,0.2690,0.4
30/05/14,20:38:51,1.994,97.200,2.744,0.1913,0.2690,1.6
30/05/14,21:38:52,2.236,98.800,2.530,0.1906,0.2683,2.1
30/05/14,22:38:53,2.074,99.600,2.423,0.1906,0.2683,2.0
30/05/14,23:38:54,1.805,99.000,2.155,0.1899,0.2676,1.7
31/05/14,00:38:55,0.715,98.000,1.859,0.1899,0.2676,0.4
31/05/14,01:38:56,1.453,100.000,1.643,0.1891,0.2676,1.5
31/05/14,02:38:57,1.913,100.000,1.751,0.1891,0.2676,1.9
31/05/14,03:38:58,1.967,100.000,1.940,0.1891,0.2668,2.0
31/05/14,04:38:59,3.142,100.000,2.236,0.1891,0.2668,3.1
31/05/14,05:39:00,2.503,100.000,2.584,0.1891,0.2668,2.5
31/05/14,06:39:01,3.142,100.000,2.584,0.1884,0.2661,3.1
31/05/14,07:39:02,1.480,99.900,2.316,0.1884,0.2661,1.5
31/05/14,08:39:03,0.660,98.400,1.588,0.1884,0.2661,0.4
31/05/14,09:39:04,0.989,98.800,1.425,0.1877,0.2661,0.8
31/05/14,10:39:05,4.063,100.000,2.690,0.1884,0.2654,4.1
31/05/14,11:39:06,5.050,100.000,4.636,0.1891,0.2654,5.1
31/05/14,12:39:07,6.712,98.700,5.872,0.1899,0.2654,6.5
31/05/14,13:39:08,7.820,92.100,7.343,0.1899,0.2654,6.6
31/05/14,14:39:09,8.618,89.000,7.770,0.1899,0.2654,6.9
31/05/14,15:39:10,9.460,85.500,7.870,0.1899,0.2654,7.2
31/05/14,16:39:11,6.914,89.900,7.217,0.1899,0.2654,5.4
31/05/14,17:39:12,6.179,96.800,6.281,0.1891,0.2654,5.7
31/05/14,18:39:13,5.437,98.900,5.642,0.1884,0.2654,5.3
31/05/14,19:39:14,5.616,100.000,5.437,0.1877,0.2654,5.6
31/05/14,20:39:15,5.719,100.000,5.565,0.1877,0.2654,5.7
31/05/14,21:39:16,5.179,100.000,5.411,0.1870,0.2647,5.2
31/05/14,22:39:17,5.308,100.000,5.257,0.1870,0.2647,5.3
31/05/14,23:39:18,5.616,100.000,5.385,0.1870,0.2647,5.6
01/06/14,00:39:19,5.745,100.000,5.488,0.1870,0.2647,5.7
01/06/14,01:39:20,5.770,100.000,5.565,0.1877,0.2647,5.8
01/06/14,02:39:21,5.591,100.000,5.591,0.1899,0.2654,5.6
01/06/14,03:39:22,5.462,100.000,5.539,0.1913,0.2647,5.5
01/06/14,04:39:23,4.584,100.000,5.179,0.1928,0.2647,4.6
01/06/14,05:39:24,4.973,100.000,5.050,0.1928,0.2647,5.0
01/06/14,06:39:25,4.532,100.000,4.844,0.1935,0.2654,4.5
01/06/14,07:39:26,4.428,100.000,4.610,0.1935,0.2654,4.4
01/06/14,08:39:27,4.792,100.000,4.792,0.1942,0.2654,4.8
01/06/14,09:39:28,5.128,100.000,5.050,0.1942,0.2654,5.1
01/06/14,10:39:29,5.308,100.000,5.308,0.1949,0.2654,5.3
01/06/14,11:39:30,5.565,100.000,5.591,0.1949,0.2654,5.6
01/06/14,12:39:31,5.796,100.000,5.847,0.1949,0.2654,5.8
01/06/14,13:39:32,5.565,100.000,6.357,0.2029,0.2661,5.6
01/06/14,14:39:33,4.895,100.000,6.179,0.2233,0.2661,4.9
01/06/14,15:39:34,4.584,100.000,5.847,0.2632,0.2705,4.6
01/06/14,16:39:35,3.958,100.000,5.411,0.2632,0.3279,4.0
01/06/14,17:39:36,3.775,100.000,4.947,0.2538,0.3264,3.8
01/06/14,18:39:37,3.327,100.000,4.532,0.2458,0.3213,3.3
01/06/14,19:39:38,3.036,100.000,4.115,0.2400,0.3162,3.0
01/06/14,20:39:39,2.850,100.000,3.801,0.2356,0.3112,2.8
01/06/14,21:39:40,2.423,99.900,3.459,0.2320,0.3075,2.4
01/06/14,22:39:41,1.940,99.600,3.036,0.2291,0.3039,1.9
01/06/14,23:39:42,1.832,99.600,2.584,0.2262,0.3010,1.8
02/06/14,00:39:43,1.507,99.800,2.343,0.2240,0.2988,1.5
02/06/14,01:39:44,1.398,99.500,2.074,0.2218,0.2966,1.3
02/06/14,02:39:45,1.724,100.000,2.262,0.2204,0.2944,1.7
02/06/14,03:39:46,1.940,100.000,2.503,0.2189,0.2930,1.9
02/06/14,04:39:47,1.778,100.000,2.610,0.2182,0.2915,1.8
02/06/14,05:39:48,1.317,99.800,2.182,0.2167,0.2908,1.3
