"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832555, SEN S/N: 9818215, LBL: Ambient)","RH, % (LGR S/N: 9832555, SEN S/N: 9818215)","Water Content, m³/m³ (LGR S/N: 9832555, SEN S/N: 9827498, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832555, SEN S/N: 9833749, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832555, SEN S/N: 9818215)"
16/01/15,15:11:07,20.269,1.000,0.1804,0.1150,-37.6
16/01/15,16:11:08,19.199,8.200,0.1790,0.1114,-15.5
16/01/15,17:11:09,18.343,93.600,0.1775,0.1092,17.3
16/01/15,18:11:10,17.225,97.200,0.1761,0.1078,16.8
16/01/15,19:11:11,16.511,97.300,0.1753,0.1071,16.1
16/01/15,20:11:12,15.676,97.500,0.1746,0.1056,15.3
16/01/15,21:11:13,14.218,97.600,0.1739,0.1056,13.9
16/01/15,22:11:14,13.112,97.700,0.1739,0.1056,12.8
16/01/15,23:11:15,12.316,97.700,0.1746,0.1049,12.0
17/01/15,00:11:16,11.880,97.800,0.1739,0.1049,11.6
17/01/15,01:11:17,11.492,97.800,0.1739,0.1042,11.2
17/01/15,02:11:18,11.053,97.800,0.1746,0.1042,10.7
17/01/15,03:11:19,10.687,97.700,0.1739,0.1034,10.3
17/01/15,04:11:20,10.394,97.800,0.1739,0.1034,10.1
17/01/15,05:11:21,10.075,97.700,0.1746,0.1034,9.7
17/01/15,06:11:22,9.829,97.700,0.1746,0.1034,9.5
17/01/15,07:11:23,9.854,97.900,0.1746,0.1027,9.5
17/01/15,08:11:24,10.541,98.200,0.1746,0.1027,10.3
17/01/15,09:11:25,12.340,98.700,0.1746,0.1027,12.2
17/01/15,10:11:26,15.199,88.200,0.1739,0.1020,13.3
17/01/15,11:11:27,17.915,60.100,0.1746,0.1020,10.1
17/01/15,12:11:28,20.460,39.000,0.1739,0.0983,6.1
17/01/15,13:11:29,21.963,25.700,0.1717,0.0889,1.4
17/01/15,14:11:30,22.633,75.400,0.1695,0.0787,18.1
17/01/15,15:11:31,21.819,97.200,0.1681,0.0736,21.4
17/01/15,16:11:32,20.579,95.800,0.1666,0.0707,19.9
17/01/15,17:11:33,19.080,94.500,0.1644,0.0686,18.2
17/01/15,18:11:34,17.796,94.200,0.1630,0.0671,16.9
17/01/15,19:11:35,16.558,94.300,0.1615,0.0671,15.7
17/01/15,20:11:36,15.366,94.900,0.1608,0.0671,14.6
17/01/15,21:11:37,13.882,95.000,0.1608,0.0671,13.1
17/01/15,22:11:38,12.558,95.000,0.1608,0.0678,11.8
17/01/15,23:11:39,11.540,95.100,0.1608,0.0686,10.8
18/01/15,00:11:40,10.858,95.300,0.1601,0.0686,10.1
18/01/15,01:11:41,10.222,95.300,0.1601,0.0686,9.5
18/01/15,02:11:42,9.583,95.200,0.1601,0.0693,8.9
18/01/15,03:11:43,9.163,95.400,0.1608,0.0693,8.5
18/01/15,04:11:44,8.618,95.300,0.1608,0.0693,7.9
18/01/15,05:11:45,8.270,95.000,0.1608,0.0693,7.5
18/01/15,06:11:46,7.720,94.500,0.1608,0.0693,6.9
18/01/15,07:11:47,7.645,95.200,0.1608,0.0707,6.9
18/01/15,08:11:48,8.965,98.100,0.1608,0.0700,8.7
18/01/15,09:11:49,11.565,99.400,0.1608,0.0693,11.5
18/01/15,10:11:50,14.625,93.000,0.1608,0.0678,13.5
18/01/15,11:11:51,18.105,62.400,0.1608,0.0678,10.8
18/01/15,12:11:52,21.557,36.600,0.1608,0.0642,6.1
18/01/15,13:11:53,23.160,31.600,0.1594,0.0569,5.4
18/01/15,14:11:54,24.267,94.700,0.1572,0.0468,23.4
18/01/15,15:11:55,23.184,97.000,0.1543,0.0410,22.7
