"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832558, SEN S/N: 9818208, LBL: Ambient)","RH, % (LGR S/N: 9832558, SEN S/N: 9818208)","Water Content, m³/m³ (LGR S/N: 9832558, SEN S/N: 9827495, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832558, SEN S/N: 9833757, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832558, SEN S/N: 9818208)"
16/01/15,15:11:08,19.294,78.200,0.2371,0.1608,15.4
16/01/15,16:11:09,18.818,76.100,0.2363,0.1586,14.5
16/01/15,17:11:10,17.011,73.600,0.2356,0.1543,12.3
16/01/15,18:11:11,15.438,78.000,0.2342,0.1506,11.6
16/01/15,19:11:12,14.361,79.600,0.2342,0.1477,10.9
16/01/15,20:11:13,12.219,81.700,0.2334,0.1448,9.2
16/01/15,21:11:14,10.345,85.000,0.2334,0.1434,7.9
16/01/15,22:11:15,9.780,86.300,0.2334,0.1419,7.6
16/01/15,23:11:16,9.410,88.300,0.2334,0.1405,7.6
17/01/15,00:11:17,8.916,89.100,0.2334,0.1397,7.2
17/01/15,01:11:18,8.618,89.900,0.2327,0.1390,7.1
17/01/15,02:11:19,8.245,89.600,0.2327,0.1383,6.6
17/01/15,03:11:20,7.895,90.600,0.2327,0.1376,6.5
17/01/15,04:11:21,7.444,91.500,0.2327,0.1368,6.2
17/01/15,05:11:22,7.268,92.400,0.2327,0.1361,6.1
17/01/15,06:11:23,7.116,93.600,0.2320,0.1354,6.2
17/01/15,07:11:24,7.544,95.000,0.2320,0.1354,6.8
17/01/15,08:11:25,8.195,96.600,0.2320,0.1354,7.7
17/01/15,09:11:26,10.638,98.500,0.2320,0.1354,10.4
17/01/15,10:11:27,13.449,92.300,0.2313,0.1347,12.2
17/01/15,11:11:28,15.247,85.500,0.2313,0.1347,12.8
17/01/15,12:11:29,17.629,83.800,0.2305,0.1354,14.9
17/01/15,13:11:30,19.674,81.400,0.2305,0.1376,16.4
17/01/15,14:11:31,20.722,80.100,0.2291,0.1376,17.2
17/01/15,15:11:32,20.936,79.200,0.2276,0.1368,17.2
17/01/15,16:11:33,20.817,78.400,0.2262,0.1354,16.9
17/01/15,17:11:34,19.080,76.200,0.2254,0.1310,14.8
17/01/15,18:11:35,17.796,76.600,0.2240,0.1267,13.6
17/01/15,19:11:36,15.270,77.900,0.2240,0.1238,11.5
17/01/15,20:11:37,13.016,80.900,0.2233,0.1216,9.8
17/01/15,21:11:38,10.810,82.800,0.2233,0.1194,8.0
17/01/15,22:11:39,9.731,86.300,0.2233,0.1180,7.6
17/01/15,23:11:40,8.941,88.400,0.2233,0.1172,7.1
18/01/15,00:11:41,8.519,89.900,0.2233,0.1158,7.0
18/01/15,01:11:42,7.920,90.200,0.2233,0.1150,6.4
18/01/15,02:11:43,6.864,89.600,0.2225,0.1143,5.3
18/01/15,03:11:44,6.128,88.800,0.2225,0.1136,4.4
18/01/15,04:11:45,5.847,86.000,0.2225,0.1129,3.7
18/01/15,05:11:46,5.693,88.000,0.2225,0.1121,3.9
18/01/15,06:11:47,5.154,89.400,0.2225,0.1114,3.6
18/01/15,07:11:48,5.231,90.400,0.2225,0.1107,3.8
18/01/15,08:11:49,6.408,90.800,0.2218,0.1107,5.0
18/01/15,09:11:50,9.879,85.900,0.2211,0.1100,7.6
18/01/15,10:11:51,12.485,77.500,0.2204,0.1100,8.7
18/01/15,11:11:52,15.247,72.000,0.2196,0.1092,10.2
18/01/15,12:11:53,15.986,66.000,0.2189,0.1100,9.7
18/01/15,13:11:54,16.534,55.400,0.2182,0.1100,7.6
18/01/15,14:11:55,18.675,55.300,0.2160,0.1107,9.6
18/01/15,15:11:56,19.056,59.200,0.2146,0.1100,10.9
18/01/15,16:11:57,21.199,75.100,0.2124,0.1100,16.6
18/01/15,17:11:58,19.579,76.800,0.2116,0.1063,15.4
18/01/15,18:11:59,16.058,76.100,0.2116,0.1027,11.9
18/01/15,19:12:00,15.605,80.900,0.2109,0.1005,12.4
18/01/15,20:12:01,13.425,80.200,0.2109,0.0983,10.1
18/01/15,21:12:02,11.516,83.200,0.2109,0.0969,8.8
18/01/15,22:12:03,10.858,86.800,0.2109,0.0962,8.8
18/01/15,23:12:04,10.345,88.200,0.2109,0.0954,8.5
19/01/15,00:12:05,9.756,88.800,0.2109,0.0947,8.0
19/01/15,01:12:06,8.543,89.600,0.2109,0.0933,6.9
19/01/15,02:12:07,7.795,89.400,0.2109,0.0925,6.2
19/01/15,03:12:08,6.940,90.300,0.2109,0.0918,5.5
