"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832565, SEN S/N: 9818222, LBL: Ambient)","RH, % (LGR S/N: 9832565, SEN S/N: 9818222)","Temp, °C (LGR S/N: 9832565, SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832565, SEN S/N: 9833766, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832565, SEN S/N: 9818222)"
16/01/15,14:11:08,17.558,60.500,23.569,0.2552,9.8
16/01/15,15:11:09,17.748,56.100,24.050,0.2552,8.9
16/01/15,16:11:10,17.962,54.500,24.339,0.2552,8.7
16/01/15,17:11:11,16.558,55.900,23.713,0.2545,7.7
16/01/15,18:11:12,15.294,62.000,20.936,0.2545,8.1
16/01/15,19:11:13,13.858,64.200,18.414,0.2538,7.2
16/01/15,20:11:14,10.394,74.500,15.748,0.2530,6.1
16/01/15,21:11:15,10.051,76.800,13.570,0.2530,6.2
16/01/15,22:11:16,9.386,75.000,12.316,0.2523,5.2
16/01/15,23:11:17,9.114,78.800,11.540,0.2516,5.6
17/01/15,00:11:18,8.742,79.500,11.029,0.2516,5.4
17/01/15,01:11:19,8.319,79.900,10.516,0.2509,5.1
17/01/15,02:11:20,8.020,79.100,10.051,0.2509,4.6
17/01/15,03:11:21,7.368,80.500,9.608,0.2509,4.2
17/01/15,04:11:22,6.687,83.200,9.163,0.2501,4.0
17/01/15,05:11:23,6.051,89.300,8.767,0.2501,4.4
17/01/15,06:11:24,5.616,94.800,8.444,0.2501,4.9
17/01/15,07:11:25,6.433,96.300,8.394,0.2494,5.9
17/01/15,08:11:26,7.795,93.100,8.668,0.2494,6.8
17/01/15,09:11:27,10.222,83.100,9.040,0.2487,7.5
17/01/15,10:11:28,12.534,75.100,10.565,0.2487,8.3
17/01/15,11:11:29,14.768,69.900,13.786,0.2487,9.3
17/01/15,12:11:30,17.415,62.600,18.390,0.2487,10.2
17/01/15,13:11:31,18.509,60.200,22.633,0.2494,10.7
17/01/15,14:11:32,19.698,58.600,24.992,0.2494,11.4
17/01/15,15:11:33,20.222,57.500,26.353,0.2494,11.6
17/01/15,16:11:34,20.722,55.500,26.573,0.2494,11.5
17/01/15,17:11:35,19.008,54.600,25.623,0.2494,9.7
17/01/15,18:11:36,17.249,55.400,23.136,0.2494,8.2
17/01/15,19:11:37,13.690,62.100,19.817,0.2494,6.6
17/01/15,20:11:38,10.394,72.900,16.606,0.2480,5.8
17/01/15,21:11:39,8.220,81.600,14.242,0.2480,5.3
17/01/15,22:11:40,6.965,85.500,12.630,0.2472,4.7
17/01/15,23:11:41,5.872,89.800,11.419,0.2465,4.3
18/01/15,00:11:42,6.484,91.700,10.663,0.2465,5.2
18/01/15,01:11:43,5.796,90.600,10.100,0.2458,4.4
18/01/15,02:11:44,5.847,85.700,9.485,0.2458,3.6
18/01/15,03:11:45,5.514,78.000,8.990,0.2458,2.0
18/01/15,04:11:46,5.231,72.500,8.444,0.2451,0.7
18/01/15,05:11:47,4.298,76.400,7.995,0.2451,0.5
18/01/15,06:11:48,2.744,74.500,7.419,0.2443,-1.3
18/01/15,07:11:49,5.693,64.200,7.116,-888.8800,-0.5
18/01/15,08:11:50,8.444,54.000,7.469,-888.8800,-0.3
18/01/15,09:11:51,12.195,47.000,8.270,-888.8800,1.2
18/01/15,10:11:52,14.960,42.300,10.296,-888.8800,2.3
