"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832569, SEN S/N: 9818209, LBL: Ambient)","RH, % (LGR S/N: 9832569, SEN S/N: 9818209)","Temp, °C (LGR S/N: 9832569, SEN S/N: 9824746, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833753, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832569, SEN S/N: 9833755, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832569, SEN S/N: 9818209)"
16/01/15,14:11:07,17.034,60.600,20.436,0.2247,0.1499,9.4
16/01/15,15:11:08,17.772,56.600,21.056,0.2233,0.1492,9.1
16/01/15,16:11:09,18.366,54.200,21.533,0.2218,0.1470,9.0
16/01/15,17:11:10,16.654,56.100,21.318,0.2204,0.1448,7.9
16/01/15,18:11:11,15.366,62.100,19.793,0.2189,0.1419,8.2
16/01/15,19:11:12,13.858,64.500,18.200,0.2175,0.1397,7.3
16/01/15,20:11:13,10.394,75.100,15.843,0.2167,0.1390,6.2
16/01/15,21:11:14,9.977,76.800,14.146,0.2160,0.1376,6.1
16/01/15,22:11:15,9.312,75.100,13.112,0.2160,0.1376,5.1
16/01/15,23:11:16,9.015,78.900,12.437,0.2160,0.1368,5.6
17/01/15,00:11:17,8.668,79.700,11.953,0.2160,0.1368,5.4
17/01/15,01:11:18,8.270,80.200,11.516,0.2160,0.1368,5.1
17/01/15,02:11:19,7.945,79.200,11.102,0.2160,0.1361,4.6
17/01/15,03:11:20,7.217,80.800,10.736,0.2153,0.1361,4.1
17/01/15,04:11:21,6.611,83.400,10.320,0.2160,0.1361,4.0
17/01/15,05:11:22,5.949,89.600,9.977,0.2160,0.1361,4.4
17/01/15,06:11:23,5.488,95.200,9.657,0.2160,0.1361,4.8
17/01/15,07:11:24,6.408,96.500,9.485,0.2160,0.1361,5.9
17/01/15,08:11:25,8.070,92.100,9.608,0.2160,0.1368,6.9
17/01/15,09:11:26,10.296,82.400,9.903,0.2153,0.1361,7.4
