"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832559, SEN S/N: 9818224, LBL: Ambient)","RH, % (LGR S/N: 9832559, SEN S/N: 9818224)","Temp, °C (LGR S/N: 9832559, SEN S/N: 9824745, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832559, SEN S/N: 9827494, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832559, SEN S/N: 9827497, LBL: 10cmBG)","DewPt, °C (LGR S/N: 9832559, SEN S/N: 9818224)"
16/01/15,14:11:08,17.011,60.300,17.915,0.2160,0.1870,9.3
16/01/15,15:11:09,17.486,57.600,17.796,0.2167,0.1855,9.0
16/01/15,16:11:10,17.011,56.600,17.177,0.2153,0.1826,8.3
16/01/15,17:11:11,15.247,60.000,16.654,0.2146,0.1804,7.5
16/01/15,18:11:12,13.666,66.700,15.700,0.2138,0.1782,7.6
16/01/15,19:11:13,12.582,70.100,14.768,0.2131,0.1768,7.3
16/01/15,20:11:14,10.663,75.300,14.050,0.2124,0.1768,6.5
16/01/15,21:11:15,9.928,77.400,13.305,0.2124,0.1761,6.2
16/01/15,22:11:16,9.435,75.600,12.654,0.2124,0.1761,5.4
16/01/15,23:11:17,9.114,79.100,12.195,0.2116,0.1753,5.7
17/01/15,00:11:18,8.792,79.800,11.856,0.2116,0.1753,5.5
17/01/15,01:11:19,8.519,80.100,11.565,0.2116,0.1753,5.3
17/01/15,02:11:20,8.195,79.100,11.297,0.2116,0.1753,4.8
17/01/15,03:11:21,7.569,80.400,11.053,0.2116,0.1753,4.4
17/01/15,04:11:22,7.066,82.600,10.785,0.2109,0.1753,4.3
17/01/15,05:11:23,6.585,87.600,10.565,0.2109,0.1746,4.7
17/01/15,06:11:24,6.306,91.900,-888.880,0.2109,0.1746,5.1
17/01/15,07:11:25,7.066,93.500,-888.880,0.2109,0.1753,6.1
17/01/15,08:11:26,8.394,91.000,-888.880,0.2116,0.1753,7.0
17/01/15,09:11:27,10.980,81.900,-888.880,0.2109,0.1753,8.0
17/01/15,10:11:28,13.088,73.900,-888.880,0.2109,0.1746,8.6
17/01/15,11:11:29,14.912,70.000,-888.880,0.2102,0.1739,9.5
