Site,Plot,Treatment,Logger
ITEX1U,1,OTC,0
ITEX1U,2,CTL,0
ITEX1U,3,CTL,0
ITEX1U,4,CTL,0
ITEX1U,5,OTC,1
ITEX1U,6,OTC,0
ITEX1U,7,CTL,1
ITEX1U,8,OTC,0
ITEX1U,9,CTL,0
ITEX1U,10,OTC,1
ITEX1U,11,OTC,0
ITEX1U,12,OTC,1
ITEX1U,13,CTL,0
ITEX1U,14,OTC,0
ITEX1U,15,CTL,1
ITEX1U,16,OTC,0
ITEX1U,17,CTL,0
ITEX1U,18,CTL,0
ITEX1U,19,CTL,1
ITEX1U,20,OTC,1
ITEX1U,21,OTC,0
ITEX1U,22,CTL,0
ITEX1U,23,CTL,1
ITEX1U,24,CTL,0
ITEX1U,25,OTC,0
ITEX1U,26,OTC,0
ITEX2U,1,OTC,0
ITEX2U,2,CTL,1
ITEX2U,3,OTC,0
ITEX2U,4,CTL,0
ITEX2U,5,CTL,0
ITEX2U,6,OTC,1
ITEX2U,7,CTL,0
ITEX2U,8,OTC,0
ITEX2U,9,OTC,0
ITEX2U,10,OTC,1
ITEX2U,11,CTL,0
ITEX2U,12,OTC,0
ITEX2U,13,CTL,0
ITEX2U,14,CTL,0
ITEX2U,15,CTL,1
ITEX2U,16,OTC,0
ITEX2U,17,CTL,0
ITEX2U,18,OTC,0
ITEX2U,19,CTL,1
ITEX2U,20,OTC,0
ITEX2U,21,CTL,0
ITEX2U,22,OTC,0
ITEX2U,23,CTL,1
ITEX2U,24,OTC,1
ITEX2U,25,OTC,1
ITEX2U,26,CTL,0
ITEX3B,1,CTL,0
ITEX3B,2,OTC,0
ITEX3B,3,CTL,1
ITEX3B,4,OTC,1
ITEX3B,5,CTL,0
ITEX3B,6,OTC,0
ITEX3B,7,CTL,0
ITEX3B,8,OTC,1
ITEX3B,9,CTL,0
ITEX3B,10,CTL,0
ITEX3B,11,CTL,1
ITEX3B,12,OTC,0
ITEX3B,13,OTC,0
ITEX3B,14,OTC,0
ITEX4B,1,CTL,1
ITEX4B,2,OTC,0
ITEX4B,3,CTL,0
ITEX4B,4,OTC,0
ITEX4B,5,OTC,1
ITEX4B,6,CTL,0
ITEX4B,7,OTC,0
ITEX4B,8,CTL,1
ITEX4B,9,OTC,0
ITEX4B,10,CTL,0
ITEX4B,11,CTL,0
ITEX4B,12,OTC,1
ITEX4B,13,CTL,0
ITEX4B,14,OTC,0
