"Date Time, GMT+10:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
05/10/07 18:00:00,13.70,10.21,3.74,4.57
05/10/07 19:00:00,16.38,14.09,4.57,4.57
05/10/07 20:00:00,18.66,15.23,5.81,4.99
05/10/07 21:00:00,17.14,15.23,7.43,5.81
05/10/07 22:00:00,17.90,15.62,8.23,6.62
05/10/07 23:00:00,17.52,17.14,8.63,7.03
05/11/07 00:00:00,15.23,16.00,8.63,7.43
05/11/07 01:00:00,8.63,5.81,8.23,7.43
05/11/07 02:00:00,2.46,0.29,7.83,7.43
05/11/07 03:00:00,0.73,-1.51,7.03,7.43
05/11/07 04:00:00,-0.16,-1.97,6.62,7.03
05/11/07 05:00:00,-1.06,-2.44,5.81,6.62
05/11/07 06:00:00,-1.51,-2.90,5.40,6.62
05/11/07 07:00:00,-1.97,-2.90,4.99,6.22
05/11/07 08:00:00,-1.51,-2.44,4.99,5.81
05/11/07 09:00:00,-1.97,-2.44,4.57,5.81
05/11/07 10:00:00,-1.97,-2.44,4.15,5.40
05/11/07 11:00:00,-1.51,-2.44,4.15,5.40
05/11/07 12:00:00,-1.97,-2.44,3.74,4.99
05/11/07 13:00:00,-1.06,-1.97,3.74,4.99
05/11/07 14:00:00,-0.16,-1.06,3.74,4.99
05/11/07 15:00:00,-0.61,-1.06,3.74,4.57
05/11/07 16:00:00,4.99,3.31,3.31,4.57
05/11/07 17:00:00,11.77,8.63,3.74,4.57
05/11/07 18:00:00,15.23,12.55,4.57,4.57
05/11/07 19:00:00,18.28,15.62,5.81,4.99
05/11/07 20:00:00,18.66,16.38,6.62,5.81
05/11/07 21:00:00,18.28,16.00,8.23,6.22
05/11/07 22:00:00,18.66,17.14,9.42,7.03
05/11/07 23:00:00,17.90,17.90,9.42,7.83
05/12/07 00:00:00,14.85,16.76,9.42,7.83
05/12/07 01:00:00,9.42,7.03,9.03,8.23
05/12/07 02:00:00,4.57,2.03,8.63,7.83
05/12/07 03:00:00,2.03,0.29,7.83,7.83
05/12/07 04:00:00,0.73,-0.61,7.03,7.43
05/12/07 05:00:00,0.29,-1.06,6.62,7.03
05/12/07 06:00:00,4.15,1.60,6.22,7.03
05/12/07 07:00:00,5.81,2.89,5.81,6.62
05/12/07 08:00:00,4.15,2.03,5.81,6.22
05/12/07 09:00:00,4.15,2.46,5.40,6.22
05/12/07 10:00:00,3.74,2.03,5.40,6.22
05/12/07 11:00:00,1.17,0.29,4.99,5.81
05/12/07 12:00:00,5.40,4.15,4.99,5.81
05/12/07 13:00:00,3.74,2.03,4.99,5.81
05/12/07 14:00:00,2.03,1.60,4.57,5.40
05/12/07 15:00:00,1.60,1.17,4.57,5.40
05/12/07 16:00:00,8.23,6.62,4.57,5.40
05/12/07 17:00:00,14.09,11.38,4.99,5.40
05/12/07 18:00:00,16.76,14.09,5.40,5.40
05/12/07 19:00:00,16.76,15.62,6.22,5.81
05/12/07 20:00:00,19.42,17.52,7.03,6.22
05/12/07 21:00:00,17.14,16.38,8.23,6.62
05/12/07 22:00:00,17.90,16.38,9.03,7.03
05/12/07 23:00:00,17.52,16.00,9.03,7.43
05/13/07 00:00:00,14.47,14.09,9.03,7.83
05/13/07 01:00:00,7.83,6.22,8.63,7.83
05/13/07 02:00:00,3.74,1.60,7.83,7.83
05/13/07 03:00:00,2.89,0.29,7.43,7.43
05/13/07 04:00:00,1.60,0.73,7.03,7.43
05/13/07 05:00:00,0.73,0.29,6.22,7.03
05/13/07 06:00:00,2.03,1.60,6.22,6.62
05/13/07 07:00:00,4.15,4.15,5.81,6.62
05/13/07 08:00:00,5.81,5.40,5.81,6.22
05/13/07 09:00:00,3.31,3.31,5.40,6.22
05/13/07 10:00:00,4.57,4.57,5.40,6.22
05/13/07 11:00:00,3.74,3.74,5.40,6.22
05/13/07 12:00:00,2.89,2.89,5.40,5.81
05/13/07 13:00:00,2.89,2.46,4.99,5.81
05/13/07 14:00:00,3.31,3.31,4.99,5.81
05/13/07 15:00:00,4.15,4.15,4.99,5.81
05/13/07 16:00:00,4.99,4.99,4.99,5.81
05/13/07 17:00:00,6.62,6.62,4.99,5.81
05/13/07 18:00:00,6.62,7.03,5.40,5.81
05/13/07 19:00:00,8.63,9.03,5.81,5.81
05/13/07 20:00:00,10.21,10.21,6.22,5.81
05/13/07 21:00:00,10.99,11.38,6.62,6.22
05/13/07 22:00:00,13.70,13.32,7.03,6.22
05/13/07 23:00:00,9.03,9.03,7.43,6.62
05/14/07 00:00:00,8.63,8.63,7.43,7.03
05/14/07 01:00:00,7.03,6.62,7.43,7.03
05/14/07 02:00:00,6.62,6.22,7.03,7.03
05/14/07 03:00:00,6.22,6.22,7.03,7.03
05/14/07 04:00:00,6.62,6.22,7.03,7.03
05/14/07 05:00:00,4.57,3.74,6.62,6.62
05/14/07 06:00:00,5.40,4.99,6.62,6.62
05/14/07 07:00:00,5.40,5.40,6.62,6.62
