"Date Time, GMT+10:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
05/10/07 00:00:00,3.74,5.81,7.43,7.03
05/10/07 01:00:00,-2.44,2.46,7.43,7.03
05/10/07 02:00:00,-5.31,0.29,7.03,7.03
05/10/07 03:00:00,-5.81,-0.16,6.62,7.03
05/10/07 04:00:00,-2.44,-0.16,5.81,6.62
05/10/07 05:00:00,-1.97,-0.16,5.81,6.22
05/10/07 06:00:00,-1.51,-0.16,5.40,6.22
05/10/07 07:00:00,-1.97,-0.16,4.99,5.81
05/10/07 08:00:00,-3.37,-0.61,4.99,5.81
05/10/07 09:00:00,-4.82,-0.61,4.57,5.40
05/10/07 10:00:00,-8.91,-1.06,4.57,5.40
05/10/07 11:00:00,-8.91,-1.51,4.15,5.40
05/10/07 12:00:00,-10.01,-1.97,4.15,4.99
05/10/07 13:00:00,-8.38,-1.97,3.74,4.99
05/10/07 14:00:00,-8.38,-1.97,3.74,4.57
05/10/07 15:00:00,-6.82,-1.97,3.31,4.57
05/10/07 16:00:00,0.73,-1.06,3.31,4.57
05/10/07 17:00:00,5.40,-0.61,3.31,4.57
05/10/07 18:00:00,9.03,-0.16,3.31,4.15
05/10/07 19:00:00,12.93,1.17,3.74,4.15
05/10/07 20:00:00,14.85,6.22,4.57,4.57
05/10/07 21:00:00,16.38,12.16,5.40,4.57
05/10/07 22:00:00,14.85,11.38,6.22,5.40
05/10/07 23:00:00,14.85,10.60,7.03,5.81
05/11/07 00:00:00,12.16,8.63,7.03,6.22
05/11/07 01:00:00,4.99,5.81,7.03,6.22
05/11/07 02:00:00,2.03,3.31,7.03,6.22
05/11/07 03:00:00,-0.61,2.03,6.22,6.22
05/11/07 04:00:00,-0.16,2.03,5.81,6.22
05/11/07 05:00:00,1.17,1.60,5.81,5.81
05/11/07 06:00:00,1.60,1.60,5.40,5.81
05/11/07 07:00:00,2.89,1.60,4.99,5.81
05/11/07 08:00:00,2.46,1.60,4.99,5.40
05/11/07 09:00:00,2.89,1.60,4.57,5.40
05/11/07 10:00:00,2.89,1.60,4.57,5.40
05/11/07 11:00:00,2.89,1.60,4.57,4.99
05/11/07 12:00:00,1.60,1.17,4.57,4.99
05/11/07 13:00:00,2.89,1.60,4.15,4.99
05/11/07 14:00:00,4.15,1.60,4.15,4.99
05/11/07 15:00:00,3.31,1.60,4.15,4.99
05/11/07 16:00:00,6.22,2.89,4.15,4.57
05/11/07 17:00:00,9.42,4.99,4.15,4.57
05/11/07 18:00:00,13.32,6.22,4.57,4.57
05/11/07 19:00:00,17.14,8.23,4.99,4.99
05/11/07 20:00:00,19.42,10.99,5.81,4.99
05/11/07 21:00:00,20.95,13.32,7.03,5.81
05/11/07 22:00:00,19.42,12.93,7.43,6.22
05/11/07 23:00:00,17.14,11.38,7.83,6.62
05/12/07 00:00:00,14.47,9.82,8.23,7.03
05/12/07 01:00:00,7.03,7.03,8.23,7.03
05/12/07 02:00:00,2.89,4.57,7.83,7.03
05/12/07 03:00:00,1.17,3.31,7.03,7.03
05/12/07 04:00:00,-0.16,2.89,6.62,7.03
05/12/07 05:00:00,-1.06,2.03,6.22,6.62
05/12/07 06:00:00,5.40,2.89,5.81,6.22
05/12/07 07:00:00,7.03,2.89,5.81,6.22
05/12/07 08:00:00,4.57,2.89,5.40,6.22
05/12/07 09:00:00,1.17,2.03,5.40,5.81
05/12/07 10:00:00,1.60,1.60,4.99,5.81
05/12/07 11:00:00,2.03,1.60,4.99,5.81
05/12/07 12:00:00,3.31,2.03,4.99,5.40
05/12/07 13:00:00,1.60,1.60,4.57,5.40
05/12/07 14:00:00,1.17,1.17,4.57,5.40
05/12/07 15:00:00,0.73,1.17,4.57,5.40
05/12/07 16:00:00,5.81,3.31,4.57,4.99
05/12/07 17:00:00,10.21,5.40,4.57,4.99
05/12/07 18:00:00,14.85,7.03,4.57,4.99
05/12/07 19:00:00,18.28,9.03,4.99,4.99
05/12/07 20:00:00,18.66,11.77,5.81,5.40
05/12/07 21:00:00,20.19,14.09,6.62,5.81
05/12/07 22:00:00,19.04,14.09,7.43,6.22
05/12/07 23:00:00,16.76,12.55,7.83,6.62
05/13/07 00:00:00,13.32,10.60,7.83,7.03
05/13/07 01:00:00,6.22,7.43,7.83,7.03
05/13/07 02:00:00,1.60,4.99,7.43,7.03
05/13/07 03:00:00,2.89,3.74,7.03,7.03
05/13/07 04:00:00,1.60,3.31,6.62,6.62
05/13/07 05:00:00,1.60,3.31,6.22,6.62
05/13/07 06:00:00,2.03,2.89,5.81,6.22
05/13/07 07:00:00,2.89,3.31,5.81,6.22
05/13/07 08:00:00,4.99,3.74,5.40,6.22
05/13/07 09:00:00,3.31,2.89,5.40,5.81
05/13/07 10:00:00,2.89,2.89,5.40,5.81
05/13/07 11:00:00,2.46,2.46,5.40,5.81
05/13/07 12:00:00,1.60,2.46,5.40,5.81
05/13/07 13:00:00,2.03,2.46,4.99,5.81
05/13/07 14:00:00,2.46,2.46,4.99,5.40
05/13/07 15:00:00,3.31,3.31,4.99,5.40
05/13/07 16:00:00,4.15,3.74,4.99,5.40
05/13/07 17:00:00,7.03,5.81,4.99,5.40
05/13/07 18:00:00,7.43,6.62,4.99,5.40
05/13/07 19:00:00,8.63,8.23,5.40,5.40
05/13/07 20:00:00,11.38,9.82,5.81,5.81
05/13/07 21:00:00,15.23,12.16,6.22,5.81
05/13/07 22:00:00,16.38,12.55,6.62,6.22
05/13/07 23:00:00,11.77,10.60,7.03,6.22
05/14/07 00:00:00,9.42,9.03,7.03,6.62
05/14/07 01:00:00,7.43,7.83,7.03,6.62
05/14/07 02:00:00,7.03,7.43,7.03,6.62
05/14/07 03:00:00,6.62,7.03,7.03,6.62
05/14/07 04:00:00,6.62,6.62,6.62,6.62
05/14/07 05:00:00,5.40,5.81,6.62,6.62
05/14/07 06:00:00,4.99,5.81,6.62,6.62
05/14/07 07:00:00,4.57,4.99,6.62,6.62
05/14/07 08:00:00,6.22,6.22,6.22,6.62
05/14/07 09:00:00,6.22,6.22,6.22,6.22
05/14/07 10:00:00,6.22,6.22,6.22,6.22
05/14/07 11:00:00,6.22,6.22,6.22,6.22
05/14/07 12:00:00,6.22,6.22,6.22,6.22
05/14/07 13:00:00,5.81,5.81,6.22,6.22
05/14/07 14:00:00,5.81,6.22,6.22,6.22
05/14/07 15:00:00,5.81,5.81,6.22,6.22
05/14/07 16:00:00,5.40,5.40,6.22,6.22
05/14/07 17:00:00,8.23,7.43,6.22,6.22
05/14/07 18:00:00,10.99,9.03,6.22,6.22
05/14/07 19:00:00,14.47,11.38,6.62,6.22
05/14/07 20:00:00,16.00,12.93,7.03,6.62
05/14/07 21:00:00,11.38,10.21,7.43,6.62
05/14/07 22:00:00,12.93,11.38,7.83,7.03
05/14/07 23:00:00,15.23,12.55,7.83,7.03
05/15/07 00:00:00,10.99,9.82,8.23,7.43
05/15/07 01:00:00,7.43,7.83,8.23,7.43
05/15/07 02:00:00,4.57,6.22,7.83,7.43
05/15/07 03:00:00,1.60,4.57,7.43,7.43
05/15/07 04:00:00,1.60,3.74,7.03,7.43
05/15/07 05:00:00,1.17,3.31,6.62,7.03
05/15/07 06:00:00,1.60,3.31,6.62,7.03
05/15/07 07:00:00,2.03,3.31,6.22,6.62
05/15/07 08:00:00,2.46,3.31,6.22,6.62
05/15/07 09:00:00,3.74,3.74,5.81,6.22
05/15/07 10:00:00,4.57,4.15,5.81,6.22
05/15/07 11:00:00,3.74,3.74,5.81,6.22
05/15/07 12:00:00,3.74,3.74,5.81,6.22
05/15/07 13:00:00,3.74,3.74,5.40,6.22
05/15/07 14:00:00,4.99,4.57,5.40,6.22
05/15/07 15:00:00,5.81,5.40,5.40,5.81
05/15/07 16:00:00,7.03,6.22,5.81,5.81
05/15/07 17:00:00,8.23,7.43,5.81,5.81
05/15/07 18:00:00,12.16,9.82,6.22,6.22
05/15/07 19:00:00,15.62,11.38,6.22,6.22
05/15/07 20:00:00,13.32,10.99,7.03,6.22
05/15/07 21:00:00,13.70,12.55,7.43,6.62
05/15/07 22:00:00,12.55,11.77,7.43,7.03
05/15/07 23:00:00,12.93,12.16,7.83,7.03
05/16/07 00:00:00,9.42,9.82,7.83,7.03
05/16/07 01:00:00,7.83,8.63,7.83,7.43
05/16/07 02:00:00,6.22,7.43,7.83,7.43
05/16/07 03:00:00,6.22,7.03,7.43,7.43
05/16/07 04:00:00,6.22,7.03,7.43,7.43
05/16/07 05:00:00,6.22,6.62,7.43,7.03
05/16/07 06:00:00,6.22,6.62,7.03,7.03
05/16/07 07:00:00,6.22,6.22,7.03,7.03
05/16/07 08:00:00,6.22,6.22,7.03,7.03
05/16/07 09:00:00,6.22,6.22,7.03,7.03
05/16/07 10:00:00,6.62,6.62,7.03,7.03
05/16/07 11:00:00,6.62,6.62,7.03,7.03
05/16/07 12:00:00,6.62,6.62,7.03,7.03
05/16/07 13:00:00,6.22,6.62,6.62,7.03
05/16/07 14:00:00,6.22,6.22,6.62,7.03
05/16/07 15:00:00,6.22,6.22,6.62,7.03
05/16/07 16:00:00,7.03,7.03,6.62,7.03
05/16/07 17:00:00,7.03,7.43,6.62,6.62
05/16/07 18:00:00,9.82,9.82,6.62,6.62
05/16/07 19:00:00,9.42,9.82,7.03,7.03
05/16/07 20:00:00,10.60,10.21,7.43,7.03
05/16/07 21:00:00,12.93,11.77,7.43,7.03
05/16/07 22:00:00,11.77,11.38,7.83,7.03
05/16/07 23:00:00,11.77,10.99,7.83,7.43
05/17/07 00:00:00,10.60,10.21,8.23,7.43
05/17/07 01:00:00,7.03,7.83,8.23,7.43
05/17/07 02:00:00,6.22,7.03,7.83,7.83
05/17/07 03:00:00,4.99,6.22,7.83,7.43
05/17/07 04:00:00,3.74,5.40,7.43,7.43
05/17/07 05:00:00,4.57,5.40,7.03,7.43
05/17/07 06:00:00,2.89,4.57,7.03,7.03
05/17/07 07:00:00,3.31,4.57,6.62,7.03
05/17/07 08:00:00,1.17,2.89,6.62,7.03
05/17/07 09:00:00,2.03,3.31,6.22,7.03
05/17/07 10:00:00,0.73,2.89,6.22,6.62
05/17/07 11:00:00,1.60,2.89,5.81,6.62
05/17/07 12:00:00,0.29,2.46,5.81,6.22
05/17/07 13:00:00,0.73,2.03,5.81,6.22
05/17/07 14:00:00,0.73,2.03,5.40,6.22
05/17/07 15:00:00,1.60,2.46,5.40,6.22
05/17/07 16:00:00,4.57,3.31,5.40,5.81
05/17/07 17:00:00,8.23,5.40,4.99,5.81
05/17/07 18:00:00,10.60,8.23,5.40,5.81
05/17/07 19:00:00,13.32,10.60,5.81,5.81
05/17/07 20:00:00,11.38,10.60,6.22,6.22
05/17/07 21:00:00,10.60,10.21,6.62,6.22
05/17/07 22:00:00,9.82,9.42,7.03,6.62
05/17/07 23:00:00,8.23,8.63,7.03,6.62
05/18/07 00:00:00,7.03,7.83,7.03,6.62
05/18/07 01:00:00,5.81,6.62,7.03,6.62
05/18/07 02:00:00,5.40,6.22,7.03,7.03
05/18/07 03:00:00,4.99,5.81,6.62,6.62
05/18/07 04:00:00,4.99,5.81,6.62,6.62
05/18/07 05:00:00,4.57,5.40,6.62,6.62
05/18/07 06:00:00,4.57,5.40,6.62,6.62
05/18/07 07:00:00,4.57,5.40,6.22,6.62
05/18/07 08:00:00,4.15,4.99,6.22,6.62
05/18/07 09:00:00,4.15,4.99,6.22,6.62
05/18/07 10:00:00,4.15,4.99,6.22,6.62
05/18/07 11:00:00,4.15,4.99,6.22,6.22
05/18/07 12:00:00,4.15,4.99,6.22,6.22
05/18/07 13:00:00,4.15,4.99,5.81,6.22
05/18/07 14:00:00,4.57,5.40,5.81,6.22
05/18/07 15:00:00,4.57,5.40,5.81,6.22
05/18/07 16:00:00,4.99,5.40,5.81,6.22
05/18/07 17:00:00,5.40,5.81,5.81,6.22
05/18/07 18:00:00,5.81,6.22,5.81,6.22
05/18/07 19:00:00,5.40,6.22,6.22,6.22
05/18/07 20:00:00,4.99,6.22,6.22,6.22
05/18/07 21:00:00,4.57,6.22,6.22,6.22
05/18/07 22:00:00,6.62,7.43,6.22,6.22
05/18/07 23:00:00,5.40,6.62,6.22,6.22
