Site	Plot	Treatment	Year	Date	Julian	Hour	Ambient	Surface	5_cm	10_cm
1	7	CTL	2006	17/05/2006	137	16	5.81	6.22	6.62	4.99
1	7	CTL	2006	17/05/2006	137	17	2.89	3.31	6.22	4.99
1	7	CTL	2006	17/05/2006	137	18	0.29	1.17	5.4	4.99
1	7	CTL	2006	17/05/2006	137	19	-1.51	0.29	4.99	4.57
1	7	CTL	2006	17/05/2006	137	20	-1.97	-0.61	4.15	4.57
1	7	CTL	2006	17/05/2006	137	21	-3.37	-0.61	3.74	4.15
1	7	CTL	2006	17/05/2006	137	22	-4.33	-1.51	3.31	3.74
1	7	CTL	2006	17/05/2006	137	23	-4.33	-1.51	2.89	3.74
1	7	CTL	2006	18/05/2006	138	0	-3.85	-1.51	2.89	3.31
1	7	CTL	2006	18/05/2006	138	1	-4.82	-1.97	2.46	3.31
1	7	CTL	2006	18/05/2006	138	2	-2.9	-1.51	2.46	3.31
1	7	CTL	2006	18/05/2006	138	3	-4.33	-1.97	2.03	2.89
1	7	CTL	2006	18/05/2006	138	4	-5.81	-2.44	2.03	2.89
1	7	CTL	2006	18/05/2006	138	5	-6.31	-2.9	2.03	2.89
1	7	CTL	2006	18/05/2006	138	6	-5.31	-2.9	2.03	2.46
1	7	CTL	2006	18/05/2006	138	7	-2.9	-1.06	1.6	2.46
1	7	CTL	2006	18/05/2006	138	8	1.6	-0.16	1.6	2.46
1	7	CTL	2006	18/05/2006	138	9	3.74	0.73	1.6	2.46
1	7	CTL	2006	18/05/2006	138	10	8.63	2.46	1.6	2.46
1	7	CTL	2006	18/05/2006	138	11	11.38	8.63	2.89	2.46
1	7	CTL	2006	18/05/2006	138	12	11.38	11.77	4.15	2.89
1	7	CTL	2006	18/05/2006	138	13	14.47	16.76	5.4	3.31
1	7	CTL	2006	18/05/2006	138	14	12.93	17.14	5.81	4.15
1	7	CTL	2006	18/05/2006	138	15	10.99	12.55	6.22	4.57
1	7	CTL	2006	18/05/2006	138	16	5.81	5.4	6.22	4.57
1	7	CTL	2006	18/05/2006	138	17	0.29	1.17	5.81	4.57
1	7	CTL	2006	18/05/2006	138	18	-0.61	0.29	4.99	4.57
1	7	CTL	2006	18/05/2006	138	19	-2.44	-0.61	4.15	4.57
1	7	CTL	2006	18/05/2006	138	20	-2.44	-1.06	3.74	4.15
1	7	CTL	2006	18/05/2006	138	21	-3.37	-1.51	3.31	3.74
1	7	CTL	2006	18/05/2006	138	22	0.73	-0.16	2.89	3.74
1	7	CTL	2006	18/05/2006	138	23	2.03	1.17	2.89	3.31
1	7	CTL	2006	19/05/2006	139	0	2.46	1.6	2.89	3.31
1	7	CTL	2006	19/05/2006	139	1	2.89	2.03	2.89	3.31
1	7	CTL	2006	19/05/2006	139	2	3.31	2.46	2.89	3.31
1	7	CTL	2006	19/05/2006	139	3	3.31	2.46	2.89	3.31
1	7	CTL	2006	19/05/2006	139	4	3.31	2.46	2.89	3.31
1	7	CTL	2006	19/05/2006	139	5	2.89	2.03	2.89	3.31
1	7	CTL	2006	19/05/2006	139	6	3.31	2.46	2.89	3.31
1	7	CTL	2006	19/05/2006	139	7	3.31	2.89	2.89	3.31
1	7	CTL	2006	19/05/2006	139	8	3.74	3.31	2.89	3.31
1	7	CTL	2006	19/05/2006	139	9	4.15	3.74	3.31	3.31
1	7	CTL	2006	19/05/2006	139	10	5.4	5.4	3.31	3.31
1	7	CTL	2006	19/05/2006	139	11	4.99	5.81	3.74	3.31
1	7	CTL	2006	19/05/2006	139	12	5.81	6.22	3.74	3.74
1	7	CTL	2006	19/05/2006	139	13	5.81	6.22	4.15	3.74
1	7	CTL	2006	19/05/2006	139	14	7.43	9.42	4.15	3.74
1	7	CTL	2006	19/05/2006	139	15	5.81	6.22	4.57	3.74
1	7	CTL	2006	19/05/2006	139	16	5.4	5.4	4.57	4.15
1	7	CTL	2006	19/05/2006	139	17	4.57	4.15	4.57	4.15
1	7	CTL	2006	19/05/2006	139	18	3.31	2.46	4.15	4.15
1	7	CTL	2006	19/05/2006	139	19	2.89	2.03	4.15	4.15
1	7	CTL	2006	19/05/2006	139	20	3.31	2.89	3.74	3.74
1	7	CTL	2006	19/05/2006	139	21	2.46	1.6	3.74	3.74
1	7	CTL	2006	19/05/2006	139	22	2.03	1.17	3.74	3.74
1	7	CTL	2006	19/05/2006	139	23	2.03	1.6	3.31	3.74
1	7	CTL	2006	20/05/2006	140	0	2.46	2.03	3.31	3.74
1	7	CTL	2006	20/05/2006	140	1	2.03	2.03	3.31	3.31
1	7	CTL	2006	20/05/2006	140	2	0.73	0.73	3.31	3.31
1	7	CTL	2006	20/05/2006	140	3	2.03	2.03	2.89	3.31
1	7	CTL	2006	20/05/2006	140	4	-0.16	-0.16	2.89	3.31
1	7	CTL	2006	20/05/2006	140	5	-1.06	-0.61	2.89	3.31
1	7	CTL	2006	20/05/2006	140	6	-2.44	-1.51	2.46	3.31
1	7	CTL	2006	20/05/2006	140	7	-1.97	-1.06	2.46	2.89
1	7	CTL	2006	20/05/2006	140	8	-0.16	-0.16	2.46	2.89
1	7	CTL	2006	20/05/2006	140	9	2.03	1.6	2.46	2.89
1	7	CTL	2006	20/05/2006	140	10	8.23	4.99	2.89	2.89
1	7	CTL	2006	20/05/2006	140	11	7.03	10.99	4.15	3.31
1	7	CTL	2006	20/05/2006	140	12	2.89	6.62	4.57	3.74
1	7	CTL	2006	20/05/2006	140	13	2.46	5.81	4.15	3.74
1	7	CTL	2006	20/05/2006	140	14	3.74	7.83	4.15	3.74
1	7	CTL	2006	20/05/2006	140	15	2.46	6.22	4.15	3.74
1	7	CTL	2006	20/05/2006	140	16	1.17	4.15	4.15	3.74
1	7	CTL	2006	20/05/2006	140	17	-0.16	2.46	4.15	3.74
1	7	CTL	2006	20/05/2006	140	18	-0.61	1.6	3.74	3.74
1	7	CTL	2006	20/05/2006	140	19	-0.61	1.17	3.74	3.74
1	7	CTL	2006	20/05/2006	140	20	-1.06	0.29	3.31	3.74
1	7	CTL	2006	20/05/2006	140	21	-3.37	-1.06	3.31	3.74
1	7	CTL	2006	20/05/2006	140	22	-2.9	-1.06	2.89	3.31
1	7	CTL	2006	20/05/2006	140	23	-4.33	-1.97	2.46	3.31
1	7	CTL	2006	21/05/2006	141	0	-4.33	-1.97	2.46	2.89
1	7	CTL	2006	21/05/2006	141	1	-4.33	-1.97	2.03	2.89
1	7	CTL	2006	21/05/2006	141	2	-2.9	-1.97	2.03	2.89
1	7	CTL	2006	21/05/2006	141	3	-2.44	-1.97	2.03	2.89
1	7	CTL	2006	21/05/2006	141	4	-2.44	-1.97	1.6	2.46
1	7	CTL	2006	21/05/2006	141	5	-3.37	-2.44	1.6	2.46
1	7	CTL	2006	21/05/2006	141	6	-4.82	-2.9	1.6	2.46
