Site	Plot	Treatment	Year	Date	Julian	Hour	Ambient	Surface	5_cm	10_cm
2	6	OTC	2006	17/05/2006	137	17	2.89	3.31	5.81	5.4
2	6	OTC	2006	17/05/2006	137	18	0.29	1.17	5.4	5.4
2	6	OTC	2006	17/05/2006	137	19	-0.61	-0.16	4.99	5.4
2	6	OTC	2006	17/05/2006	137	20	-1.06	-0.16	4.57	4.99
2	6	OTC	2006	17/05/2006	137	21	-2.9	-1.51	4.15	4.99
2	6	OTC	2006	17/05/2006	137	22	-3.37	-1.51	3.74	4.57
2	6	OTC	2006	17/05/2006	137	23	-3.37	-1.51	3.74	4.57
2	6	OTC	2006	18/05/2006	138	0	-2.9	-1.06	3.31	4.15
2	6	OTC	2006	18/05/2006	138	1	-4.33	-1.97	3.31	4.15
2	6	OTC	2006	18/05/2006	138	2	-3.37	-1.51	2.89	3.74
2	6	OTC	2006	18/05/2006	138	3	-3.37	-1.51	2.89	3.74
2	6	OTC	2006	18/05/2006	138	4	-4.82	-1.97	2.89	3.74
2	6	OTC	2006	18/05/2006	138	5	-5.81	-2.44	2.46	3.31
2	6	OTC	2006	18/05/2006	138	6	-6.31	-2.9	2.46	3.31
2	6	OTC	2006	18/05/2006	138	7	-3.37	-1.06	2.03	3.31
2	6	OTC	2006	18/05/2006	138	8	0.29	-0.16	2.03	2.89
2	6	OTC	2006	18/05/2006	138	9	4.99	1.17	2.03	2.89
2	6	OTC	2006	18/05/2006	138	10	10.6	4.99	2.46	2.89
2	6	OTC	2006	18/05/2006	138	11	14.85	8.63	3.74	3.31
2	6	OTC	2006	18/05/2006	138	12	12.55	10.99	4.57	3.74
2	6	OTC	2006	18/05/2006	138	13	14.47	14.09	5.4	4.15
2	6	OTC	2006	18/05/2006	138	14	14.47	13.7	6.22	4.57
2	6	OTC	2006	18/05/2006	138	15	11.38	10.21	6.22	4.99
2	6	OTC	2006	18/05/2006	138	16	8.23	5.81	6.22	5.4
2	6	OTC	2006	18/05/2006	138	17	2.46	2.46	5.81	5.4
2	6	OTC	2006	18/05/2006	138	18	0.73	1.17	5.4	5.4
2	6	OTC	2006	18/05/2006	138	19	-0.61	-0.16	4.99	4.99
2	6	OTC	2006	18/05/2006	138	20	-1.51	-0.61	4.57	4.99
2	6	OTC	2006	18/05/2006	138	21	-2.44	-0.61	4.15	4.57
2	6	OTC	2006	18/05/2006	138	22	0.29	0.73	3.74	4.57
2	6	OTC	2006	18/05/2006	138	23	1.6	1.6	3.74	4.15
2	6	OTC	2006	19/05/2006	139	0	2.46	2.03	3.74	4.15
2	6	OTC	2006	19/05/2006	139	1	2.89	2.46	3.74	4.15
2	6	OTC	2006	19/05/2006	139	2	3.31	2.89	3.74	4.15
2	6	OTC	2006	19/05/2006	139	3	3.31	2.89	3.74	4.15
2	6	OTC	2006	19/05/2006	139	4	3.31	2.46	3.74	4.15
2	6	OTC	2006	19/05/2006	139	5	2.89	2.46	3.74	4.15
2	6	OTC	2006	19/05/2006	139	6	3.31	2.89	3.74	4.15
2	6	OTC	2006	19/05/2006	139	7	3.31	2.89	3.74	4.15
2	6	OTC	2006	19/05/2006	139	8	3.74	3.74	3.74	4.15
2	6	OTC	2006	19/05/2006	139	9	4.15	4.15	3.74	4.15
