"Date Time, GMT+11:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
12/31/07 18:00:00,25.17,20.19,14.47,14.47
12/31/07 19:00:00,27.12,24.40,15.23,14.85
12/31/07 20:00:00,27.91,27.12,16.00,14.85
12/31/07 21:00:00,28.70,45.39,16.76,15.23
12/31/07 22:00:00,34.43,53.53,17.90,15.62
12/31/07 23:00:00,38.32,49.02,18.66,16.38
01/01/08 00:00:00,26.73,28.70,19.42,16.76
01/01/08 01:00:00,27.91,28.31,19.81,17.52
01/01/08 02:00:00,15.62,17.90,20.19,17.52
01/01/08 03:00:00,16.38,16.76,19.42,17.90
01/01/08 04:00:00,16.00,16.38,19.04,17.90
01/01/08 05:00:00,14.09,14.47,18.66,17.52
01/01/08 06:00:00,15.23,15.23,18.28,17.52
01/01/08 07:00:00,14.85,15.23,17.52,17.14
01/01/08 08:00:00,14.09,14.09,17.52,17.14
01/01/08 09:00:00,12.55,12.93,17.14,16.76
01/01/08 10:00:00,13.32,13.32,16.76,16.38
01/01/08 11:00:00,12.55,12.93,16.38,16.38
01/01/08 12:00:00,15.62,13.32,16.00,16.00
01/01/08 13:00:00,13.32,12.93,15.62,16.00
01/01/08 14:00:00,12.93,12.93,15.62,15.62
01/01/08 15:00:00,14.47,13.70,15.23,15.62
01/01/08 16:00:00,17.14,15.62,15.23,15.23
01/01/08 17:00:00,20.95,17.14,15.23,15.23
01/01/08 18:00:00,21.71,19.42,15.23,15.23
01/01/08 19:00:00,27.52,24.40,15.62,15.23
01/01/08 20:00:00,28.70,26.34,16.38,15.23
01/01/08 21:00:00,29.90,42.46,17.14,15.62
01/01/08 22:00:00,35.27,51.22,17.90,16.00
01/01/08 23:00:00,39.22,51.22,19.04,16.38
01/02/08 00:00:00,41.05,44.89,19.81,17.14
01/02/08 01:00:00,41.52,37.00,20.57,17.52
01/02/08 02:00:00,29.90,26.73,20.95,18.28
01/02/08 03:00:00,26.34,23.63,20.95,18.66
01/02/08 04:00:00,22.09,20.57,20.95,18.66
01/02/08 05:00:00,16.76,16.76,20.19,18.66
01/02/08 06:00:00,16.00,16.00,19.81,18.66
01/02/08 07:00:00,12.93,14.47,19.04,18.28
01/02/08 08:00:00,12.16,13.32,18.28,17.90
01/02/08 09:00:00,12.16,12.93,17.90,17.52
01/02/08 10:00:00,11.38,12.55,17.14,17.14
