"Date Time, GMT+10:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
04/10/08 15:00:00,14.385,14.194,11.078,9.583
04/10/08 16:00:00,13.425,12.534,11.053,9.756
04/10/08 17:00:00,11.005,10.785,10.858,9.829
04/10/08 18:00:00,7.970,8.543,10.541,9.829
04/10/08 19:00:00,7.142,7.820,10.075,9.780
04/10/08 20:00:00,5.770,6.408,9.706,9.632
04/10/08 21:00:00,4.011,4.999,9.262,9.485
04/10/08 22:00:00,2.477,3.880,8.767,9.312
04/10/08 23:00:00,1.643,3.195,8.245,9.089
04/11/08 00:00:00,1.289,2.664,7.770,8.866
04/11/08 01:00:00,0.742,2.396,7.368,8.618
04/11/08 02:00:00,1.289,2.503,7.015,8.419
04/11/08 03:00:00,2.450,3.591,6.737,8.195
04/11/08 04:00:00,2.610,3.564,6.585,8.020
04/11/08 05:00:00,3.301,3.880,6.484,7.870
04/11/08 06:00:00,3.485,4.089,6.433,7.770
04/11/08 07:00:00,5.539,5.539,6.382,7.670
04/11/08 08:00:00,14.194,9.361,6.585,7.619
04/11/08 09:00:00,17.915,12.799,7.091,7.619
04/11/08 10:00:00,21.724,23.088,8.020,7.770
04/11/08 11:00:00,24.557,30.041,9.238,8.095
04/11/08 12:00:00,25.404,31.128,10.492,8.543
04/11/08 13:00:00,24.291,29.690,11.613,9.064
04/11/08 14:00:00,23.208,25.089,12.389,9.632
04/11/08 15:00:00,19.341,19.936,12.823,10.124
04/11/08 16:00:00,14.170,16.082,12.799,10.443
04/11/08 17:00:00,10.467,12.727,12.582,10.638
04/11/08 18:00:00,7.293,9.435,12.001,10.687
04/11/08 19:00:00,6.408,8.170,11.224,10.590
04/11/08 20:00:00,6.102,7.544,10.541,10.369
04/11/08 21:00:00,6.255,7.192,10.001,10.124
04/11/08 22:00:00,6.864,7.419,9.558,9.903
04/11/08 23:00:00,7.368,7.142,9.238,9.706
04/12/08 00:00:00,6.889,6.990,8.965,9.509
04/12/08 01:00:00,6.788,6.813,8.767,9.336
04/12/08 02:00:00,6.813,7.015,8.593,9.188
04/12/08 03:00:00,6.636,6.940,8.469,9.064
04/12/08 04:00:00,6.965,7.015,8.369,8.965
04/12/08 05:00:00,6.560,6.940,8.295,8.891
04/12/08 06:00:00,5.949,6.687,8.220,8.817
04/12/08 07:00:00,6.408,6.990,8.145,8.742
04/12/08 08:00:00,7.519,8.145,8.120,8.693
04/12/08 09:00:00,11.248,11.102,8.319,8.643
04/12/08 10:00:00,8.220,9.287,8.817,8.693
04/12/08 11:00:00,14.146,14.745,9.238,8.817
04/12/08 12:00:00,9.903,11.321,9.879,8.990
04/12/08 13:00:00,8.891,10.565,10.100,9.213
04/12/08 14:00:00,8.568,10.198,10.075,9.361
04/12/08 15:00:00,7.594,9.163,10.100,9.435
04/12/08 16:00:00,7.720,9.040,10.051,9.485
04/12/08 17:00:00,7.720,9.064,9.952,9.509
04/12/08 18:00:00,5.949,7.167,9.780,9.509
04/12/08 19:00:00,5.102,6.179,9.386,9.460
04/12/08 20:00:00,4.947,5.821,8.965,9.336
04/12/08 21:00:00,4.869,5.821,8.618,9.188
04/12/08 22:00:00,5.745,6.408,8.369,9.015
04/12/08 23:00:00,4.740,5.796,8.220,8.891
04/13/08 00:00:00,4.220,5.385,8.045,8.767
04/13/08 01:00:00,3.354,4.662,7.795,8.668
04/13/08 02:00:00,2.930,4.168,7.519,8.543
04/13/08 03:00:00,3.854,4.869,7.268,8.394
04/13/08 04:00:00,3.617,4.688,7.192,8.270
04/13/08 05:00:00,1.235,2.637,7.015,8.170
04/13/08 06:00:00,0.522,2.101,6.737,8.045
04/13/08 07:00:00,2.477,3.538,6.458,7.895
04/13/08 08:00:00,5.334,5.437,6.382,7.745
04/13/08 09:00:00,8.568,7.645,6.763,7.670
04/13/08 10:00:00,17.748,15.557,7.242,7.695
04/13/08 11:00:00,15.079,13.257,7.995,7.845
04/13/08 12:00:00,11.540,11.175,8.593,8.070
04/13/08 13:00:00,7.343,7.167,8.817,8.295
04/13/08 14:00:00,7.544,7.670,8.593,8.419
04/13/08 15:00:00,9.312,8.841,8.543,8.444
04/13/08 16:00:00,6.864,7.192,8.693,8.469
04/13/08 17:00:00,5.719,6.433,8.543,8.494
