"Date Time, GMT+11:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
12/31/07 18:00:00,28.70,25.56,16.00,14.47
12/31/07 19:00:00,30.71,36.13,18.28,15.62
12/31/07 20:00:00,34.01,45.89,20.19,16.38
12/31/07 21:00:00,34.85,50.11,22.09,17.52
12/31/07 22:00:00,36.13,55.35,23.63,18.66
12/31/07 23:00:00,35.70,54.74,24.40,19.42
01/01/08 00:00:00,27.91,35.27,24.01,20.19
01/01/08 01:00:00,26.34,35.27,23.24,20.19
01/01/08 02:00:00,14.47,16.76,21.71,19.81
01/01/08 03:00:00,14.85,16.38,20.19,19.04
01/01/08 04:00:00,14.85,15.23,19.04,18.66
01/01/08 05:00:00,12.55,13.70,18.28,18.28
01/01/08 06:00:00,14.47,14.85,17.52,17.52
01/01/08 07:00:00,14.47,14.47,17.14,17.14
01/01/08 08:00:00,13.70,12.55,16.38,16.76
01/01/08 09:00:00,10.99,11.77,16.00,16.38
01/01/08 10:00:00,14.09,11.38,15.62,16.00
01/01/08 11:00:00,11.38,10.99,15.23,16.00
01/01/08 12:00:00,14.47,12.16,14.85,15.62
01/01/08 13:00:00,12.55,11.38,14.85,15.23
01/01/08 14:00:00,12.55,11.38,14.47,15.23
01/01/08 15:00:00,14.09,12.55,14.47,14.85
01/01/08 16:00:00,17.90,15.23,14.47,14.85
01/01/08 17:00:00,25.17,15.62,14.85,14.85
01/01/08 18:00:00,23.24,20.19,16.00,14.85
01/01/08 19:00:00,30.71,30.31,17.90,15.62
01/01/08 20:00:00,31.12,36.13,19.81,16.38
01/01/08 21:00:00,31.93,42.94,21.33,17.52
01/01/08 22:00:00,31.93,46.91,23.24,18.28
01/01/08 23:00:00,31.93,50.11,24.40,19.04
01/02/08 00:00:00,33.17,49.02,24.79,19.81
01/02/08 01:00:00,30.71,45.39,24.01,20.19
01/02/08 02:00:00,31.52,37.00,23.24,20.19
01/02/08 03:00:00,22.86,26.34,22.09,20.19
01/02/08 04:00:00,19.42,20.57,20.95,19.81
01/02/08 05:00:00,15.62,16.00,19.81,19.04
01/02/08 06:00:00,15.23,15.23,18.66,18.66
01/02/08 07:00:00,9.42,12.93,17.90,17.90
01/02/08 08:00:00,7.43,11.38,17.14,17.52
01/02/08 09:00:00,7.83,10.99,16.38,17.14
01/02/08 10:00:00,7.43,10.21,16.00,16.76
01/02/08 11:00:00,5.81,9.42,15.23,16.38
01/02/08 12:00:00,5.81,9.03,14.85,16.00
01/02/08 13:00:00,6.22,8.63,14.47,15.62
01/02/08 14:00:00,7.83,8.63,14.09,15.23
01/02/08 15:00:00,17.52,12.16,13.70,14.85
01/02/08 16:00:00,22.09,14.47,14.09,14.85
01/02/08 17:00:00,25.17,16.76,14.85,14.85
01/02/08 18:00:00,27.91,24.40,16.38,15.23
01/02/08 19:00:00,30.31,34.01,18.66,16.00
