"Date Time, GMT+10:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
05/31/08 12:00:00,16.106,16.010,2.209,2.584
05/31/08 13:00:00,16.511,13.762,3.142,2.797
05/31/08 14:00:00,13.064,10.687,3.906,3.116
05/31/08 15:00:00,10.516,8.319,4.324,3.433
05/31/08 16:00:00,5.565,5.024,4.480,3.696
05/31/08 17:00:00,-0.873,0.715,4.246,3.827
05/31/08 18:00:00,-3.479,-1.213,3.670,3.801
05/31/08 19:00:00,-3.212,-1.441,3.168,3.670
05/31/08 20:00:00,-3.360,-0.958,2.770,3.485
05/31/08 21:00:00,0.190,0.880,2.477,3.301
05/31/08 22:00:00,1.697,1.670,2.343,3.142
05/31/08 23:00:00,0.715,1.262,2.343,3.063
06/01/08 00:00:00,-3.006,-1.413,2.370,3.009
06/01/08 01:00:00,-8.597,-2.479,2.236,2.956
06/01/08 02:00:00,-8.463,-2.450,2.021,2.877
06/01/08 03:00:00,-6.642,-2.073,1.832,2.770
06/01/08 04:00:00,-2.771,-1.327,1.697,2.664
06/01/08 05:00:00,-2.218,-1.100,1.561,2.557
06/01/08 06:00:00,-3.124,-1.213,1.480,2.450
06/01/08 07:00:00,-4.348,-1.413,1.398,2.370
06/01/08 08:00:00,-5.388,-1.584,1.317,2.289
06/01/08 09:00:00,3.459,0.107,1.235,2.236
06/01/08 10:00:00,9.534,6.585,1.208,2.155
06/01/08 11:00:00,13.882,13.016,1.208,2.128
06/01/08 12:00:00,15.509,15.008,1.317,2.128
06/01/08 13:00:00,16.249,13.690,2.021,2.209
06/01/08 14:00:00,12.461,10.247,3.009,2.477
06/01/08 15:00:00,8.419,7.670,3.617,2.797
06/01/08 16:00:00,4.298,4.662,3.827,3.089
06/01/08 17:00:00,-2.537,-0.395,3.643,3.274
06/01/08 18:00:00,-6.294,-2.479,3.142,3.274
06/01/08 19:00:00,-8.463,-2.918,2.637,3.168
06/01/08 20:00:00,-8.264,-2.625,2.289,3.009
06/01/08 21:00:00,-4.106,-1.641,1.994,2.850
06/01/08 22:00:00,-1.958,-1.071,1.805,2.690
06/01/08 23:00:00,-1.356,-0.845,1.670,2.557
06/02/08 00:00:00,-1.384,-0.789,1.561,2.477
06/02/08 01:00:00,-0.902,-0.620,1.480,2.370
06/02/08 02:00:00,1.507,0.715,1.425,2.316
06/02/08 03:00:00,1.994,1.371,1.371,2.236
06/02/08 04:00:00,2.610,2.021,1.371,2.209
06/02/08 05:00:00,2.423,1.913,1.371,2.182
06/02/08 06:00:00,2.584,2.021,1.425,2.182
06/02/08 07:00:00,2.770,2.101,1.480,2.182
06/02/08 08:00:00,3.036,2.396,1.588,2.209
06/02/08 09:00:00,5.514,4.532,1.805,2.236
06/02/08 10:00:00,5.719,4.740,2.155,2.316
06/02/08 11:00:00,6.306,5.411,2.477,2.423
06/02/08 12:00:00,7.368,6.813,2.877,2.584
06/02/08 13:00:00,7.895,7.041,3.301,2.770
06/02/08 14:00:00,12.606,10.124,3.670,2.956
06/02/08 15:00:00,7.594,6.965,4.141,3.195
06/02/08 16:00:00,4.662,4.662,4.324,3.406
06/02/08 17:00:00,-1.584,0.163,4.168,3.564
06/02/08 18:00:00,-6.388,-2.247,3.591,3.591
06/02/08 19:00:00,-7.058,-2.247,3.009,3.459
06/02/08 20:00:00,-8.132,-2.625,2.584,3.248
06/02/08 21:00:00,-8.898,-2.888,2.262,3.063
06/02/08 22:00:00,-8.364,-2.918,1.994,2.877
06/02/08 23:00:00,-8.999,-3.153,1.778,2.717
06/03/08 00:00:00,-7.348,-2.654,1.615,2.584
06/03/08 01:00:00,-8.463,-2.976,1.453,2.450
06/03/08 02:00:00,-8.764,-3.094,1.289,2.316
06/03/08 03:00:00,-8.132,-3.006,1.180,2.209
06/03/08 04:00:00,-6.994,-2.596,1.071,2.128
06/03/08 05:00:00,-7.543,-2.683,0.989,2.021
06/03/08 06:00:00,-6.325,-2.421,0.907,1.940
06/03/08 07:00:00,-6.994,-2.683,0.825,1.859
06/03/08 08:00:00,-1.641,-1.185,0.770,1.805
06/03/08 09:00:00,2.477,-0.088,0.715,1.724
06/03/08 10:00:00,6.509,2.584,0.715,1.697
06/03/08 11:00:00,10.834,7.670,0.715,1.670
06/03/08 12:00:00,13.112,11.297,0.742,1.643
06/03/08 13:00:00,11.540,10.075,0.907,1.670
06/03/08 14:00:00,9.657,8.220,1.453,1.805
06/03/08 15:00:00,7.619,6.914,2.262,1.994
06/03/08 16:00:00,6.636,5.745,2.770,2.262
06/03/08 17:00:00,5.411,4.480,3.009,2.503
06/03/08 18:00:00,4.973,4.168,3.089,2.664
06/03/08 19:00:00,4.869,4.115,3.142,2.770
06/03/08 20:00:00,4.688,3.932,3.168,2.850
06/03/08 21:00:00,4.532,3.827,3.195,2.903
06/03/08 22:00:00,4.063,3.538,3.221,2.956
06/03/08 23:00:00,3.301,3.036,3.221,3.009
06/04/08 00:00:00,2.983,2.903,3.142,3.036
06/04/08 01:00:00,3.380,2.823,3.089,3.063
06/04/08 02:00:00,3.854,3.248,3.063,3.036
06/04/08 03:00:00,3.459,2.744,3.063,3.063
06/04/08 04:00:00,3.722,3.009,3.036,3.063
06/04/08 05:00:00,4.115,3.301,3.063,3.063
06/04/08 06:00:00,4.272,3.485,3.116,3.063
06/04/08 07:00:00,4.194,3.459,3.168,3.089
06/04/08 08:00:00,4.662,3.932,3.221,3.142
06/04/08 09:00:00,5.616,5.102,3.327,3.168
06/04/08 10:00:00,7.066,7.066,3.538,3.221
06/04/08 11:00:00,6.965,7.041,3.854,3.327
06/04/08 12:00:00,9.213,9.064,4.220,3.459
06/04/08 13:00:00,6.889,7.343,4.714,3.643
06/04/08 14:00:00,6.509,6.687,4.921,3.854
06/04/08 15:00:00,5.539,5.975,4.947,4.011
06/04/08 16:00:00,4.792,5.334,4.869,4.089
06/04/08 17:00:00,3.827,4.298,4.740,4.141
06/04/08 18:00:00,3.538,3.985,4.558,4.141
06/04/08 19:00:00,3.195,3.643,4.402,4.115
