"Date Time, GMT+11:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
11/26/08 23:00:00,25.17,24.40,13.70,9.82
11/27/08 00:00:00,11.38,13.70,13.70,10.21
11/27/08 01:00:00,11.77,12.55,12.55,10.21
11/27/08 02:00:00,11.38,11.38,12.16,10.21
11/27/08 03:00:00,19.81,11.38,11.77,10.21
11/27/08 04:00:00,7.03,8.63,11.38,10.21
11/27/08 05:00:00,5.81,7.83,10.60,10.21
11/27/08 06:00:00,6.22,7.83,10.21,9.82
11/27/08 07:00:00,6.22,7.43,9.82,9.82
11/27/08 08:00:00,6.62,7.43,9.42,9.82
11/27/08 09:00:00,5.81,7.03,9.42,9.42
11/27/08 10:00:00,5.40,6.22,9.03,9.42
11/27/08 11:00:00,4.99,5.81,8.63,9.03
11/27/08 12:00:00,5.40,5.81,8.63,9.03
11/27/08 13:00:00,5.81,6.22,8.23,9.03
11/27/08 14:00:00,4.99,5.40,8.23,8.63
11/27/08 15:00:00,8.23,7.03,8.23,8.63
11/27/08 16:00:00,9.42,8.63,8.23,8.63
