"Date Time, GMT+11:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
11/26/08 23:00:00,28.70,30.31,11.38,9.42
11/27/08 00:00:00,15.23,17.90,11.38,9.82
11/27/08 01:00:00,16.00,17.90,10.99,9.82
11/27/08 02:00:00,13.70,14.85,10.99,9.82
11/27/08 03:00:00,18.66,15.23,10.60,9.82
11/27/08 04:00:00,9.03,10.21,10.21,9.82
11/27/08 05:00:00,7.43,9.03,9.82,9.82
11/27/08 06:00:00,7.43,8.63,9.82,9.42
11/27/08 07:00:00,7.03,8.23,9.42,9.42
11/27/08 08:00:00,7.43,8.23,9.42,9.42
11/27/08 09:00:00,6.62,7.03,9.03,9.03
11/27/08 10:00:00,6.22,6.22,9.03,9.03
11/27/08 11:00:00,5.81,5.81,8.63,9.03
11/27/08 12:00:00,5.81,5.81,8.63,8.63
11/27/08 13:00:00,6.22,6.62,8.23,8.63
11/27/08 14:00:00,5.81,5.40,8.23,8.63
11/27/08 15:00:00,10.21,9.82,8.23,8.23
11/27/08 16:00:00,10.99,11.77,8.23,8.23
11/27/08 17:00:00,20.19,18.28,8.23,8.23
11/27/08 18:00:00,30.31,30.31,8.63,8.23
11/27/08 19:00:00,30.31,40.59,9.03,8.63
11/27/08 20:00:00,28.70,46.91,9.82,8.63
11/27/08 21:00:00,29.50,46.91,10.99,9.42
11/27/08 22:00:00,30.31,49.02,11.38,9.82
11/27/08 23:00:00,27.91,30.31,11.77,10.21
11/28/08 00:00:00,25.56,26.34,12.16,10.21
11/28/08 01:00:00,24.79,21.33,12.16,10.60
11/28/08 02:00:00,16.00,16.00,12.16,10.99
11/28/08 03:00:00,13.70,13.70,11.77,10.99
11/28/08 04:00:00,10.99,10.99,11.38,10.60
11/28/08 05:00:00,10.21,10.60,10.99,10.60
11/28/08 06:00:00,9.42,9.42,10.60,10.21
11/28/08 07:00:00,9.03,9.03,10.21,10.21
11/28/08 08:00:00,9.03,9.42,10.21,10.21
11/28/08 09:00:00,9.03,9.42,9.82,9.82
11/28/08 10:00:00,8.23,8.63,9.82,9.82
11/28/08 11:00:00,8.23,8.63,9.82,9.82
11/28/08 12:00:00,8.23,8.23,9.42,9.82
11/28/08 13:00:00,7.83,8.23,9.42,9.42
11/28/08 14:00:00,7.83,7.43,9.42,9.42
11/28/08 15:00:00,12.55,10.99,9.42,9.42
11/28/08 16:00:00,21.33,13.32,9.42,9.42
11/28/08 17:00:00,19.81,18.28,9.42,9.42
11/28/08 18:00:00,21.71,21.71,9.42,9.42
11/28/08 19:00:00,22.86,28.70,9.82,9.42
11/28/08 20:00:00,23.24,29.50,10.60,9.42
11/28/08 21:00:00,20.95,24.79,11.77,9.82
11/28/08 22:00:00,18.66,21.33,12.16,10.21
11/28/08 23:00:00,12.93,15.23,12.16,10.60
11/29/08 00:00:00,11.38,14.09,11.77,10.99
11/29/08 01:00:00,11.38,13.70,11.38,10.60
11/29/08 02:00:00,13.32,14.09,11.38,10.60
11/29/08 03:00:00,12.16,12.93,11.38,10.60
11/29/08 04:00:00,9.82,10.60,10.99,10.60
11/29/08 05:00:00,8.23,8.63,10.99,10.60
11/29/08 06:00:00,8.63,9.42,10.60,10.21
11/29/08 07:00:00,8.23,9.03,10.21,10.21
11/29/08 08:00:00,8.23,8.63,10.21,10.21
11/29/08 09:00:00,7.03,7.83,9.82,9.82
11/29/08 10:00:00,7.03,7.83,9.82,9.82
